energy_ev,total_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,3.41268629,0.39962920,0.00648344,0.03367335,2.14546873,1.10988166,1.45462957
-5.99399700,3.59678389,0.44033846,0.00684200,0.03477323,2.24064082,1.19628870,1.50904154
-5.98799400,3.78266033,0.48367760,0.00719813,0.03577673,2.33433171,1.28688116,1.56086068
-5.98199100,3.96893255,0.52938883,0.00754971,0.03667570,2.42579274,1.38101910,1.60962517
-5.97598799,4.15420550,0.57716087,0.00789476,0.03746417,2.51431766,1.47798019,1.65493050
-5.96998499,4.33707930,0.62663067,0.00823144,0.03813831,2.59924628,1.57696324,1.69643262
-5.96398199,4.51615635,0.67738651,0.00855809,0.03869635,2.67996676,1.67709401,1.73384959
-5.95797899,4.69004860,0.72897246,0.00887320,0.03913838,2.75591700,1.77743345,1.76696157
-5.95197599,4.85738561,0.78089424,0.00917537,0.03946614,2.82658515,1.87698844,1.79560947
-5.94597299,5.01682338,0.83262627,0.00946333,0.03968281,2.89150972,1.97472487,1.81969235
-5.93996998,5.16705454,0.88361986,0.00973590,0.03979262,2.95027950,2.06958294,1.83916397
-5.93396698,5.30681990,0.93331241,0.00999198,0.03980067,3.00253365,2.16049443,1.85402855
-5.92796398,5.43492162,0.98113716,0.01023052,0.03971257,3.04796218,2.24640150,1.86433628
-5.92196098,5.55023798,1.02653364,0.01045052,0.03953422,3.08630699,2.32627661,1.87017861
-5.91595798,5.65173958,1.06895825,0.01065100,0.03927157,3.11736372,2.39914310,1.87168365
-5.90995498,5.73850697,1.10789490,0.01083104,0.03893045,3.14098428,2.46409585,1.86901198
-5.90395198,5.80974910,1.14286539,0.01098975,0.03851648,3.15708025,2.52032139,1.86235290
-5.89794897,5.86482231,1.17343941,0.01112629,0.03803494,3.16562681,2.56711708,1.85192124
-5.89194597,5.90324921,1.19924377,0.01123994,0.03749084,3.16666714,2.60390852,1.83795484
-5.88594297,5.92473679,1.21997078,0.01133008,0.03688888,3.16031690,2.63026497,1.82071259
-5.87993997,5.92919287,1.23538559,0.01139624,0.03623362,3.14676850,2.64591201,1.80047294
-5.87393697,5.91674018,1.24533221,0.01143816,0.03552953,3.12629469,2.65074127,1.77753286
-5.86793397,5.88772716,1.24973812,0.01145584,0.03478116,3.09925107,2.64481664,1.75220689
-5.86193097,5.84273457,1.24861734,0.01144953,0.03399328,3.06607706,2.62837691,1.72482620
-5.85592796,5.78257727,1.24207174,0.01141982,0.03317099,3.02729505,2.60183443,1.69573745
-5.84992496,5.70830041,1.23029057,0.01136764,0.03231989,2.98350721,2.56576995,1.66530112
-5.84392196,5.62116963,1.21354815,0.01129427,0.03144611,2.93538997,2.52092348,1.63388935
-5.83791896,5.52265500,1.19219953,0.01120138,0.03055640,2.88368586,2.46818142,1.60188300
-5.83191596,5.41440878,1.16667438,0.01109096,0.02965810,2.82919288,2.40856021,1.56966791
-5.82591296,5.29823723,1.13746901,0.01096536,0.02875913,2.77275153,2.34318681,1.53763043
-5.81990995,5.17606725,1.10513667,0.01082718,0.02786789,2.71522992,2.27327671,1.50615228
-5.81390695,5.04990864,1.07027641,0.01067928,0.02699314,2.65750726,2.20010972,1.47560486
-5.80790395,4.92181327,1.03352074,0.01052466,0.02614382,2.60045665,2.12500461,1.44634328
-5.80190095,4.79383263,0.99552235,0.01036643,0.02532891,2.54492748,2.04929301,1.41870039
-5.79589795,4.66797522,0.95694040,0.01020770,0.02455723,2.49172863,1.97429353,1.39298113
-5.78989495,4.54616560,0.91842666,0.01005153,0.02383722,2.44161282,1.90128678,1.36945742
-5.78389195,4.43020654,0.88061204,0.00990083,0.02317677,2.39526308,1.83149199,1.34836414
-5.77788894,4.32174590,0.84409388,0.00975831,0.02258309,2.35328197,1.76604605,1.32989613
-5.77188594,4.22224949,0.80942444,0.00962644,0.02206253,2.31618381,1.70598524,1.31420672
-5.76588294,4.13298083,0.77710090,0.00950738,0.02162051,2.28439048,1.65223042,1.30140778
-5.75987994,4.05498839,0.74755727,0.00940301,0.02126145,2.25823083,1.60557564,1.29157126
-5.75387694,3.98910062,0.72115824,0.00931487,0.02098870,2.23794347,1.56668054,1.28473235
-5.74787394,3.93592835,0.69819528,0.00924421,0.02080462,2.22368285,1.53606636,1.28089385
-5.74187094,3.89587409,0.67888488,0.00919201,0.02071052,2.21552793,1.51411540,1.28003171
-5.73586793,3.86914708,0.66336890,0.00915904,0.02070676,2.21349302,1.50107371,1.28210122
-5.72986493,3.85578292,0.65171687,0.00914586,0.02079282,2.21753972,1.49705638,1.28704371
-5.72386193,3.85566630,0.64392996,0.00915293,0.02096732,2.22758946,1.50205516,1.29479300
-5.71785893,3.86855512,0.63994634,0.00918064,0.02122813,2.24353562,1.51594769,1.30528161
-5.71185593,3.89410468,0.63964766,0.00922936,0.02157242,2.26525447,1.53850789,1.31844601
-5.70585293,3.93189036,0.64286619,0.00929947,0.02199672,2.29261436,1.56941691,1.33423076
-5.69984992,3.98142765,0.64939233,0.00939139,0.02249695,2.32548255,1.60827429,1.35259138
-5.69384692,4.04218853,0.65898218,0.00950561,0.02306845,2.36372940,1.65460874,1.37349552
-5.68784392,4.11361375,0.67136486,0.00964267,0.02370601,2.40722973,1.70788845,1.39692275
-5.68184092,4.19512056,0.68624941,0.00980312,0.02440390,2.45586142,1.76753055,1.42286272
-5.67583792,4.28610614,0.70333103,0.00998750,0.02515587,2.50950141,1.83290967,1.45131198
-5.66983492,4.38594694,0.72229655,0.01019629,0.02595519,2.56801964,1.90336554,1.48226969
-5.66383192,4.49399476,0.74282919,0.01042981,0.02679466,2.63127123,1.97820966,1.51573240
-5.65782891,4.60957010,0.76461250,0.01068820,0.02766669,2.69908756,2.05673106,1.55168826
-5.65182591,4.73195400,0.78733349,0.01097131,0.02856331,2.77126686,2.13820144,1.59011096
-5.64582291,4.86037905,0.81068527,0.01127861,0.02947630,2.84756490,2.22187948,1.63095376
-5.63981991,4.99402057,0.83436892,0.01160917,0.03039721,2.92768626,2.30701491,1.67414370
-5.63381691,5.13198886,0.85809512,0.01196157,0.03131752,3.01127671,2.39285200,1.71957646
-5.62781391,5.27332305,0.88158530,0.01233383,0.03222868,3.09791701,2.47863297,1.76711183
-5.62181091,5.41698724,0.90457265,0.01272346,0.03312224,3.18711850,2.56360124,1.81657000
-5.61580790,5.56186917,0.92680304,0.01312737,0.03398993,3.27832047,2.64700466,1.86772872
-5.60980490,5.70678174,0.94803586,0.01354193,0.03482373,3.37088958,2.72809879,1.92032134
-5.60380190,5.85046751,0.96804493,0.01396299,0.03561595,3.46412126,2.80615047,1.97403578
-5.59779890,5.99160596,0.98661956,0.01438592,0.03635927,3.55724297,2.88044151,2.02851436
-5.59179590,6.12882374,1.00356566,0.01480570,0.03704675,3.64941945,2.95027289,2.08335446
-5.58579290,6.26070743,1.01870699,0.01521700,0.03767189,3.73975961,3.01496927,2.13811010
-5.57978989,6.38581884,1.03188664,0.01561427,0.03822863,3.82732528,3.07388412,2.19229445
-5.57378689,6.50271247,1.04296844,0.01599190,0.03871131,3.91114149,3.12640529,2.24538315
-5.56778389,6.60995502,1.05183852,0.01634427,0.03911477,3.99020840,3.17196126,2.29681882
-5.56178089,6.70614651,1.05840676,0.01666593,0.03943430,4.06351467,3.21002786,2.34601652
-5.55577789,6.78994277,1.06260815,0.01695171,0.03966568,4.13005235,3.24013544,2.39237051
-5.54977489,6.86007886,1.06440392,0.01719683,0.03980532,4.18883300,3.26187637,2.43526215
-5.54377189,6.91539300,1.06378230,0.01739703,0.03985024,4.23890503,3.27491264,2.47406916
-5.53776888,6.95485040,1.06075891,0.01754865,0.03979827,4.27937195,3.27898331,2.50817605
-5.53176588,6.97756648,1.05537656,0.01764874,0.03964810,4.30941115,3.27391143,2.53698574
-5.52576288,6.98282877,1.04770452,0.01769510,0.03939948,4.32829298,3.25961030,2.55993215
-5.51975988,6.97011667,1.03783711,0.01768634,0.03905333,4.33539950,3.23608846,2.57649342
-5.51375688,6.93911859,1.02589166,0.01762193,0.03861186,4.33024229,3.20345328,2.58620560
-5.50775388,6.88974549,1.01200587,0.01750214,0.03807870,4.31247886,3.16191279,2.58867608
-5.50175088,6.82214044,0.99633463,0.01732812,0.03745900,4.28192691,3.11177553,2.58359667
-5.49574787,6.73668347,0.97904642,0.01710177,0.03675942,4.23857579,3.05344832,2.57075540
-5.48974487,6.63399155,0.96031946,0.01682573,0.03598814,4.18259459,2.98743184,2.55004690
-5.48374187,6.51491338,0.94033779,0.01650333,0.03515478,4.11433649,2.91431419,2.52148056
-5.47773887,6.38051908,0.91928748,0.01613845,0.03427027,4.03433876,2.83476254,2.48518632
-5.47173587,6.23208512,0.89735318,0.01573547,0.03334667,3.94331853,2.74951317,2.44141754
-5.46573287,6.07107479,0.87471524,0.01529917,0.03239688,3.84216402,2.65936034,2.39055086
-5.45972986,5.89911515,0.85154745,0.01483461,0.03143444,3.73192167,2.56514426,2.33308290
-5.45372686,5.71797105,0.82801574,0.01434707,0.03047315,3.61377941,2.46773879,2.26962392
-5.44772386,5.52951734,0.80427763,0.01384192,0.02952679,3.48904669,2.36803927,2.20088865
-5.44172086,5.33571031,0.78048272,0.01332455,0.02860879,3.35913196,2.26695091,2.12768449
-5.43571786,5.13855926,0.75677391,0.01280034,0.02773197,3.22551854,2.16537812,2.05089773
-5.42971486,4.94009923,0.73328946,0.01227452,0.02690824,3.08973963,2.06421522,1.97147817
-5.42371186,4.74236582,0.71016555,0.01175220,0.02614846,2.95335346,1.96433854,1.89042275
-5.41770885,4.54737256,0.68753913,0.01123829,0.02546227,2.81791939,1.86660017,1.80875887
-5.41170585,4.35709150,0.66555097,0.01073748,0.02485799,2.68497582,1.77182333,1.72752785
-5.40570285,4.17343702,0.64434843,0.01025423,0.02434270,2.55602030,1.68079918,1.64776905
-5.39969985,3.99825300,0.62408783,0.00979277,0.02392222,2.43249255,1.59428492,1.57050526
-5.39369685,3.83330297,0.60493621,0.00935709,0.02360125,2.31576035,1.51300285,1.49672930
-5.38769385,3.68026268,0.58707214,0.00895092,0.02338355,2.20710843,1.43763995,1.42739247
-5.38169085,3.54071456,0.57068563,0.00857778,0.02327209,2.10773013,1.36884778,1.36339447
-5.37568784,3.41614314,0.55597687,0.00824093,0.02326924,2.01872143,1.30724201,1.30557502
-5.36968484,3.30793054,0.54315394,0.00794342,0.02337699,1.94107677,1.25340139,1.25470687
-5.36368184,3.21735120,0.53242944,0.00768803,0.02359708,1.87568602,1.20786565,1.21148998
-5.35767884,3.14556512,0.52401616,0.00747729,0.02393110,1.82333202,1.17113220,1.17654650
-5.35167584,3.09360870,0.51812197,0.00731346,0.02438056,1.78468777,1.14365119,1.15041634
-5.34567284,3.06238296,0.51494407,0.00719849,0.02494690,1.76031297,1.12581906,1.13355281
-5.33966983,3.05263875,0.51466283,0.00713402,0.02563138,1.75064919,1.11797040,1.12631827
-5.33366683,3.06495911,0.51743553,0.00712129,0.02643494,1.75601355,1.12036836,1.12897949
-5.32766383,3.09973895,0.52339009,0.00716115,0.02735799,1.77659064,1.13319386,1.14170257
-5.32166083,3.15716289,0.53261908,0.00725401,0.02840014,1.81242308,1.15653391,1.16454757
-5.31565783,3.23718203,0.54517431,0.00739977,0.02955989,1.86340085,1.19036963,1.19746292
-5.30965483,3.33949082,0.56106196,0.00759779,0.03083434,1.92925004,1.23456438,1.24027980
-5.30365183,3.46350542,0.58023869,0.00784688,0.03221880,2.00952190,1.28885288,1.29270702
-5.29764882,3.60834494,0.60260854,0.00814522,0.03370655,2.10358290,1.35283182,1.35432662
-5.29164582,3.77281701,0.62802106,0.00849038,0.03528858,2.21060695,1.42595262,1.42459091
-5.28564282,3.95540926,0.65627044,0.00887929,0.03695339,2.32957065,1.50751727,1.50282127
-5.27963982,4.15428786,0.68709591,0.00930825,0.03868694,2.45925260,1.59667751,1.58820925
-5.27363682,4.36730433,0.72018337,0.00977292,0.04047266,2.59823750,1.69243815,1.67982056
-5.26763382,4.59201140,0.75516819,0.01026838,0.04229154,2.74492582,1.79366464,1.77660200
-5.26163082,4.82568836,0.79163938,0.01078918,0.04412246,2.89754929,1.89909535,1.87739194
-5.25562781,5.06537601,0.82914480,0.01132934,0.04594252,3.05419252,2.00735836,1.98093406
-5.24962481,5.30792090,0.86719775,0.01188252,0.04772751,3.21282042,2.11699272,2.08589460
-5.24362181,5.55002799,0.90528453,0.01244202,0.04945255,3.37131109,2.22647372,2.19088278
-5.23761881,5.78832060,0.94287305,0.01300094,0.05109267,3.52749348,2.33424160,2.29447388
-5.23161581,6.01940615,0.97942242,0.01355226,0.05262354,3.67918855,2.43873300,2.39523474
-5.22561281,6.23994572,1.01439316,0.01408898,0.05402222,3.82425310,2.53841400,2.49175078
