energy_ev,total_up,In_p_up,In_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,3.58541397,0.34773461,0.01143948,1.33866985,1.17661658,1.51027895,0.00000000
-5.99399700,3.62249152,0.35321919,0.01164297,1.38232134,1.16910510,1.53338010,0.00000000
-5.98799400,3.66490606,0.35823162,0.01184493,1.42885142,1.16430796,1.55868702,0.00000000
-5.98199100,3.71021160,0.36255231,0.01203674,1.47700611,1.16166830,1.58506277,0.00000000
-5.97598799,3.75576255,0.36596642,0.01220960,1.52542113,1.16053766,1.61130176,0.00000000
-5.96998499,3.79881325,0.36827234,0.01235481,1.57266504,1.16020522,1.63617140,0.00000000
-5.96398199,3.83662154,0.36928966,0.01246418,1.61728543,1.15992940,1.65845506,0.00000000
-5.95797899,3.86655200,0.36886649,0.01253027,1.65785631,1.15897055,1.67699458,0.00000000
-5.95197599,3.88617477,0.36688578,0.01254677,1.69302511,1.15662321,1.69073075,0.00000000
-5.94597299,3.89335575,0.36327021,0.01250866,1.72155733,1.15224659,1.69874012,0.00000000
-5.93996998,3.88633470,0.35798558,0.01241245,1.74237724,1.14529178,1.70026685,0.00000000
-5.93396698,3.86378808,0.35104251,0.01225627,1.75460288,1.13532476,1.69474818,0.00000000
-5.92796398,3.82487436,0.34249636,0.01203996,1.75757408,1.12204413,1.68183269,0.00000000
-5.92196098,3.76926016,0.33244546,0.01176503,1.75087251,1.10529291,1.66139069,0.00000000
-5.91595798,3.69712658,0.32102776,0.01143462,1.73433273,1.08506400,1.63351627,0.00000000
-5.90995498,3.60915592,0.30841597,0.01105332,1.70804428,1.06149921,1.59852128,0.00000000
-5.90395198,3.50649988,0.29481164,0.01062705,1.67234451,1.03488213,1.55692127,0.00000000
-5.89794897,3.39073108,0.28043831,0.01016278,1.62780284,1.00562519,1.50941455,0.00000000
-5.89194597,3.26378043,0.26553409,0.00966830,1.57519718,0.97425176,1.45685488,0.00000000
-5.88594297,3.12786356,0.25034406,0.00915194,1.51548372,0.94137422,1.40021941,0.00000000
-5.87993997,2.98539965,0.23511275,0.00862230,1.44976150,0.90766914,1.34057314,0.00000000
-5.87393697,2.83892660,0.22007706,0.00808795,1.37923346,0.87385069,1.27903149,0.00000000
-5.86793397,2.69101610,0.20545983,0.00755723,1.30516563,0.84064374,1.21672253,0.00000000
-5.86193097,2.54419229,0.19146437,0.00703795,1.22884631,0.80875775,1.15475050,0.00000000
-5.85592796,2.40085742,0.17827005,0.00653727,1.15154691,0.77886277,1.09416209,0.00000000
-5.84992496,2.26322716,0.16602912,0.00606147,1.07448589,0.75156849,1.03591671,0.00000000
-5.84392196,2.13327805,0.15486475,0.00561593,0.99879728,0.72740734,0.98086187,0.00000000
-5.83791896,2.01270860,0.14487044,0.00520499,0.92550471,0.70682226,0.92971455,0.00000000
-5.83191596,1.90291507,0.13611050,0.00483197,0.85550163,0.69015963,0.88304891,0.00000000
-5.82591296,1.80498202,0.12862180,0.00449918,0.78953818,0.67766740,0.84129083,0.00000000
-5.81990995,1.71968729,0.12241638,0.00420801,0.72821470,0.66949854,0.80471885,0.00000000
-5.81390695,1.64752007,0.11748492,0.00395899,0.67198161,0.66571925,0.77347142,0.00000000
-5.80790395,1.58871047,0.11380086,0.00375192,0.62114507,0.66632144,0.74755960,0.00000000
