energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.08548453,0.02162978,0.03855978,0.28765536,0.47945077,0.29418817,0.00000000,0.28857886,0.10716818
-5.99399700,1.13566966,0.02269035,0.03773450,0.29174309,0.52577024,0.30262114,0.00000000,0.28608874,0.10662790
-5.98799400,1.19277312,0.02396284,0.03708634,0.29773524,0.57550339,0.31276894,0.00000000,0.28520182,0.10672827
-5.98199100,1.25650421,0.02545926,0.03661540,0.30567426,0.62831120,0.32456953,0.00000000,0.28593814,0.10750069
-5.97598799,1.32635726,0.02718828,0.03631413,0.31554898,0.68375233,0.33790216,0.00000000,0.28826120,0.10895770
-5.96998499,1.40162020,0.02915494,0.03616788,0.32729545,0.74128763,0.35259009,0.00000000,0.29208076,0.11109319
-5.96398199,1.48139049,0.03136041,0.03615571,0.34079951,0.80028846,0.36840542,0.00000000,0.29725733,0.11388330
-5.95797899,1.56459819,0.03380186,0.03625147,0.35590069,0.86004887,0.38507568,0.00000000,0.30360838,0.11728779
-5.95197599,1.65003510,0.03647232,0.03642494,0.37239730,0.91980127,0.40229201,0.00000000,0.31091559,0.12125191
-5.94597299,1.73638907,0.03936063,0.03664322,0.39005263,0.97873525,0.41971873,0.00000000,0.31893318,0.12570848
-5.93996998,1.82228212,0.04245143,0.03687211,0.40860168,1.03601890,0.43700364,0.00000000,0.32739669,0.13058027
-5.93396698,1.90631093,0.04572518,0.03707747,0.42775847,1.09082197,0.45378901,0.00000000,0.33603199,0.13578247
-5.92796398,1.98708835,0.04915827,0.03722656,0.44722350,1.14234008,0.46972251,0.00000000,0.34456415,0.14122511
-5.92196098,2.06328415,0.05272309,0.03728929,0.46669114,1.18981889,0.48446801,0.00000000,0.35272584,0.14681544
-5.91595798,2.13366382,0.05638827,0.03723929,0.48585689,1.23257759,0.49771556,0.00000000,0.36026495,0.15246016
-5.90995498,2.19712382,0.06011893,0.03705476,0.50442417,1.27003050,0.50919041,0.00000000,0.36695131,0.15806737
-5.90395198,2.25272233,0.06387700,0.03671916,0.52211060,1.30170616,0.51866078,0.00000000,0.37258221,0.16354840
-5.89794897,2.29970429,0.06762163,0.03622165,0.53865373,1.32726298,0.52594396,0.00000000,0.37698672,0.16881924
-5.89194597,2.33752028,0.07130977,0.03555723,0.55381608,1.34650092,0.53091090,0.00000000,0.38002867,0.17380181
-5.88594297,2.36583869,0.07489674,0.03472676,0.56738948,1.35936871,0.53348883,0.00000000,0.38160844,0.17842498
-5.87993997,2.38455099,0.07833703,0.03373662,0.57919880,1.36596636,0.53366233,0.00000000,0.38166340,0.18262534
