energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,8.37485995,2.10412084,0.77825718,0.01370062,0.98177674,2.70485740,3.79860836,0.07287208,2.60273369
-5.99399700,8.46714113,2.10553205,0.78161101,0.01398113,0.98792933,2.73694244,3.85615782,0.07362868,2.62574218
-5.98799400,8.55575352,2.10655377,0.78446735,0.01423835,0.99335369,2.76675215,3.91306417,0.07423886,2.64762339
-5.98199100,8.63959624,2.10719367,0.78682516,0.01446889,0.99792510,2.79396896,3.96864914,0.07469520,2.66815499
-5.97598799,8.71747665,2.10743971,0.78867595,0.01466968,1.00150656,2.81824637,4.02217916,0.07499092,2.68709665
-5.96998499,8.78814750,2.10726156,0.79000402,0.01483800,1.00395467,2.83922017,4.07288622,0.07512005,2.70419750
-5.96398199,8.85035140,2.10661439,0.79078753,0.01497159,1.00512655,2.85652343,4.11999163,0.07507773,2.71920581
-5.95797899,8.90287029,2.10544467,0.79100018,0.01506868,1.00488730,2.86980427,4.16273173,0.07486046,2.73188008
-5.95197599,8.94457717,2.10369760,0.79061355,0.01512808,1.00311757,2.87874538,4.20038404,0.07446644,2.74200112
-5.94597299,8.97448702,2.10132563,0.78959973,0.01514925,0.99972072,2.88308376,4.23229254,0.07389591,2.74938430
-5.93996998,8.99180405,2.09829733,0.78793433,0.01513236,0.99462918,2.88262958,4.25789099,0.07315138,2.75389123
-5.93396698,8.99596264,2.09460612,0.78559946,0.01507835,0.98780955,2.87728276,4.27672280,0.07223791,2.75544004
-5.92796398,8.98665964,2.09027810,0.78258650,0.01498893,0.97926634,2.86704628,4.28845701,0.07116323,2.75401376
-5.92196098,8.96387635,2.08537842,0.77889867,0.01486660,0.96904385,2.85203519,4.29289933,0.06993785,2.74966603
-5.91595798,8.92788905,2.08001561,0.77455290,0.01471462,0.95722648,2.83248105,4.28999806,0.06857496,2.74252385
-5.90995498,8.87926779,2.07434355,0.76958117,0.01453697,0.94393723,2.80873127,4.27984489,0.06709029,2.73278716
-5.90395198,8.81886361,2.06856093,0.76403106,0.01433832,0.92933469,2.78124378,4.26267064,0.06550185,2.72072509
-5.89794897,8.74778544,2.06290788,0.75796545,0.01412387,0.91360873,2.75057719,4.23883653,0.06382956,2.70666927
-5.89194597,8.66736806,2.05766016,0.75146145,0.01389931,0.89697521,2.71737739,4.20882172,0.06209479,2.69100435
-5.88594297,8.57913311,2.05312104,0.74460850,0.01367065,0.87967002,2.68236141,4.17320790,0.06031988,2.67415641
-5.87993997,8.48474570,2.04961125,0.73750583,0.01344413,0.86194286,2.64629961,4.13266192,0.05852761,2.65657992
-5.87393697,8.38596864,2.04745758,0.73025930,0.01322606,0.84405109,2.60999720,4.08791734,0.05674066,2.63874383
-5.86793397,8.28461686,2.04698067,0.72297782,0.01302269,0.82625396,2.57427626,4.03975595,0.05498113,2.62111770
-5.86193097,8.18251406,2.04848265,0.71576957,0.01284006,0.80880747,2.53995897,3.98898990,0.05327005,2.60415844
-5.85592796,8.08145311,2.05223516,0.70873806,0.01268394,0.79195993,2.50785272,3.93644512,0.05162705,2.58829841
-5.84992496,7.98316167,2.05846834,0.70197833,0.01255966,0.77594845,2.47873757,3.88294653,0.05007008,2.57393522
-5.84392196,7.88927347,2.06736127,0.69557349,0.01247203,0.76099621,2.45335604,3.82930511,0.04861517,2.56142365
-5.83791896,7.80130567,2.07903411,0.68959153,0.01242531,0.74731047,2.43240517,3.77630710,0.04727639,2.55106991
-5.83191596,7.72064175,2.09354234,0.68408283,0.01242312,0.73508111,2.41653035,3.72470496,0.04606583,2.54312801
-5.82591296,7.64851932,2.11087295,0.67907819,0.01246839,0.72447959,2.40632038,3.67521004,0.04499367,2.53779836
