energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Si_p_up,Si_p_down,Si_d_up,Si_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.59013311,-1.59013806,0.56277849,-0.56278153,0.20110261,-0.20110298,0.18970043,-0.18970264,0.00000000,-0.00000000,0.88805118,-0.88805239,0.00000000,-0.00000000
-5.99399700,1.56904606,-1.56905008,0.55398697,-0.55398962,0.19845919,-0.19845939,0.18263487,-0.18263696,0.00000000,-0.00000000,0.88104827,-0.88104900,0.00000000,-0.00000000
-5.98799400,1.55235879,-1.55236183,0.54692972,-0.54693195,0.19661089,-0.19661092,0.17624199,-0.17624393,0.00000000,-0.00000000,0.87614476,-0.87614501,0.00000000,-0.00000000
-5.98199100,1.54032091,-1.54032297,0.54170849,-0.54171030,0.19559017,-0.19559002,0.17063340,-0.17063517,0.00000000,-0.00000000,0.87338713,-0.87338693,0.00000000,-0.00000000
-5.97598799,1.53300226,-1.53300340,0.53835095,-0.53835236,0.19540849,-0.19540819,0.16590669,-0.16590827,0.00000000,-0.00000000,0.87271224,-0.87271165,0.00000000,-0.00000000
-5.96998499,1.53029866,-1.53029897,0.53681372,-0.53681478,0.19605734,-0.19605688,0.16214416,-0.16214553,0.00000000,-0.00000000,0.87395272,-0.87395182,0.00000000,-0.00000000
-5.96398199,1.53194438,-1.53194401,0.53698815,-0.53698891,0.19750982,-0.19750923,0.15941194,-0.15941308,0.00000000,-0.00000000,0.87684685,-0.87684576,0.00000000,-0.00000000
-5.95797899,1.53753080,-1.53752991,0.53870853,-0.53870905,0.19972296,-0.19972224,0.15775953,-0.15776044,0.00000000,-0.00000000,0.88105223,-0.88105108,0.00000000,-0.00000000
-5.95197599,1.54653019,-1.54652897,0.54176225,-0.54176261,0.20264035,-0.20263953,0.15721982,-0.15722050,0.00000000,-0.00000000,0.88616273,-0.88616165,0.00000000,-0.00000000
-5.94597299,1.55832342,-1.55832207,0.54590141,-0.54590170,0.20619521,-0.20619431,0.15780944,-0.15780988,0.00000000,-0.00000000,0.89172766,-0.89172680,0.00000000,-0.00000000
-5.93996998,1.57223035,-1.57222908,0.55085529,-0.55085558,0.21031368,-0.21031273,0.15952952,-0.15952973,0.00000000,-0.00000000,0.89727248,-0.89727197,0.00000000,-0.00000000
-5.93396698,1.58754156,-1.58754055,0.55634306,-0.55634343,0.21491818,-0.21491719,0.16236689,-0.16236687,0.00000000,-0.00000000,0.90231989,-0.90231987,0.00000000,-0.00000000
-5.92796398,1.60354992,-1.60354934,0.56208629,-0.56208681,0.21993075,-0.21992974,0.16629550,-0.16629526,0.00000000,-0.00000000,0.90641058,-0.90641116,0.00000000,-0.00000000
-5.92196098,1.61958096,-1.61958097,0.56782069,-0.56782142,0.22527624,-0.22527523,0.17127821,-0.17127776,0.00000000,-0.00000000,0.90912256,-0.90912384,0.00000000,-0.00000000
-5.91595798,1.63502068,-1.63502140,0.57330666,-0.57330764,0.23088533,-0.23088433,0.17726882,-0.17726815,0.00000000,-0.00000000,0.91008842,-0.91009046,0.00000000,-0.00000000
-5.90995498,1.64933992,-1.64934141,0.57833829,-0.57833956,0.23669708,-0.23669610,0.18421423,-0.18421337,0.00000000,-0.00000000,0.90900989,-0.90901274,0.00000000,-0.00000000
-5.90395198,1.66211442,-1.66211672,0.58275067,-0.58275223,0.24266119,-0.24266023,0.19205681,-0.19205576,0.00000000,-0.00000000,0.90566914,-0.90567280,0.00000000,-0.00000000
-5.89794897,1.67304014,-1.67304324,0.58642513,-0.58642699,0.24873972,-0.24873878,0.20073676,-0.20073553,0.00000000,-0.00000000,0.89993651,-0.89994097,0.00000000,-0.00000000
-5.89194597,1.68194329,-1.68194712,0.58929263,-0.58929477,0.25490830,-0.25490738,0.21019445,-0.21019305,0.00000000,-0.00000000,0.89177465,-0.89177986,0.00000000,-0.00000000
-5.88594297,1.68878500,-1.68878948,0.59133507,-0.59133744,0.26115684,-0.26115592,0.22037267,-0.22037110,0.00000000,-0.00000000,0.88123885,-0.88124473,0.00000000,-0.00000000
-5.87993997,1.69366073,-1.69366572,0.59258466,-0.59258723,0.26748958,-0.26748865,0.23121856,-0.23121684,0.00000000,-0.00000000,0.86847397,-0.86848041,0.00000000,-0.00000000
-5.87393697,1.69679441,-1.69679974,0.59312163,-0.59312433,0.27392466,-0.27392368,0.24268535,-0.24268347,0.00000000,-0.00000000,0.85370799,-0.85371487,0.00000000,-0.00000000
-5.86793397,1.69852783,-1.69853332,0.59307020,-0.59307295,0.28049300,-0.28049198,0.25473350,-0.25473147,0.00000000,-0.00000000,0.83724286,-0.83725004,0.00000000,-0.00000000
-5.86193097,1.69930566,-1.69931108,0.59259315,-0.59259588,0.28723677,-0.28723566,0.26733144,-0.26732926,0.00000000,-0.00000000,0.81944282,-0.81945015,0.00000000,-0.00000000
-5.85592796,1.69965647,-1.69966160,0.59188526,-0.59188788,0.29420707,-0.29420586,0.28045555,-0.28045323,0.00000000,-0.00000000,0.80072089,-0.80072821,0.00000000,-0.00000000
-5.84992496,1.70017059,-1.70017521,0.59116556,-0.59116799,0.30146134,-0.30145999,0.29408952,-0.29408705,0.00000000,-0.00000000,0.78152396,-0.78153110,0.00000000,-0.00000000
-5.84392196,1.70147528,-1.70147916,0.59066889,-0.59067104,0.30906007,-0.30905856,0.30822290,-0.30822026,0.00000000,-0.00000000,0.76231702,-0.76232382,0.00000000,-0.00000000
-5.83791896,1.70420796,-1.70421088,0.59063675,-0.59063855,0.31706322,-0.31706152,0.32284887,-0.32284608,0.00000000,-0.00000000,0.74356709,-0.74357342,0.00000000,-0.00000000
-5.83191596,1.70898826,-1.70899003,0.59130779,-0.59130916,0.32552627,-0.32552437,0.33796137,-0.33795842,0.00000000,-0.00000000,0.72572733,-0.72573304,0.00000000,-0.00000000
-5.82591296,1.71638972,-1.71639018,0.59290805,-0.59290893,0.33449606,-0.33449394,0.35355146,-0.35354835,0.00000000,-0.00000000,0.70922166,-0.70922664,0.00000000,-0.00000000
-5.81990995,1.72691199,-1.72691101,0.59564124,-0.59564157,0.34400650,-0.34400414,0.36960325,-0.36959999,0.00000000,-0.00000000,0.69443055,-0.69443471,0.00000000,-0.00000000
-5.81390695,1.74095442,-1.74095191,0.59967929,-0.59967904,0.35407443,-0.35407183,0.38608948,-0.38608606,0.00000000,-0.00000000,0.68167820,-0.68168146,0.00000000,-0.00000000
-5.80790395,1.75879202,-1.75878793,0.60515345,-0.60515259,0.36469573,-0.36469288,0.40296700,-0.40296344,0.00000000,-0.00000000,0.67122145,-0.67122377,0.00000000,-0.00000000
-5.80190095,1.78055477,-1.78054910,0.61214624,-0.61214477,0.37584188,-0.37583881,0.42017244,-0.42016874,0.00000000,-0.00000000,0.66324088,-0.66324225,0.00000000,-0.00000000
-5.79589795,1.80621126,-1.80620406,0.62068457,-0.62068250,0.38745730,-0.38745401,0.43761838,-0.43761457,0.00000000,-0.00000000,0.65783424,-0.65783465,0.00000000,-0.00000000
-5.78989495,1.83555752,-1.83554890,0.63073437,-0.63073173,0.39945751,-0.39945403,0.45519031,-0.45518642,0.00000000,-0.00000000,0.65501242,-0.65501193,0.00000000,-0.00000000
-5.78389195,1.86821187,-1.86820199,0.64219703,-0.64219387,0.41172848,-0.41172484,0.47274464,-0.47274070,0.00000000,-0.00000000,0.65469836,-0.65469701,0.00000000,-0.00000000
-5.77788894,1.90361648,-1.90360554,0.65490799,-0.65490437,0.42412721,-0.42412346,0.49010811,-0.49010415,0.00000000,-0.00000000,0.65672861,-0.65672651,0.00000000,-0.00000000
-5.77188594,1.94104599,-1.94103424,0.66863765,-0.66863366,0.43648375,-0.43647994,0.50707872,-0.50707480,0.00000000,-0.00000000,0.66085803,-0.66085528,0.00000000,-0.00000000
-5.76588294,1.97962344,-1.97961116,0.68309491,-0.68309064,0.44860463,-0.44860081,0.52342837,-0.52342454,0.00000000,-0.00000000,0.66676715,-0.66676388,0.00000000,-0.00000000
-5.75987994,2.01834322,-2.01833074,0.69793324,-0.69792880,0.46027769,-0.46027394,0.53890724,-0.53890355,0.00000000,-0.00000000,0.67407237,-0.67406874,0.00000000,-0.00000000
-5.75387694,2.05610072,-2.05608838,0.71275938,-0.71275490,0.47127835,-0.47127472,0.55324984,-0.55324637,0.00000000,-0.00000000,0.68233851,-0.68233466,0.00000000,-0.00000000
-5.74787394,2.09172762,-2.09171576,0.72714448,-0.72714008,0.48137686,-0.48137342,0.56618258,-0.56617938,0.00000000,-0.00000000,0.69109343,-0.69108954,0.00000000,-0.00000000
-5.74187094,2.12403175,-2.12402072,0.74063727,-0.74063308,0.49034654,-0.49034335,0.57743258,-0.57742972,0.00000000,-0.00000000,0.69984432,-0.69984054,0.00000000,-0.00000000
-5.73586793,2.15183994,-2.15183010,0.75277896,-0.75277511,0.49797250,-0.49796964,0.58673737,-0.58673491,0.00000000,-0.00000000,0.70809491,-0.70809140,0.00000000,-0.00000000
-5.72986493,2.17404216,-2.17403382,0.76311929,-0.76311590,0.50406050,-0.50405802,0.59385507,-0.59385307,0.00000000,-0.00000000,0.71536317,-0.71536009,0.00000000,-0.00000000
-5.72386193,2.18963498,-2.18962844,0.77123297,-0.77123016,0.50844552,-0.50844347,0.59857449,-0.59857300,0.00000000,-0.00000000,0.72119871,-0.72119620,0.00000000,-0.00000000
