energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-6.00000000,5.52966311,1.30300723,3.19303669,0.00950798,0.36061808,1.17466912,0.80285122,0.00642878,1.05363223
-5.99399700,5.33638836,1.25914232,3.07928762,0.00915265,0.34317696,1.15349060,0.77448523,0.00646555,1.02032760
-5.98799400,5.13572338,1.21273667,2.96171791,0.00877915,0.32519022,1.12944879,0.74508563,0.00649997,0.98540098
-5.98199100,4.92939318,1.16420569,2.84142427,0.00838982,0.30685267,1.10274369,0.71484738,0.00652820,0.94910234
-5.97598799,4.71920547,1.11399905,2.71953554,0.00798757,0.28835806,1.07361957,0.68398221,0.00654661,0.91170557
-5.96998499,4.50700021,1.06258571,2.59718422,0.00757573,0.26989421,1.04235513,0.65271197,0.00655191,0.87349916
-5.96398199,4.29460203,1.01043940,2.47548020,0.00715788,0.25163860,1.00925354,0.62126198,0.00654118,0.83477705
-5.95797899,4.08377756,0.95802521,2.35548786,0.00673775,0.23375455,0.97463278,0.58985492,0.00651205,0.79583016
-5.95197599,3.87619945,0.90578793,2.23820728,0.00631903,0.21638810,0.93881693,0.55870525,0.00646269,0.75693903
-5.94597299,3.67341784,0.85414224,2.12456017,0.00590529,0.19966585,0.90212845,0.52801459,0.00639190,0.71836760
-5.93996998,3.47684000,0.80346533,2.01538018,0.00549986,0.18369345,0.86488181,0.49796813,0.00629919,0.68035859
-5.93396698,3.28771753,0.75409174,1.91140774,0.00510573,0.16855512,0.82737842,0.46873202,0.00618473,0.64313023
-5.92796398,3.10714062,0.70631043,1.81328836,0.00472554,0.15431379,0.78990298,0.44045184,0.00604940,0.60687441
-5.92196098,2.93603818,0.66036395,1.72157404,0.00436148,0.14101203,0.75272086,0.41325191,0.00589475,0.57175609
-5.91595798,2.77518231,0.61644924,1.63672645,0.00401535,0.12867348,0.71607664,0.38723551,0.00572296,0.53791377
-5.90995498,2.62519586,0.57471995,1.55912123,0.00368850,0.11730468,0.68019321,0.36248558,0.00553678,0.50546069
-5.90395198,2.48656127,0.53528957,1.48905242,0.00338188,0.10689727,0.64527155,0.33906596,0.00533941,0.47448664
-5.89794897,2.35962965,0.49823533,1.42673621,0.00309610,0.09743024,0.61149064,0.31702285,0.00513443,0.44506006
-5.89194597,2.24462892,0.46360219,1.37231360,0.00283140,0.08887225,0.57900752,0.29638638,0.00492568,0.41723018
-5.88594297,2.14167028,0.43140688,1.32585165,0.00258777,0.08118385,0.54795718,0.27717219,0.00471713,0.39102912
-5.87993997,2.05075272,0.40164156,1.28734310,0.00236495,0.07431951,0.51845237,0.25938286,0.00451274,0.36647378
-5.87393697,1.97176553,0.37427711,1.25670486,0.00216247,0.06822941,0.49058314,0.24300927,0.00431634,0.34356741
-5.86793397,1.90448920,0.34926578,1.23377545,0.00197972,0.06286104,0.46441627,0.22803168,0.00413151,0.32230094
-5.86193097,1.84859528,0.32654343,1.21831226,0.00181597,0.05816036,0.43999459,0.21442071,0.00396147,0.30265399
-5.85592796,1.80364614,0.30603117,1.20998902,0.00167040,0.05407288,0.41733644,0.20213824,0.00380896,0.28459574
-5.84992496,1.76909530,0.28763669,1.20839449,0.00154209,0.05054435,0.39643530,0.19113818,0.00367616,0.26808559
