energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up
-6.00000000,5.79846170,0.05251959,0.85924404,1.30559628,1.90483373,0.83113958,0.60150856,0.07775607,1.94743373
-5.99399700,5.78632266,0.05231950,0.85956792,1.31020279,1.91672787,0.81388304,0.59711666,0.07788404,1.93549514
-5.98799400,5.79724171,0.05240091,0.86266894,1.32075693,1.93594712,0.80073909,0.59575180,0.07835989,1.93176695
-5.98199100,5.83055333,0.05275540,0.86847648,1.33721389,1.96234809,0.79163420,0.59726309,0.07915828,1.93596099
-5.97598799,5.88507503,0.05336937,0.87686895,1.35941480,1.99563344,0.78641373,0.60143083,0.08024409,1.94758905
-5.96998499,5.95913185,0.05422414,0.88767417,1.38708643,2.03535290,0.78484830,0.60797417,0.08157330,1.96597699
-5.96398199,6.05059412,0.05529625,0.90067080,1.41984348,2.08090770,0.78664176,0.61656056,0.08309432,1.99028469
-5.95797899,6.15692768,0.05655787,0.91559063,1.45719365,2.13155866,0.79144058,0.62681671,0.08474950,2.01953106
-5.95197599,6.27525529,0.05797731,0.93212197,1.49854539,2.18643799,0.79884423,0.63834062,0.08647696,2.05262325
-5.94597299,6.40242773,0.05951972,0.94991421,1.54321838,2.24456460,0.80841636,0.65071428,0.08821246,2.08838911
-5.93996998,6.53510250,0.06114784,0.96858338,1.59045650,2.30486294,0.81969652,0.66351662,0.08989150,2.12561183
-5.93396698,6.66982797,0.06282288,0.98771905,1.63944319,2.36618498,0.83221195,0.67633610,0.09145132,2.16306528
-5.92796398,6.80313045,0.06450538,1.00689213,1.68931865,2.42733485,0.84548922,0.68878262,0.09283292,2.19954914
-5.92196098,6.93160138,0.06615619,1.02566373,1.73919853,2.48709562,0.85906541,0.70049832,0.09398291,2.23392218
-5.91595798,7.05198202,0.06773736,1.04359466,1.78819364,2.54425760,0.87249843,0.71116670,0.09485509,2.26513281
-5.90995498,7.16124291,0.06921309,1.06025552,1.83542995,2.59764713,0.88537635,0.72052001,0.09541188,2.29224569
-5.90395198,7.25665544,0.07055051,1.07523688,1.88006835,2.64615519,0.89732536,0.72834441,0.09562528,2.31446350
-5.89794897,7.33585333,0.07172043,1.08815934,1.92132351,2.68876470,0.90801632,0.73448302,0.09547759,2.33114330
-5.89194597,7.39688204,0.07269797,1.09868304,1.95848109,2.72457563,0.91716956,0.73883657,0.09496166,2.34180704
-5.88594297,7.43823463,0.07346299,1.10651618,1.99091298,2.75282708,0.92455811,0.74136188,0.09408081,2.34614594
-5.87993997,7.45887307,0.07400044,1.11142235,2.01808971,2.77291523,0.93000908,0.74206831,0.09284840,2.34401903
-5.87393697,7.45823477,0.07430051,1.11322612,2.03958997,2.78440675,0.93340343,0.74101237,0.09128695,2.33544603
-5.86793397,7.43622435,0.07435865,1.11181691,2.05510674,2.78704698,0.93467415,0.73829087,0.08942714,2.32059535
-5.86193097,7.39319162,0.07417538,1.10715064,2.06444999,2.78076259,0.93380304,0.73403301,0.08730640,2.29976777
-5.85592796,7.32989693,0.07375601,1.09924946,2.06754592,2.76565863,0.93081625,0.72839177,0.08496749,2.27337687
-5.84992496,7.24746597,0.07311023,1.08819912,2.06443298,2.74201015,0.92577889,0.72153509,0.08245681,2.24192725
-5.84392196,7.14733588,0.07225156,1.07414454,2.05525480,2.71024879,0.91878900,0.71363732,0.07982284,2.20599142
-5.83791896,7.03119539,0.07119677,1.05728347,2.04025065,2.67094492,0.90997104,0.70487117,0.07711446,2.16618660
-5.83191596,6.90092150,0.06996520,1.03785871,2.01974372,2.62478626,0.89946928,0.69540072,0.07437948,2.12315222
-5.82591296,6.75851529,0.06857808,1.01614915,1.99412800,2.57255379,0.88744136,0.68537556,0.07166324,2.07752908
-5.81990995,6.60603943,0.06705784,0.99246016,1.96385414,2.51509617,0.87405218,0.67492645,0.06900742,2.02994089
-5.81390695,6.44555966,0.06542744,0.96711367,1.92941509,2.45330364,0.85946837,0.66416247,0.06644910,1.98097858
-5.80790395,6.27909219,0.06370976,0.94043837,1.89133195,2.38808263,0.84385349,0.65316977,0.06402000,1.93118789
-5.80190095,6.10855864,0.06192705,0.91276058,1.85014062,2.32033198,0.82736407,0.64201179,0.06174598,1.88106035
-5.79589795,5.93574953,0.06010043,0.88439595,1.80637965,2.25092163,0.81014650,0.63073091,0.05964687,1.83102756
-5.78989495,5.76229719,0.05824953,0.85564245,1.76057958,2.18067466,0.79233489,0.61935127,0.05773640,1.78145871
-5.78389195,5.58965790,0.05639219,0.82677478,1.71325412,2.11035287,0.77404977,0.60788249,0.05602242,1.73266103
-5.77788894,5.41910336,0.05454424,0.79804036,1.66489312,2.04064652,0.75539767,0.59632405,0.05450731,1.68488264
-5.77188594,5.25172055,0.05271948,0.76965693,1.61595749,1.97216801,0.73647135,0.58467005,0.05318851,1.63831752
-5.76588294,5.08841902,0.05092958,0.74181170,1.56687592,1.90544948,0.71735078,0.57291398,0.05205919,1.59311195
-5.75987994,4.92994447,0.04918423,0.71466192,1.51804321,1.84094389,0.69810454,0.56105328,0.05110901,1.54937206
-5.75387694,4.77689704,0.04749124,0.68833671,1.46982011,1.77902919,0.67879171,0.54909343,0.05032487,1.50717180
-5.74787394,4.62975289,0.04585676,0.66293983,1.42253427,1.72001480,0.65946392,0.53705136,0.04969177,1.46656113
-5.74187094,4.48888756,0.04428549,0.63855325,1.37648208,1.66414982,0.64016770,0.52495797,0.04919358,1.42757394
-5.73586793,4.35459978,0.04278099,0.61524101,1.33193117,1.61163224,0.62094675,0.51285981,0.04881377,1.39023532
-5.72986493,4.22713431,0.04134595,0.59305336,1.28912316,1.56261840,0.60184426,0.50081970,0.04853611,1.35456823
-5.72386193,4.10670295,0.03998239,0.57203067,1.24827659,1.51723222,0.58290504,0.48891639,0.04834527,1.32059906
-5.71785893,3.99350279,0.03869200,0.55220709,1.20958962,1.47557345,0.56417753,0.47724339,0.04822731,1.28836232
-5.71185593,3.88773112,0.03747634,0.53361358,1.17324248,1.43772475,0.54571546,0.46590690,0.04817008,1.25790430
-5.70585293,3.78959674,0.03633696,0.51628037,1.13939949,1.40375721,0.52757929,0.45502318,0.04816354,1.22928573
-5.69984992,3.69932753,0.03527565,0.50023864,1.10821051,1.37373418,0.50983723,0.44471542,0.04819990,1.20258353
-5.69384692,3.61717443,0.03429445,0.48552142,1.07981191,1.34771337,0.49256600,0.43511029,0.04827381,1.17789187
-5.68784392,3.54341213,0.03339572,0.47216381,1.05432687,1.32574747,0.47585111,0.42633445,0.04838231,1.15532241
-5.68184092,3.47833688,0.03258217,0.46020243,1.03186524,1.30788321,0.45978682,0.41851105,0.04852482,1.13500412
-5.67583792,3.42226195,0.03185676,0.44967442,1.01252284,1.29415949,0.44447568,0.41175661,0.04870303,1.11708251
-5.66983492,3.37551136,0.03122270,0.44061586,0.99638041,1.28460463,0.43002778,0.40617814,0.04892077,1.10171861
-5.66383192,3.33841246,0.03068330,0.43305997,0.98350221,1.27923317,0.41655956,0.40187097,0.04918379,1.08908762
-5.65782891,3.31128781,0.03024189,0.42703508,0.97393448,1.27804270,0.40419239,0.39891696,0.04949964,1.07937727
-5.65182591,3.29444695,0.02990167,0.42256264,0.96770380,1.28101078,0.39305087,0.39738352,0.04987738,1.07278600
