energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,6.55212336,0.02211900,0.97592679,4.92048480,2.46869034,0.03945548,2.42271743,1.28940598,0.76899599
-5.99399700,6.55904454,0.02240080,0.95969900,4.86662334,2.45815955,0.03930388,2.45420817,1.30329595,0.78603875
-5.98799400,6.58042361,0.02275934,0.94597212,4.82963939,2.45685164,0.03930554,2.48659685,1.31933077,0.80208373
-5.98199100,6.61620562,0.02318760,0.93478661,4.81011824,2.46475480,0.03946395,2.51973137,1.33736706,0.81701645
-5.97598799,6.66607409,0.02367636,0.92613893,4.80822061,2.48171394,0.03977978,2.55343589,1.35720760,0.83074616
-5.96998499,6.72943832,0.02421431,0.91997939,4.82367000,2.50742555,0.04025070,2.58750851,1.37860175,0.84320664
-5.96398199,6.80542793,0.02478836,0.91621122,4.85575491,2.54143606,0.04087127,2.62171975,1.40124762,0.85435627
-5.95797899,6.89289590,0.02538389,0.91469094,4.90334641,2.58314412,0.04163289,2.65581219,1.42479602,0.86417711
-5.95197599,6.99043083,0.02598525,0.91523019,4.96493080,2.63180712,0.04252389,2.68950149,1.44885633,0.87267334
-5.94597299,7.09637869,0.02657613,0.91759909,5.03865609,2.68655216,0.04352966,2.72247888,1.47300408,0.87986900
-5.93996998,7.20887396,0.02714011,0.92153098,5.12239076,2.74639131,0.04463297,2.75441538,1.49679034,0.88580525
-5.93396698,7.32587953,0.02766114,0.92672853,5.21379226,2.81024109,0.04581427,2.78496752,1.51975248,0.89053728
-5.92796398,7.44523393,0.02812403,0.93287103,5.31038248,2.87694541,0.04705219,2.81378452,1.54142603,0.89413111
-5.92196098,7.56470450,0.02851494,0.93962245,5.40962690,2.94530148,0.04832401,2.84051657,1.56135731,0.89666023
-5.91595798,7.68204417,0.02882180,0.94664011,5.50901403,3.01408773,0.04960626,2.86482394,1.57911626,0.89820240
-5.90995498,7.79504980,0.02903467,0.95358350,5.60613159,3.08209264,0.05087527,2.88638637,1.59430907,0.89883662
-5.90395198,7.90161929,0.02914601,0.96012296,5.69873644,3.14814354,0.05210781,2.90491241,1.60659007,0.89864034
-5.89794897,7.99980540,0.02915087,0.96594777,5.78481500,3.21113402,0.05328159,2.92014802,1.61567239,0.89768708
-5.89194597,8.08786365,0.02904700,0.97077346,5.86263219,3.27004920,0.05437587,2.93188425,1.62133705,0.89604440
-5.88594297,8.16429277,0.02883482,0.97434797,5.93076680,3.32398759,0.05537183,2.93996336,1.62344004,0.89377228
-5.87993997,8.22786586,0.02851736,0.97645645,5.98813263,3.37217898,0.05625300,2.94428331,1.62191713,0.89092202
-5.87393697,8.27765163,0.02810007,0.97692477,6.03398488,3.41399777,0.05700556,2.94480036,1.61678634,0.88753551
-5.86793397,8.31302511,0.02759055,0.97562144,6.06791270,3.44897136,0.05761846,2.94152973,1.60814793,0.88364510
-5.86193097,8.33366836,0.02699830,0.97245825,6.08981892,3.47678371,0.05808360,2.93454452,1.59618200,0.87927382
-5.85592796,8.33956174,0.02633429,0.96738956,6.09988914,3.49727419,0.05839576,2.92397297,1.58114392,0.87443618
-5.84992496,8.33096711,0.02561066,0.96041058,6.09855240,3.51043218,0.05855257,2.90999449,1.56335768,0.86913935
-5.84392196,8.30840460,0.02484032,0.95155475,6.08643641,3.51638813,0.05855435,2.89283469,1.54320763,0.86338478
-5.83791896,8.27262478,0.02403655,0.94089047,6.06432014,3.51540181,0.05840391,2.87275991,1.52112886,0.85717026
-5.83191596,8.22457810,0.02321268,0.92851756,6.03308665,3.50784852,0.05810632,2.85007153,1.49759667,0.85049215
-5.82591296,8.16538336,0.02238178,0.91456346,5.99367888,3.49420422,0.05766869,2.82510043,1.47311540,0.84334798
-5.81990995,8.09629692,0.02155636,0.89917954,5.94706058,3.47503015,0.05709991,2.79820183,1.44820705,0.83573904
-5.81390695,8.01868372,0.02074813,0.88253755,5.89418423,3.45095780,0.05641040,2.76975062,1.42339999,0.82767295
-5.80790395,7.93399112,0.01996786,0.86482632,5.83596695,3.42267452,0.05561192,2.74013726,1.39921802,0.81916608
-5.80190095,7.84372575,0.01922521,0.84624879,5.77327503,3.39091012,0.05471736,2.70976417,1.37617005,0.81024560
-5.79589795,7.74943344,0.01852867,0.82701928,5.70691674,3.35642462,0.05374062,2.67904248,1.35474048,0.80095106
-5.78989495,7.65268183,0.01788547,0.80736097,5.63764281,3.31999704,0.05269638,2.64838878,1.33538055,0.79133534
-5.78389195,7.55504474,0.01730160,0.78750347,5.56615314,3.28241494,0.05160009,2.61822189,1.31850066,0.78146485
-5.77788894,7.45808771,0.01678182,0.76768046,5.49310812,3.24446458,0.05046778,2.58895916,1.30446380,0.77141896
-5.77188594,7.36335345,0.01632969,0.74812718,5.41914274,3.20692119,0.04931597,2.56101215,1.29358013,0.76128859
-5.76588294,7.27234657,0.01594762,0.72907771,5.34488140,3.17053910,0.04816156,2.53478166,1.28610278,0.75117402
-5.75987994,7.18651672,0.01563695,0.71076213,5.27095155,3.13604148,0.04702172,2.51065193,1.28222492,0.74118195
-5.75387694,7.10723999,0.01539798,0.69340324,5.19799469,3.10410946,0.04591368,2.48898419,1.28207815,0.73142204
-5.74787394,7.03579827,0.01523010,0.67721314,5.12667322,3.07537076,0.04485460,2.47010967,1.28573227,0.72200302
-5.74187094,6.97335720,0.01513183,0.66238967,5.05767250,3.05038790,0.04386134,2.45432233,1.29319642,0.71302866
-5.73586793,6.92094315,0.01510089,0.64911259,4.99169775,3.02964631,0.04295023,2.44187182,1.30442163,0.70459372
-5.72986493,6.87942048,0.01513429,0.63754006,4.92946585,3.01354299,0.04213678,2.43295685,1.31930477,0.69678029
-5.72386193,6.84947012,0.01522844,0.62780514,4.87169285,3.00237600,0.04143546,2.42771959,1.33769363,0.68965458
-5.71785893,6.83157084,0.01537915,0.62001281,4.81907805,2.99633574,0.04085937,2.42624135,1.35939330,0.68326440
-5.71185593,6.82598451,0.01558182,0.61423747,4.77228594,2.99549840,0.04041998,2.42853991,1.38417326,0.67763752
-5.70585293,6.83274655,0.01583142,0.61052122,4.73192754,2.99982228,0.04012682,2.43456865,1.41177520,0.67278093
