energy_ev,total_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,2.78490453,0.49608032,0.43591048,0.05978801,0.38493972,0.14748163,0.00000000
-5.99399700,2.81212924,0.50261797,0.43487747,0.06161103,0.38592321,0.15319335,0.00000000
-5.98799400,2.83216509,0.50815961,0.43237294,0.06339951,0.38613938,0.15890960,0.00000000
-5.98199100,2.84559696,0.51279600,0.42853615,0.06515109,0.38565792,0.16462418,0.00000000
-5.97598799,2.85314611,0.51664400,0.42353932,0.06686348,0.38457866,0.17032705,0.00000000
-5.96998499,2.85563231,0.51983984,0.41758023,0.06853424,0.38302545,0.17600349,0.00000000
-5.96398199,2.85393486,0.52253204,0.41087431,0.07016068,0.38113936,0.18163353,0.00000000
-5.95797899,2.84895445,0.52487430,0.40364638,0.07173997,0.37907166,0.18719203,0.00000000
-5.95197599,2.84157783,0.52701880,0.39612254,0.07326950,0.37697688,0.19264910,0.00000000
-5.94597299,2.83264680,0.52911015,0.38852243,0.07474739,0.37500619,0.19797112,0.00000000
-5.93996998,2.82293276,0.53128022,0.38105236,0.07617328,0.37330143,0.20312221,0.00000000
-5.93396698,2.81311774,0.53364410,0.37389925,0.07754922,0.37198997,0.20806605,0.00000000
-5.92796398,2.80378219,0.53629722,0.36722586,0.07888082,0.37118054,0.21276799,0.00000000
-5.92196098,2.79539941,0.53931364,0.36116724,0.08017836,0.37096014,0.21719726,0.00000000
-5.91595798,2.78833622,0.54274557,0.35582844,0.08145803,0.37139208,0.22132922,0.00000000
-5.90995498,2.78285888,0.54662383,0.35128363,0.08274299,0.37251512,0.22514729,0.00000000
-5.90395198,2.77914311,0.55095921,0.34757629,0.08406438,0.37434355,0.22864463,0.00000000
-5.89794897,2.77728688,0.55574448,0.34472055,0.08546201,0.37686826,0.23182524,0.00000000
-5.89194597,2.77732450,0.56095674,0.34270342,0.08698475,0.38005850,0.23470445,0.00000000
-5.88594297,2.77924062,0.56656005,0.34148765,0.08869057,0.38386427,0.23730869,0.00000000
-5.87993997,2.78298274,0.57250785,0.34101512,0.09064601,0.38821897,0.23967450,0.00000000
-5.87393697,2.78847136,0.57874526,0.34121051,0.09292522,0.39304247,0.24184679,0.00000000
-5.86793397,2.79560681,0.58521084,0.34198496,0.09560846,0.39824403,0.24387644,0.00000000
-5.86193097,2.80427233,0.59183792,0.34323971,0.09878006,0.40372519,0.24581729,0.00000000
-5.85592796,2.81433343,0.59855530,0.34486939,0.10252584,0.40938249,0.24772268,0.00000000
-5.84992496,2.82563373,0.60528744,0.34676502,0.10693014,0.41510975,0.24964182,0.00000000
-5.84392196,2.83798776,0.61195415,0.34881653,0.11207243,0.42080009,0.25161607,0.00000000
-5.83791896,2.85117190,0.61846985,0.35091481,0.11802368,0.42634754,0.25367542,0.00000000
-5.83191596,2.86491420,0.62474276,0.35295339,0.12484257,0.43164830,0.25583535,0.00000000
-5.82591296,2.87888460,0.63067394,0.35482959,0.13257176,0.43660172,0.25809439,0.00000000
-5.81990995,2.89268662,0.63615664,0.35644549,0.14123421,0.44111106,0.26043233,0.00000000
-5.81390695,2.90585189,0.64107596,0.35770853,0.15083000,0.44508420,0.26280947,0.00000000
-5.80790395,2.91783842,0.64530916,0.35853210,0.16133349,0.44843426,0.26516680,0.00000000
-5.80190095,2.92803356,0.64872666,0.35883604,0.17269131,0.45108046,0.26742725,0.00000000
-5.79589795,2.93576227,0.65119388,0.35854719,0.18482104,0.45294908,0.26949793,0.00000000
-5.78989495,2.94030070,0.65257403,0.35760015,0.19761094,0.45397477,0.27127326,0.00000000
-5.78389195,2.94089510,0.65273162,0.35593816,0.21092067,0.45410220,0.27263900,0.00000000
-5.77788894,2.93678544,0.65153689,0.35351424,0.22458322,0.45328791,0.27347674,0.00000000
-5.77188594,2.92723290,0.64887071,0.35029245,0.23840784,0.45150260,0.27366886,0.00000000
-5.76588294,2.91154988,0.64462996,0.34624933,0.25218422,0.44873347,0.27310364,0.00000000
