energy_ev,total_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,7.01656809,0.03579908,0.88388839,2.33815917,2.69756358,0.04732317,3.18611189,0.78178911,0.17958439
-5.99399700,7.01220639,0.03421905,0.89408069,2.37160944,2.67757971,0.04746954,3.18703843,0.80797466,0.18080187
-5.98799400,7.01452556,0.03279829,0.90493869,2.40685661,2.65977451,0.04769510,3.19108679,0.83649171,0.18267833
-5.98199100,7.02290102,0.03153488,0.91624665,2.44321666,2.64437536,0.04798533,3.19793411,0.86658419,0.18512830
-5.97598799,7.03630328,0.03042256,0.92774977,2.47989569,2.63143925,0.04832192,3.20706755,0.89744686,0.18804889
-5.96998499,7.05330941,0.02945101,0.93915528,2.51600422,2.62084658,0.04868320,3.21779511,0.92824315,0.19132191
-5.96398199,7.07213555,0.02860635,0.95013613,2.55057757,2.61230389,0.04904462,3.22926586,0.95812522,0.19481672
-5.95797899,7.09069059,0.02787165,0.96033742,2.58260202,2.60535550,0.04937953,3.24049933,0.98625540,0.19839398
-5.95197599,7.10664933,0.02722768,0.96938548,2.61104598,2.59940387,0.04965998,3.25042287,1.01182879,0.20190992
-5.94597299,7.11754247,0.02665364,0.97689945,2.63489525,2.59373778,0.04985771,3.25791549,1.03409583,0.20522121
-5.93996998,7.12085927,0.02612802,0.98250472,2.65319078,2.58756679,0.04994519,3.26185616,1.05238431,0.20819012
-5.93396698,7.11415817,0.02562941,0.98584785,2.66506733,2.58006051,0.04989665,3.26117418,1.06611982,0.21068980
-5.92796398,7.09517960,0.02513732,0.98661196,2.66979110,2.57039033,0.04968911,3.25489918,1.07484367,0.21260950
-5.92196098,7.06195536,0.02463292,0.98453203,2.66679445,2.55777159,0.04930335,3.24220809,1.07822772,0.21385943
-5.91595798,7.01290852,0.02409972,0.97940900,2.65570584,2.54150376,0.04872469,3.22246679,1.07608520,0.21437499
-5.90995498,6.94693879,0.02352409,0.97112203,2.63637331,2.52100677,0.04794366,3.19526412,1.06837712,0.21412033
-5.90395198,6.86348866,0.02289567,0.95963809,2.60888017,2.49585132,0.04695652,3.16043665,1.05521394,0.21309088
-5.89794897,6.76258689,0.02220767,0.94501833,2.57355183,2.46578200,0.04576540,3.11808296,1.03685231,0.21131481
-5.89194597,6.64486714,0.02145692,0.92742069,2.53095335,2.43073195,0.04437838,3.06856674,1.01368702,0.20885329
-5.88594297,6.51156093,0.02064389,0.90709864,2.48187753,2.39082872,0.04280928,3.01250876,0.98623847,0.20579955
-5.87993997,6.36446544,0.01977247,0.88439589,2.42732398,2.34639125,0.04107719,2.95076823,0.95513614,0.20227665
-5.87393697,6.20588806,0.01884971,0.85973739,2.36847009,2.29791848,0.03920587,2.88441467,0.92109877,0.19843421
-5.86793397,6.03857062,0.01788541,0.83361679,2.30663505,2.24607050,0.03722299,2.81469177,0.88491195,0.19444392
-5.86193097,5.86559737,0.01689162,0.80658113,2.24323852,2.19164364,0.03515923,2.74297517,0.84740410,0.19049429
-5.85592796,5.69029097,0.01588218,0.77921322,2.17975563,2.13554084,0.03304731,2.67072623,0.80942167,0.18678459
-5.84992496,5.51610163,0.01487209,0.75211259,2.11767027,2.07873916,0.03092102,2.59944380,0.77180440,0.18351827
-5.84392196,5.34649414,0.01387699,0.72587575,2.05842843,2.02225584,0.02881423,2.53061617,0.73536163,0.18089612
-5.83791896,5.18483737,0.01291263,0.70107660,2.00339338,1.96711472,0.02675998,2.46567502,0.70085022,0.17910927
-5.83191596,5.03430054,0.01199434,0.67824775,1.95380425,1.91431426,0.02478965,2.40595298,0.66895478,0.17833246
-5.82591296,4.89775955,0.01113659,0.65786342,1.91073947,1.86479825,0.02293220,2.35264596,0.64027082,0.17871753
-5.81990995,4.77771617,0.01035259,0.64032453,1.87508599,1.81943008,0.02121363,2.30678145,0.61529093,0.18038766
-5.81390695,4.67623196,0.00965397,0.62594648,1.84751512,1.77897114,0.01965645,2.26919297,0.59439452,0.18343221
-5.80790395,4.59487790,0.00905049,0.61494994,1.82846549,1.74406345,0.01827944,2.24050116,0.57784100,0.18790263
-5.80190095,4.53470016,0.00854987,0.60745487,1.81813335,1.71521653,0.01709735,2.22110137,0.56576645,0.19380935
-5.79589795,4.49620160,0.00815764,0.60347786,1.81647000,1.69279831,0.01612090,2.21115740,0.55818379,0.20111998
-5.78989495,4.47933834,0.00787708,0.60293279,1.82318624,1.67702971,0.01535676,2.21060102,0.55498611,0.20975868
-5.78389195,4.48353006,0.00770916,0.60563460,1.83776335,1.66798231,0.01480763,2.21913675,0.55595303,0.21960690
-5.77788894,4.50768295,0.00765257,0.61130603,1.85946988,1.66557887,0.01447244,2.23625123,0.56075973,0.23050550
-5.77188594,4.55022358,0.00770381,0.61958695,1.88738377,1.66959620,0.01434650,2.26122687,0.56898845,0.24225806
-5.76588294,4.60914244,0.00785725,0.63004595,1.92041882,1.67966998,0.01442179,2.29315911,0.58014188,0.25463560
-5.75987994,4.68204570,0.00810527,0.64219372,1.95735494,1.69530152,0.01468715,2.33097690,0.59365828,0.26738224
-5.75387694,4.76621386,0.00843842,0.65549791,1.99687108,1.71586626,0.01512857,2.37346620,0.60892785,0.28022196
-5.74787394,4.85866612,0.00884561,0.66939879,2.03758021,1.74062408,0.01572946,2.41929602,0.62530983,0.29286607
-5.74187094,4.95622926,0.00931433,0.68332546,2.07806543,1.76873140,0.01647091,2.46704674,0.64215008,0.30502124
-5.73586793,5.05560991,0.00983091,0.69671195,2.11691622,1.79925543,0.01733195,2.51524050,0.65879850,0.31639779
-5.72986493,5.15346908,0.01038077,0.70901285,2.15276421,1.83119037,0.01828992,2.56237312,0.67462603,0.32671798
-5.72386193,5.24649755,0.01094874,0.71971807,2.18431734,1.86347592,0.01932071,2.60694720,0.68904058,0.33572409
-5.71785893,5.33149094,0.01151936,0.72836619,2.21039189,1.89501775,0.02039917,2.64750579,0.70150171,0.34318578
-5.71185593,5.40542283,0.01207726,0.73455622,2.22994134,1.92471002,0.02149947,2.68266603,0.71153339,0.34890675
-5.70585293,5.46551440,0.01260746,0.73795730,2.24208151,1.95145935,0.02259551,2.71115176,0.71873480,0.35273027
-5.69984992,5.50929897,0.01309573,0.73831628,2.24611129,1.97420995,0.02366142,2.73182458,0.72278867,0.35454338
-5.69384692,5.53467956,0.01352895,0.73546284,2.24152837,1.99196904,0.02467199,2.74371205,0.72346705,0.35427979
-5.68784392,5.53997798,0.01389539,0.72931219,2.22803974,2.00383201,0.02560320,2.74603245,0.72063443,0.35192114
-5.68184092,5.52397383,0.01418502,0.71986529,2.20556651,2.00900623,0.02643273,2.73821496,0.71424814,0.34749682
-5.67583792,5.48593199,0.01438975,0.70720666,2.17424310,2.00683269,0.02714045,2.71991461,0.70435617,0.34108225
-5.66983492,5.42561776,0.01450358,0.69149994,2.13441082,1.99680466,0.02770891,2.69102134,0.69109253,0.33279578
-5.66383192,5.34329873,0.01452278,0.67298135,2.08660613,1.97858240,0.02812374,2.65166258,0.67467050,0.32279439
-5.65782891,5.23973336,0.01444593,0.65195148,2.03154398,1.95200330,0.02837401,2.60219940,0.65537395,0.31126831
-5.65182591,5.11614631,0.01427390,0.62876546,1.97009681,1.91708700,0.02845252,2.54321592,0.63354724,0.29843490
-5.64582291,4.97419140,0.01400979,0.60382224,1.90326995,1.87403505,0.02835595,2.47550251,0.60958416,0.28453198
-5.63981991,4.81590332,0.01365879,0.57755294,1.83217425,1.82322520,0.02808493,2.40003324,0.58391611,0.26981090
-5.63381691,4.64363963,0.01322799,0.55040902,1.75799671,1.76520041,0.02764396,2.31793829,0.55700024,0.25452964
-5.62781391,4.46001532,0.01272611,0.52285045,1.68197029,1.70065304,0.02704130,2.23047245,0.52930770,0.23894617
-5.62181091,4.26783201,0.01216326,0.49533421,1.60534365,1.63040485,0.02628859,2.13898067,0.50131255,0.22331222
-5.61580790,4.07000444,0.01155059,0.46830366,1.52935181,1.55538378,0.02540057,2.04486219,0.47348154,0.20786780
-5.60980490,3.86948687,0.01090002,0.44217882,1.45518876,1.47659823,0.02439455,1.94953425,0.44626505,0.19283647
-5.60380190,3.66920198,0.01022389,0.41734801,1.38398255,1.39511021,0.02328989,1.85439703,0.42008941,0.17842148
-5.59779890,3.47197480,0.00953470,0.39416089,1.31677389,1.31200823,0.02210746,1.76080086,0.39535073,0.16480293
-5.59179590,3.28047383,0.00884480,0.37292315,1.25449848,1.22838108,0.02086902,1.67001695,0.37241025,0.15213583
-5.58579290,3.09716129,0.00816620,0.35389286,1.19797384,1.14529357,0.01959668,1.58321256,0.35159143,0.14054914
-5.57978989,2.92425399,0.00751035,0.33727859,1.14789063,1.06376487,0.01831234,1.50143153,0.33317845,0.13014569
-5.57378689,2.76369575,0.00688800,0.32323917,1.10480869,0.98475038,0.01703719,1.42558044,0.31741637,0.12100289
-5.56778389,2.61714191,0.00630911,0.31188507,1.06915767,0.90912734,0.01579132,1.35642090,0.30451260,0.11317413
-5.56178089,2.48595559,0.00578278,0.30328134,1.04124200,0.83768469,0.01459331,1.29456784,0.29463962,0.10669079
-5.55577789,2.37121540,0.00531722,0.29745172,1.02124983,0.77111692,0.01346005,1.24049342,0.28793883,0.10156466
-5.54977489,2.27373305,0.00491979,0.29438400,1.00926519,0.71002197,0.01240653,1.19453619,0.28452512,0.09779076
-5.54377189,2.19407956,0.00459703,0.29403610,1.00528291,0.65490262,0.01144574,1.15691448,0.28449219,0.09535031
-5.53776888,2.13261785,0.00435468,0.29634280,1.00922522,0.60617092,0.01058869,1.12774328,0.28791804,0.09421372
-5.53176588,2.08953961,0.00419779,0.30122267,1.02095936,0.56415491,0.00984446,1.10705321,0.29487059,0.09434367
-5.52576288,2.06490391,0.00413072,0.30858497,1.04031501,0.52910695,0.00922031,1.09481060,0.30541302,0.09569790
-5.51975988,2.05867521,0.00415721,0.31833624,1.06710095,0.50121280,0.00872184,1.09093726,0.31960846,0.09823180
-5.51375688,2.07075835,0.00428038,0.33038616,1.10111970,0.48060078,0.00835314,1.09532893,0.33752384,0.10190059
-5.50775388,2.10102846,0.00450277,0.34465253,1.14217971,0.46735023,0.00811702,1.10787114,0.35923244,0.10666118
-5.50175088,2.14935395,0.00482626,0.36106508,1.19010413,0.46149875,0.00801513,1.12845172,0.38481502,0.11247336
-5.49574787,2.21561123,0.00525203,0.37956794,1.24473600,0.46304762,0.00804819,1.15696909,0.41435926,0.11930063
-5.48974487,2.29969040,0.00578052,0.40012060,1.30593935,0.47196532,0.00821608,1.19333609,0.44795725,0.12711033
-5.48374187,2.40149144,0.00641127,0.42269735,1.37359630,0.48818874,0.00851798,1.23747893,0.48570112,0.13587331
-5.47773887,2.52091140,0.00714285,0.44728524,1.44760037,0.51162231,0.00895242,1.28933161,0.52767667,0.14556301
-5.47173587,2.65782313,0.00797273,0.47388057,1.52784622,0.54213519,0.00951736,1.34882596,0.57395526,0.15615408
-5.46573287,2.81204714,0.00889713,0.50248409,1.61421663,0.57955674,0.01021017,1.41587812,0.62458402,0.16762062
-5.45972986,2.98331817,0.00991097,0.53309527,1.70656738,0.62367095,0.01102763,1.49037229,0.67957497,0.17993413
-5.45372686,3.17124855,0.01100773,0.56570567,1.80471093,0.67421008,0.01196587,1.57214260,0.73889316,0.19306124
-5.44772386,3.37529076,0.01217944,0.60029207,1.90839979,0.73084841,0.01302033,1.66095449,0.80244476,0.20696146
-5.44172086,3.59470143,0.01341662,0.63680941,2.01731075,0.79319643,0.01418567,1.75648654,0.87006540,0.22158506
-5.43571786,3.82850917,0.01470833,0.67518416,2.13103063,0.86079624,0.01545569,1.85831409,0.94150960,0.23687117
-5.42971486,4.07548841,0.01604224,0.71530832,2.24904469,0.93311858,0.01682323,1.96589553,1.01644183,0.25274635
-5.42371186,4.33414115,0.01740475,0.75703449,2.37072820,1.00956204,0.01828013,2.07856239,1.09443005,0.26912366
-5.41770885,4.60268812,0.01878116,0.80017230,2.49534188,1.08945465,0.01981713,2.19551393,1.17494210,0.28590241
-5.41170585,4.87907050,0.02015590,0.84448634,2.62203159,1.17205819,0.02142380,2.31581667,1.25734560,0.30296863
-5.40570285,5.16096282,0.02151276,0.88969596,2.74983240,1.25657527,0.02308854,2.43840938,1.34091168,0.32019634
-5.39969985,5.44579712,0.02283523,0.93547690,2.87767718,1.34215912,0.02479853,2.56211350,1.42482279,0.33744950
-5.39369685,5.73079817,0.02410678,0.98146474,3.00440950,1.42792591,0.02653977,2.68564885,1.50818456,0.35458476
-5.38769385,6.01302872,0.02531121,1.02726035,3.12880048,1.51296931,0.02829708,2.80765425,1.59004170,0.37145484
-5.38169085,6.28944383,0.02643299,1.07243688,3.24956932,1.59637696,0.03005423,2.92671263,1.66939743,0.38791237
-5.37568784,6.55695248,0.02745760,1.11654837,3.36540677,1.67724829,0.03179405,3.04137959,1.74523612,0.40381411
-5.36968484,6.81248461,0.02837184,1.15913955,3.47500106,1.75471319,0.03349857,3.15021494,1.81654816,0.41902533
-5.36368184,7.05306171,0.02916410,1.19975661,3.57706547,1.82795092,0.03514926,3.25181576,1.88235654,0.43342419
-5.35767884,7.27586836,0.02982468,1.23795846,3.67036690,1.89620874,0.03672729,3.34485042,1.94174390,0.44690578
-5.35167584,7.47832270,0.03034596,1.27332820,3.75375448,1.95881951,0.03821385,3.42809198,1.99387923,0.45938584
-5.34567284,7.65814325,0.03072260,1.30548433,3.82618759,2.01521778,0.03959048,3.50045026,2.03804298,0.47080371
-5.33966983,7.81340997,0.03095164,1.33409134,3.88676232,2.06495373,0.04083949,3.56100117,2.07364984,0.48112459
-5.33366683,7.94261723,0.03103262,1.35886914,3.93473556,2.10770458,0.04194439,3.60901255,2.10026789,0.49034080
-5.32766383,8.04471686,0.03096758,1.37960113,3.96954591,2.14328277,0.04289027,3.64396537,2.11763371,0.49847203
-5.32166083,8.11914950,0.03076106,1.39614045,3.99083066,2.17164092,0.04366432,3.66556955,2.12566243,0.50556453
-5.31565783,8.16586289,0.03042002,1.40841420,3.99843810,2.19287290,0.04425619,3.67377382,2.12445263,0.51168929
-5.30965483,8.18531618,0.02995370,1.41642539,3.99243449,2.20721117,0.04465838,3.66876898,2.11428555,0.51693914
-5.30365183,8.17846972,0.02937355,1.42025250,3.97310548,2.21502023,0.04486659,3.65098448,2.09561892,0.52142502
-5.29764882,8.14676034,0.02869294,1.42004666,3.94095132,2.21678625,0.04487994,3.62107820,2.06907547,0.52527151
-5.29164582,8.09206269,0.02792701,1.41602652,3.89667626,2.21310314,0.04470115,3.57991966,2.03542669,0.52861179
-5.28564282,8.01663772,0.02709236,1.40847099,3.84117189,2.20465553,0.04433657,3.52856724,1.99557247,0.53158232
-5.27963982,7.92306989,0.02620679,1.39771011,3.77549523,2.19219902,0.04379612,3.46823996,1.95051745,0.53431733
-5.27363682,7.81419534,0.02528899,1.38411452,3.70084197,2.17653835,0.04309313,3.40028510,1.90134505,0.53694362
-5.26763382,7.69302337,0.02435820,1.36808386,3.61851606,2.15850432,0.04224399,3.32614238,1.84919011,0.53957559
-5.26163082,7.56265424,0.02343385,1.35003469,3.52989655,2.13893011,0.04126780,3.24730638,1.79521109,0.54231099
-5.25562781,7.42619615,0.02253523,1.33038848,3.43640310,2.11862790,0.04018580,3.16528832,1.74056295,0.54522745
-5.24962481,7.28668453,0.02168109,1.30956003,3.33946146,2.09836665,0.03902082,3.08157866,1.68637136,0.54837991
-5.24362181,7.14700649,0.02088932,1.28794702,3.24047019,2.07885171,0.03779667,2.99761182,1.63370900,0.55179917
-5.23761881,7.00983307,0.02017654,1.26592094,3.14077001,2.06070713,0.03653738,2.91473423,1.58357457,0.55549152
-5.23161581,6.87756152,0.01955778,1.24381980,3.04161676,2.04446114,0.03526663,2.83417664,1.53687485,0.55943939
-5.22561281,6.75226927,0.01904615,1.22194280,2.94415888,2.03053530,0.03400704,2.75703152,1.49440997,0.56360314
-5.21960980,6.63568069,0.01865255,1.20054699,2.84941994,2.01923763,0.03277959,2.68423609,1.45686198,0.56792359
-5.21360680,6.52914699,0.01838541,1.17984602,2.75828660,2.01075970,0.03160315,2.61656095,1.42478659,0.57232545
-5.20760380,6.43363913,0.01825047,1.16001057,2.67150190,2.00517775,0.03049397,2.55460458,1.39860790,0.57672110
-5.20160080,6.34975285,0.01825063,1.14117046,2.58966353,2.00245746,0.02946546,2.49879311,1.37861580,0.58101480
-5.19559780,6.27772448,0.01838586,1.12341777,2.51322653,2.00246195,0.02852796,2.44938488,1.36496574,0.58510691
-5.18959480,6.21745589,0.01865313,1.10681089,2.44250977,2.00496256,0.02768869,2.40647916,1.35768063,0.58889793
-5.18359180,6.16854645,0.01904651,1.09137879,2.37770508,2.00965169,0.02695181,2.37002812,1.35665441,0.59229224
-5.17758879,6.13033012,0.01955723,1.07712532,2.31888829,2.01615710,0.02631861,2.33985121,1.36165729,0.59520123
-5.17158579,6.10191543,0.02017386,1.06403310,2.26603130,2.02405688,0.02578780,2.31565118,1.37234244,0.59754578
-5.16558279,6.08222672,0.02088259,1.05206672,2.21901428,2.03289467,0.02535587,2.29703089,1.38825395,0.59925801
-5.15957979,6.07004485,0.02166753,1.04117523,2.17763745,2.04219430,0.02501754,2.28351037,1.40883623,0.60028226
-5.15357679,6.06404646,0.02251109,1.03129376,2.14163207,2.05147365,0.02476627,2.27454359,1.43344482,0.60057524
-5.14757379,6.06284063,0.02339441,1.02234431,2.11067038,2.06025721,0.02459476,2.26953455,1.46135863,0.60010568
-5.14157079,6.06500292,0.02429779,1.01423611,2.08437449,2.06808721,0.02449547,2.26785273,1.49179373,0.59885323
-5.13556778,6.06910643,0.02520124,1.00686556,2.06232448,2.07453321,0.02446111,2.26884750,1.52391869,0.59680717
-5.12956478,6.07375020,0.02608493,1.00011621,2.04406594,2.07920013,0.02448511,2.27186196,1.55687137,0.59396474
-5.12356178,6.07758541,0.02692973,0.99385906,2.02911751,2.08173494,0.02456197,2.27624591,1.58977697,0.59032953
-5.11755878,6.07933979,0.02771765,0.98795355,2.01697859,2.08183197,0.02468762,2.28136844,1.62176715,0.58590993
