energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.76098842,0.00659253,0.16192066,1.47754236,0.45030961,0.03725947,0.50779597,0.06404388,0.33920476
-5.99399700,1.59381161,0.00590296,0.14547208,1.33477115,0.40876078,0.03355051,0.46043783,0.05694409,0.30740241
-5.98799400,1.43762969,0.00525980,0.12997284,1.20002419,0.37126134,0.03003008,0.41679777,0.05048128,0.27683334
-5.98199100,1.29382424,0.00466637,0.11550126,1.07430151,0.33823056,0.02671947,0.37731597,0.04466298,0.24777136
-5.97598799,1.16364686,0.00412542,0.10211796,0.95846095,0.31008330,0.02363546,0.34241162,0.03949404,0.22044712
-5.96998499,1.04822830,0.00363919,0.08986651,0.85322177,0.28723661,0.02079036,0.31248762,0.03497749,0.19504659
-5.96398199,0.94859479,0.00320957,0.07877463,0.75917428,0.27011732,0.01819216,0.28793705,0.03111555,0.17171161
-5.95797899,0.86568995,0.00283822,0.06885591,0.67679454,0.25917035,0.01584490,0.26915080,0.02791057,0.15054212
-5.95197599,0.80040078,0.00252674,0.06011205,0.60646301,0.25486710,0.01374910,0.25652581,0.02536606,0.13159988
-5.94597299,0.75358545,0.00227688,0.05253527,0.54848556,0.25771324,0.01190233,0.25047334,0.02348752,0.11491326
-5.93996998,0.72610115,0.00209069,0.04611097,0.50311559,0.26825530,0.01029981,0.25142637,0.02228327,0.10048287
-5.93396698,0.71882949,0.00197071,0.04082046,0.47057550,0.28708547,0.00893504,0.25984567,0.02176503,0.08828746
-5.92796398,0.73269770,0.00192018,0.03664358,0.45107635,0.31484383,0.00780045,0.27622358,0.02194828,0.07828987
-5.92196098,0.76869356,0.00194317,0.03356115,0.44483399,0.35221757,0.00688799,0.30108504,0.02285241,0.07044277
-5.91595798,0.82787266,0.00204471,0.03155711,0.45208092,0.39993671,0.00618969,0.33498526,0.02450046,0.06469369
-5.90995498,0.91135650,0.00223094,0.03062039,0.47307270,0.45876596,0.00569816,0.37850365,0.02691859,0.06098939
