energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,3.72537586,0.03254607,0.06708823,0.11161182,1.33061744,1.48357087,0.04157003,2.27790879
-5.99399700,3.77769870,0.03388025,0.06497293,0.10860758,1.35647543,1.50876437,0.04036832,2.31243962
-5.98799400,3.83604996,0.03528073,0.06267837,0.10642117,1.38612581,1.53526837,0.03922084,2.35027705
-5.98199100,3.89999738,0.03672279,0.06025167,0.10504476,1.41947601,1.56272721,0.03814007,2.39131156
-5.97598799,3.96903426,0.03818242,0.05773981,0.10447571,1.45640410,1.59075355,0.03713948,2.43538510
-5.96998499,4.04258619,0.03963700,0.05518828,0.10471772,1.49675926,1.61893580,0.03623329,2.48229044
-5.96398199,4.12002428,0.04106577,0.05264002,0.10578175,1.54036415,1.64684881,0.03543612,2.53177492
-5.95797899,4.20068451,0.04245040,0.05013445,0.10768652,1.58701932,1.67406725,0.03476273,2.58354833
-5.95197599,4.28389192,0.04377542,0.04770681,0.11045869,1.63650913,1.70018127,0.03422768,2.63729446
-5.94597299,4.36898838,0.04502856,0.04538764,0.11413256,1.68860904,1.72481322,0.03384502,2.69268547
-5.93996998,4.45536162,0.04620097,0.04320252,0.11874934,1.74309325,1.74763476,0.03362797,2.74939777
-5.93396698,4.54247350,0.04728741,0.04117202,0.12435576,1.79974247,1.76838290,0.03358858,2.80712832
-5.92796398,4.62988493,0.04828618,0.03931184,0.13100222,1.85835055,1.78687396,0.03373746,2.86560960
-5.92196098,4.71727530,0.04919895,0.03763305,0.13874030,1.91872970,1.80301429,0.03408341,2.92462221
-5.91595798,4.80445443,0.05003052,0.03614247,0.14761965,1.98071338,1.81680686,0.03463310,2.98400351
-5.90995498,4.89136541,0.05078839,0.03484318,0.15768450,2.04415649,1.82835300,0.03539073,3.04365164
-5.90395198,4.97807764,0.05148220,0.03373493,0.16896964,2.10893253,1.83784890,0.03635769,3.10352402
-5.89794897,5.06476979,0.05212314,0.03281470,0.18149619,2.17492787,1.84557685,0.03753224,3.16363034
-5.89194597,5.15170329,0.05272326,0.03207714,0.19526728,2.24203312,1.85189150,0.03890922,3.22402017
-5.88594297,5.23918790,0.05329479,0.03151499,0.21026384,2.31013232,1.85720185,0.04047973,3.28476590
-5.87993997,5.32754125,0.05384942,0.03111945,0.22644074,2.37909064,1.86194987,0.04223097,3.34594223
-5.87393697,5.41704513,0.05439762,0.03088049,0.24372360,2.44874149,1.86658717,0.04414611,3.40760352
-5.86793397,5.50790163,0.05494811,0.03078710,0.26200645,2.51887412,1.87155088,0.04620425,3.46976083
-5.86193097,5.60019225,0.05550734,0.03082749,0.28115048,2.58922295,1.87724044,0.04838056,3.53236040
-5.85592796,5.69384325,0.05607915,0.03098925,0.30098415,2.65945961,1.88399670,0.05064648,3.59526548
-5.84992496,5.78860020,0.05666457,0.03125955,0.32130469,2.72918879,1.89208462,0.05297019,3.65824310
-5.84392196,5.88401408,0.05726175,0.03162525,0.34188124,2.79794866,1.90168086,0.05531714,3.72095727
