energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,0.81083788,0.00414582,0.04309202,0.00437913,0.00000000,0.39816151,0.43116438,0.00565244,0.30203008
-5.99399700,0.86183453,0.00437827,0.04536255,0.00461690,0.00000000,0.42172221,0.46026334,0.00586442,0.32054499
-5.98799400,0.91272226,0.00459288,0.04748928,0.00484463,0.00000000,0.44419762,0.49004220,0.00607708,0.33876185
-5.98199100,0.96298388,0.00478547,0.04942609,0.00505818,0.00000000,0.46525320,0.52031038,0.00628285,0.35646495
-5.97598799,1.01220925,0.00495223,0.05113168,0.00525398,0.00000000,0.48459898,0.55093818,0.00647532,0.37347652
-5.96998499,1.06011104,0.00508986,0.05257083,0.00542912,0.00000000,0.50200012,0.58186293,0.00664936,0.38966340
-5.96398199,1.10653685,0.00519568,0.05371539,0.00558151,0.00000000,0.51728614,0.61309308,0.00680125,0.40494236
-5.95797899,1.15147689,0.00526771,0.05454521,0.00570995,0.00000000,0.53035819,0.64470946,0.00692873,0.41928397
-5.95197599,1.19506640,0.00530474,0.05504877,0.00581414,0.00000000,0.54119404,0.67686381,0.00703109,0.43271440
-5.94597299,1.23758254,0.00530639,0.05522359,0.00589479,0.00000000,0.54985034,0.70977417,0.00710917,0.44531531
-5.93996998,1.27943555,0.00527312,0.05507627,0.00595355,0.00000000,0.55646204,0.74371725,0.00716531,0.45722143
-5.93396698,1.32115425,0.00520618,0.05462235,0.00599299,0.00000000,0.56123893,0.77901803,0.00720331,0.46861606
-5.92796398,1.36336636,0.00510764,0.05388579,0.00601657,0.00000000,0.56445918,0.81603684,0.00722826,0.47972445
-5.92196098,1.40677450,0.00498025,0.05289821,0.00602849,0.00000000,0.56646037,0.85515450,0.00724645,0.49080539
-5.91595798,1.45212867,0.00482739,0.05169790,0.00603358,0.00000000,0.56762812,0.89675623,0.00726507,0.50214129
-5.90995498,1.50019655,0.00465294,0.05032866,0.00603715,0.00000000,0.56838296,0.94121499,0.00729204,0.51402718
-5.90395198,1.55173296,0.00446118,0.04883845,0.00604481,0.00000000,0.56916591,0.98887503,0.00733569,0.52675908
-5.89794897,1.60744977,0.00425664,0.04727803,0.00606229,0.00000000,0.57042343,1.04003659,0.00740446,0.54062224
-5.89194597,1.66798766,0.00404400,0.04569955,0.00609527,0.00000000,0.57259235,1.09494231,0.00750660,0.55587980
-5.88594297,1.73389100,0.00382794,0.04415523,0.00614917,0.00000000,0.57608541,1.15376603,0.00764983,0.57276227
-5.87993997,1.80558691,0.00361304,0.04269613,0.00622896,0.00000000,0.58127818,1.21660458,0.00784102,0.59145835
-5.87393697,1.88336918,0.00340370,0.04137108,0.00633905,0.00000000,0.58849758,1.28347260,0.00808591,0.61210742
-5.86793397,1.96738774,0.00320407,0.04022585,0.00648310,0.00000000,0.59801271,1.35430085,0.00838882,0.63479399
-5.86193097,2.05764387,0.00301795,0.03930252,0.00666394,0.00000000,0.61002831,1.42893758,0.00875245,0.65954425
-5.85592796,2.15399096,0.00284885,0.03863908,0.00688346,0.00000000,0.62468085,1.50715289,0.00917766,0.68632489
-5.84992496,2.25614056,0.00269988,0.03826938,0.00714258,0.00000000,0.64203760,1.58864562,0.00966336,0.71504414
-5.84392196,2.36367315,0.00257387,0.03822314,0.00744127,0.00000000,0.66209849,1.67305212,0.01020649,0.74555483
-5.83791896,2.47605270,0.00247331,0.03852636,0.00777849,0.00000000,0.68480062,1.75995636,0.01080194,0.77765942
