energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Ge_p_up,Ge_p_down,Ge_d_up,Ge_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.26569169,-1.26569166,0.38780836,-0.38780835,0.24009059,-0.24009059,0.52087088,-0.52087087,0.00000000,-0.00000000,0.01979370,-0.01979370,0.22676838,-0.22676838
-5.99399700,1.21201577,-1.21201573,0.37291547,-0.37291546,0.23022525,-0.23022524,0.50026294,-0.50026293,0.00000000,-0.00000000,0.01885462,-0.01885462,0.21587167,-0.21587167
-5.98799400,1.15509125,-1.15509122,0.35670159,-0.35670158,0.21971129,-0.21971128,0.47808291,-0.47808289,0.00000000,-0.00000000,0.01790406,-0.01790406,0.20457890,-0.20457890
-5.98199100,1.09552692,-1.09552688,0.33934940,-0.33934938,0.20866507,-0.20866507,0.45458121,-0.45458120,0.00000000,-0.00000000,0.01695269,-0.01695269,0.19299840,-0.19299839
-5.97598799,1.03396463,-1.03396460,0.32105816,-0.32105814,0.19721011,-0.19721010,0.43002707,-0.43002706,0.00000000,-0.00000000,0.01601107,-0.01601107,0.18124022,-0.18124021
-5.96998499,0.97106810,-0.97106806,0.30203960,-0.30203959,0.18547475,-0.18547474,0.40470316,-0.40470314,0.00000000,-0.00000000,0.01508949,-0.01508949,0.16941469,-0.16941468
-5.96398199,0.90751004,-0.90751000,0.28251329,-0.28251328,0.17358960,-0.17358959,0.37889954,-0.37889952,0.00000000,-0.00000000,0.01419780,-0.01419780,0.15763086,-0.15763085
-5.95797899,0.84395856,-0.84395853,0.26270157,-0.26270156,0.16168474,-0.16168473,0.35290724,-0.35290722,0.00000000,-0.00000000,0.01334525,-0.01334525,0.14599477,-0.14599476
-5.95197599,0.78106299,-0.78106295,0.24282451,-0.24282450,0.14988680,-0.14988680,0.32701151,-0.32701150,0.00000000,-0.00000000,0.01254028,-0.01254028,0.13460769,-0.13460768
-5.94597299,0.71944001,-0.71943997,0.22309483,-0.22309482,0.13831618,-0.13831618,0.30148533,-0.30148532,0.00000000,-0.00000000,0.01179037,-0.01179037,0.12356442,-0.12356442
-5.93996998,0.65966063,-0.65966060,0.20371323,-0.20371322,0.12708434,-0.12708433,0.27658318,-0.27658316,0.00000000,-0.00000000,0.01110182,-0.01110182,0.11295170,-0.11295170
-5.93396698,0.60223865,-0.60223861,0.18486419,-0.18486418,0.11629142,-0.11629141,0.25253551,-0.25253549,0.00000000,-0.00000000,0.01047960,-0.01047960,0.10284682,-0.10284682
-5.92796398,0.54762095,-0.54762092,0.16671251,-0.16671250,0.10602425,-0.10602424,0.22954416,-0.22954414,0.00000000,-0.00000000,0.00992724,-0.00992723,0.09331653,-0.09331652
-5.92196098,0.49618030,-0.49618028,0.14940057,-0.14940056,0.09635483,-0.09635482,0.20777872,-0.20777870,0.00000000,-0.00000000,0.00944666,-0.00944666,0.08441626,-0.08441626
-5.91595798,0.44821075,-0.44821072,0.13304662,-0.13304661,0.08733932,-0.08733932,0.18737417,-0.18737416,0.00000000,-0.00000000,0.00903818,-0.00903818,0.07618984,-0.07618984
-5.90995498,0.40392572,-0.40392570,0.11774384,-0.11774383,0.07901759,-0.07901758,0.16842972,-0.16842971,0.00000000,-0.00000000,0.00870045,-0.00870045,0.06866947,-0.06866946
-5.90395198,0.36345905,-0.36345903,0.10356043,-0.10356042,0.07141333,-0.07141332,0.15100885,-0.15100884,0.00000000,-0.00000000,0.00843053,-0.00843053,0.06187623,-0.06187623
-5.89794897,0.32686850,-0.32686848,0.09054048,-0.09054047,0.06453469,-0.06453469,0.13514061,-0.13514060,0.00000000,-0.00000000,0.00822391,-0.00822391,0.05582094,-0.05582094
-5.89194597,0.29414175,-0.29414173,0.07870559,-0.07870558,0.05837542,-0.05837542,0.12082185,-0.12082184,0.00000000,-0.00000000,0.00807472,-0.00807472,0.05050535,-0.05050535
-5.88594297,0.26520433,-0.26520432,0.06805712,-0.06805711,0.05291637,-0.05291637,0.10802048,-0.10802047,0.00000000,-0.00000000,0.00797589,-0.00797589,0.04592360,-0.04592360
-5.87993997,0.23992920,-0.23992919,0.05857893,-0.05857892,0.04812739,-0.04812738,0.09667932,-0.09667932,0.00000000,-0.00000000,0.00791933,-0.00791933,0.04206396,-0.04206396
-5.87393697,0.21814734,-0.21814733,0.05024037,-0.05024037,0.04396938,-0.04396938,0.08672060,-0.08672059,0.00000000,-0.00000000,0.00789626,-0.00789626,0.03891055,-0.03891055
-5.86793397,0.19965897,-0.19965896,0.04299957,-0.04299956,0.04039660,-0.04039660,0.07805062,-0.07805061,0.00000000,-0.00000000,0.00789744,-0.00789744,0.03644524,-0.03644524
-5.86193097,0.18424488,-0.18424487,0.03680659,-0.03680658,0.03735891,-0.03735891,0.07056466,-0.07056465,0.00000000,-0.00000000,0.00791348,-0.00791348,0.03464939,-0.03464939
-5.85592796,0.17167738,-0.17167737,0.03160659,-0.03160658,0.03480405,-0.03480405,0.06415172,-0.06415172,0.00000000,-0.00000000,0.00793516,-0.00793516,0.03350540,-0.03350540
-5.84992496,0.16173043,-0.16173042,0.02734272,-0.02734271,0.03267975,-0.03267975,0.05869910,-0.05869909,0.00000000,-0.00000000,0.00795369,-0.00795369,0.03299817,-0.03299817
-5.84392196,0.15418869,-0.15418868,0.02395872,-0.02395871,0.03093569,-0.03093569,0.05409652,-0.05409652,0.00000000,-0.00000000,0.00796098,-0.00796098,0.03311608,-0.03311608
-5.83791896,0.14885512,-0.14885512,0.02140113,-0.02140113,0.02952520,-0.02952520,0.05023986,-0.05023986,0.00000000,-0.00000000,0.00794989,-0.00794989,0.03385174,-0.03385174
-5.83191596,0.14555700,-0.14555700,0.01962113,-0.01962113,0.02840667,-0.02840667,0.04703427,-0.04703427,0.00000000,-0.00000000,0.00791445,-0.00791445,0.03520225,-0.03520225
-5.82591296,0.14415016,-0.14415016,0.01857587,-0.01857587,0.02754467,-0.02754467,0.04439670,-0.04439670,0.00000000,-0.00000000,0.00784998,-0.00784998,0.03716917,-0.03716917
-5.81990995,0.14452153,-0.14452153,0.01822944,-0.01822944,0.02691075,-0.02691075,0.04225782,-0.04225781,0.00000000,-0.00000000,0.00775323,-0.00775323,0.03975793,-0.03975793
-5.81390695,0.14658989,-0.14658989,0.01855337,-0.01855337,0.02648389,-0.02648389,0.04056326,-0.04056326,0.00000000,-0.00000000,0.00762241,-0.00762241,0.04297696,-0.04297697
-5.80790395,0.15030502,-0.15030502,0.01952676,-0.01952676,0.02625068,-0.02625068,0.03927434,-0.03927434,0.00000000,-0.00000000,0.00745723,-0.00745723,0.04683647,-0.04683647
-5.80190095,0.15564541,-0.15564542,0.02113606,-0.02113606,0.02620523,-0.02620523,0.03836813,-0.03836813,0.00000000,-0.00000000,0.00725882,-0.00725882,0.05134689,-0.05134690
-5.79589795,0.16261469,-0.16261470,0.02337454,-0.02337454,0.02634875,-0.02634875,0.03783701,-0.03783701,0.00000000,-0.00000000,0.00702966,-0.00702966,0.05651720,-0.05651720
-5.78989495,0.17123708,-0.17123709,0.02624147,-0.02624147,0.02668899,-0.02668899,0.03768785,-0.03768785,0.00000000,-0.00000000,0.00677346,-0.00677346,0.06235306,-0.06235307
-5.78389195,0.18155208,-0.18155209,0.02974117,-0.02974118,0.02723948,-0.02723948,0.03794062,-0.03794062,0.00000000,-0.00000000,0.00649498,-0.00649498,0.06885508,-0.06885508
-5.77788894,0.19360876,-0.19360877,0.03388183,-0.03388184,0.02801858,-0.02801858,0.03862679,-0.03862679,0.00000000,-0.00000000,0.00619986,-0.00619986,0.07601700,-0.07601701
-5.77188594,0.20745987,-0.20745989,0.03867427,-0.03867427,0.02904846,-0.02904846,0.03978738,-0.03978738,0.00000000,-0.00000000,0.00589444,-0.00589444,0.08382430,-0.08382431
-5.76588294,0.22315608,-0.22315609,0.04413064,-0.04413065,0.03035404,-0.03035404,0.04147079,-0.04147079,0.00000000,-0.00000000,0.00558550,-0.00558550,0.09225297,-0.09225297
-5.75987994,0.24074051,-0.24074052,0.05026315,-0.05026315,0.03196180,-0.03196180,0.04373046,-0.04373047,0.00000000,-0.00000000,0.00528014,-0.00528014,0.10126871,-0.10126872
-5.75387694,0.26024391,-0.26024392,0.05708276,-0.05708276,0.03389874,-0.03389874,0.04662244,-0.04662244,0.00000000,-0.00000000,0.00498550,-0.00498550,0.11082669,-0.11082670
-5.74787394,0.28168057,-0.28168059,0.06459802,-0.06459802,0.03619116,-0.03619116,0.05020284,-0.05020284,0.00000000,-0.00000000,0.00470866,-0.00470866,0.12087171,-0.12087172
-5.74187094,0.30504504,-0.30504505,0.07281398,-0.07281399,0.03886370,-0.03886370,0.05452541,-0.05452542,0.00000000,-0.00000000,0.00445640,-0.00445640,0.13133891,-0.13133892
-5.73586793,0.33030982,-0.33030984,0.08173126,-0.08173126,0.04193825,-0.04193825,0.05963906,-0.05963906,0.00000000,-0.00000000,0.00423514,-0.00423514,0.14215507,-0.14215508
-5.72986493,0.35742406,-0.35742408,0.09134520,-0.09134521,0.04543305,-0.04543306,0.06558552,-0.06558553,0.00000000,-0.00000000,0.00405076,-0.00405076,0.15324029,-0.15324030
-5.72386193,0.38631310,-0.38631312,0.10164531,-0.10164531,0.04936187,-0.04936188,0.07239724,-0.07239724,0.00000000,-0.00000000,0.00390854,-0.00390854,0.16451008,-0.16451008
-5.71785893,0.41687895,-0.41687896,0.11261474,-0.11261474,0.05373322,-0.05373322,0.08009542,-0.08009542,0.00000000,-0.00000000,0.00381311,-0.00381311,0.17587778,-0.17587778
-5.71185593,0.44900153,-0.44900155,0.12423005,-0.12423006,0.05854973,-0.05854973,0.08868839,-0.08868839,0.00000000,-0.00000000,0.00376832,-0.00376832,0.18725713,-0.18725714
-5.70585293,0.48254057,-0.48254059,0.13646110,-0.13646110,0.06380765,-0.06380765,0.09817033,-0.09817034,0.00000000,-0.00000000,0.00377731,-0.00377731,0.19856485,-0.19856486
-5.69984992,0.51733800,-0.51733802,0.14927105,-0.14927105,0.06949646,-0.06949646,0.10852034,-0.10852035,0.00000000,-0.00000000,0.00384243,-0.00384243,0.20972317,-0.20972318
