energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,1.38497898,0.00634977,0.08993812,0.39430457,0.16377281,0.01305402,0.85811081,0.34854784,0.17445689
-5.99399700,1.39867857,0.00588517,0.09211468,0.39984817,0.16516218,0.01271005,0.86660046,0.35658108,0.17893169
-5.98799400,1.41599262,0.00545682,0.09437678,0.40645303,0.16738707,0.01242342,0.87732255,0.36572981,0.18365041
-5.98199100,1.43671752,0.00506795,0.09670732,0.41403911,0.17042784,0.01219282,0.89015808,0.37590877,0.18856810
-5.97598799,1.46053366,0.00472065,0.09908542,0.42249926,0.17424675,0.01201484,0.90491622,0.38699729,0.19363076
-5.96998499,1.48701383,0.00441586,0.10148657,0.43170204,0.17878952,0.01188419,0.92133990,0.39884018,0.19877704
-5.96398199,1.51563762,0.00415357,0.10388302,0.44149620,0.18398761,0.01179398,0.93911507,0.41125029,0.20394049
-5.95797899,1.54581132,0.00393286,0.10624449,0.45171663,0.18976113,0.01173603,0.95788339,0.42401289,0.20905245
-5.95197599,1.57689278,0.00375210,0.10853930,0.46219151,0.19602237,0.01170128,0.97725794,0.43689177,0.21404551
-5.94597299,1.60822014,0.00360914,0.11073574,0.47275057,0.20267961,0.01168019,0.99684131,0.44963677,0.21885717
-5.93996998,1.63914322,0.00350143,0.11280370,0.48323393,0.20964124,0.01166314,1.01624522,0.46199270,0.22343380
-5.93396698,1.66905593,0.00342626,0.11471644,0.49350110,0.21681991,0.01164079,1.03511071,0.47370891,0.22773447
-5.92796398,1.69742824,0.00338091,0.11645240,0.50343974,0.22413647,0.01160454,1.05312795,0.48454950,0.23173455
-5.92196098,1.72383583,0.00336276,0.11799694,0.51297357,0.23152359,0.01154675,1.07005446,0.49430327,0.23542881
-5.91595798,1.74798581,0.00336949,0.11934389,0.52206901,0.23892885,0.01146110,1.08573084,0.50279314,0.23883383
-5.90995498,1.76973699,0.00339913,0.12049673,0.53074012,0.24631701,0.01134273,1.10009301,0.50988452,0.24198949
-5.90395198,1.78911345,0.00345017,0.12146947,0.53905135,0.25367152,0.01118844,1.11318018,0.51549210,0.24495944
