energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,1.66724483,0.91089872,0.36889029,0.00565754,0.15637763,0.98771893,0.00000000,0.25286894,0.31711534
-5.99399700,1.68910453,0.92318250,0.36370970,0.00569544,0.16011247,1.00326156,0.00000000,0.25352966,0.32980839
-5.98799400,1.70844855,0.93507095,0.35819481,0.00574805,0.16351528,1.01743720,0.00000000,0.25412480,0.34169936
-5.98199100,1.72511642,0.94655076,0.35244812,0.00581888,0.16655814,1.03010557,0.00000000,0.25473381,0.35264641
-5.97598799,1.73902740,0.95764253,0.34658572,0.00591133,0.16922074,1.04117478,0.00000000,0.25544538,0.36252792
-5.96998499,1.75018803,0.96840365,0.34073651,0.00602864,0.17149149,1.05060693,0.00000000,0.25635491,0.37124681
-5.96398199,1.75869699,0.97892980,0.33504085,0.00617379,0.17336840,1.05842203,0.00000000,0.25756190,0.37873427
-5.95797899,1.76474692,0.98935477,0.32964876,0.00634947,0.17485975,1.06469996,0.00000000,0.25916719,0.38495254
-5.95197599,1.76862261,0.99984835,0.32471758,0.00655798,0.17598431,1.06958014,0.00000000,0.26127013,0.38989663
-5.94597299,1.77069521,1.01061189,0.32040900,0.00680116,0.17677126,1.07325862,0.00000000,0.26396563,0.39359493
-5.93996998,1.77141221,1.02187163,0.31688558,0.00708028,0.17725958,1.07598238,0.00000000,0.26734108,0.39610835
-5.93396698,1.77128327,1.03386963,0.31430661,0.00739600,0.17749697,1.07804100,0.00000000,0.27147324,0.39752820
-5.92796398,1.77086196,1.04685258,0.31282354,0.00774825,0.17753839,1.07975561,0.00000000,0.27642501,0.39797276
-5.92196098,1.77072405,1.06105866,0.31257491,0.00813611,0.17744406,1.08146555,0.00000000,0.28224226,0.39758252
-5.91595798,1.77144294,1.07670317,0.31368104,0.00855780,0.17727714,1.08351319,0.00000000,0.28895080,0.39651446
-5.90995498,1.77356333,1.09396340,0.31623862,0.00901055,0.17710116,1.08622746,0.00000000,0.29655355,0.39493542
-5.90395198,1.77757425,1.11296349,0.32031542,0.00949056,0.17697719,1.08990695,0.00000000,0.30502822,0.39301497
-5.89794897,1.78388282,1.13376040,0.32594541,0.00999300,0.17696108,1.09480332,0.00000000,0.31432549,0.39091807
-5.89194597,1.79279019,1.15633150,0.33312461,0.01051196,0.17710068,1.10110603,0.00000000,0.32436805,0.38879789
-5.88594297,1.80447109,1.18056514,0.34180788,0.01104058,0.17743346,1.10892924,0.00000000,0.33505057,0.38678912
-5.87993997,1.81895838,1.20625455,0.35190708,0.01157102,0.17798437,1.11830179,0.00000000,0.34624075,0.38500224
-5.87393697,1.83613374,1.23309612,0.36329069,0.01209469,0.17876438,1.12916096,0.00000000,0.35778169,0.38351884
-5.86793397,1.85572542,1.26069236,0.37578523,0.01260236,0.17976956,1.14135065,0.00000000,0.36949542,0.38238859
-5.86193097,1.87731368,1.28855976,0.38917857,0.01308439,0.18098085,1.15462433,0.00000000,0.38118778,0.38162764
-5.85592796,1.90034404,1.31614174,0.40322513,0.01353099,0.18236466,1.16865279,0.00000000,0.39265450,0.38121895
-5.84992496,1.92414804,1.34282602,0.41765297,0.01393248,0.18387417,1.18303676,0.00000000,0.40368824,0.38111426
-5.84392196,1.94797093,1.36796623,0.43217257,0.01427957,0.18545130,1.19732365,0.00000000,0.41408652,0.38123770
-5.83791896,1.97100510,1.39090654,0.44648698,0.01456369,0.18702933,1.21102811,0.00000000,0.42366007,0.38149101
-5.83191596,1.99242773,1.41100845,0.46030301,0.01477728,0.18853600,1.22365508,0.00000000,0.43224138,0.38175978
-5.82591296,2.01144090,1.42767836,0.47334302,0.01491405,0.18989699,1.23472453,0.00000000,0.43969300,0.38192071
-5.81990995,2.02731217,1.44039466,0.48535659,0.01496918,0.19103943,1.24379650,0.00000000,0.44591512,0.38184929
-5.81390695,2.03941358,1.44873291,0.49613172,0.01493961,0.19189561,1.25049521,0.00000000,0.45085218,0.38142753
-5.80790395,2.04725682,1.45238780,0.50550483,0.01482407,0.19240627,1.25453082,0.00000000,0.45449795,0.38055133
-5.80190095,2.05052286,1.45119068,0.51336900,0.01462324,0.19252361,1.25571783,0.00000000,0.45689897,0.37913715
-5.79589795,2.04908424,1.44512173,0.51968001,0.01433968,0.19221380,1.25398895,0.00000000,0.45815579,0.37712752
-5.78989495,2.04301861,1.43431595,0.52445976,0.01397785,0.19145873,1.24940354,0.00000000,0.45842219,0.37449510
-5.78389195,2.03261282,1.41906268,0.52779668,0.01354394,0.19025709,1.24215023,0.00000000,0.45790203,0.37124520
-5.77788894,2.01835693,1.39979832,0.52984313,0.01304570,0.18862458,1.23254334,0.00000000,0.45684385,0.36741648
-5.77188594,2.00092829,1.37709273,0.53080972,0.01249218,0.18659334,1.22101307,0.00000000,0.45553340,0.36307988
-5.76588294,1.98116637,1.35162969,0.53095666,0.01189352,0.18421065,1.20808998,0.00000000,0.45428429,0.35833585
-5.75987994,1.96003927,1.32418231,0.53058263,0.01126057,0.18153686,1.19438430,0.00000000,0.45342709,0.35330997
-5.75387694,1.93860347,1.29558445,0.53001143,0.01060461,0.17864276,1.18056099,0.00000000,0.45329725,0.34814734
-5.74787394,1.91795876,1.26669947,0.52957717,0.00993707,0.17560657,1.16731172,0.00000000,0.45422245,0.34300585
-5.74187094,1.89920026,1.23838762,0.52960857,0.00926912,0.17251058,1.15532512,0.00000000,0.45650969,0.33804885
-5.73586793,1.88336997,1.21147368,0.53041318,0.00861148,0.16943771,1.14525654,0.00000000,0.46043286,0.33343755
-5.72986493,1.87141006,1.18671599,0.53226223,0.00797409,0.16646813,1.13769888,0.00000000,0.46622122,0.32932352
-5.72386193,1.86412010,1.16477859,0.53537683,0.00736596,0.16367612,1.13315583,0.00000000,0.47404924,0.32584168
-5.71785893,1.86212033,1.14620734,0.53991636,0.00679493,0.16112729,1.13201880,0.00000000,0.48402839,0.32310414
-5.71185593,1.86582263,1.13141125,0.54596936,0.00626756,0.15887630,1.13454857,0.00000000,0.49620127,0.32119522
-5.70585293,1.87541069,1.12064964,0.55354763,0.00578909,0.15696513,1.14086271,0.00000000,0.51053820,0.32016778
-5.69984992,1.89083019,1.11402575,0.56258380,0.00536337,0.15542202,1.15092917,0.00000000,0.52693672,0.32004108
-5.69384692,1.91178959,1.11148684,0.57293242,0.00499287,0.15426103,1.16456658,0.00000000,0.54522394,0.32080033
-5.68784392,1.93777142,1.11283086,0.58437467,0.00467876,0.15348228,1.18145116,0.00000000,0.56516169,0.32239771
-5.68184092,1.96805359,1.11771923,0.59662646,0.00442099,0.15307266,1.20112995,0.00000000,0.58645448,0.32475498
-5.67583792,2.00173975,1.12569507,0.60934949,0.00421841,0.15300722,1.22303985,0.00000000,0.60875975,0.32776739
-5.66983492,2.03779723,1.13620607,0.62216501,0.00406890,0.15325074,1.24653155,0.00000000,0.63170024,0.33130872
-5.66383192,2.07510089,1.14863085,0.63466933,0.00396958,0.15375980,1.27089733,0.00000000,0.65487784,0.33523712
-5.65782891,2.11248078,1.16230774,0.64645071,0.00391694,0.15448488,1.29540133,0.00000000,0.67788849,0.33940155
-5.65182591,2.14877150,1.17656453,0.65710662,0.00390703,0.15537255,1.31931108,0.00000000,0.70033728,0.34364831
-5.64582291,2.18286096,1.19074793,0.66626083,0.00393568,0.15636760,1.34192877,0.00000000,0.72185343,0.34782754
-5.63981991,2.21373627,1.20425142,0.67357938,0.00399861,0.15741503,1.36262072,0.00000000,0.74210410,0.35179924
-5.63381691,2.24052489,1.21654031,0.67878488,0.00409167,0.15846174,1.38084385,0.00000000,0.76080671,0.35543855
-5.62781391,2.26252901,1.22717286,0.68166851,0.00421095,0.15945803,1.39616788,0.00000000,0.77773907,0.35864015
-5.62181091,2.27925183,1.23581656,0.68209919,0.00435293,0.16035866,1.40829217,0.00000000,0.79274680,0.36132146
-5.61580790,2.29041459,1.24225898,0.68002962,0.00451458,0.16112371,1.41705659,0.00000000,0.80574774,0.36342473
-5.60980490,2.29596377,1.24641273,0.67549893,0.00469345,0.16171907,1.42244580,0.00000000,0.81673317,0.36491776
-5.60380190,2.29606815,1.24831434,0.66863194,0.00488772,0.16211661,1.42458687,0.00000000,0.82576559,0.36579344
-5.59779890,2.29110630,1.24811727,0.65963511,0.00509624,0.16229421,1.42374038,0.00000000,0.83297327,0.36606808
-5.59179590,2.28164492,1.24607957,0.64878933,0.00531852,0.16223556,1.42028548,0.00000000,0.83854184,0.36577879
-5.58579290,2.26840945,1.24254654,0.63644001,0.00555465,0.16192983,1.41469959,0.00000000,0.84270316,0.36497997
-5.57978989,2.25224834,1.23792976,0.62298481,0.00580530,0.16137135,1.40753395,0.00000000,0.84572212,0.36373922
-5.57378689,2.23409268,1.23268308,0.60885964,0.00607153,0.16055914,1.39938595,0.00000000,0.84788198,0.36213290
-5.56778389,2.21491326,1.22727719,0.59452345,0.00635477,0.15949660,1.39086985,0.00000000,0.84946890,0.36024148
-5.56178089,2.19567688,1.22217371,0.58044230,0.00665655,0.15819118,1.38258705,0.00000000,0.85075651,0.35814513
-5.55577789,2.17730407,1.21780037,0.56707357,0.00697846,0.15665412,1.37509758,0.00000000,0.85199116,0.35591959
