energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,8.24150510,0.67081850,2.81834327,0.01103994,0.57390421,2.26248681,2.74763467,0.04497676,1.46646120
-5.99399700,8.03158597,0.66290762,2.79498529,0.01155838,0.55810963,2.18316023,2.64256349,0.04506769,1.39963855
-5.98799400,7.84286672,0.65664267,2.77896671,0.01208423,0.54335902,2.10754934,2.54535699,0.04502768,1.33812817
-5.98199100,7.67659313,0.65221490,2.77081884,0.01260778,0.52975845,2.03645706,2.45620110,0.04485085,1.28207830
-5.97598799,7.53356964,0.64977695,2.77084447,0.01311942,0.51739981,1.97056471,2.37519830,0.04453457,1.23155461
-5.96998499,7.41415155,0.64943676,2.77911174,0.01360968,0.50635722,1.91041599,2.30237528,0.04407955,1.18654264
-5.96398199,7.31824949,0.65125316,2.79545498,0.01406942,0.49668444,1.85640658,2.23769108,0.04348995,1.14695184
-5.95797899,7.24534595,0.65523331,2.81948214,0.01448996,0.48841335,1.80877958,2.18104548,0.04277322,1.11262124
-5.95197599,7.19452290,0.66133230,2.85058867,0.01486328,0.48155368,1.76762684,2.13228727,0.04194004,1.08332652
-5.94597299,7.16449976,0.66945482,2.88797703,0.01518217,0.47609377,1.73289597,2.09122209,0.04100392,1.05878852
-5.93996998,7.15368010,0.67945897,2.93068132,0.01544046,0.47200248,1.70440267,2.05761979,0.03998093,1.03868292
-5.93396698,7.16020571,0.69116196,2.97759606,0.01563318,0.46923194,1.68184758,2.03122098,0.03888920,1.02265080
-5.92796398,7.18201613,0.70434754,3.02750829,0.01575665,0.46772114,1.66483695,2.01174288,0.03774848,1.01030995
-5.92196098,7.21691162,0.71877487,3.07913189,0.01580869,0.46739992,1.65290600,1.99888421,0.03657961,1.00126648
-5.91595798,7.26261753,0.73418817,3.13114305,0.01578864,0.46819334,1.64554387,1.99232918,0.03540399,0.99512645
