energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,9.13282939,0.66207316,3.69776447,0.01635140,1.40936859,3.62992082,2.65554595,1.25491857,0.00000000
-5.99399700,9.29318895,0.65994111,3.80615628,0.01714610,1.42871124,3.66660490,2.68729994,1.26157373,0.00000000
-5.98799400,9.44884549,0.65748544,3.91891945,0.01795590,1.44540243,3.69505219,2.71495552,1.26634761,0.00000000
-5.98199100,9.59881026,0.65483138,4.03543276,0.01877434,1.45924037,3.71514342,2.73825333,1.26927883,0.00000000
-5.97598799,9.74204098,0.65209955,4.15493101,0.01959469,1.47005071,3.72686130,2.75697599,1.27041668,0.00000000
-5.96998499,9.87744390,0.64940118,4.27650305,0.02041001,1.47768834,3.73028595,2.77095347,1.26981985,0.00000000
-5.96398199,10.00388521,0.64683431,4.39909714,0.02121329,1.48203954,3.72559032,2.78006909,1.26755601,0.00000000
-5.95797899,10.12021103,0.64448147,4.52153405,0.02199758,1.48302446,3.71303577,2.78426579,1.26370233,0.00000000
-5.95197599,10.22527507,0.64240857,4.64252700,0.02275615,1.48059966,3.69296764,2.78355204,1.25834658,0.00000000
-5.94597299,10.31797196,0.64066507,4.76070801,0.02348261,1.47476066,3.66581065,2.77800698,1.25158861,0.00000000
-5.93996998,10.39727394,0.63928521,4.87465914,0.02417113,1.46554405,3.63206386,2.76778403,1.24354203,0.00000000
-5.93396698,10.46226865,0.63829012,4.98294735,0.02481661,1.45302901,3.59229468,2.75311271,1.23433565,0.00000000
-5.92796398,10.51219499,0.63769045,5.08416116,0.02541482,1.43733802,3.54713182,2.73429786,1.22411445,0.00000000
-5.92196098,10.54647487,0.63748925,5.17694742,0.02596258,1.41863641,3.49725664,2.71171635,1.21303982,0.00000000
-5.91595798,10.56473826,0.63768479,5.26004637,0.02645791,1.39713079,3.44339284,2.68581071,1.20128880,0.00000000
-5.90995498,10.56683995,0.63827300,5.33232343,0.02690012,1.37306604,3.38629432,2.65707992,1.18905229,0.00000000
-5.90395198,10.55286648,0.63924932,5.39279616,0.02728993,1.34672109,3.32673142,2.62606757,1.17653204,0.00000000
-5.89794897,10.52313290,0.64060969,5.44065558,0.02762945,1.31840338,3.26547558,2.59334749,1.16393659,0.00000000
-5.89194597,10.47816922,0.64235070,5.47528077,0.02792223,1.28844220,3.20328306,2.55950774,1.15147618,0.00000000
-5.88594297,10.41869738,0.64446879,5.49624670,0.02817315,1.25718127,3.14087816,2.52513334,1.13935684,0.00000000
-5.87993997,10.34560020,0.64695856,5.50332522,0.02838834,1.22497068,3.07893654,2.49078859,1.12777405,0.00000000
-5.87393697,10.25988413,0.64981037,5.49647972,0.02857495,1.19215854,3.01806965,2.45699989,1.11690617,0.00000000
-5.86793397,10.16263815,0.65300746,5.47585430,0.02874097,1.15908289,2.95881065,2.42423966,1.10690795,0.00000000
-5.86193097,10.05499139,0.65652282,5.44175838,0.02889493,1.12606390,2.90160295,2.39291232,1.09790472,0.00000000
-5.85592796,9.93807195,0.66031608,5.39464811,0.02904560,1.09339699,2.84679170,2.36334291,1.08998735,0.00000000
-5.84992496,9.81296950,0.66433087,5.33510590,0.02920162,1.06134696,2.79461886,2.33576893,1.08320843,0.00000000
-5.84392196,9.68070364,0.66849284,5.26381922,0.02937117,1.03014344,2.74522225,2.31033572,1.07757990,0.00000000
-5.83791896,9.54219989,0.67270854,5.18155999,0.02956163,0.99997780,2.69863851,2.28709566,1.07307234,0.00000000
-5.83191596,9.39827449,0.67686563,5.08916558,0.02977921,0.97100160,2.65481011,2.26601117,1.06961597,0.00000000
-5.82591296,9.24962838,0.68083424,4.98752205,0.03002871,0.94332651,2.61359592,2.24696133,1.06710341,0.00000000
-5.81990995,9.09685066,0.68446977,4.87755025,0.03031328,0.91702579,2.57478491,2.22975174,1.06539418,0.00000000
-5.81390695,8.94043054,0.68761697,4.76019497,0.03063425,0.89213699,2.53811235,2.21412719,1.06432066,0.00000000
-5.80790395,8.78077693,0.69011523,4.63641696,0.03099103,0.86866572,2.50327759,2.19978644,1.06369535,0.00000000
-5.80190095,8.61824377,0.69180478,4.50718772,0.03138119,0.84659035,2.46996270,2.18639842,1.06331912,0.00000000
-5.79589795,8.45315938,0.69253361,4.37348638,0.03180050,0.82586720,2.43785085,2.17361917,1.06299008,0.00000000
-5.78989495,8.28585764,0.69216467,4.23629816,0.03224316,0.80643605,2.40664369,2.16110855,1.06251258,0.00000000
-5.78389195,8.11670880,0.69058308,4.09661371,0.03270207,0.78822556,2.37607693,2.14854621,1.06170619,0.00000000
-5.77788894,7.94614792,0.68770273,3.95542864,0.03316918,0.77115857,2.34593327,2.13564602,1.06041388,0.00000000
-5.77188594,7.77469915,0.68347218,3.81374259,0.03363591,0.75515677,2.31605233,2.12216836,1.05850936,0.00000000
-5.76588294,7.60299410,0.67787922,3.67255746,0.03409353,0.74014473,2.28633704,2.10792986,1.05590305,0.00000000
-5.75987994,7.43178341,0.67095398,3.53287417,0.03453367,0.72605320,2.25675648,2.09281025,1.05254643,0.00000000
-5.75387694,7.26194052,0.66277024,3.39568798,0.03494865,0.71282141,2.22734510,2.07675604,1.04843457,0.00000000
-5.74787394,7.09445758,0.65344492,3.26198207,0.03533194,0.70039851,2.19819854,2.05978111,1.04360673,0.00000000
-5.74187094,6.93043342,0.64313559,3.13271963,0.03567840,0.68874415,2.16946643,2.04196415,1.03814493,0.00000000
-5.73586793,6.77105425,0.63203614,3.00883442,0.03598453,0.67782815,2.14134267,2.02344326,1.03217051,0.00000000
-5.72986493,6.61756785,0.62037075,2.89122033,0.03624859,0.66762954,2.11405375,2.00440799,1.02583897,0.00000000
-5.72386193,6.47125240,0.60838634,2.78071993,0.03647061,0.65813492,2.08784581,1.98508928,1.01933304,0.00000000
-5.71785893,6.33338127,0.59634396,2.67811271,0.03665227,0.64933643,2.06297106,1.96574768,1.01285454,0.00000000
-5.71185593,6.20518523,0.58450937,2.58410308,0.03679671,0.64122940,2.03967427,1.94666058,1.00661518,0.00000000
-5.70585293,6.08781357,0.57314332,2.49930859,0.03690824,0.63380989,2.01817990,1.92810881,1.00082681,0.00000000
-5.69984992,5.98229562,0.56249188,2.42424869,0.03699194,0.62707216,1.99868046,1.91036336,0.99569153,0.00000000
-5.69384692,5.88950411,0.55277736,2.35933413,0.03705328,0.62100643,1.98132651,1.89367261,0.99139204,0.00000000
-5.68784392,5.81012174,0.54419017,2.30485751,0.03709760,0.61559672,1.96621871,1.87825072,0.98808279,0.00000000
-5.68184092,5.74461210,0.53688195,2.26098485,0.03712975,0.61081921,1.95340210,1.86426756,0.98588220,0.00000000
-5.67583792,5.69319597,0.53096027,2.22774867,0.03715361,0.60664092,1.94286282,1.85184052,0.98486637,0.00000000
-5.66983492,5.65583392,0.52648524,2.20504263,0.03717178,0.60301883,1.93452720,1.84102855,0.98506463,0.00000000
-5.66383192,5.63221571,0.52346794,2.19261794,0.03718531,0.59989964,1.92826324,1.83182860,0.98645692,0.00000000
-5.65782891,5.62175710,0.52187086,2.19008189,0.03719352,0.59721978,1.92388422,1.82417455,0.98897342,0.00000000
-5.65182591,5.62360420,0.52161028,2.19689860,0.03719397,0.59490612,1.92115434,1.81793860,0.99249617,0.00000000
-5.64582291,5.63664549,0.52256039,2.21239233,0.03718249,0.59287690,1.91979586,1.81293504,0.99686271,0.00000000
-5.63981991,5.65953118,0.52455896,2.23575369,0.03715340,0.59104317,1.91949761,1.80892627,1.00187164,0.00000000
-5.63381691,5.69069980,0.52741426,2.26604884,0.03709979,0.58931044,1.91992439,1.80563069,1.00728961,0.00000000
-5.62781391,5.72841116,0.53091302,2.30223188,0.03701383,0.58758059,1.92072673,1.80273221,1.01285974,0.00000000
-5.62181091,5.77078513,0.53482884,2.34316067,0.03688726,0.58575396,1.92155087,1.79989105,1.01831069,0.00000000
-5.61580790,5.81584521,0.53893086,2.38761582,0.03671182,0.58373146,1.92204836,1.79675532,1.02336638,0.00000000
-5.60980490,5.86156573,0.54299235,2.43432291,0.03647973,0.58141675,1.92188495,1.79297310,1.02775560,0.00000000
-5.60380190,5.90592157,0.54679870,2.48197743,0.03618412,0.57871829,1.92074866,1.78820449,1.03122128,0.00000000
-5.59779890,5.94693879,0.55015473,2.52927200,0.03581946,0.57555131,1.91835651,1.78213330,1.03352910,0.00000000
-5.59179590,5.98274496,0.55289084,2.57492524,0.03538186,0.57183961,1.91445995,1.77447801,1.03447493,0.00000000
-5.58579290,6.01161746,0.55486809,2.61771137,0.03486933,0.56751710,1.90884890,1.76500160,1.03389101,0.00000000
-5.57978989,6.03202840,0.55598187,2.65648962,0.03428191,0.56252915,1.90135418,1.75352006,1.03165070,0.00000000
-5.57378689,6.04268462,0.55616409,2.69023238,0.03362171,0.55683366,1.89184871,1.73990922,1.02767148,0.00000000
-5.56778389,6.04256144,0.55538414,2.71805107,0.03289285,0.55040186,1.88024736,1.72410980,1.02191655,0.00000000
-5.56178089,6.03092903,0.55364838,2.73921854,0.03210127,0.54321885,1.86650572,1.70613048,1.01439466,0.00000000
-5.55577789,6.00737040,0.55099847,2.75318719,0.03125452,0.53528386,1.85061809,1.68604891,1.00515863,0.00000000
-5.54977489,5.97179025,0.54750858,2.75960180,0.03036140,0.52661029,1.83261476,1.66401066,0.99430245,0.00000000
-5.54377189,5.92441436,0.54328168,2.75830656,0.02943165,0.51722547,1.81255893,1.64022606,0.98195731,0.00000000
-5.53776888,5.86577943,0.53844515,2.74934584,0.02847551,0.50717027,1.79054349,1.61496507,0.96828678,0.00000000
-5.53176588,5.79671347,0.53314573,2.73295857,0.02750340,0.49649837,1.76668772,1.58855029,0.95348119,0.00000000
-5.52576288,5.71830752,0.52754422,2.70956638,0.02652549,0.48527544,1.74113410,1.56134821,0.93775161,0.00000000
-5.51975988,5.63187948,0.52180990,2.67975591,0.02555139,0.47357806,1.71404530,1.53375904,0.92132365,0.00000000
-5.51375688,5.53893124,0.51611498,2.64425600,0.02458990,0.46149245,1.68560132,1.50620537,0.90443105,0.00000000
-5.50775388,5.44110062,0.51062908,2.60391063,0.02364873,0.44911298,1.65599676,1.47911990,0.88730950,0.00000000
-5.50175088,5.34010966,0.50551404,2.55964863,0.02273438,0.43654055,1.62543809,1.45293273,0.87019067,0.00000000
-5.49574787,5.23771110,0.50091899,2.51245148,0.02185204,0.42388075,1.59414087,1.42805857,0.85329665,0.00000000
