energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.46179193,-0.69234290,0.00519698,-0.00718235,0.03343084,-0.06549860,0.11450211,-0.16978476,0.05768200,-0.09607627,0.11538527,-0.17114586,0.06218445,-0.05956229,0.00203563,-0.00217388,0.23276377,-0.35100764
-5.99399700,0.45265042,-0.66699442,0.00483703,-0.00652814,0.03228536,-0.06427258,0.11360546,-0.16593443,0.05612472,-0.08750545,0.11085139,-0.16041385,0.06214767,-0.06024316,0.00209847,-0.00218877,0.22951787,-0.33832480
-5.98799400,0.45078396,-0.64563468,0.00449613,-0.00597265,0.03169606,-0.06327837,0.11483706,-0.16288589,0.05536446,-0.07999404,0.10818418,-0.15093513,0.06314698,-0.06101524,0.00219675,-0.00221355,0.22991707,-0.32769220
-5.98199100,0.45624626,-0.62766484,0.00417436,-0.00550339,0.03165549,-0.06246285,0.11824534,-0.16048947,0.05538951,-0.07345620,0.10735940,-0.14260565,0.06519833,-0.06181730,0.00233049,-0.00224479,0.23401030,-0.31880396
-5.97598799,0.46902651,-0.61247719,0.00387218,-0.00510814,0.03215010,-0.06177196,0.12385849,-0.15859806,0.05618639,-0.06780108,0.10833923,-0.13530966,0.06830503,-0.06259050,0.00249931,-0.00227938,0.24181400,-0.31135124
-5.96998499,0.48904274,-0.59948074,0.00359029,-0.00477521,0.03316012,-0.06115286,0.13168221,-0.15707345,0.05773874,-0.06293668,0.11107184,-0.12892582,0.07245672,-0.06328051,0.00270241,-0.00231464,0.25330816,-0.30503566
-5.96398199,0.51613563,-0.58812588,0.00332946,-0.00449368,0.03465953,-0.06055613,0.14169750,-0.15579236,0.06002632,-0.05877336,0.11549089,-0.12333322,0.07762838,-0.06383962,0.00293845,-0.00234837,0.26843264,-0.29958206
-5.95797899,0.55006314,-0.57792716,0.00309042,-0.00425362,0.03661613,-0.05993780,0.15385848,-0.15465216,0.06302408,-0.05522715,0.12151513,-0.11841715,0.08377961,-0.06422857,0.00320557,-0.00237891,0.28708404,-0.29475032
-5.95197599,0.59049664,-0.56848357,0.00287373,-0.00404616,0.03899158,-0.05926112,0.16809052,-0.15357580,0.06670150,-0.05222255,0.12904810,-0.11407435,0.09085414,-0.06441818,0.00350128,-0.00240520,0.30911328,-0.29034589
-5.94597299,0.63701898,-0.55949544,0.00267973,-0.00386367,0.04174160,-0.05849816,0.18428872,-0.15251608,0.07102226,-0.04969502,0.13797827,-0.11021752,0.09877964,-0.06439070,0.00382253,-0.00242685,0.33432439,-0.28622858
-5.93996998,0.68912513,-0.55077758,0.00250847,-0.00369974,0.04481635,-0.05763087,0.20231703,-0.15145872,0.07594420,-0.04759286,0.14817951,-0.10677911,0.10746801,-0.06414072,0.00416567,-0.00244411,0.36247456,-0.28231932
-5.93396698,0.74622581,-0.54226823,0.00235971,-0.00354926,0.04816087,-0.05665196,0.22200821,-0.15042455,0.08141977,-0.04587871,0.15951219,-0.10371410,0.11681607,-0.06367574,0.00452647,-0.00245790,0.39327592,-0.27860490
-5.92796398,0.80765440,-0.53403355,0.00223288,-0.00340833,0.05171578,-0.05556514,0.24316470,-0.14947030,0.08739688,-0.04453047,0.17182490,-0.10100181,0.12670681,-0.06301622,0.00490020,-0.00246984,0.42639907,-0.27514026
-5.92196098,0.87267757,-0.52626769,0.00212715,-0.00327426,0.05541813,-0.05438513,0.26556069,-0.14868828,0.09382017,-0.04354179,0.18495683,-0.09864671,0.13701123,-0.06219531,0.00528173,-0.00248215,0.46147852,-0.27204864
-5.91595798,0.94050931,-0.51928844,0.00204146,-0.00314546,0.05920247,-0.05313709,0.28894530,-0.14820477,0.10063271,-0.04292200,0.19874089,-0.09667827,0.14759067,-0.06125802,0.00566557,-0.00249765,0.49812016,-0.26951923
-5.90995498,1.01032858,-0.51352866,0.00197455,-0.00302133,0.06300207,-0.05185575,0.31304715,-0.14817719,0.10777799,-0.04269572,0.21300742,-0.09514982,0.15829973,-0.06026007,0.00604603,-0.00251972,0.53591044,-0.26780284
