energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,4.23446602,0.06062614,0.80293231,0.25017453,0.24169321,0.04882248,1.32631005,2.41986884,1.24362585
-5.99399700,4.18791840,0.06046765,0.79117082,0.24861916,0.24306711,0.04657835,1.31500619,2.42222672,1.22001563
-5.98799400,4.14798723,0.06036134,0.78056473,0.24743176,0.24472750,0.04456901,1.30666394,2.42789604,1.19874264
-5.98199100,4.11243942,0.06027801,0.77068240,0.24648297,0.24653448,0.04278909,1.30055527,2.43535989,1.17919048
-5.97598799,4.07918548,0.06019065,0.76112091,0.24565356,0.24835689,0.04123302,1.29599516,2.44318246,1.16077237
-5.96998499,4.04637755,0.06007557,0.75152411,0.24484062,0.25007746,0.03989613,1.29237419,2.45006755,1.14296023
-5.96398199,4.01249112,0.05991341,0.74159731,0.24396279,0.25159714,0.03877583,1.28918587,2.45490779,1.12530907
-5.95797899,3.97638735,0.05968987,0.73111821,0.24296415,0.25283846,0.03787239,1.28604762,2.45682256,1.10747603
-5.95197599,3.93735344,0.05939622,0.71994351,0.24181668,0.25374782,0.03718967,1.28271467,2.45518340,1.08923310
-5.94597299,3.89511993,0.05902951,0.70801132,0.24052109,0.25429657,0.03673543,1.27908613,2.44962611,1.07047346
-5.93996998,3.84985486,0.05859250,0.69533936,0.23910609,0.25448085,0.03652148,1.27520327,2.44004962,1.05121128
-5.93396698,3.80213568,0.05809336,0.68201923,0.23762608,0.25432031,0.03656339,1.27124019,2.42660204,1.03157524
-5.92796398,3.75290103,0.05754512,0.66820725,0.23615753,0.25385566,0.03687998,1.26748749,2.40965515,1.01179652
-5.92196098,3.70338516,0.05696491,0.65411256,0.23479405,0.25314528,0.03749251,1.26432976,2.38976899,0.99219197
-5.91595798,3.65503887,0.05637298,0.63998299,0.23364066,0.25226104,0.03842352,1.26221833,2.36764872,0.97314340
-5.90995498,3.60944102,0.05579168,0.62608976,0.23280742,0.25128353,0.03969551,1.26164044,2.34409609,0.95507438
-5.90395198,3.56820522,0.05524422,0.61271163,0.23240284,0.25029698,0.04132944,1.26308671,2.31995829,0.93842559
-5.89794897,3.53288652,0.05475355,0.60011933,0.23252744,0.24938404,0.04334311,1.26701838,2.29607673,0.92362998
-5.89194597,3.50489257,0.05434108,0.58856117,0.23326781,0.24862083,0.04574944,1.27383615,2.27323851,0.91108907
-5.88594297,3.48540363,0.05402559,0.57825029,0.23469144,0.24807234,0.04855485,1.28385212,2.25213298,0.90115138
-5.87993997,3.47530518,0.05382220,0.56935430,0.23684277,0.24778861,0.05175776,1.29726638,2.23331547,0.89409392
-5.87393697,3.47513627,0.05374149,0.56198758,0.23974053,0.24780165,0.05534725,1.31414932,2.21717987,0.89010766
-5.86793397,3.48505592,0.05378884,0.55620668,0.24337663,0.24812350,0.05930200,1.33443080,2.20394139,0.88928737
-5.86193097,3.50482889,0.05396393,0.55200877,0.24771669,0.24874533,0.06358959,1.35789652,2.19362996,0.89162629
