energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,0.26892565,0.00161061,0.00235614,0.00560001,0.18531155,0.03898909,0.01634209
-5.99399700,0.31023505,0.00150289,0.00280514,0.00625944,0.21417984,0.04288628,0.01921763
-5.98799400,0.35921364,0.00144740,0.00331674,0.00707899,0.24833714,0.04799379,0.02253941
-5.98199100,0.41628468,0.00144283,0.00389476,0.00806442,0.28808266,0.05436652,0.02633361
-5.97598799,0.48182997,0.00148831,0.00454227,0.00922085,0.33368701,0.06206145,0.03062230
-5.96998499,0.55617386,0.00158354,0.00526141,0.01055250,0.38538101,0.07113664,0.03542223
-5.96398199,0.63956688,0.00172883,0.00605316,0.01206237,0.44334439,0.08164997,0.04074367
-5.95797899,0.73216957,0.00192508,0.00691719,0.01375203,0.50769457,0.09365763,0.04658925
-5.95197599,0.83403765,0.00217380,0.00785167,0.01562126,0.57847634,0.10721253,0.05295293
-5.94597299,0.94510903,0.00247711,0.00885315,0.01766789,0.65565290,0.12236262,0.05981924
-5.93996998,1.06519354,0.00283767,0.00991647,0.01988759,0.73909874,0.13914923,0.06716269
-5.93396698,1.19396605,0.00325862,0.01103474,0.02227373,0.82859483,0.15760537,0.07494745
-5.92796398,1.33096331,0.00374353,0.01219934,0.02481731,0.92382642,0.17775409,0.08312746
-5.92196098,1.47558491,0.00429627,0.01340000,0.02750700,1.02438360,0.19960701,0.09164679
-5.91595798,1.62709819,0.00492092,0.01462494,0.03032922,1.12976470,0.22316271,0.10044040
-5.90995498,1.78464706,0.00562160,0.01586111,0.03326827,1.23938227,0.24840535,0.10943524
-5.90395198,1.94726425,0.00640237,0.01709436,0.03630659,1.35257140,0.27530314,0.11855159
-5.89794897,2.11388613,0.00726694,0.01830984,0.03942497,1.46859992,0.30380687,0.12770476
-5.89194597,2.28336958,0.00821859,0.01949228,0.04260290,1.58667986,0.33384831,0.13680683
-5.88594297,2.45450974,0.00925984,0.02062634,0.04581884,1.70597960,0.36533858,0.14576862
-5.87993997,2.62605784,0.01039228,0.02169706,0.04905055,1.82563601,0.39816641,0.15450160
-5.87393697,2.79673806,0.01161628,0.02269016,0.05227532,1.94476598,0.43219633,0.16291973
-5.86793397,2.96526291,0.01293077,0.02359239,0.05547030,2.06247680,0.46726691,0.17094119
-5.86193097,3.13034616,0.01433297,0.02439189,0.05861261,2.17787506,0.50318905,0.17848984
-5.85592796,3.29071344,0.01581817,0.02507844,0.06167952,2.29007373,0.53974458,0.18549642
-5.84992496,3.44511005,0.01737955,0.02564365,0.06464856,2.39819757,0.57668513,0.19189946
-5.84392196,3.59230656,0.01900799,0.02608115,0.06749751,2.50138684,0.61373171,0.19764581
-5.83791896,3.73110247,0.02069198,0.02638666,0.07020445,2.59879991,0.65057499,0.20269086
-5.83191596,3.86032886,0.02241762,0.02655801,0.07274776,2.68961505,0.68687656,0.20699852
-5.82591296,3.97885075,0.02416861,0.02659513,0.07510604,2.77303229,0.72227137,0.21054091
-5.81990995,4.08557033,0.02592639,0.02649992,0.07725822,2.84827573,0.75637138,0.21329784
-5.81390695,4.17943183,0.02767042,0.02627617,0.07918356,2.91459724,0.78877066,0.21525623
-5.80790395,4.25942897,0.02937840,0.02592930,0.08086177,2.97128191,0.81905186,0.21640945
-5.80190095,4.32461556,0.03102677,0.02546622,0.08227322,3.01765579,0.84679392,0.21675670
-5.79589795,4.37411953,0.03259114,0.02489510,0.08339923,3.05309600,0.87158112,0.21630246
-5.78989495,4.40716044,0.03404687,0.02422511,0.08422242,3.07704335,0.89301293,0.21505610
-5.78389195,4.42306991,0.03536970,0.02346622,0.08472714,3.08901697,0.91071461,0.21303158
-5.77788894,4.42131442,0.03653642,0.02262896,0.08489998,3.08863060,0.92434798,0.21024734
-5.77188594,4.40151921,0.03752548,0.02172423,0.08473031,3.07560962,0.93362211,0.20672639
-5.76588294,4.36349195,0.03831770,0.02076309,0.08421083,3.04980791,0.93830328,0.20249645
-5.75987994,4.30724482,0.03889686,0.01975660,0.08333808,3.01122351,0.93822389,0.19759018
-5.75387694,4.23301322,0.03925020,0.01871567,0.08211293,2.96001192,0.93328985,0.19204547
-5.74787394,4.14126973,0.03936896,0.01765090,0.08054094,2.89649605,0.92348591,0.18590566
-5.74187094,4.03273200,0.03924861,0.01657252,0.07863263,2.82117177,0.90887889,0.17921965
-5.73586793,3.90836341,0.03888913,0.01549023,0.07640358,2.73470853,0.88961830,0.17204194
-5.72986493,3.76936592,0.03829502,0.01441315,0.07387441,2.63794425,0.86593443,0.16443238
-5.72386193,3.61716483,0.03747524,0.01334975,0.07107053,2.53187470,0.83813381,0.15645577
-5.71785893,3.45338555,0.03644297,0.01230776,0.06802175,2.41763713,0.80659228,0.14818124
-5.71185593,3.27982318,0.03521524,0.01129417,0.06476174,2.29648886,0.77174583,0.13968135
-5.70585293,3.09840582,0.03381244,0.01031517,0.06132736,2.16978149,0.73407956,0.13103104
-5.69984992,2.91115307,0.03225774,0.00937613,0.05775779,2.03893173,0.69411531,0.12230640
-5.69384692,2.72013150,0.03057640,0.00848156,0.05409373,1.90538997,0.65239829,0.11358334
-5.68784392,2.52740869,0.02879509,0.00763520,0.05037640,1.77060805,0.60948343,0.10493618
-5.68184092,2.33500807,0.02694114,0.00683993,0.04664668,1.63600739,0.56592184,0.09643631
-5.67583792,2.14486613,0.02504179,0.00609789,0.04294417,1.50294894,0.52224794,0.08815087
-5.66983492,1.95879384,0.02312358,0.00541049,0.03930640,1.37270596,0.47896778,0.08014161
-5.66383192,1.77844372,0.02121164,0.00477845,0.03576813,1.24644087,0.43654884,0.07246389
-5.65782891,1.60528359,0.01932924,0.00420195,0.03236080,1.12518674,0.39541178,0.06516599
-5.65182591,1.44057793,0.01749726,0.00368063,0.02911204,1.00983414,0.35592411,0.05828860
-5.64582291,1.28537709,0.01573395,0.00321376,0.02604552,0.90112349,0.31839612,0.05186467
-5.63981991,1.14051437,0.01405466,0.00280031,0.02318076,0.79964300,0.28307893,0.04591943
-5.63381691,1.00661074,0.01247173,0.00243911,0.02053329,0.70583188,0.25016467,0.04047081
-5.62781391,0.88408627,0.01099456,0.00212891,0.01811478,0.61998837,0.21978846,0.03552996
-5.62181091,0.77317758,0.00962962,0.00186854,0.01593347,0.54228193,0.19203212,0.03110209
-5.61580790,0.67395997,0.00838070,0.00165703,0.01399456,0.47276876,0.16692923,0.02718741
-5.60980490,0.58637306,0.00724917,0.00149371,0.01230076,0.41140974,0.14447121,0.02378217
-5.60380190,0.51024852,0.00623421,0.00137830,0.01085286,0.35808990,0.12461407,0.02087977
-5.59779890,0.44533865,0.00533325,0.00131104,0.00965030,0.31263848,0.10728565,0.01847194
-5.59179590,0.39134449,0.00454225,0.00129270,0.00869179,0.27484860,0.09239272,0.01654974
-5.58579290,0.34794230,0.00385609,0.00132470,0.00797579,0.24449585,0.07982802,0.01510457
-5.57978989,0.31480740,0.00326892,0.00140910,0.00750103,0.22135502,0.06947673,0.01412902
-5.57378689,0.29163458,0.00277445,0.00154861,0.00726685,0.20521440,0.06122228,0.01361752
-5.56778389,0.27815444,0.00236632,0.00174657,0.00727353,0.19588725,0.05495139,0.01356677
-5.56178089,0.27414515,0.00203824,0.00200690,0.00752240,0.19322002,0.05055809,0.01397606
-5.55577789,0.27943949,0.00178430,0.00233399,0.00801593,0.19709732,0.04794690,0.01484722
-5.54977489,0.29392709,0.00159906,0.00273261,0.00875763,0.20744347,0.04703484,0.01618438
-5.54377189,0.31755193,0.00147773,0.00320770,0.00975183,0.22422079,0.04775268,0.01799357
-5.53776888,0.35030555,0.00141618,0.00376426,0.01100338,0.24742480,0.05004510,0.02028201
-5.53176588,0.39221620,0.00141100,0.00440706,0.01251721,0.27707671,0.05387016,0.02305727
-5.52576288,0.44333470,0.00145949,0.00514041,0.01429779,0.31321350,0.05919789,0.02632623
-5.51975988,0.50371750,0.00155960,0.00596794,0.01634859,0.35587610,0.06600838,0.03009398
-5.51375688,0.57340773,0.00170985,0.00689229,0.01867142,0.40509621,0.07428931,0.03436257
-5.50775388,0.65241512,0.00190924,0.00791482,0.02126577,0.46088225,0.08403303,0.03912983
-5.50175088,0.74069541,0.00215707,0.00903539,0.02412816,0.52320501,0.09523342,0.04438811
-5.49574787,0.83813022,0.00245286,0.01025208,0.02725156,0.59198367,0.10788261,0.05012320
-5.48974487,0.94450813,0.00279614,0.01156098,0.03062481,0.66707252,0.12196753,0.05631333
