energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,2.32852744,1.54309244,0.60812038,0.01201854,0.39177317,0.48393309,0.30698934,1.15304760,0.00000000
-5.99399700,2.28992583,1.48942236,0.59207954,0.01313972,0.37220175,0.48114577,0.30888696,1.14582042,0.00000000
-5.98799400,2.25224072,1.43324402,0.57670642,0.01429471,0.35209260,0.47846777,0.31113096,1.13956150,0.00000000
-5.98199100,2.21634797,1.37551740,0.56228127,0.01547482,0.33177511,0.47602216,0.31371968,1.13456451,0.00000000
-5.97598799,2.18293103,1.31714815,0.54901781,0.01667093,0.31156337,0.47390158,0.31661826,1.13102067,0.00000000
-5.96998499,2.15247571,1.25896955,0.53706219,0.01787372,0.29175085,0.47216935,0.31976080,1.12901955,0.00000000
-5.96398199,2.12527566,1.20172888,0.52649539,0.01907403,0.27260641,0.47086259,0.32305433,1.12855532,0.00000000
-5.95797899,2.10144767,1.14607833,0.51733876,0.02026308,0.25437159,0.46999695,0.32638427,1.12953797,0.00000000
-5.95197599,2.08095557,1.09257046,0.50956227,0.02143276,0.23725914,0.46957285,0.32962106,1.13180859,0.00000000
-5.94597299,2.06364075,1.04165783,0.50309488,0.02257582,0.22145274,0.46958256,0.33262772,1.13515787,0.00000000
-5.93996998,2.04925749,0.99369646,0.49783644,0.02368601,0.20710757,0.47001770,0.33526782,1.13934650,0.00000000
-5.93396698,2.03751044,0.94895248,0.49367023,0.02475817,0.19435181,0.47087666,0.33741356,1.14412640,0.00000000
-5.92796398,2.02809214,0.90761105,0.49047557,0.02578822,0.18328851,0.47217142,0.33895337,1.14926125,0.00000000
-5.92196098,2.02071804,0.86978698,0.48813961,0.02677305,0.17399789,0.47393312,0.33979879,1.15454529,0.00000000
-5.91595798,2.01515706,0.83553609,0.48656770,0.02771040,0.16653966,0.47621615,0.33989016,1.15981920,0.00000000
-5.90995498,2.01125580,0.80486658,0.48569179,0.02859859,0.16095521,0.47910025,0.33920075,1.16498211,0.00000000
-5.90395198,2.00895516,0.77774970,0.48547638,0.02943626,0.15726955,0.48269053,0.33773937,1.16999915,0.00000000
-5.89794897,2.00829840,0.75412913,0.48592172,0.03022207,0.15549279,0.48711509,0.33555102,1.17490406,0.00000000
-5.89194597,2.00943047,0.73392879,0.48706417,0.03095438,0.15562114,0.49252056,0.33271575,1.17979684,0.00000000
