energy_ev,total_up,In_p_up,In_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,0.56791637,0.07618123,0.00097797,0.28127324,0.00000000,0.28160244,0.17892873
-5.99399700,0.59870859,0.07212528,0.00104201,0.30558395,0.00000000,0.30803596,0.18772507
-5.98799400,0.63594019,0.06905748,0.00111484,0.33302431,0.00000000,0.33756835,0.19824829
-5.98199100,0.67955450,0.06698231,0.00119643,0.36355313,0.00000000,0.37011452,0.21045353
-5.97598799,0.72942006,0.06589187,0.00128663,0.39709595,0.00000000,0.40554156,0.22427712
-5.96998499,0.78533067,0.06576667,0.00138525,0.43354391,0.00000000,0.44366689,0.23963816
-5.96398199,0.84700608,0.06657626,0.00149205,0.47275301,0.00000000,0.48425741,0.25644004
-5.95797899,0.91409315,0.06828009,0.00160673,0.51454347,0.00000000,0.52702961,0.27457216
-5.95197599,0.98616732,0.07082811,0.00172897,0.55869928,0.00000000,0.57165084,0.29391143
-5.94597299,1.06273432,0.07416158,0.00185841,0.60496796,0.00000000,0.61774166,0.31432355
-5.93996998,1.14323208,0.07821358,0.00199469,0.65306043,0.00000000,0.66487931,0.33566398
-5.93396698,1.22703275,0.08290971,0.00213742,0.70265118,0.00000000,0.71260235,0.35777867
-5.92796398,1.31344514,0.08816858,0.00228620,0.75337861,0.00000000,0.76041640,0.38050426
-5.92196098,1.40171755,0.09390242,0.00244059,0.80484590,0.00000000,0.80780083,0.40366809
-5.91595798,1.49104125,0.10001771,0.00260007,0.85662228,0.00000000,0.85421644,0.42708795
-5.90995498,1.58055487,0.10641584,0.00276408,0.90824507,0.00000000,0.89911391,0.45057164
-5.90395198,1.66935005,0.11299396,0.00293195,0.95922254,0.00000000,0.94194290,0.47391660
-5.89794897,1.75647850,0.11964594,0.00310290,1.00903769,0.00000000,0.98216158,0.49690967
-5.89194597,1.84096074,0.12626345,0.00327597,1.05715327,0.00000000,1.01924644,0.51932730
-5.88594297,1.92179682,0.13273733,0.00345005,1.10301791,0.00000000,1.05270208,0.54093616
-5.87993997,1.99797893,0.13895903,0.00362386,1.14607361,0.00000000,1.08207081,0.56149454
-5.87393697,2.06850604,0.14482225,0.00379588,1.18576440,0.00000000,1.10694180,0.58075445
-5.86793397,2.13240040,0.15022474,0.00396443,1.22154611,0.00000000,1.12695942,0.59846470
-5.86193097,2.18872553,0.15507011,0.00412759,1.25289717,0.00000000,1.14183078,0.61437469
-5.85592796,2.23660544,0.15926975,0.00428332,1.27933004,0.00000000,1.15133197,0.62823923
-5.84992496,2.27524441,0.16274462,0.00442941,1.30040295,0.00000000,1.15531305,0.63982389
-5.84392196,2.30394684,0.16542704,0.00456356,1.31573165,0.00000000,1.15370144,0.64891101
-5.83791896,2.32213624,0.16726220,0.00468345,1.32500062,0.00000000,1.14650380,0.65530599
-5.83191596,2.32937279,0.16820948,0.00478678,1.32797325,0.00000000,1.13380610,0.65884362
-5.82591296,2.32536857,0.16824347,0.00487135,1.32450069,0.00000000,1.11577210,0.65939414
-5.81990995,2.30999973,0.16735461,0.00493514,1.31452875,0.00000000,1.09264003,0.65686878
-5.81390695,2.28331501,0.16554940,0.00497641,1.29810250,0.00000000,1.06471783,0.65122441
-5.80790395,2.24554000,0.16285028,0.00499374,1.27536846,0.00000000,1.03237676,0.64246703
-5.80190095,2.19707680,0.15929501,0.00498610,1.24657387,0.00000000,0.99604385,0.63065403
