energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.70112308,0.36917888,0.91496920,0.00047035,0.30773496,0.01321620,0.11247304,0.33546408,0.23889428
-5.99399700,1.65513460,0.36080768,0.88631630,0.00048189,0.30389752,0.01380476,0.10478965,0.33267132,0.23031238
-5.98799400,1.61708394,0.35468542,0.86452897,0.00049437,0.29979439,0.01439516,0.09821859,0.33080680,0.22171488
-5.98199100,1.58663021,0.35059049,0.84915470,0.00050723,0.29552237,0.01497235,0.09272839,0.32976460,0.21322537
-5.97598799,1.56340276,0.34829349,0.83971236,0.00051990,0.29118142,0.01552158,0.08828437,0.32944779,0.20496391
-5.96998499,1.54703158,0.34756979,0.83571913,0.00053186,0.28687339,0.01602897,0.08485168,0.32977302,0.19704532
-5.96398199,1.53717658,0.34821156,0.83671563,0.00054262,0.28270117,0.01648193,0.08239815,0.33067474,0.18957797
-5.95797899,1.53355426,0.35003883,0.84228820,0.00055175,0.27876829,0.01686961,0.08089669,0.33210916,0.18266303
-5.95197599,1.53596034,0.35290904,0.85208724,0.00055891,0.27517871,0.01718333,0.08032731,0.33405739,0.17639417
-5.94597299,1.54428700,0.35672462,0.86584086,0.00056383,0.27203688,0.01741684,0.08067862,0.33652766,0.17085754
-5.93996998,1.55853378,0.36143839,0.88336326,0.00056633,0.26944766,0.01756657,0.08194870,0.33955644,0.16613206
-5.93396698,1.57881133,0.36705635,0.90455746,0.00056634,0.26751617,0.01763175,0.08414540,0.34320818,0.16228973
-5.92796398,1.60533768,0.37363786,0.92941236,0.00056389,0.26634728,0.01761444,0.08728605,0.34757368,0.15939604
-5.92196098,1.63842702,0.38129321,0.95799446,0.00055910,0.26604465,0.01751947,0.09139643,0.35276697,0.15751018
-5.91595798,1.67847132,0.39017851,0.99043448,0.00055220,0.26670933,0.01735418,0.09650932,0.35892084,0.15668502
-5.90995498,1.72591552,0.40048828,1.02690991,0.00054347,0.26843773,0.01712820,0.10266244,0.36618103,0.15696695
-5.90395198,1.78122756,0.41244592,1.06762418,0.00053329,0.27131908,0.01685305,0.10989590,0.37469943,0.15839517
-5.89794897,1.84486433,0.42629249,1.11278368,0.00052210,0.27543243,0.01654173,0.11824937,0.38462646,0.16100082
-5.89194597,1.91723547,0.44227424,1.16257374,0.00051037,0.28084330,0.01620820,0.12775894,0.39610294,0.16480569
-5.88594297,1.99866647,0.46062938,1.21713480,0.00049860,0.28760011,0.01586691,0.13845384,0.40925195,0.16982067
-5.87993997,2.08936310,0.48157460,1.27654001,0.00048729,0.29573064,0.01553227,0.15035306,0.42417091,0.17604404
-5.87393697,2.18937881,0.50529190,1.34077525,0.00047694,0.30523867,0.01521819,0.16346214,0.44092440,0.18345965
-5.86793397,2.29858668,0.53191625,1.40972269,0.00046803,0.31610113,0.01493759,0.17777011,0.45953801,0.19203515
-5.86193097,2.41665755,0.56152442,1.48314858,0.00046098,0.32826587,0.01470208,0.19324668,0.47999356,0.20172043
-5.85592796,2.54304529,0.59412568,1.56069581,0.00045617,0.34165030,0.01452159,0.20983995,0.50222607,0.21244637
-5.84992496,2.67698018,0.62965445,1.64188171,0.00045389,0.35614114,0.01440419,0.22747460,0.52612247,0.22412405
-5.84392196,2.81747093,0.66796543,1.72610102,0.00045438,0.37159529,0.01435592,0.24605061,0.55152238,0.23664456
-5.83791896,2.96331538,0.70883126,1.81263411,0.00045779,0.38784202,0.01438082,0.26544279,0.57822096,0.24987954
-5.83191596,3.11311977,0.75194298,1.90065976,0.00046417,0.40468639,0.01448094,0.28550093,0.60597362,0.26368243
-5.82591296,3.26532597,0.79691323,1.98927242,0.00047350,0.42191400,0.01465650,0.30605085,0.63450268,0.27789061
-5.81990995,3.41824576,0.84328227,2.07750273,0.00048565,0.43929675,0.01490611,0.32689617,0.66350553,0.29232833
-5.81390695,3.57010112,0.89052655,2.16434095,0.00050042,0.45659972,0.01522705,0.34782093,0.69266419,0.30681040
-5.80790395,3.71906891,0.93806973,2.24876204,0.00051754,0.47358858,0.01561558,0.36859304,0.72165579,0.32114661
-5.80190095,3.86332866,0.98529588,2.32975168,0.00053667,0.49003766,0.01606730,0.38896842,0.75016354,0.33514671
-5.79589795,4.00111145,1.03156431,2.40633215,0.00055739,0.50573798,0.01657745,0.40869583,0.77788783,0.34862583
-5.78989495,4.13074840,1.07622580,2.47758726,0.00057926,0.52050508,0.01714129,0.42752228,0.80455697,0.36141003
-5.78389195,4.25071677,1.11863958,2.54268528,0.00060179,0.53418638,0.01775430,0.44519886,0.82993709,0.37334188
-5.77788894,4.35968207,1.15819057,2.60089935,0.00062448,0.54666742,0.01841250,0.46148676,0.85384081,0.38428582
-5.77188594,4.45653455,1.19430622,2.65162450,0.00064681,0.55787697,0.01911251,0.47616349,0.87613423,0.39413291
-5.76588294,4.54041860,1.22647243,2.69439072,0.00066827,0.56779055,0.01985171,0.48902884,0.89674201,0.40280491
