energy_ev,total_up,Pb_p_up,Pb_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,3.75803240,0.09469548,0.00222704,0.94552051,1.92090455,0.00948736,2.14053659
-5.99399700,4.04566979,0.10341245,0.00241671,1.02565653,2.05533861,0.01040113,2.30697350
-5.98799400,4.34493872,0.11252650,0.00261104,1.10881600,2.19622580,0.01135469,2.48015179
-5.98199100,4.65347869,0.12192755,0.00280792,1.19429122,2.34278922,0.01233567,2.65873542
-5.97598799,4.96857930,0.13149560,0.00300508,1.28129118,2.49406673,0.01333067,2.84118522
-5.96998499,5.28720291,0.14110271,0.00320013,1.36895206,2.64890735,0.01432543,3.02577209
-5.96398199,5.60602289,0.15061550,0.00339060,1.45635141,2.80597535,0.01530517,3.21059908
-5.95797899,5.92147723,0.15989820,0.00357401,1.54252571,2.96376256,0.01625484,3.39363221
-5.95197599,6.22983675,0.16881612,0.00374789,1.62649088,3.12060916,0.01715951,3.57273953
-5.94597299,6.52728611,0.17723942,0.00390986,1.70726520,3.27473285,0.01800480,3.74573752
-5.93996998,6.81001535,0.18504707,0.00405771,1.78389384,3.42426589,0.01877722,3.91044326
-5.93396698,7.07431866,0.19213081,0.00418942,1.85547409,3.56729880,0.01946466,4.06473082
-5.92796398,7.31669684,0.19839893,0.00430324,1.92118053,3.70192954,0.02005673,4.20658957
-5.92196098,7.53395945,0.20377970,0.00439773,1.98028896,3.82631643,0.02054519,4.33418231
-5.91595798,7.72332239,0.20822421,0.00447182,2.03219824,3.93873262,0.02092422,4.44590075
-5.90995498,7.88249680,0.21170863,0.00452481,2.07644922,4.03762021,0.02119069,4.54041607
-5.90395198,8.00976548,0.21423550,0.00455643,2.11273986,4.12164158,0.02134432,4.61672237
-5.89794897,8.10404328,0.21583418,0.00456680,2.14093601,4.18972592,0.02138778,4.67417100
-5.89194597,8.16491886,0.21656025,0.00455648,2.16107745,4.24110873,0.02132663,4.71249448
-5.88594297,8.19267581,0.21649401,0.00452641,2.17337885,4.27536275,0.02116923,4.73181869
-5.87993997,8.18829214,0.21573793,0.00447788,2.17822583,4.29241878,0.02092651,4.73266296
-5.87393697,8.15341829,0.21441326,0.00441252,2.17616623,4.29257554,0.02061166,4.71592805
-5.86793397,8.09033441,0.21265600,0.00433224,2.16789708,4.27649807,0.02023974,4.68287257
-5.86193097,8.00188917,0.21061217,0.00423915,2.15424790,4.24520489,0.01982722,4.63507908
-5.85592796,7.89142267,0.20843289,0.00413553,2.13616117,4.20004432,0.01939151,4.57441134
-5.84992496,7.76267703,0.20626920,0.00402373,2.11467074,4.14266125,0.01895041,4.50296475
-5.84392196,7.61969856,0.20426706,0.00390615,2.09087919,4.07495575,0.01852157,4.42301222
-5.83791896,7.46673575,0.20256260,0.00378516,2.06593511,3.99903536,0.01812200,4.33694777
-5.83191596,7.30813714,0.20127797,0.00366305,2.04101099,3.91716310,0.01776760,4.24723019
-5.82591296,7.14825307,0.20051777,0.00354196,2.01728264,3.83170326,0.01747269,4.15632900
-5.81990995,6.99134461,0.20036637,0.00342390,1.99591050,3.74506704,0.01724967,4.06667451
-5.81390695,6.84150252,0.20088610,0.00331067,1.97802336,3.65965987,0.01710874,3.98061347
-5.80790395,6.70257797,0.20211632,0.00320384,1.96470444,3.57783211,0.01705765,3.90037129
-5.80190095,6.57812614,0.20407346,0.00310478,1.95697984,3.50183417,0.01710162,3.82802135
-5.79589795,6.47136260,0.20675183,0.00301463,1.95580889,3.43377701,0.01724326,3.76546124
-5.78989495,6.38513170,0.21012522,0.00293432,1.96207600,3.37559845,0.01748260,3.71439540
-5.78389195,6.32188544,0.21414905,0.00286455,1.97658323,3.32903497,0.01781720,3.67632311
-5.77788894,6.28367036,0.21876292,0.00280586,2.00004289,3.29559901,0.01824227,3.65253059
-5.77188594,6.27212034,0.22389342,0.00275857,2.03306957,3.27656068,0.01875088,3.64408553
-5.76588294,6.28845227,0.22945706,0.00272286,2.07617067,3.27293337,0.01933418,3.65183268
-5.75987994,6.33346243,0.23536302,0.00269877,2.12973535,3.28546211,0.01998169,3.67638893
-5.75387694,6.40752144,0.24151577,0.00268618,2.19402130,3.31461392,0.02068148,3.71813682
-5.74787394,6.51056632,0.24781727,0.00268485,2.26913969,3.36056948,0.02142053,3.77721563
-5.74187094,6.64208930,0.25416887,0.00269439,2.35503847,3.42321568,0.02218494,3.85350995
-5.73586793,6.80112346,0.26047280,0.00271431,2.45148488,3.50213906,0.02296020,3.94663580
-5.72986493,6.98622666,0.26663318,0.00274397,2.55804810,3.59662035,0.02373148,4.05592542
-5.72386193,7.19546575,0.27255683,0.00278258,2.67408341,3.70563096,0.02448384,4.18041200
-5.71785893,7.42640392,0.27815375,0.00282922,2.79871927,3.82783227,0.02520252,4.31881615
-5.71185593,7.67609458,0.28333753,0.00288283,2.93084893,3.96157910,0.02587318,4.46953638
-5.70585293,7.94108515,0.28802570,0.00294217,3.06912804,4.10492876,0.02648210,4.63064572
-5.69984992,8.21743438,0.29214022,0.00300588,3.21197980,4.25565696,0.02701653,4.79989684
