energy_ev,total_up,C_s_up,C_p_up,Li_s_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.53309362,0.01919745,0.07690289,0.39455743,0.02237474,0.86370767,0.37290334,0.15859950
-5.99399700,1.55380098,0.01931646,0.07961505,0.39346714,0.02335663,0.87278822,0.37448516,0.16125421
-5.98799400,1.56889462,0.01935732,0.08191154,0.39082499,0.02425630,0.87900513,0.37477301,0.16326532
-5.98199100,1.57844453,0.01932231,0.08375270,0.38685981,0.02506313,0.88248330,0.37386367,0.16461955
-5.97598799,1.58264615,0.01921494,0.08510775,0.38184219,0.02576833,0.88341414,0.37188267,0.16531742
-5.96998499,1.58181970,0.01903990,0.08595589,0.37607667,0.02636520,0.88205297,0.36898156,0.16537377
-5.96398199,1.57640582,0.01880300,0.08628722,0.36989280,0.02684938,0.87871437,0.36533429,0.16481783
-5.95797899,1.56695710,0.01851096,0.08610324,0.36363547,0.02721900,0.87376561,0.36113273,0.16369288
-5.95197599,1.55412562,0.01817131,0.08541701,0.35765472,0.02747471,0.86761793,0.35658144,0.16205532
-5.94597299,1.53864641,0.01779219,0.08425289,0.35229553,0.02761966,0.86071602,0.35189181,0.15997339
-5.93996998,1.52131752,0.01738209,0.08264591,0.34788763,0.02765935,0.85352584,0.34727573,0.15752529
-5.93396698,1.50297688,0.01694971,0.08064079,0.34473591,0.02760135,0.84652102,0.34293897,0.15479706
-5.92796398,1.48447697,0.01650365,0.07829061,0.34311155,0.02745494,0.84016847,0.33907460,0.15188000
-5.92196098,1.46665812,0.01605221,0.07565518,0.34324424,0.02723075,0.83491347,0.33585659,0.14886797
-5.91595798,1.45032150,0.01560315,0.07279929,0.34531561,0.02694023,0.83116513,0.33343397,0.14585451
-5.90995498,1.43620298,0.01516347,0.06979071,0.34945428,0.02659515,0.82928250,0.33192567,0.14293005
-5.90395198,1.42494907,0.01473921,0.06669828,0.35573239,0.02620711,0.82956232,0.33141648,0.14017924
-5.89794897,1.41709609,0.01433529,0.06358990,0.36416403,0.02578703,0.83222878,0.33195418,0.13767849
-5.89194597,1.41305363,0.01395536,0.06053070,0.37470544,0.02534469,0.83742605,0.33354820,0.13549404
-5.88594297,1.41309316,0.01360179,0.05758144,0.38725699,0.02488839,0.84521395,0.33616973,0.13368039
-5.87993997,1.41734262,0.01327557,0.05479700,0.40166704,0.02442465,0.85556706,0.33975353,0.13227938
-5.87393697,1.42578712,0.01297640,0.05222535,0.41773737,0.02395802,0.86837763,0.34420132,0.13131981
-5.86793397,1.43827618,0.01270272,0.04990665,0.43523024,0.02349105,0.88346210,0.34938670,0.13081779
-5.86193097,1.45453690,0.01245191,0.04787285,0.45387657,0.02302428,0.90057114,0.35516137,0.13077756
-5.85592796,1.47419284,0.01222043,0.04614750,0.47338532,0.02255649,0.91940282,0.36136249,0.13119298
-5.84992496,1.49678739,0.01200407,0.04474592,0.49345337,0.02208486,0.93961831,0.36782080,0.13204939
-5.84392196,1.52181080,0.01179818,0.04367568,0.51377590,0.02160537,0.96085940,0.37436912,0.13332589
-5.83791896,1.54872924,0.01159795,0.04293725,0.53405655,0.02111318,0.98276694,0.38085087,0.13499777
-5.83191596,1.57701447,0.01139868,0.04252491,0.55401725,0.02060303,1.00499936,0.38712821,0.13703908
-5.82591296,1.60617255,0.01119604,0.04242777,0.57340711,0.02006972,1.02725016,0.39308935,0.13942502
-5.81990995,1.63577006,0.01098629,0.04263083,0.59201019,0.01950850,1.04926350,0.39865457,0.14213417
-5.81390695,1.66545623,0.01076649,0.04311611,0.60965157,0.01891544,1.07084704,0.40378082,0.14515024
-5.80790395,1.69497988,0.01053466,0.04386368,0.62620172,0.01828780,1.09188107,0.40846443,0.14846343
-5.80190095,1.72420004,0.01028984,0.04485265,0.64157878,0.01762421,1.11232363,0.41274184,0.15207103
-5.79589795,1.75308968,0.01003218,0.04606197,0.65574857,0.01692490,1.13221090,0.41668824,0.15597753
-5.78989495,1.78173214,0.00976290,0.04747115,0.66872258,0.01619169,1.15165308,0.42041416,0.16019391
-5.78389195,1.81031040,0.00948421,0.04906069,0.68055361,0.01542805,1.17082545,0.42406004,0.16473629
-5.77788894,1.83908964,0.00919919,0.05081236,0.69132960,0.01463896,1.18995533,0.42778911,0.16962403
-5.77188594,1.86839405,0.00891165,0.05270937,0.70116561,0.01383075,1.20930532,0.43177876,0.17487724
-5.76588294,1.89857884,0.00862589,0.05473620,0.71019451,0.01301088,1.22915366,0.43621087,0.18051394
-5.75987994,1.92999931,0.00834654,0.05687845,0.71855669,0.01218766,1.24977282,0.44126153,0.18654704
-5.75387694,1.96297833,0.00807828,0.05912245,0.72638931,0.01136997,1.27140729,0.44709058,0.19298126
-5.74787394,1.99777424,0.00782564,0.06145489,0.73381563,0.01056697,1.29425190,0.45383149,0.19981015
-5.74187094,2.03455100,0.00759282,0.06386234,0.74093494,0.00978779,1.31843179,0.46158216,0.20701361
-5.73586793,2.07335231,0.00738347,0.06633090,0.74781359,0.00904130,1.34398531,0.47039701,0.21455580
-5.72986493,2.11408137,0.00720057,0.06884577,0.75447770,0.00833583,1.37085077,0.48028077,0.22238381
-5.72386193,2.15648760,0.00704634,0.07139104,0.76090787,0.00767904,1.39885799,0.49118443,0.23042718
