energy_ev,total_up,Ag_p_up,Ag_d_up,Ga_p_up,Ga_d_up,S_s_up,S_p_up
-5.63981991,5.82910655,0.54713688,5.52897057,0.13707657,0.00000000,0.00879929,0.07866514
-5.63381691,5.88508049,0.53378143,5.59202738,0.13404598,0.00000000,0.00849651,0.07752511
-5.62781391,5.93772850,0.52049240,5.65179935,0.13099725,0.00000000,0.00821427,0.07642262
-5.62181091,5.98626560,0.50736626,5.70746861,0.12791361,0.00000000,0.00795260,0.07535854
-5.61580790,6.03005743,0.49449858,5.75836566,0.12477955,0.00000000,0.00771069,0.07433561
-5.60980490,6.06864325,0.48198567,5.80399159,0.12158212,0.00000000,0.00748709,0.07335873
-5.60380190,6.10175269,0.46992578,5.84403414,0.11831203,0.00000000,0.00727992,0.07243517
-5.59779890,6.12931520,0.45841975,5.87837698,0.11496458,0.00000000,0.00708701,0.07157457
-5.59179590,6.15146180,0.44757090,5.90710153,0.11154037,0.00000000,0.00690614,0.07078891
-5.58579290,6.16851873,0.43748420,5.93048117,0.10804571,0.00000000,0.00673519,0.07009219
-5.57978989,6.18099345,0.42826475,5.94896809,0.10449276,0.00000000,0.00657233,0.06950012
-5.57378689,6.18955328,0.42001556,5.96317325,0.10089943,0.00000000,0.00641611,0.06902952
-5.56778389,6.19499784,0.41283486,5.97384033,0.09728897,0.00000000,0.00626557,0.06869768
-5.56178089,6.19822628,0.40681305,5.98181469,0.09368937,0.00000000,0.00612030,0.06852165
-5.55577789,6.20020073,0.40202951,5.98800872,0.09013254,0.00000000,0.00598044,0.06851737
-5.54977489,6.20190748,0.39854937,5.99336482,0.08665339,0.00000000,0.00584669,0.06869890
-5.54377189,6.20431745,0.39642065,5.99881771,0.08328871,0.00000000,0.00572021,0.06907758
-5.53776888,6.20834761,0.39567174,6.00525736,0.08007615,0.00000000,0.00560261,0.06966133
-5.53176588,6.21482476,0.39630947,6.01349406,0.07705307,0.00000000,0.00549579,0.07045406
-5.52576288,6.22445324,0.39831803,6.02422701,0.07425548,0.00000000,0.00540186,0.07145519
-5.51975988,6.23778765,0.40165859,6.03801752,0.07171708,0.00000000,0.00532300,0.07265938
-5.51375688,6.25521172,0.40626986,6.05526790,0.06946836,0.00000000,0.00526139,0.07405651
-5.50775388,6.27692422,0.41206956,6.07620685,0.06753586,0.00000000,0.00521907,0.07563185
-5.50175088,6.30293230,0.41895670,6.10088184,0.06594159,0.00000000,0.00519787,0.07736646
-5.49574787,6.33305272,0.42681465,6.12915896,0.06470258,0.00000000,0.00519936,0.07923777
-5.48974487,6.36692086,0.43551477,6.16073015,0.06383060,0.00000000,0.00522483,0.08122044
-5.48374187,6.40400739,0.44492060,6.19512773,0.06333205,0.00000000,0.00527525,0.08328732
-5.47773887,6.44364190,0.45489229,6.23174582,0.06320799,0.00000000,0.00535137,0.08541045
-5.47173587,6.48504291,0.46529107,6.26986780,0.06345430,0.00000000,0.00545375,0.08756229
-5.46573287,6.52735303,0.47598372,6.30869918,0.06406200,0.00000000,0.00558286,0.08971678
-5.45972986,6.56967815,0.48684654,6.34740438,0.06501762,0.00000000,0.00573923,0.09185048
-5.45372686,6.61112917,0.49776907,6.38514642,0.06630377,0.00000000,0.00592357,0.09394347
-5.44772386,6.65086484,0.50865701,6.42112786,0.06789965,0.00000000,0.00613695,0.09598025
-5.44172086,6.68813388,0.51943450,6.45463152,0.06978176,0.00000000,0.00638093,0.09795035
-5.43571786,6.72231491,0.53004572,6.48505926,0.07192461,0.00000000,0.00665779,0.09984873
-5.42971486,6.75295242,0.54045562,6.51196733,0.07430143,0.00000000,0.00697060,0.10167602
-5.42371186,6.77978733,0.55065005,6.53509662,0.07688500,0.00000000,0.00732341,0.10343849
-5.41770885,6.80278082,0.56063530,6.55439656,0.07964841,0.00000000,0.00772133,0.10514782
-5.41170585,6.82213012,0.57043710,6.57004139,0.08256589,0.00000000,0.00817059,0.10682072
-5.40570285,6.83827569,0.58009938,6.58243787,0.08561359,0.00000000,0.00867862,0.10847839
-5.39969985,6.85189891,0.58968283,6.59222395,0.08877031,0.00000000,0.00925399,0.11014589
-5.39369685,6.86391045,0.59926339,6.60025796,0.09201828,0.00000000,0.00990634,0.11185142
-5.38769385,6.87542908,0.60893091,6.60759857,0.09534374,0.00000000,0.01064631,0.11362559
-5.38169085,6.88775188,0.61878782,6.61547590,0.09873751,0.00000000,0.01148534,0.11550077
-5.37568784,6.90231628,0.62894807,6.62525469,0.10219543,0.00000000,0.01243546,0.11751032
-5.36968484,6.92065535,0.63953612,6.63839062,0.10571860,0.00000000,0.01350905,0.11968801
-5.36368184,6.94434764,0.65068602,6.65638115,0.10931347,0.00000000,0.01471845,0.12206742
-5.35767884,6.97496308,0.66254031,6.68071273,0.11299173,0.00000000,0.01607571,0.12468138
-5.35167584,7.01400683,0.67524870,6.71280581,0.11676990,0.00000000,0.01759210,0.12756139
-5.34567284,7.06286269,0.68896624,6.75395986,0.12066876,0.00000000,0.01927778,0.13073714
-5.33966983,7.12273799,0.70385086,6.80530009,0.12471247,0.00000000,0.02114132,0.13423586
-5.33366683,7.19461168,0.72006006,6.86772764,0.12892739,0.00000000,0.02318929,0.13808167
-5.32766383,7.27918729,0.73774667,6.94187515,0.13334075,0.00000000,0.02542580,0.14229489
-5.32166083,7.37685238,0.75705364,7.02806910,0.13797906,0.00000000,0.02785215,0.14689116
-5.31565783,7.48764580,0.77810787,7.12630035,0.14286634,0.00000000,0.03046645,0.15188054
-5.30965483,7.61123402,0.80101317,7.23620401,0.14802232,0.00000000,0.03326327,0.15726649
-5.30365183,7.74689759,0.82584263,7.35704961,0.15346053,0.00000000,0.03623347,0.16304483
-5.29764882,7.89352844,0.85263069,7.48774206,0.15918649,0.00000000,0.03936399,0.16920270
-5.29164582,8.04963869,0.88136525,7.62683396,0.16519608,0.00000000,0.04263782,0.17571756
-5.28564282,8.21338113,0.91198030,7.77254911,0.17147408,0.00000000,0.04603404,0.18255633
-5.27963982,8.38258148,0.94434961,7.92281723,0.17799310,0.00000000,0.04952803,0.18967476
-5.27363682,8.55478204,0.97828179,8.07531907,0.18471294,0.00000000,0.05309175,0.19701701
-5.26763382,8.72729597,1.01351745,8.22754126,0.19158035,0.00000000,0.05669419,0.20451570
-5.26163082,8.89727135,1.04972852,8.37683946,0.19852944,0.00000000,0.06030195,0.21209223
-5.25562781,9.06176324,1.08652042,8.52050833,0.20548260,0.00000000,0.06387989,0.21965770
-5.24962481,9.21781211,1.12343699,8.65585638,0.21235195,0.00000000,0.06739198,0.22711419
-5.24362181,9.36252629,1.15996834,8.78028327,0.21904143,0.00000000,0.07080215,0.23435661
-5.23761881,9.49316570,1.19556161,8.89135732,0.22544930,0.00000000,0.07407526,0.24127501
-5.23161581,9.60722412,1.22963424,8.98689006,0.23147106,0.00000000,0.07717807,0.24775717
-5.22561281,9.70250669,1.26158949,9.06500531,0.23700268,0.00000000,0.08008019,0.25369174
-5.21960980,9.77719957,1.29083363,9.12419958,0.24194400,0.00000000,0.08275509,0.25897137
-5.21360680,9.82992852,1.31679402,9.16339122,0.24620210,0.00000000,0.08518088,0.26349611
-5.20760380,9.85980357,1.33893757,9.18195559,0.24969461,0.00000000,0.08734105,0.26717672
-5.20160080,9.86644721,1.35678859,9.17974438,0.25235265,0.00000000,0.08922505,0.26993778
-5.19559780,9.85000412,1.36994521,9.15708733,0.25412344,0.00000000,0.09082864,0.27172047
-5.18959480,9.81113145,1.37809379,9.11477566,0.25497228,0.00000000,0.09215398,0.27248494
-5.18359180,9.75096902,1.38102035,9.05402725,0.25488383,0.00000000,0.09320956,0.27221205
-5.17758879,9.67109027,1.37861863,8.97643432,0.25386279,0.00000000,0.09400978,0.27090438
-5.17158579,9.57343546,1.37089428,8.88389546,0.25193366,0.00000000,0.09457429,0.26858656
-5.16558279,9.46022975,1.35796489,8.77853480,0.24913978,0.00000000,0.09492716,0.26530473
-5.15957979,9.33388949,1.34005587,8.66261151,0.24554165,0.00000000,0.09509571,0.26112522
-5.15357679,9.19692102,1.31749226,8.53842396,0.24121459,0.00000000,0.09510928,0.25613246
-5.14757379,9.05181672,1.29068693,8.40821285,0.23624577,0.00000000,0.09499784,0.25042616
-5.14157079,8.90095311,1.26012553,8.27406821,0.23073093,0.00000000,0.09479053,0.24411800
-5.13556778,8.74649634,1.22634911,8.13784464,0.22477077,0.00000000,0.09451427,0.23732780
-5.12956478,8.59031953,1.18993501,8.00108944,0.21846732,0.00000000,0.09419236,0.23017943
-5.12356178,8.43393624,1.15147699,7.86498695,0.21192035,0.00000000,0.09384340,0.22279668
-5.11755878,8.27845341,1.11156559,7.73032221,0.20522408,0.00000000,0.09348026,0.21529911
-5.11155578,8.12454610,1.07076945,7.59746569,0.19846421,0.00000000,0.09310943,0.20779834
-5.10555278,7.97245496,1.02961844,7.46637966,0.19171564,0.00000000,0.09273072,0.20039462
-5.09954977,7.82200650,0.98858946,7.33664585,0.18504063,0.00000000,0.09233717,0.19317405
-5.09354677,7.67265446,0.94809515,7.20751245,0.17848775,0.00000000,0.09191548,0.18620656
-5.08754377,7.52353986,0.90847612,7.07795777,0.17209150,0.00000000,0.09144663,0.17954455
-5.08154077,7.37356591,0.86999679,6.94676683,0.16587259,0.00000000,0.09090692,0.17322248
-5.07553777,7.22148340,0.83284477,6.81261628,0.15983887,0.00000000,0.09026918,0.16725714
-5.06953477,7.06598167,0.79713368,6.67416302,0.15398672,0.00000000,0.08950424,0.16164881
-5.06353177,6.90577988,0.76290894,6.53013143,0.14830302,0.00000000,0.08858246,0.15638310
-5.05752876,6.73971361,0.73015616,6.37939449,0.14276724,0.00000000,0.08747530,0.15143334
-5.05152576,6.56681224,0.69881138,6.22104451,0.13735381,0.00000000,0.08615691,0.14676348
-5.04552276,6.38636312,0.66877272,6.05445004,0.13203451,0.00000000,0.08460551,0.14233132
-5.03951976,6.19795963,0.63991260,5.87929613,0.12678078,0.00000000,0.08280460,0.13809188
-5.03351676,6.00153114,0.61209005,5.69560671,0.12156574,0.00000000,0.08074393,0.13400082
-5.02751376,5.79735429,0.58516233,5.50374847,0.11636605,0.00000000,0.07842016,0.13001768
-5.02151076,5.58604578,0.55899563,5.30441698,0.11116336,0.00000000,0.07583721,0.12610892
-5.01550775,5.36853832,0.53347421,5.09860684,0.10594530,0.00000000,0.07300627,0.12225057
-5.00950475,5.14604194,0.50850789,4.88756835,0.10070613,0.00000000,0.06994546,0.11843039
-5.00350175,4.91999388,0.48403759,4.67275390,0.09544702,0.00000000,0.06667926,0.11464953
-4.99749875,4.69200057,0.46003901,4.45575767,0.09017582,0.00000000,0.06323770,0.11092365
-4.99149575,4.46377536,0.43652438,4.23825250,0.08490664,0.00000000,0.05965525,0.10728339
-4.98549275,4.23707586,0.41354259,4.02192742,0.07965910,0.00000000,0.05596970,0.10377436
-4.97948974,4.01364417,0.39117771,3.80842927,0.07445741,0.00000000,0.05222090,0.10045651
-4.97348674,3.79515301,0.36954639,3.59931121,0.06932930,0.00000000,0.04844953,0.09740300
-4.96748374,3.58315999,0.34879426,3.39599013,0.06430495,0.00000000,0.04469586,0.09469869
-4.96148074,3.37907163,0.32909175,3.19971450,0.05941588,0.00000000,0.04099869,0.09243812
-4.95547774,3.18411778,0.31062950,3.01154317,0.05469397,0.00000000,0.03739435,0.09072330
-4.94947474,2.99933667,0.29361370,2.83233504,0.05017057,0.00000000,0.03391597,0.08966113
-4.94347174,2.82556976,0.27826150,2.66274871,0.04587581,0.00000000,0.03059286,0.08936069
-4.93746873,2.66346532,0.26479678,2.50325093,0.04183802,0.00000000,0.02745014,0.08993046
-4.93146573,2.51348913,0.25344623,2.35413201,0.03808342,0.00000000,0.02450854,0.09147538
-4.92546273,2.37594041,0.24443588,2.21552626,0.03463597,0.00000000,0.02178445,0.09409404
-4.91945973,2.25097116,0.23798813,2.08743551,0.03151739,0.00000000,0.01929004,0.09787591
-4.91345673,2.13860702,0.23431917,1.96975376,0.02874733,0.00000000,0.01703361,0.10289870
-4.90745373,2.03876803,0.23363681,1.86229122,0.02634373,0.00000000,0.01502005,0.10922597
-4.90145073,1.95128799,0.23613849,1.76479653,0.02432315,0.00000000,0.01325130,0.11690498
-4.89544772,1.87593155,0.24200954,1.67697595,0.02270129,0.00000000,0.01172698,0.12596484
-4.88944472,1.81240832,0.25142141,1.59850916,0.02149343,0.00000000,0.01044494,0.13641506
