energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,8.85721715,0.00973999,1.64032484,3.42064177,3.60113773,0.06577690,2.53850284,0.49838809,0.19388232
-5.99399700,9.01237174,0.01033489,1.64451029,3.52095554,3.62766303,0.06585199,2.61865740,0.53142287,0.20085355
-5.98799400,9.15752794,0.01094665,1.64670358,3.62039037,3.64842504,0.06563602,2.69618853,0.56668836,0.20781032
-5.98199100,9.29182086,0.01157165,1.64718235,3.71814202,3.66388457,0.06512696,2.77024165,0.60367080,0.21469012
-5.97598799,9.41456148,0.01220558,1.64628144,3.81337812,3.67464064,0.06432995,2.83997407,0.64179380,0.22142739
-5.96998499,9.52520000,0.01284341,1.64437804,3.90523650,3.68139962,0.06325678,2.90455556,0.68042855,0.22795293
-5.96398199,9.62328780,0.01347940,1.64187618,3.99282661,3.68494245,0.06192514,2.96316931,0.71890615,0.23419351
-5.95797899,9.70844175,0.01410702,1.63919136,4.07523486,3.68609167,0.06035764,3.01501425,0.75653167,0.24007177
-5.95197599,9.78031460,0.01471908,1.63673611,4.15153490,3.68567995,0.05858075,3.05930953,0.79259974,0.24550646
-5.94597299,9.83857390,0.01530774,1.63490709,4.22080310,3.68452164,0.05662369,3.09530170,0.82641119,0.25041316
-5.93996998,9.88289154,0.01586464,1.63407401,4.28213902,3.68338808,0.05451721,3.12227524,0.85729042,0.25470545
-5.93396698,9.91294424,0.01638106,1.63457071,4.33469025,3.68298747,0.05229255,3.13956622,0.88460272,0.25829666
-5.92796398,9.92842484,0.01684810,1.63668828,4.37768046,3.68394927,0.04998035,3.14657898,0.90777120,0.26110194
-5.92196098,9.92906260,0.01725692,1.64067003,4.41043894,3.68681286,0.04760985,3.14280508,0.92629250,0.26304080
-5.91595798,9.91465014,0.01759898,1.64670804,4.43242992,3.69202001,0.04520813,3.12784374,0.93975087,0.26403989
-5.90995498,9.88507382,0.01786636,1.65494083,4.44327931,3.69991012,0.04279958,3.10142241,0.94782997,0.26403585
-5.90395198,9.84034416,0.01805197,1.66545181,4.44279715,3.71071754,0.04040559,3.06341628,0.95032192,0.26297819
-5.89794897,9.78062267,0.01814987,1.67826791,4.43099373,3.72456981,0.03804438,3.01386526,0.94713328,0.26083191
-5.89194597,9.70624201,0.01815550,1.69335834,4.40808796,3.74148629,0.03573102,2.95298725,0.93828762,0.25757977
-5.88594297,9.61771694,0.01806592,1.71063313,4.37450703,3.76137648,0.03347758,2.88118636,0.92392464,0.25322402
-5.87993997,9.51574424,0.01787995,1.72994153,4.33087714,3.78403790,0.03129345,2.79905539,0.90429589,0.24778755
-5.87393697,9.40119131,0.01759831,1.75107038,4.27800541,3.80915359,0.02918562,2.70737186,0.87975720,0.24131421
-5.86793397,9.27507363,0.01722366,1.77374291,4.21685415,3.83628980,0.02715921,2.60708755,0.85075819,0.23386849
-5.86193097,9.13852290,0.01676059,1.79761821,4.14850884,3.86489463,0.02521779,2.49931169,0.81782932,0.22553434
-5.85592796,8.99274826,0.01621556,1.82229228,4.07414211,3.89429856,0.02336390,2.38528843,0.78156700,0.21641333
-5.84992496,8.83899389,0.01559668,1.84730085,3.99497573,3.92371821,0.02159939,2.26636955,0.74261739,0.20662216
-5.84392196,8.67849653,0.01491361,1.87212492,3.91224342,3.95226423,0.01992578,2.14398360,0.70165951,0.19628963
-5.83791896,8.51244670,0.01417723,1.89619913,3.82715660,3.97895450,0.01834457,2.01960287,0.65938826,0.18555329
-5.83191596,8.34195702,0.01339937,1.91892353,3.74087530,4.00273325,0.01685743,1.89470969,0.61649809,0.17455586
-5.82591296,8.16804036,0.01259251,1.93967855,3.65448591,4.02249642,0.01546634,1.77076337,0.57366772,0.16344158
-5.81990995,7.99159995,0.01176943,1.95784311,3.56898681,4.03712311,0.01417369,1.64916940,0.53154638,0.15235269
-5.81390695,7.81343208,0.01094290,1.97281534,3.48528222,4.04551237,0.01298230,1.53125173,0.49074198,0.14142620
-5.80790395,7.63424132,0.01012537,1.98403505,3.40418417,4.04662409,0.01189539,1.41822926,0.45181140,0.13079095
-5.80190095,7.45466662,0.00932869,1.99100712,3.32642133,4.03952225,0.01091648,1.31119702,0.41525291,0.12056518
-5.79589795,7.27531597,0.00856386,1.99332430,3.25265330,4.02341837,0.01004934,1.21111237,0.38150092,0.11085462
-5.78989495,7.09680608,0.00784085,1.99068848,3.18348831,3.99771275,0.00929783,1.11878620,0.35092269,0.10175109
-5.78389195,6.91980334,0.00716838,1.98292876,3.11950199,3.96203104,0.00866579,1.03487882,0.32381703,0.09333168
-5.77788894,6.74506178,0.00655391,1.97001523,3.06125474,3.91625358,0.00815689,0.95990014,0.30041464,0.08565839
-5.77188594,6.57345414,0.00600350,1.95206730,3.00930565,3.86053550,0.00777455,0.89421340,0.28087981,0.07877825
-5.76588294,6.40599247,0.00552183,1.92935581,2.96422082,3.79531570,0.00752177,0.83804177,0.26531318,0.07272380
-5.75987994,6.24383551,0.00511223,1.90229834,2.92657476,3.72131366,0.00740107,0.79147709,0.25375539,0.06751394
-5.75387694,6.08828126,0.00477673,1.87144766,2.89694411,3.63951363,0.00741439,0.75449000,0.24619115,0.06315493
-5.74787394,5.94074412,0.00451618,1.83747359,2.87589347,3.55113641,0.00756302,0.72694093,0.24255384,0.05964160
-5.74187094,5.80271751,0.00433032,1.80113906,2.86395414,3.45759988,0.00784761,0.70859134,0.24273015,0.05695864
-5.73586793,5.67572393,0.00421796,1.76327131,2.86159707,3.36047004,0.00826811,0.69911506,0.24656497,0.05508195
-5.72986493,5.56125543,0.00417709,1.72472984,2.86920187,3.26140478,0.00882379,0.69810943,0.25386623,0.05397994
-5.72386193,5.46070855,0.00420504,1.68637254,2.88702448,3.16209347,0.00951332,0.70510612,0.26440985,0.05361486
-5.71785893,5.37531807,0.00429865,1.64902185,2.91516599,3.06419515,0.01033477,0.71958196,0.27794477,0.05394409
-5.71185593,5.30609421,0.00445435,1.61343277,2.95354544,2.96927879,0.01128579,0.74096950,0.29419808,0.05492127
-5.70585293,5.25376777,0.00466836,1.58026431,3.00187904,2.87876837,0.01236364,0.76866787,0.31288016,0.05649758
