energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up
-6.00000000,21.96331521,2.99935022,14.67925985,0.04658468,1.48410819,1.60066141,1.19126432,0.10737752,3.91931258
-5.99399700,21.84237254,3.01386082,14.60726455,0.04690806,1.47011219,1.57799317,1.19038944,0.10883988,3.87868299
-5.98799400,21.67551322,3.02408874,14.50642645,0.04711862,1.45401637,1.55137792,1.18593586,0.11016255,3.82628243
-5.98199100,21.46500868,3.03052717,14.37784361,0.04721880,1.43601420,1.52112772,1.17807920,0.11134391,3.76284340
-5.97598799,21.21396207,3.03377667,14.22307914,0.04721484,1.41633008,1.48764621,1.16707008,0.11238513,3.68936370
-5.96998499,20.92622159,3.03452801,14.04412334,0.04711654,1.39521572,1.45141566,1.15322510,0.11328963,3.60707317
-5.96398199,20.60627629,3.03354290,13.84334700,0.04693685,1.37294597,1.41298150,1.13691585,0.11406260,3.51739369
-5.95797899,20.25913825,3.03163298,13.62344744,0.04669138,1.34981418,1.37293517,1.11855664,0.11471028,3.42189398
-5.95197599,19.89021545,3.02963787,13.38738918,0.04639779,1.32612691,1.33189611,1.09859141,0.11523942,3.32224146
-5.94597299,19.50517933,3.02840271,13.13834064,0.04607513,1.30219830,1.29049351,1.07748020,0.11565667,3.22015292
-5.93996998,19.10983110,3.02875585,12.87960871,0.04574311,1.27834385,1.24934866,1.05568591,0.11596797,3.11734598
-5.93396698,18.70997043,3.03148702,12.61457261,0.04542140,1.25487393,1.20905853,1.03366164,0.11617816,3.01549315
-5.92796398,18.31126991,3.03732657,12.34661833,0.04512892,1.23208698,1.17018095,1.01183908,0.11629048,2.91617982
-5.92196098,17.91915810,3.04692618,12.07907518,0.04488326,1.21026269,1.13322210,0.99061837,0.11630637,2.82086758
-5.91595798,17.53871366,3.06084142,11.81515545,0.04470005,1.18965522,1.09862638,0.97035951,0.11622524,2.73086362
-5.90995498,17.17457254,3.07951660,11.55789824,0.04459262,1.17048684,1.06676886,0.95137572,0.11604444,2.64729687
-5.90395198,16.83084955,3.10327221,11.31011843,0.04457164,1.15294210,1.03795052,0.93392862,0.11575931,2.57110105
-5.89794897,16.51107543,3.13229539,11.07436147,0.04464496,1.13716290,1.01239603,0.91822533,0.11536340,2.50300462
