energy_ev,total_up,Ge_p_up,Ge_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,1.27621565,0.27328151,0.00000000,0.74993261,0.51671409,0.02460202,0.44760062
-5.99399700,1.31640169,0.28818672,0.00000000,0.77838290,0.53399849,0.02640264,0.45641450
-5.98799400,1.35905338,0.30328087,0.00000000,0.80761347,0.55223858,0.02822807,0.46639628
-5.98199100,1.40376125,0.31839689,0.00000000,0.83742858,0.57127229,0.03006065,0.47743954
-5.97598799,1.45009070,0.33336585,0.00000000,0.86762823,0.59092473,0.03188205,0.48942862
-5.96998499,1.49758864,0.34802096,0.00000000,0.89801082,0.61101107,0.03367370,0.50223955
-5.96398199,1.54579078,0.36220173,0.00000000,0.92837593,0.63133985,0.03541719,0.51574124
-5.95797899,1.59422959,0.37575801,0.00000000,0.95852704,0.65171672,0.03709470,0.52979683
-5.95197599,1.64244237,0.38855396,0.00000000,0.98827416,0.67194835,0.03868943,0.54426508
-5.94597299,1.68997923,0.40047164,0.00000000,1.01743626,0.69184644,0.04018599,0.55900191
-5.93996998,1.73641060,0.41141404,0.00000000,1.04584337,0.71123158,0.04157074,0.57386190
-5.93396698,1.78133413,0.42130756,0.00000000,1.07333840,0.72993688,0.04283205,0.58869970
-5.92796398,1.82438059,0.43010375,0.00000000,1.09977853,0.74781129,0.04396051,0.60337157
-5.92196098,1.86521891,0.43778026,0.00000000,1.12503631,0.76472243,0.04494908,0.61773667
-5.91595798,1.90356019,0.44434090,0.00000000,1.14900044,0.78055891,0.04579311,0.63165858
-5.90995498,1.93916066,0.44981505,0.00000000,1.17157635,0.79523224,0.04649031,0.64500663
-5.90395198,1.97182399,0.45425610,0.00000000,1.19268660,0.80867812,0.04704066,0.65765752
-5.89794897,2.00140284,0.45773944,0.00000000,1.21227137,0.82085734,0.04744622,0.66949696
-5.89194597,2.02779995,0.46035970,0.00000000,1.23028899,0.83175628,0.04771096,0.68042150
-5.88594297,2.05096899,0.46222773,0.00000000,1.24671672,0.84138693,0.04784049,0.69034061
-5.87993997,2.07091524,0.46346713,0.00000000,1.26155174,0.84978675,0.04784181,0.69917889
-5.87393697,2.08769619,0.46421082,0.00000000,1.27481254,0.85701806,0.04772305,0.70687848
