energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.58403428,0.42563362,0.79851650,0.00156941,0.10343371,0.00533601,0.51643206,0.55379654,0.13734291
-5.99399700,1.51205048,0.40090510,0.76754385,0.00144981,0.09787513,0.00515899,0.49027838,0.52448743,0.12959045
-5.98799400,1.44183936,0.37713518,0.73725031,0.00133614,0.09254066,0.00498318,0.46462736,0.49612424,0.12200846
-5.98199100,1.37399680,0.35456727,0.70784474,0.00122951,0.08747817,0.00480918,0.43973355,0.46900406,0.11467157
-5.97598799,1.30902732,0.33339819,0.67950895,0.00113093,0.08272504,0.00463728,0.41581466,0.44337457,0.10764379
-5.96998499,1.24734434,0.31377865,0.65239811,0.00104127,0.07830861,0.00446753,0.39305075,0.41943369,0.10097808
-5.96398199,1.18927371,0.29581524,0.62664229,0.00096121,0.07424685,0.00429981,0.37158478,0.39733080,0.09471625
-5.95797899,1.13505988,0.27957360,0.60234884,0.00089126,0.07054932,0.00413389,0.35152427,0.37716943,0.08888927
-5.95197599,1.08487376,0.26508226,0.57960520,0.00083172,0.06721825,0.00396948,0.33294375,0.35901085,0.08351781
-5.94597299,1.03882137,0.25233710,0.55848182,0.00078268,0.06424969,0.00380634,0.31588766,0.34287824,0.07861305
-5.93996998,0.99695269,0.24130581,0.53903493,0.00074402,0.06163459,0.00364427,0.30037353,0.32876120,0.07417756
-5.93396698,0.95927004,0.23193232,0.52130905,0.00071544,0.05935989,0.00348321,0.28639517,0.31662015,0.07020632
-5.92796398,0.92573564,0.22414105,0.50533894,0.00069641,0.05740939,0.00332324,0.27392568,0.30639056,0.06668769
-5.92196098,0.89627812,0.21784054,0.49115115,0.00068628,0.05576458,0.00316459,0.26292023,0.29798683,0.06360439
-5.91595798,0.87079794,0.21292681,0.47876510,0.00068422,0.05440525,0.00300764,0.25331854,0.29130567,0.06093444
-5.90995498,0.84917185,0.20928614,0.46819383,0.00068928,0.05330993,0.00285292,0.24504704,0.28622909,0.05865207
-5.90395198,0.83125660,0.20679742,0.45944453,0.00070041,0.05245632,0.00270108,0.23802078,0.28262696,0.05672850
-5.89794897,0.81689204,0.20533415,0.45251903,0.00071648,0.05182148,0.00255284,0.23214516,0.28035929,0.05513275
-5.89194597,0.80590415,0.20476614,0.44741436,0.00073633,0.05138202,0.00240899,0.22731758,0.27927823,0.05383240
-5.88594297,0.79810802,0.20496103,0.44412348,0.00075879,0.05111427,0.00227032,0.22342896,0.27922998,0.05279424
-5.87993997,0.79331106,0.20578575,0.44263625,0.00078267,0.05099433,0.00213760,0.22036547,0.28005672,0.05198502
-5.87393697,0.79131663,0.20710787,0.44294069,0.00080687,0.05099831,0.00201153,0.21801021,0.28159852,0.05137212
-5.86793397,0.79192797,0.20879705,0.44502436,0.00083034,0.05110239,0.00189275,0.21624513,0.28369535,0.05092422
-5.86193097,0.79495240,0.21072648,0.44887588,0.00085214,0.05128307,0.00178175,0.21495299,0.28618919,0.05061196
-5.85592796,0.80020563,0.21277441,0.45448635,0.00087144,0.05151738,0.00167892,0.21401953,0.28892620,0.05040859
-5.84992496,0.80751594,0.21482565,0.46185060,0.00088758,0.05178317,0.00158453,0.21333560,0.29175892,0.05029053
-5.84392196,0.81672787,0.21677304,0.47096790,0.00090005,0.05205937,0.00149868,0.21279930,0.29454839,0.05023791
-5.83791896,0.82770527,0.21851889,0.48184224,0.00090849,0.05232630,0.00142139,0.21231805,0.29716617,0.05023502
-5.83191596,0.84033334,0.21997622,0.49448176,0.00091275,0.05256595,0.00135252,0.21181048,0.29949614,0.05027065
-5.82591296,0.85451951,0.22106986,0.50889747,0.00091285,0.05276222,0.00129185,0.21120806,0.30143600,0.05033830
-5.81990995,0.87019311,0.22173731,0.52510116,0.00090898,0.05290121,0.00123908,0.21045638,0.30289843,0.05043626
-5.81390695,0.88730367,0.22192926,0.54310249,0.00090149,0.05297132,0.00119385,0.20951620,0.30381190,0.05056759
-5.80790395,0.90581801,0.22160998,0.56290554,0.00089090,0.05296343,0.00115572,0.20836386,0.30412107,0.05073985
-5.80190095,0.92571635,0.22075723,0.58450486,0.00087783,0.05287094,0.00112425,0.20699154,0.30378674,0.05096484
-5.79589795,0.94698748,0.21936208,0.60788132,0.00086301,0.05268977,0.00109896,0.20540687,0.30278556,0.05125803
-5.78989495,0.96962351,0.21742839,0.63299801,0.00084724,0.05241835,0.00107938,0.20363226,0.30110928,0.05163800
-5.78389195,0.99361440,0.21497203,0.65979653,0.00083136,0.05205746,0.00106504,0.20170382,0.29876376,0.05212575
-5.77788894,1.01894259,0.21202001,0.68819378,0.00081622,0.05161016,0.00105545,0.19966990,0.29576783,0.05274387
-5.77188594,1.04557811,0.20860935,0.71807968,0.00080264,0.05108154,0.00105016,0.19758933,0.29215189,0.05351570
-5.76588294,1.07347436,0.20478594,0.74931584,0.00079139,0.05047853,0.00104871,0.19552943,0.28795638,0.05446442
-5.75987994,1.10256473,0.20060315,0.78173544,0.00078314,0.04980967,0.00105066,0.19356368,0.28323026,0.05561214
-5.75387694,1.13276027,0.19612044,0.81514424,0.00077846,0.04908481,0.00105555,0.19176932,0.27802936,0.05697897
-5.74787394,1.16394836,0.19140191,0.84932280,0.00077778,0.04831482,0.00106293,0.19022472,0.27241476,0.05858213
