energy_ev,total_up,total_down,Li_s_up,Li_s_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.52419833,-1.52419833,0.20277940,-0.20277940,0.01073033,-0.01073033,0.16130632,-0.16130632,0.23513747,-0.23513747,0.21853527,-0.21853527,0.01738207,-0.01738207,0.67627531,-0.67627531
-5.99399700,1.61416946,-1.61416946,0.21490540,-0.21490540,0.01198625,-0.01198625,0.16565387,-0.16565387,0.24876360,-0.24876360,0.23454249,-0.23454249,0.01908079,-0.01908079,0.72389511,-0.72389511
-5.98799400,1.70774376,-1.70774376,0.22759431,-0.22759431,0.01332382,-0.01332382,0.17009844,-0.17009844,0.26285537,-0.26285537,0.25152766,-0.25152766,0.02088067,-0.02088067,0.77350872,-0.77350872
-5.98199100,1.80440141,-1.80440141,0.24075243,-0.24075243,0.01473373,-0.01473373,0.17467654,-0.17467654,0.27734751,-0.27734751,0.26940997,-0.26940997,0.02276721,-0.02276721,0.82475484,-0.82475484
-5.97598799,1.90351512,-1.90351512,0.25427221,-0.25427221,0.01620469,-0.01620469,0.17942254,-0.17942254,0.29215890,-0.29215890,0.28808547,-0.28808547,0.02472328,-0.02472328,0.87721038,-0.87721038
-5.96998499,2.00433785,-2.00433785,0.26803104,-0.26803104,0.01772345,-0.01772345,0.18436455,-0.18436455,0.30719088,-0.30719088,0.30742473,-0.30742473,0.02672909,-0.02672909,0.93038907,-0.93038907
-5.96398199,2.10599541,-2.10599541,0.28189071,-0.28189071,0.01927488,-0.01927488,0.18952059,-0.18952059,0.32232612,-0.32232612,0.32727120,-0.32727120,0.02876231,-0.02876231,0.98374278,-0.98374278
-5.95797899,2.20748499,-2.20748499,0.29569759,-0.29569759,0.02084211,-0.02084211,0.19489508,-0.19489508,0.33742858,-0.33742858,0.34744076,-0.34744076,0.03079832,-0.03079832,1.03666579,-1.03666579
-5.95197599,2.30768042,-2.30768042,0.30928359,-0.30928359,0.02240676,-0.02240676,0.20047608,-0.20047608,0.35234436,-0.35234436,0.36772235,-0.36772235,0.03281051,-0.03281051,1.08850218,-1.08850218
-5.94597299,2.40534458,-2.40534458,0.32246814,-0.32246814,0.02394920,-0.02394920,0.20623326,-0.20623326,0.36690369,-0.36690369,0.38787994,-0.38787994,0.03477074,-0.03477074,1.13855634,-1.13855634
-5.93996998,2.49914914,-2.49914914,0.33506088,-0.33506088,0.02544890,-0.02544890,0.21211684,-0.21211684,0.38092394,-0.38092394,0.40765591,-0.40765591,0.03664991,-0.03664991,1.18610640,-1.18610640
-5.93396698,2.58770115,-2.58770115,0.34686539,-0.34686539,0.02688487,-0.02688487,0.21805768,-0.21805768,0.39421371,-0.39421371,0.42677565,-0.42677565,0.03841855,-0.03841855,1.23042027,-1.23042027
-5.92796398,2.66957590,-2.66957590,0.35768348,-0.35768348,0.02823603,-0.02823603,0.22396836,-0.22396836,0.40657784,-0.40657784,0.44495343,-0.44495343,0.04004757,-0.04004757,1.27077378,-1.27077378
-5.92196098,2.74335487,-2.74335487,0.36732022,-0.36732023,0.02948181,-0.02948181,0.22974548,-0.22974548,0.41782305,-0.41782305,0.46189932,-0.46189932,0.04150900,-0.04150900,1.30647023,-1.30647023
-5.91595798,2.80766734,-2.80766735,0.37558936,-0.37558936,0.03060253,-0.03060253,0.23527292,-0.23527292,0.42776431,-0.42776431,0.47732697,-0.47732697,0.04277677,-0.04277677,1.33686069,-1.33686069
-5.90995498,2.86123411,-2.86123411,0.38231890,-0.38231890,0.03158004,-0.03158004,0.24042603,-0.24042603,0.43623128,-0.43623128,0.49096189,-0.49096189,0.04382745,-0.04382745,1.36136412,-1.36136412
-5.90395198,2.90291131,-2.90291131,0.38735678,-0.38735678,0.03239812,-0.03239812,0.24507654,-0.24507654,0.44307497,-0.44307497,0.50254998,-0.50254998,0.04464104,-0.04464104,1.37948654,-1.37948654
-5.89794897,2.93173260,-2.93173260,0.39057621,-0.39057621,0.03304301,-0.03304301,0.24909802,-0.24909802,0.44817404,-0.44817404,0.51186597,-0.51186597,0.04520156,-0.04520156,1.39083842,-1.39083842
-5.89194597,2.94694777,-2.94694777,0.39188058,-0.39188058,0.03350382,-0.03350382,0.25237156,-0.25237156,0.45144068,-0.45144068,0.51872136,-0.51872136,0.04549770,-0.04549770,1.39514947,-1.39514947
-5.88594297,2.94805596,-2.94805596,0.39120770,-0.39120770,0.03377290,-0.03377290,0.25479156,-0.25479156,0.45282569,-0.45282569,0.52297151,-0.52297151,0.04552319,-0.04552319,1.39228022,-1.39228022
-5.87993997,2.93483218,-2.93483218,0.38853309,-0.38853309,0.03384613,-0.03384613,0.25627117,-0.25627117,0.45232273,-0.45232273,0.52452169,-0.52452169,0.04527716,-0.04527716,1.38222989,-1.38222989
-5.87393697,2.90734577,-2.90734577,0.38387228,-0.38387228,0.03372311,-0.03372311,0.25674736,-0.25674736,0.44997146,-0.44997146,0.52333163,-0.52333163,0.04476429,-0.04476429,1.36514009,-1.36514009
-5.86793397,2.86597003,-2.86597003,0.37728202,-0.37728202,0.03340725,-0.03340725,0.25618512,-0.25618512,0.44585949,-0.44585949,0.51941850,-0.51941850,0.04399477,-0.04399477,1.34129438,-1.34129438
-5.86193097,2.81138258,-2.81138258,0.36886019,-0.36886019,0.03290578,-0.03290578,0.25458093,-0.25458093,0.44012317,-0.44012317,0.51285815,-0.51285815,0.04298420,-0.04298420,1.31111349,-1.31111349
-5.85592796,2.74455652,-2.74455652,0.35874461,-0.35874461,0.03222962,-0.03222962,0.25196506,-0.25196506,0.43294712,-0.43294712,0.50378450,-0.50378450,0.04175318,-0.04175318,1.27514664,-1.27514664
-5.84992496,2.66674269,-2.66674269,0.34711066,-0.34711066,0.03139318,-0.03139318,0.24840277,-0.24840277,0.42456268,-0.42456268,0.49238715,-0.49238715,0.04032689,-0.04032689,1.23405916,-1.23405916
-5.84392196,2.57944389,-2.57944389,0.33416782,-0.33416782,0.03041400,-0.03041400,0.24399429,-0.24399429,0.41524526,-0.41524526,0.47890734,-0.47890734,0.03873451,-0.03873451,1.18861711,-1.18861711
-5.83791896,2.48438205,-2.48438205,0.32015534,-0.32015534,0.02931239,-0.02931239,0.23887365,-0.23887365,0.40531072,-0.40531072,0.46363225,-0.46363225,0.03700848,-0.03700848,1.13966937,-1.13966937
-5.83191596,2.38345983,-2.38345983,0.30533709,-0.30533709,0.02811090,-0.02811090,0.23320633,-0.23320633,0.39511103,-0.39511103,0.44688814,-0.44688814,0.03518373,-0.03518373,1.08812809,-1.08812809
-5.82591296,2.27871795,-2.27871795,0.28999593,-0.28999593,0.02683383,-0.02683383,0.22718591,-0.22718591,0.38502916,-0.38502916,0.42903234,-0.42903234,0.03329688,-0.03329688,1.03494811,-1.03494811
-5.81990995,2.17228997,-2.17228997,0.27442762,-0.27442762,0.02550659,-0.02550659,0.22102974,-0.22102974,0.37547353,-0.37547353,0.41044460,-0.41044460,0.03138539,-0.03138539,0.98110618,-0.98110618
-5.81390695,2.06635592,-2.06635592,0.25893465,-0.25893465,0.02415512,-0.02415512,0.21497395,-0.21497395,0.36687192,-0.36687192,0.39151793,-0.39151793,0.02948670,-0.02948670,0.92758054,-0.92758054
-5.80790395,1.96309625,-1.96309625,0.24382005,-0.24382005,0.02280530,-0.02280530,0.20926775,-0.20926775,0.35966510,-0.35966510,0.37264944,-0.37264944,0.02763745,-0.02763745,0.87533166,-0.87533166
-5.80190095,1.86464750,-1.86464750,0.22938148,-0.22938148,0.02148234,-0.02148234,0.20416738,-0.20416738,0.35430022,-0.35430022,0.35423128,-0.35423128,0.02587272,-0.02587272,0.82528434,-0.82528434
-5.79589795,1.77306050,-1.77306050,0.21590558,-0.21590558,0.02021023,-0.02021023,0.19992984,-0.19992984,0.35122383,-0.35122383,0.33664211,-0.33664211,0.02422538,-0.02422538,0.77831184,-0.77831184
-5.78989495,1.69026226,-1.69026226,0.20366286,-0.20366286,0.01901125,-0.01901125,0.19680647,-0.19680647,0.35087477,-0.35087477,0.32023926,-0.32023926,0.02272547,-0.02272547,0.73522207,-0.73522207
-5.78389195,1.61802184,-1.61802184,0.19290316,-0.19290316,0.01790553,-0.01790553,0.19503671,-0.19503671,0.35367683,-0.35367683,0.30535170,-0.30535170,0.02139970,-0.02139970,0.69674601,-0.69674601
-5.77788894,1.55792079,-1.55792079,0.18385165,-0.18385165,0.01691070,-0.01691070,0.19484204,-0.19484204,0.36003117,-0.36003117,0.29227408,-0.29227408,0.02027110,-0.02027110,0.66352840,-0.66352840
-5.77188594,1.51132827,-1.51132827,0.17670556,-0.17670556,0.01604161,-0.01604161,0.19642029,-0.19642029,0.37030854,-0.37030854,0.28126182,-0.28126182,0.01935870,-0.01935870,0.63612053,-0.63612053
-5.76588294,1.47938079,-1.47938079,0.17163143,-0.17163143,0.01531013,-0.01531013,0.19994048,-0.19994048,0.38484134,-0.38484134,0.27252737,-0.27252737,0.01867730,-0.01867730,0.61497509,-0.61497509
-5.75987994,1.46296655,-1.46296655,0.16876304,-0.16876304,0.01472506,-0.01472506,0.20553821,-0.20553821,0.40391565,-0.40391565,0.26623753,-0.26623753,0.01823742,-0.01823742,0.60044274,-0.60044274
-5.75387694,1.46271418,-1.46271418,0.16819984,-0.16819984,0.01429209,-0.01429209,0.21331175,-0.21331175,0.42776319,-0.42776319,0.26251192,-0.26251192,0.01804523,-0.01804523,0.59277021,-0.59277021
-5.74787394,1.47898562,-1.47898562,0.17000590,-0.17000590,0.01401388,-0.01401388,0.22331886,-0.22331886,0.45655354,-0.45655355,0.26142247,-0.26142247,0.01810263,-0.01810263,0.59209986,-0.59209986
-5.74187094,1.51187307,-1.51187307,0.17420938,-0.17420938,0.01389015,-0.01389015,0.23557451,-0.23557451,0.49038673,-0.49038673,0.26299385,-0.26299385,0.01840734,-0.01840734,0.59847026,-0.59847026
-5.73586793,1.56119965,-1.56119966,0.18080229,-0.18080229,0.01391789,-0.01391789,0.25004942,-0.25004942,0.52928640,-0.52928640,0.26720479,-0.26720479,0.01895314,-0.01895314,0.61181793,-0.61181794
-5.72986493,1.62652384,-1.62652385,0.18974074,-0.18974074,0.01409155,-0.01409155,0.26666957,-0.26666957,0.57319396,-0.57319396,0.27399013,-0.27399013,0.01973004,-0.01973004,0.63197989,-0.63197990
-5.72386193,1.70714750,-1.70714750,0.20094552,-0.20094552,0.01440330,-0.01440330,0.28531668,-0.28531668,0.62196391,-0.62196391,0.28324352,-0.28324352,0.02072465,-0.02072465,0.65869711,-0.65869711
-5.71785893,1.80212742,-1.80212742,0.21430297,-0.21430297,0.01484334,-0.01484334,0.30582966,-0.30582966,0.67536054,-0.67536054,0.29482072,-0.29482072,0.02192046,-0.02192046,0.69161881,-0.69161881
-5.71185593,1.91029046,-1.91029046,0.22966631,-0.22966631,0.01540017,-0.01540017,0.32800708,-0.32800708,0.73305656,-0.73305657,0.30854331,-0.30854331,0.02329825,-0.02329825,0.73030768,-0.73030768
-5.70585293,2.03025207,-2.03025207,0.24685718,-0.24685718,0.01606085,-0.01606085,0.35161049,-0.35161049,0.79463359,-0.79463359,0.32420276,-0.32420276,0.02483650,-0.02483650,0.77424593,-0.77424593
-5.69984992,2.16043814,-2.16043814,0.26566771,-0.26566771,0.01681133,-0.01681133,0.37636879,-0.37636879,0.85958481,-0.85958482,0.34156473,-0.34156473,0.02651185,-0.02651185,0.82284234,-0.82284234
-5.69384692,2.29911007,-2.29911008,0.28586286,-0.28586286,0.01763668,-0.01763668,0.40198323,-0.40198323,0.92731995,-0.92731995,0.36037357,-0.36037357,0.02829960,-0.02829960,0.87544031,-0.87544031
-5.68784392,2.44439269,-2.44439269,0.30718325,-0.30718325,0.01852133,-0.01852133,0.42813325,-0.42813325,0.99717246,-0.99717246,0.38035684,-0.38035684,0.03017414,-0.03017414,0.93132680,-0.93132680
-5.68184092,2.59430462,-2.59430462,0.32934834,-0.32934834,0.01944931,-0.01944931,0.45448276,-0.45448276,1.06840899,-1.06840900,0.40122987,-0.40122987,0.03210955,-0.03210955,0.98974229,-0.98974229
-5.67583792,2.74679075,-2.74679075,0.35206011,-0.35206011,0.02040443,-0.02040443,0.48068693,-0.48068693,1.14024083,-1.14024083,0.42270017,-0.42270017,0.03408003,-0.03408003,1.04989156,-1.04989156
-5.66983492,2.89975609,-2.89975609,0.37500709,-0.37500709,0.02137046,-0.02137046,0.50639908,-0.50639908,1.21183716,-1.21183716,0.44447178,-0.44447178,0.03606045,-0.03606045,1.11095521,-1.11095521
-5.66383192,3.05110038,-3.05110039,0.39786874,-0.39786874,0.02233127,-0.02233127,0.53127763,-0.53127764,1.28233981,-1.28233981,0.46624935,-0.46624935,0.03802677,-0.03802677,1.17210173,-1.17210173
-5.65782891,3.19875284,-3.19875284,0.42032024,-0.42032024,0.02327098,-0.02327098,0.55499293,-0.55499293,1.35087902,-1.35087902,0.48774199,-0.48774199,0.03995652,-0.03995652,1.23249997,-1.23249998
-5.65182591,3.34070609,-3.34070609,0.44203750,-0.44203750,0.02417413,-0.02417413,0.57723360,-0.57723361,1.41658990,-1.41658990,0.50866696,-0.50866696,0.04182914,-0.04182914,1.29133176,-1.29133176
-5.64582291,3.47504884,-3.47504884,0.46270232,-0.46270232,0.02502575,-0.02502575,0.59771249,-0.59771249,1.47862898,-1.47862898,0.52875291,-0.52875291,0.04362630,-0.04362630,1.34780433,-1.34780433
-5.63981991,3.59999627,-3.59999627,0.48200774,-0.48200774,0.02581155,-0.02581155,0.61617178,-0.61617178,1.53619060,-1.53619060,0.54774308,-0.54774308,0.04533217,-0.04533217,1.40116254,-1.40116254
-5.63381691,3.71391785,-3.71391785,0.49966327,-0.49966327,0.02651806,-0.02651806,0.63238737,-0.63238737,1.58852239,-1.58852239,0.56539802,-0.56539802,0.04693352,-0.04693352,1.45070041,-1.45070041
-5.62781391,3.81536177,-3.81536177,0.51540010,-0.51540010,0.02713277,-0.02713277,0.64617230,-0.64617230,1.63493973,-1.63493973,0.58149823,-0.58149823,0.04841987,-0.04841987,1.49577187,-1.49577187
