energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-5.83191596,2.33342536,0.75942814,0.34726638,0.00690396,0.29100251,0.00594714,1.40876120,0.70920765,0.29336129
-5.82591296,2.34102940,0.76351637,0.35222893,0.00651782,0.29488807,0.00601652,1.41148634,0.70826578,0.28862790
-5.81990995,2.34848768,0.76801373,0.35756511,0.00615252,0.29921289,0.00610128,1.41340060,0.70667729,0.28410024
-5.81390695,2.35523044,0.77271112,0.36312069,0.00580664,0.30387884,0.00620206,1.41419702,0.70434446,0.27973222
-5.80790395,2.36070874,0.77740741,0.36873948,0.00547868,0.30879406,0.00631993,1.41357769,0.70117446,0.27547878
-5.80190095,2.36442150,0.78192373,0.37426993,0.00516716,0.31387902,0.00645642,1.41126632,0.69708444,0.27129839
-5.79589795,2.36594023,0.78611701,0.37957154,0.00487072,0.31907213,0.00661345,1.40701969,0.69200614,0.26715512
-5.78989495,2.36493066,0.78989237,0.38452080,0.00458815,0.32433457,0.00679337,1.40063758,0.68588994,0.26302021
-5.78389195,2.36117037,0.79321376,0.38901650,0.00431844,0.32965429,0.00699886,1.39197092,0.67870821,0.25887310
-5.77788894,2.35456183,0.79611258,0.39298402,0.00406078,0.33504880,0.00723280,1.38092795,0.67045780,0.25470196
-5.77188594,2.34514048,0.79869377,0.39637859,0.00381462,0.34056671,0.00749817,1.36747818,0.66116171,0.25050373
-5.76588294,2.33307756,0.80113926,0.39918727,0.00357958,0.34628795,0.00779793,1.35165402,0.65086980,0.24628376
-5.75987994,2.31867761,0.80370860,0.40142963,0.00335551,0.35232261,0.00813476,1.33355020,0.63965858,0.24205506
-5.75387694,2.30237100,0.80673671,0.40315712,0.00314244,0.35880858,0.00851100,1.31332094,0.62762998,0.23783727
-5.74787394,2.28470163,0.81062878,0.40445126,0.00294052,0.36590796,0.00892835,1.29117499,0.61490924,0.23365544
-5.74187094,2.26631054,0.81585249,0.40542053,0.00275005,0.37380248,0.00938780,1.26736886,0.60164195,0.22953857
-5.73586793,2.24791602,0.82292765,0.40619644,0.00257139,0.38268812,0.00988940,1.24219845,0.58799030,0.22551827
-5.72986493,2.23029115,0.83241366,0.40692874,0.00240496,0.39276914,0.01043218,1.21598949,0.57412868,0.22162728
-5.72386193,2.21423953,0.84489509,0.40778002,0.00225120,0.40425171,0.01101401,1.18908715,0.56023888,0.21789821
-5.71785893,2.20057039,0.86096560,0.40892008,0.00211056,0.41733748,0.01163160,1.16184537,0.54650489,0.21436234
-5.71185593,2.19007387,0.88121095,0.41052016,0.00198344,0.43221714,0.01228043,1.13461622,0.53310777,0.21104873
-5.70585293,2.18349750,0.90619121,0.41274725,0.00187018,0.44906435,0.01295482,1.10773996,0.52022054,0.20798352
-5.69984992,2.18152468,0.93642290,0.41575891,0.00177105,0.46803002,0.01364805,1.08153607,0.50800350,0.20518960
-5.69384692,2.18475603,0.97236146,0.41969844,0.00168625,0.48923731,0.01435245,1.05629564,0.49660006,0.20268647
-5.68784392,2.19369407,1.01438467,0.42469082,0.00161585,0.51277728,0.01505965,1.03227556,0.48613340,0.20049055
-5.68184092,2.20873178,1.06277741,0.43083944,0.00155981,0.53870536,0.01576078,1.00969452,0.47670387,0.19861560
-5.67583792,2.23014522,1.11771837,0.43822360,0.00151798,0.56703873,0.01644674,0.98873114,0.46838755,0.19707356
-5.66983492,2.25809049,1.17926936,0.44689694,0.00149009,0.59775467,0.01710851,0.96952403,0.46123573,0.19587544
-5.66383192,2.29260465,1.24736736,0.45688674,0.00147577,0.63078983,0.01773744,0.95217385,0.45527544,0.19503242
-5.65782891,2.33361075,1.32182014,0.46819398,0.00147451,0.66604055,0.01832556,0.93674699,0.45051105,0.19455697
-5.65182591,2.38092623,1.40230548,0.48079426,0.00148574,0.70336411,0.01886584,0.92328079,0.44692661,0.19446396
-5.64582291,2.43427448,1.48837444,0.49463927,0.00150878,0.74258108,0.01935250,0.91178967,0.44448907,0.19477166
-5.63981991,2.49329883,1.57945868,0.50965897,0.00154291,0.78347845,0.01978115,0.90227203,0.44315195,0.19550251
-5.63381691,2.55757831,1.67488192,0.52576416,0.00158732,0.82581385,0.02014903,0.89471732,0.44285945,0.19668373
-5.62781391,2.62664459,1.77387516,0.54284936,0.00164122,0.86932036,0.02045510,0.88911289,0.44355060,0.19834750
-5.62181091,2.69999919,1.87559551,0.56079601,0.00170375,0.91371218,0.02070007,0.88545023,0.44516337,0.20053085
-5.61580790,2.77713034,1.97914775,0.57947570,0.00177411,0.95869065,0.02088639,0.88373025,0.44763853,0.20327513
-5.60980490,2.85752879,2.08360816,0.59875338,0.00185145,1.00395076,0.02101818,0.88396717,0.45092294,0.20662508
-5.60380190,2.94070175,2.18804949,0.61849044,0.00193501,1.04918756,0.02110108,0.88619106,0.45497221,0.21062755
-5.59779890,3.02618452,2.29156601,0.63854750,0.00202400,1.09410257,0.02114206,0.89044852,0.45975260,0.21532984
-5.59179590,3.11354911,2.39329774,0.65878689,0.00211771,1.13840961,0.02114917,0.89680176,0.46524202,0.22077771
-5.58579290,3.20240964,2.49245243,0.67907465,0.00221541,1.18184001,0.02113127,0.90532594,0.47143016,0.22701329
-5.57978989,3.29242409,2.58832440,0.69928198,0.00231641,1.22414680,0.02109772,0.91610493,0.47831763,0.23407276
-5.57378689,3.38329238,2.68030922,0.71928617,0.00242003,1.26510767,0.02105808,0.92922574,0.48591436,0.24198402
-5.56778389,3.47475085,2.76791343,0.73897097,0.00252556,1.30452660,0.02102180,0.94477179,0.49423707,0.25076449
-5.56178089,3.56656354,2.85075882,0.75822633,0.00263228,1.34223404,0.02099789,0.96281558,0.50330629,0.26041908
-5.55577789,3.65851052,2.92858097,0.77694771,0.00273941,1.37808553,0.02099468,0.98341084,0.51314273,0.27093846
