energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,2.55339115,0.01785895,0.29860114,1.10465436,0.77614674,1.09001161,0.00000000
-5.99399700,2.69673853,0.01882973,0.31967005,1.15738901,0.82736259,1.14035690,0.00000000
-5.98799400,2.84001062,0.01972907,0.34190716,1.21258149,0.87929762,1.18849034,0.00000000
-5.98199100,2.98178401,0.02054049,0.36520865,1.26992597,0.93175820,1.23346345,0.00000000
-5.97598799,3.12092200,0.02124938,0.38948964,1.32926775,0.98468161,1.27441504,0.00000000
-5.96998499,3.25663798,0.02184348,0.41468996,1.39062244,1.03815505,1.31060142,0.00000000
-5.96398199,3.38854906,0.02231333,0.44077879,1.45418868,1.09243049,1.34142379,0.00000000
-5.95797899,3.51671652,0.02265264,0.46775801,1.52035278,1.14793441,1.36645155,0.00000000
-5.95197599,3.64166981,0.02285857,0.49566366,1.58968415,1.20527096,1.38544020,0.00000000
-5.94597299,3.76441133,0.02293185,0.52456523,1.66292085,1.26521755,1.39834291,0.00000000
-5.93996998,3.88640017,0.02287687,0.55456264,1.74094472,1.32871226,1.40531519,0.00000000
-5.93396698,4.00951361,0.02270157,0.58578070,1.82474636,1.39683225,1.40671202,0.00000000
-5.92796398,4.13598646,0.02241723,0.61836112,1.91538062,1.47076338,1.40307757,0.00000000
-5.92196098,4.26832912,0.02203817,0.65245230,2.01391393,1.55176116,1.39512776,0.00000000
-5.91595798,4.40922660,0.02158130,0.68819712,2.12136518,1.64110383,1.38372610,0.00000000
-5.90995498,4.56142180,0.02106564,0.72571934,2.23864246,1.74003877,1.36985397,0.00000000
-5.90395198,4.72758695,0.02051175,0.76510914,2.36647843,1.84972397,1.35457637,0.00000000
-5.89794897,4.91018857,0.01994109,0.80640850,2.50536704,1.97116646,1.33900442,0.00000000
-5.89194597,5.11135131,0.01937540,0.84959733,2.65550504,2.10516014,1.32425634,0.00000000
-5.88594297,5.33272673,0.01883613,0.89458101,2.81674104,2.25222575,1.31141827,0.00000000
-5.87993997,5.57537321,0.01834381,0.94118022,2.98853532,2.41255555,1.30150656,0.00000000
-5.87393697,5.83965273,0.01791754,0.98912378,3.16993284,2.58596570,1.29543298,0.00000000
-5.86793397,6.12515007,0.01757456,1.03804515,3.35955163,2.77185877,1.29397417,0.00000000
-5.86193097,6.43061891,0.01732987,1.08748298,3.55558809,2.96919908,1.29774642,0.00000000
-5.85592796,6.75395865,0.01719597,1.13688602,3.75583986,3.17650258,1.30718667,0.00000000
-5.84992496,7.09222400,0.01718270,1.18562250,3.95774646,3.39184294,1.32254034,0.00000000
-5.84392196,7.44166864,0.01729717,1.23299377,4.15844654,3.61287462,1.34385619,0.00000000
-5.83791896,7.79782210,0.01754383,1.27825180,4.35485031,3.83687299,1.37098838,0.00000000
-5.83191596,8.15559797,0.01792453,1.32061999,4.54372447,4.06079086,1.40360533,0.00000000
-5.82591296,8.50942974,0.01843877,1.35931645,4.72178659,4.28133002,1.44120485,0.00000000
-5.81990995,8.85342959,0.01908390,1.39357884,4.88580519,4.49502544,1.48313492,0.00000000
-5.81390695,9.18156394,0.01985547,1.42268975,5.03270142,4.69833937,1.52861893,0.00000000
-5.80790395,9.48783891,0.02074752,1.44600151,5.15964819,4.88776191,1.57678458,0.00000000
-5.80190095,9.76648843,0.02175288,1.46295933,5.26416241,5.05991401,1.62669502,0.00000000
-5.79589795,10.01215727,0.02286353,1.47312183,5.34418645,5.21164904,1.67738114,0.00000000
-5.78989495,10.22007163,0.02407088,1.47617796,5.39815544,5.34014879,1.72787375,0.00000000
-5.78389195,10.38619048,0.02536600,1.47195968,5.42504739,5.44300991,1.77723461,0.00000000
-5.77788894,10.50733177,0.02673982,1.46044981,5.42441419,5.51831742,1.82458501,0.00000000
-5.77188594,10.58126858,0.02818330,1.44178470,5.39639240,5.56470227,1.86913135,0.00000000
