energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,1.22488710,0.04489694,0.00019123,0.01304002,0.85068798,0.34403811,0.48646582
-5.99399700,1.33758709,0.04847454,0.00020376,0.01424174,0.93139931,0.37571311,0.53286129
-5.98799400,1.45266817,0.05218054,0.00021837,0.01549778,1.01344498,0.40819757,0.58021911
-5.98199100,1.56870825,0.05594961,0.00023472,0.01679523,1.09589321,0.44110501,0.62802846
-5.97598799,1.68421447,0.05971577,0.00025250,0.01812052,1.17775411,0.47402988,0.67574568
-5.96998499,1.79765586,0.06341361,0.00027140,0.01945958,1.25800302,0.50655579,0.72280652
-5.96398199,1.90749974,0.06697949,0.00029113,0.02079803,1.33560659,0.53826480,0.76863977
-5.95797899,2.01225074,0.07035301,0.00031142,0.02212139,1.40955071,0.56874742,0.81268198
-5.95197599,2.11049116,0.07347833,0.00033199,0.02341524,1.47886933,0.59761289,0.85439264
-5.94597299,2.20092118,0.07630566,0.00035260,0.02466550,1.54267317,0.62449954,0.89326947
-5.93996998,2.28239743,0.07879247,0.00037305,0.02585862,1.60017726,0.64908478,0.92886321
-5.93396698,2.35396864,0.08090479,0.00039312,0.02698181,1.65072634,0.67109436,0.96079138
-5.92796398,2.41490695,0.08261819,0.00041267,0.02802322,1.69381730,0.69031073,0.98875067
-5.92196098,2.46473378,0.08391857,0.00043156,0.02897219,1.72911765,0.70658008,1.01252756
-5.91595798,2.50323950,0.08480270,0.00044972,0.02981944,1.75647979,0.71981785,1.03200679
-5.90995498,2.53049602,0.08527847,0.00046710,0.03055722,1.77595026,0.73001273,1.04717747
-5.90395198,2.54686217,0.08536486,0.00048372,0.03117951,1.78777398,0.73722881,1.05813672
-5.89794897,2.55298140,0.08509156,0.00049964,0.03168216,1.79239320,0.74160597,1.06509068
-5.89194597,2.54977218,0.08449832,0.00051500,0.03206305,1.79044129,0.74335849,1.06835294
-5.88594297,2.53841103,0.08363400,0.00052996,0.03232218,1.78273158,0.74277189,1.06834022
-5.87993997,2.52030876,0.08255541,0.00054477,0.03246176,1.77024128,0.74019801,1.06556560
-5.87393697,2.49708034,0.08132585,0.00055972,0.03248625,1.75409115,0.73604854,1.06062910
-5.86793397,2.47050891,0.08001347,0.00057515,0.03240239,1.73552099,0.73078699,1.05420588
-5.86193097,2.44250473,0.07868953,0.00059144,0.03221918,1.71586156,0.72491923,1.04703207
-5.85592796,2.41505958,0.07742643,0.00060901,0.03194774,1.69650336,0.71898278,1.03988842
-5.84992496,2.39019761,0.07629578,0.00062829,0.03160122,1.67886267,0.71353505,1.03358192
-5.84392196,2.36992329,0.07536633,0.00064972,0.03119455,1.66434565,0.70914064,1.02892560
-5.83791896,2.35616764,0.07470200,0.00067374,0.03074425,1.65431091,0.70635794,1.02671691
-5.83191596,2.35073377,0.07435984,0.00070073,0.03026804,1.65003151,0.70572554,1.02771496
-5.82591296,2.35524307,0.07438826,0.00073107,0.02978455,1.65265712,0.70774844,1.03261728
-5.81990995,2.37108347,0.07482528,0.00076505,0.02931291,1.66317743,0.71288478,1.04203657
-5.81390695,2.39936141,0.07569706,0.00080286,0.02887234,1.68238785,0.72153338,1.05647826
-5.80790395,2.44085923,0.07701671,0.00084463,0.02848175,1.71085878,0.73402260,1.07631962
-5.80190095,2.49599980,0.07878336,0.00089035,0.02815939,1.74890963,0.75060093,1.10179139
-5.79589795,2.56482004,0.08098171,0.00093989,0.02792242,1.79658891,0.77142994,1.13296271
-5.78989495,2.64695512,0.08358189,0.00099301,0.02778670,1.85366150,0.79657979,1.16973026
-5.78389195,2.74163456,0.08653989,0.00104931,0.02776650,1.91960423,0.82602777,1.21181240
-5.77788894,2.84769142,0.08979837,0.00110831,0.02787436,1.99361046,0.85966000,1.25874896
-5.77188594,2.96358497,0.09328802,0.00116937,0.02812101,2.07460424,0.89727638,1.30990705
-5.76588294,3.08743699,0.09692937,0.00123177,0.02851536,2.16126401,0.93859860,1.36449322
-5.75987994,3.21708088,0.10063503,0.00129472,0.02906458,2.25205569,0.98328095,1.42157172
-5.75387694,3.35012249,0.10431227,0.00135736,0.02977418,2.34527412,1.03092345,1.48008861
-5.74787394,3.48401050,0.10786593,0.00141881,0.03064821,2.43909175,1.08108663,1.53890095
-5.74187094,3.61611393,0.11120154,0.00147820,0.03168935,2.53161284,1.13330715,1.59681011
-5.73586793,3.74380370,0.11422842,0.00153467,0.03289909,2.62093105,1.18711337,1.65259788
-5.72986493,3.86453495,0.11686284,0.00158745,0.03427782,2.70518818,1.24204009,1.70506413
-5.72386193,3.97592650,0.11903098,0.00163585,0.03582487,2.78263150,1.29764132,1.75306420
-5.71785893,4.07583405,0.12067156,0.00167928,0.03753845,2.85166733,1.35350058,1.79554467
-5.71185593,4.16241395,0.12173812,0.00171730,0.03941552,2.91090842,1.40923785,1.83157579
-5.70585293,4.23417474,0.12220083,0.00174963,0.04145160,2.95921315,1.46451286,1.86037928
-5.69984992,4.29001436,0.12204771,0.00177612,0.04364043,2.99571486,1.51902455,1.88135031
-5.69384692,4.32924172,0.12128535,0.00179679,0.04597360,3.01984028,1.57250674,1.89407275
-5.68784392,4.35158225,0.11993897,0.00181185,0.04844018,3.03131641,1.62472052,1.89832722
-5.68184092,4.35716761,0.11805197,0.00182161,0.05102630,3.03016599,1.67544389,1.89409180
-5.67583792,4.34651122,0.11568504,0.00182657,0.05371478,3.01669223,1.72445963,1.88153567
-5.66983492,4.32047127,0.11291479,0.00182734,0.05648486,2.99145407,1.77154243,1.86100617
-5.66383192,4.28020418,0.10983208,0.00182463,0.05931202,2.95523368,1.81644655,1.83301043
-5.65782891,4.22711149,0.10654021,0.00181929,0.06216805,2.90899818,1.85889503,1.79819251
-5.65182591,4.16278351,0.10315297,0.00181221,0.06502118,2.85385808,1.89857174,1.75730764
-5.64582291,4.08894301,0.09979267,0.00180439,0.06783656,2.79102457,1.93511711,1.71119474
-5.63981991,4.00739211,0.09658839,0.00179688,0.07057688,2.72176803,1.96812829,1.66074891
-5.63381691,3.91996477,0.09367422,0.00179081,0.07320327,2.64737975,1.99716429,1.60689497
-5.62781391,3.82848703,0.09118788,0.00178735,0.07567633,2.56913855,2.02175587,1.55056337
-5.62181091,3.73474611,0.08926935,0.00178774,0.07795743,2.48828334,2.04142029,1.49266921
-5.61580790,3.64046891,0.08805983,0.00179328,0.08000998,2.40599259,2.05567987,1.43409509
-5.60980490,3.54730937,0.08770066,0.00180531,0.08180091,2.32337054,2.06408378,1.37567797
-5.60380190,3.45684370,0.08833239,0.00182527,0.08330200,2.24144008,2.06623155,1.31820009
-5.59779890,3.37057165,0.09009362,0.00185462,0.08449118,2.16114121,2.06179696,1.26238361
-5.59179590,3.28992160,0.09311976,0.00189487,0.08535370,2.08333420,2.05055094,1.20888842
-5.58579290,3.21625702,0.09754138,0.00194756,0.08588296,2.00880565,2.03238178,1.15831237
-5.57978989,3.15088167,0.10348218,0.00201424,0.08608116,1.93827618,2.00731140,1.11119302
-5.57378689,3.09504119,0.11105648,0.00209642,0.08595952,1.87240800,1.97550638,1.06801021
-5.56778389,3.04991903,0.12036610,0.00219551,0.08553818,1.81181085,1.93728299,1.02918827
-5.56178089,3.01662521,0.13149678,0.00231282,0.08484569,1.75704531,1.89310543,0.99509747
-5.55577789,2.99617712,0.14451409,0.00244946,0.08391814,1.70862229,1.84357738,0.96605390
-5.54977489,2.98947227,0.15945897,0.00260626,0.08279788,1.66699840,1.78942680,0.94231740
-5.54377189,2.99725373,0.17634301,0.00278376,0.08153200,1.63256705,1.73148478,0.92408767
-5.53776888,3.02006985,0.19514384,0.00298206,0.08017057,1.60564565,1.67065927,0.91149827
-5.53176588,3.05823033,0.21580061,0.00320082,0.07876461,1.58645971,1.60790505,0.90460924
-5.52576288,3.11176152,0.23821017,0.00343917,0.07736412,1.57512489,1.54419127,0.90339871
-5.51975988,3.18036407,0.26222390,0.00369567,0.07601601,1.57162846,1.48046828,0.90775425
-5.51375688,3.26337633,0.28764584,0.00396829,0.07476224,1.57581176,1.41763523,0.91746494
-5.50775388,3.35974666,0.31423200,0.00425438,0.07363800,1.58735521,1.35651021,0.93221492
-5.50175088,3.46801792,0.34169151,0.00455069,0.07267039,1.60576755,1.29780415,0.95157950
-5.49574787,3.58632651,0.36968933,0.00485339,0.07187721,1.63038071,1.24209989,0.97502447
-5.48974487,3.71241798,0.39785099,0.00515819,0.07126635,1.66035141,1.18983715,1.00190945
-5.48374187,3.84368031,0.42576915,0.00546032,0.07083547,1.69467047,1.14130419,1.03149575
-5.47773887,3.97719495,0.45301191,0.00575475,0.07057223,1.73218008,1.09663632,1.06295894
-5.47173587,4.10980480,0.47913273,0.00603622,0.07045487,1.77159905,1.05582121,1.09540612
-5.46573287,4.23819745,0.50368169,0.00629944,0.07045330,1.81155566,1.01871059,1.12789771
-5.45972986,4.35900090,0.52621758,0.00653925,0.07053044,1.85062695,0.98503761,1.15947312
-5.45372686,4.46888832,0.54632057,0.00675072,0.07064398,1.88738333,0.95443896,1.18917947
-5.44772386,4.56468777,0.56360478,0.00692937,0.07074828,1.92043671,0.92648055,1.21610251
-5.44172086,4.64349242,0.57773039,0.00707128,0.07079644,1.94849030,0.90068550,1.23939833
-5.43571786,4.70276670,0.58841470,0.00717325,0.07074240,1.97038800,0.87656320,1.25832479
