energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,1.98259469,0.00379007,0.25569959,0.41853201,0.35564926,0.89996329,0.65739748,0.68443137,0.00000000
-5.99399700,1.93936204,0.00394777,0.25311430,0.41128133,0.34977570,0.87203696,0.64797368,0.65634357,0.00000000
-5.98799400,1.89996244,0.00416310,0.25109330,0.40423958,0.34496841,0.84802943,0.63942385,0.63020186,0.00000000
-5.98199100,1.86514180,0.00444003,0.24971108,0.39752884,0.34141519,0.82852792,0.63187945,0.60644696,0.00000000
-5.97598799,1.83550929,0.00478179,0.24902956,0.39125186,0.33927371,0.81403174,0.62543979,0.58544434,0.00000000
-5.96998499,1.81152222,0.00519066,0.24909654,0.38548977,0.33866589,0.80493971,0.62017025,0.56747490,0.00000000
-5.96398199,1.79347664,0.00566776,0.24994479,0.38030057,0.33967330,0.80154134,0.61610201,0.55272859,0.00000000
-5.95797899,1.78150360,0.00621280,0.25159172,0.37571848,0.34233369,0.80401206,0.61323315,0.54130120,0.00000000
-5.95197599,1.77557088,0.00682397,0.25403943,0.37175401,0.34663877,0.81241247,0.61153090,0.53319414,0.00000000
-5.94597299,1.77548985,0.00749781,0.25727546,0.36839481,0.35253330,0.82669178,0.61093500,0.52831721,0.00000000
-5.93996998,1.78092721,0.00822907,0.26127381,0.36560712,0.35991562,0.84669497,0.61136188,0.52649418,0.00000000
-5.93396698,1.79142092,0.00901075,0.26599648,0.36333781,0.36863970,0.87217358,0.61270953,0.52747087,0.00000000
-5.92796398,1.80639994,0.00983407,0.27139532,0.36151708,0.37851861,0.90279961,0.61486287,0.53092550,0.00000000
-5.92196098,1.82520718,0.01068862,0.27741412,0.36006147,0.38932958,0.93818192,0.61769937,0.53648098,0.00000000
-5.91595798,1.84712481,0.01156249,0.28399098,0.35887743,0.40082037,0.97788456,0.62109488,0.54371858,0.00000000
-5.90995498,1.87140135,0.01244249,0.29106071,0.35786515,0.41271704,1.02144617,0.62492933,0.55219283,0.00000000
-5.90395198,1.89727965,0.01331448,0.29855730,0.35692264,0.42473273,1.06839965,0.62909222,0.56144689,0.00000000
-5.89794897,1.92402472,0.01416368,0.30641628,0.35594999,0.43657732,1.11829107,0.63348762,0.57102814,0.00000000
-5.89194597,1.95095062,0.01497511,0.31457688,0.35485359,0.44796761,1.17069711,0.63803860,0.58050328,0.00000000
-5.88594297,1.97744521,0.01573396,0.32298388,0.35355025,0.45863763,1.22523983,0.64269076,0.58947255,0.00000000
-5.87993997,2.00299184,0.01642610,0.33158905,0.35197098,0.46834868,1.28159815,0.64741479,0.59758261,0.00000000
-5.87393697,2.02718693,0.01703847,0.34035208,0.35006440,0.47689868,1.33951523,0.65220778,0.60453740,0.00000000
-5.86793397,2.04975272,0.01755951,0.34924092,0.34779953,0.48413034,1.39880126,0.65709327,0.61010697,0.00000000
-5.86193097,2.07054425,0.01797956,0.35823149,0.34516785,0.48993780,1.45933126,0.66211981,0.61413350,0.00000000
-5.85592796,2.08955044,0.01829116,0.36730678,0.34218452,0.49427131,1.52103800,0.66735819,0.61653475,0.00000000
-5.84992496,2.10688878,0.01848931,0.37645534,0.33888875,0.49713974,1.58390015,0.67289717,0.61730448,0.00000000
-5.84392196,2.12279401,0.01857165,0.38566921,0.33534317,0.49861063,1.64792631,0.67883805,0.61651012,0.00000000
-5.83791896,2.13760117,0.01853849,0.39494146,0.33163239,0.49880787,1.71313574,0.68528817,0.61428766,0.00000000
-5.83191596,2.15172379,0.01839281,0.40426348,0.32786068,0.49790682,1.77953698,0.69235368,0.61083421,0.00000000
-5.82591296,2.16562849,0.01814017,0.41362214,0.32414890,0.49612726,1.84710558,0.70013191,0.60639853,0.00000000
-5.81990995,2.17980720,0.01778843,0.42299714,0.32063093,0.49372434,1.91576255,0.70870389,0.60126997,0.00000000
-5.81390695,2.19474856,0.01734755,0.43235867,0.31744975,0.49097801,1.98535501,0.71812725,0.59576652,0.00000000
-5.80790395,2.21091025,0.01682917,0.44166556,0.31475327,0.48818131,2.05564055,0.72843015,0.59022242,0.00000000
