energy_ev,total_up,As_p_up,As_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,7.43128367,1.39452746,0.00000000,4.39568098,4.83775307,0.00479965,1.44439059
-5.99399700,7.42076706,1.39147799,0.00000000,4.37657271,4.83678249,0.00482159,1.43473957
-5.98799400,7.39015820,1.38557448,0.00000000,4.34437163,4.82311180,0.00483831,1.42066377
-5.98199100,7.33846625,1.37659480,0.00000000,4.29835131,4.79609491,0.00484733,1.40207434
-5.97598799,7.26527495,1.36442668,0.00000000,4.23824029,4.75543986,0.00484650,1.37898965
-5.96998499,7.17077607,1.34907595,0.00000000,4.16424503,4.70123079,0.00483404,1.35153727
-5.96398199,7.05578143,1.33067039,0.00000000,4.07705650,4.63393649,0.00480874,1.31995217
-5.95797899,6.92171366,1.30945893,0.00000000,3.97784064,4.55440556,0.00476998,1.28457141
-5.95197599,6.77057625,1.28580635,0.00000000,3.86821310,4.46384868,0.00471786,1.24582580
-5.94597299,6.60490488,1.26018367,0.00000000,3.75019951,4.36380895,0.00465323,1.20422894
-5.93996998,6.42770196,1.23315468,0.00000000,3.62618284,4.25612182,0.00457771,1.16036421
-5.93396698,6.24235746,1.20535922,0.00000000,3.49884008,4.14286627,0.00449370,1.11487034
-5.92796398,6.05255886,1.17749362,0.00000000,3.37107028,4.02630927,0.00440431,1.06842613
-5.92196098,5.86219369,1.15028932,0.00000000,3.24591651,3.90884544,0.00431337,1.02173497
-5.91595798,5.67524761,1.12449013,0.00000000,3.12648428,3.79293398,0.00422527,0.97550947
-5.90995498,5.49570141,1.10082906,0.00000000,3.01585853,3.68103483,0.00414493,0.93045680
-5.90395198,5.32742940,1.08000533,0.00000000,2.91702169,3.57554578,0.00407763,0.88726487
-5.89794897,5.17410207,1.06266243,0.00000000,2.83277468,3.47874208,0.00402890,0.84658964
-5.89194597,5.03909488,1.04936766,0.00000000,2.76566271,3.39272007,0.00400437,0.80904354
-5.88594297,4.92540522,1.04059385,0.00000000,2.71790739,3.31934570,0.00400963,0.77518520
-5.87993997,4.83557898,1.03670383,0.00000000,2.69134652,3.26020915,0.00405006,0.74551019
