energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,P_s_up,P_s_down,P_p_up,P_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.61550932,-1.61550970,0.71902599,-0.71902619,0.24403627,-0.24403634,0.05516888,-0.05516890,0.45569485,-0.45569481,0.00633906,-0.00633905,0.46475287,-0.46475314
-5.99399700,1.61339078,-1.61339120,0.72274397,-0.72274417,0.24221682,-0.24221692,0.05505175,-0.05505177,0.45046355,-0.45046356,0.00592911,-0.00592910,0.47075893,-0.47075918
-5.98799400,1.61382921,-1.61382966,0.72698722,-0.72698742,0.24146183,-0.24146195,0.05510006,-0.05510008,0.44715376,-0.44715381,0.00555747,-0.00555746,0.47598800,-0.47598821
-5.98199100,1.61669930,-1.61669977,0.73170030,-0.73170050,0.24176815,-0.24176829,0.05530948,-0.05530950,0.44578509,-0.44578518,0.00522334,-0.00522333,0.48032852,-0.48032869
-5.97598799,1.62176401,-1.62176448,0.73680067,-0.73680086,0.24309213,-0.24309229,0.05566753,-0.05566755,0.44631415,-0.44631428,0.00492553,-0.00492552,0.48367786,-0.48367799
-5.96998499,1.62868557,-1.62868603,0.74218355,-0.74218373,0.24535094,-0.24535112,0.05615403,-0.05615405,0.44863627,-0.44863643,0.00466256,-0.00466256,0.48594729,-0.48594737
-5.96398199,1.63704037,-1.63704080,0.74772737,-0.74772752,0.24842539,-0.24842558,0.05674184,-0.05674187,0.45258936,-0.45258955,0.00443276,-0.00443276,0.48706673,-0.48706676
-5.95797899,1.64633691,-1.64633729,0.75329963,-0.75329976,0.25216415,-0.25216435,0.05739789,-0.05739791,0.45795984,-0.45796005,0.00423434,-0.00423433,0.48698872,-0.48698869
-5.95197599,1.65603595,-1.65603627,0.75876287,-0.75876297,0.25638921,-0.25638941,0.05808443,-0.05808446,0.46449029,-0.46449051,0.00406549,-0.00406549,0.48569169,-0.48569161
-5.94597299,1.66557210,-1.66557233,0.76398044,-0.76398050,0.26090236,-0.26090255,0.05876055,-0.05876057,0.47188861,-0.47188883,0.00392454,-0.00392453,0.48318220,-0.48318207
-5.93996998,1.67437598,-1.67437612,0.76882197,-0.76882199,0.26549245,-0.26549263,0.05938369,-0.05938371,0.47983833,-0.47983855,0.00381000,-0.00380999,0.47949607,-0.47949589
-5.93396698,1.68189626,-1.68189630,0.77316835,-0.77316833,0.26994312,-0.26994328,0.05991139,-0.05991140,0.48800961,-0.48800981,0.00372074,-0.00372074,0.47469854,-0.47469831
-5.92796398,1.68762088,-1.68762079,0.77691621,-0.77691615,0.27404071,-0.27404086,0.06030285,-0.06030286,0.49607065,-0.49607082,0.00365608,-0.00365607,0.46888337,-0.46888309
-5.92196098,1.69109676,-1.69109655,0.77998178,-0.77998168,0.27758209,-0.27758221,0.06052060,-0.06052061,0.50369905,-0.50369920,0.00361590,-0.00361590,0.46217116,-0.46217085
-5.91595798,1.69194782,-1.69194749,0.78230417,-0.78230402,0.28038198,-0.28038207,0.06053188,-0.06053188,0.51059273,-0.51059283,0.00360081,-0.00360081,0.45470699,-0.45470664
-5.90995498,1.68989062,-1.68989017,0.78384813,-0.78384795,0.28227974,-0.28227980,0.06030992,-0.06030991,0.51647999,-0.51648005,0.00361216,-0.00361216,0.44665766,-0.44665728
-5.90395198,1.68474756,-1.68474699,0.78460631,-0.78460608,0.28314511,-0.28314514,0.05983496,-0.05983494,0.52112853,-0.52112855,0.00365225,-0.00365226,0.43820872,-0.43820833
-5.89794897,1.67645740,-1.67645672,0.78460098,-0.78460073,0.28288292,-0.28288291,0.05909499,-0.05909496,0.52435301,-0.52435297,0.00372435,-0.00372436,0.42956164,-0.42956124
-5.89194597,1.66508290,-1.66508212,0.78388546,-0.78388519,0.28143651,-0.28143646,0.05808619,-0.05808616,0.52602088,-0.52602080,0.00383280,-0.00383281,0.42093106,-0.42093066
-5.88594297,1.65081560,-1.65081475,0.78254497,-0.78254468,0.27878980,-0.27878973,0.05681311,-0.05681306,0.52605657,-0.52605643,0.00398308,-0.00398308,0.41254260,-0.41254221
-5.87993997,1.63397760,-1.63397670,0.78069711,-0.78069681,0.27496803,-0.27496792,0.05528845,-0.05528840,0.52444357,-0.52444340,0.00418182,-0.00418183,0.40463103,-0.40463067
-5.87393697,1.61502032,-1.61501938,0.77849182,-0.77849152,0.27003701,-0.27003688,0.05353269,-0.05353263,0.52122480,-0.52122459,0.00443687,-0.00443688,0.39743895,-0.39743862
-5.86793397,1.59452014,-1.59451921,0.77611075,-0.77611046,0.26410120,-0.26410104,0.05157333,-0.05157327,0.51650086,-0.51650060,0.00475724,-0.00475724,0.39121580,-0.39121551
-5.86193097,1.57317101,-1.57317010,0.77376595,-0.77376568,0.25730047,-0.25730028,0.04944400,-0.04944393,0.51042660,-0.51042632,0.00515304,-0.00515305,0.38621725,-0.38621702
-5.85592796,1.55177377,-1.55177293,0.77169776,-0.77169753,0.24980583,-0.24980564,0.04718335,-0.04718328,0.50320605,-0.50320575,0.00563544,-0.00563546,0.38270447,-0.38270430
-5.84992496,1.53122230,-1.53122155,0.77017172,-0.77017153,0.24181434,-0.24181414,0.04483383,-0.04483376,0.49508580,-0.49508550,0.00621652,-0.00621653,0.38094329,-0.38094320
-5.84392196,1.51248637,-1.51248575,0.76947447,-0.76947434,0.23354313,-0.23354293,0.04244035,-0.04244028,0.48634720,-0.48634690,0.00690901,-0.00690903,0.38120276,-0.38120275
-5.83791896,1.49659124,-1.49659079,0.76990845,-0.76990839,0.22522309,-0.22522290,0.04004896,-0.04004890,0.47729756,-0.47729727,0.00772614,-0.00772617,0.38375294,-0.38375302
-5.83191596,1.48459404,-1.48459379,0.77178541,-0.77178543,0.21709208,-0.21709190,0.03770554,-0.03770548,0.46826062,-0.46826035,0.00868126,-0.00868128,0.38886158,-0.38886177
-5.82591296,1.47755710,-1.47755708,0.77541857,-0.77541868,0.20938807,-0.20938791,0.03545446,-0.03545440,0.45956654,-0.45956630,0.00978746,-0.00978749,0.39678953,-0.39678982
-5.81990995,1.47651853,-1.47651878,0.78111365,-0.78111386,0.20234226,-0.20234214,0.03333744,-0.03333739,0.45154171,-0.45154152,0.01105716,-0.01105720,0.40778460,-0.40778501
-5.81390695,1.48246040,-1.48246094,0.78915873,-0.78915905,0.19617248,-0.19617239,0.03139247,-0.03139242,0.44449862,-0.44449848,0.01250159,-0.01250163,0.42207402,-0.42207456
-5.80790395,1.49627518,-1.49627603,0.79981315,-0.79981358,0.19107680,-0.19107674,0.02965288,-0.02965284,0.43872598,-0.43872589,0.01413019,-0.01413024,0.43985539,-0.43985606
-5.80190095,1.51873115,-1.51873232,0.81329579,-0.81329634,0.18722771,-0.18722770,0.02814654,-0.02814651,0.43447942,-0.43447940,0.01595006,-0.01595012,0.46128640,-0.46128719
-5.79589795,1.55043779,-1.55043931,0.82977298,-0.82977365,0.18476694,-0.18476698,0.02689527,-0.02689525,0.43197295,-0.43197299,0.01796533,-0.01796539,0.48647364,-0.48647457
-5.78989495,1.59181231,-1.59181416,0.84934655,-0.84934734,0.18380088,-0.18380097,0.02591440,-0.02591438,0.43137133,-0.43137145,0.02017649,-0.02017656,0.51546100,-0.51546206
-5.78389195,1.64304853,-1.64305072,0.87204251,-0.87204342,0.18439691,-0.18439705,0.02521244,-0.02521243,0.43278371,-0.43278389,0.02257983,-0.02257991,0.54821805,-0.54821924
-5.77788894,1.70408971,-1.70409223,0.89780090,-0.89780192,0.18658068,-0.18658087,0.02479102,-0.02479102,0.43625851,-0.43625876,0.02516689,-0.02516697,0.58462937,-0.58463068
-5.77188594,1.77460668,-1.77460950,0.92646741,-0.92646854,0.19033434,-0.19033458,0.02464491,-0.02464491,0.44177997,-0.44178029,0.02792401,-0.02792409,0.62448522,-0.62448664
-5.76588294,1.85398279,-1.85398589,0.95778741,-0.95778862,0.19559594,-0.19559622,0.02476220,-0.02476222,0.44926635,-0.44926673,0.03083196,-0.03083205,0.66747452,-0.66747604
-5.75987994,1.94130715,-1.94131049,0.99140287,-0.99140415,0.20225996,-0.20226028,0.02512471,-0.02512474,0.45856994,-0.45857037,0.03386585,-0.03386594,0.71318073,-0.71318233
-5.75387694,2.03537720,-2.03538073,1.02685276,-1.02685410,0.21017907,-0.21017943,0.02570843,-0.02570845,0.46947910,-0.46947958,0.03699508,-0.03699518,0.76108128,-0.76108295
-5.74787394,2.13471166,-2.13471531,1.06357727,-1.06357864,0.21916716,-0.21916755,0.02648414,-0.02648417,0.48172227,-0.48172278,0.04018361,-0.04018371,0.81055112,-0.81055282
-5.74187094,2.23757427,-2.23757800,1.10092609,-1.10092746,0.22900352,-0.22900393,0.02741821,-0.02741825,0.49497394,-0.49497447,0.04339039,-0.04339048,0.86087057,-0.86087229
-5.73586793,2.34200847,-2.34201221,1.13817087,-1.13817222,0.23943826,-0.23943868,0.02847342,-0.02847346,0.50886264,-0.50886318,0.04657006,-0.04657016,0.91123782,-0.91123953
-5.72986493,2.44588246,-2.44588613,1.17452170,-1.17452300,0.25019874,-0.25019917,0.02960991,-0.02960995,0.52298064,-0.52298117,0.04967391,-0.04967400,0.96078573,-0.96078740
-5.72386193,2.54694365,-2.54694717,1.20914723,-1.20914846,0.26099695,-0.26099738,0.03078624,-0.03078628,0.53689527,-0.53689578,0.05265094,-0.05265103,1.00860278,-1.00860438
-5.71785893,2.64288100,-2.64288431,1.24119796,-1.24119908,0.27153758,-0.27153799,0.03196043,-0.03196047,0.55016149,-0.55016196,0.05544923,-0.05544931,1.05375739,-1.05375889
-5.71185593,2.73139309,-2.73139612,1.26983181,-1.26983280,0.28152654,-0.28152693,0.03309111,-0.03309115,0.56233522,-0.56233564,0.05801735,-0.05801742,1.09532492,-1.09532629
-5.70585293,2.81025944,-2.81026211,1.29424119,-1.29424202,0.29067970,-0.29068006,0.03413858,-0.03413861,0.57298724,-0.57298761,0.06030591,-0.06030597,1.13241620,-1.13241742
-5.69984992,2.87741225,-2.87741451,1.31368027,-1.31368092,0.29873146,-0.29873178,0.03506587,-0.03506590,0.58171687,-0.58171715,0.06226909,-0.06226914,1.16420650,-1.16420754
-5.69384692,2.93100557,-2.93100736,1.32749146,-1.32749191,0.30544289,-0.30544317,0.03583978,-0.03583980,0.58816501,-0.58816521,0.06386617,-0.06386621,1.18996359,-1.18996442
-5.68784392,2.96947882,-2.96948010,1.33512989,-1.33513013,0.31060907,-0.31060929,0.03643166,-0.03643168,0.59202611,-0.59202622,0.06506289,-0.06506291,1.20907366,-1.20907428
-5.68184092,2.99161189,-2.99161263,1.33618466,-1.33618468,0.31406535,-0.31406552,0.03681824,-0.03681825,0.59305841,-0.59305842,0.06583267,-0.06583269,1.22106390,-1.22106428
-5.67583792,2.99656913,-2.99656931,1.33039590,-1.33039569,0.31569234,-0.31569245,0.03698214,-0.03698215,0.59109206,-0.59109197,0.06615762,-0.06615761,1.22562056,-1.22562071
-5.66983492,2.98393029,-2.98392990,1.31766685,-1.31766641,0.31541922,-0.31541926,0.03691230,-0.03691230,0.58603479,-0.58603459,0.06602915,-0.06602913,1.22260171,-1.22260162
-5.66383192,2.95370687,-2.95370592,1.29807020,-1.29806954,0.31322550,-0.31322548,0.03660410,-0.03660409,0.57787488,-0.57787458,0.06544843,-0.06544840,1.21204400,-1.21204368
-5.65782891,2.90634315,-2.90634167,1.27184855,-1.27184768,0.30914095,-0.30914088,0.03605937,-0.03605935,0.56668129,-0.56668089,0.06442637,-0.06442632,1.19416305,-1.19416250
-5.65182591,2.84270194,-2.84269995,1.23940874,-1.23940768,0.30324386,-0.30324373,0.03528616,-0.03528613,0.55260091,-0.55260043,0.06298329,-0.06298324,1.16934751,-1.16934675
-5.64582291,2.76403562,-2.76403318,1.20131047,-1.20130923,0.29565760,-0.29565741,0.03429827,-0.03429824,0.53585323,-0.53585266,0.06114836,-0.06114829,1.13814705,-1.13814610
-5.63981991,2.67194414,-2.67194129,1.15824961,-1.15824822,0.28654582,-0.28654559,0.03311469,-0.03311465,0.51672252,-0.51672188,0.05895858,-0.05895850,1.10125483,-1.10125371
-5.63381691,2.56832185,-2.56831867,1.11103709,-1.11103559,0.27610642,-0.27610614,0.03175883,-0.03175878,0.49554806,-0.49554736,0.05645765,-0.05645756,1.05948528,-1.05948402
-5.62781391,2.45529578,-2.45529234,1.06057427,-1.06057268,0.26456458,-0.26456428,0.03025767,-0.03025762,0.47271282,-0.47271208,0.05369460,-0.05369450,1.01374827,-1.01374690
-5.62181091,2.33515818,-2.33515454,1.00782590,-1.00782425,0.25216531,-0.25216498,0.02864086,-0.02864081,0.44863120,-0.44863042,0.05072227,-0.05072217,0.96502080,-0.96501935
-5.61580790,2.21029631,-2.21029255,0.95379189,-0.95379022,0.23916562,-0.23916527,0.02693973,-0.02693968,0.42373623,-0.42373543,0.04759578,-0.04759568,0.91431742,-0.91431592
-5.60980490,2.08312254,-2.08311874,0.89947904,-0.89947737,0.22582695,-0.22582659,0.02518635,-0.02518630,0.39846706,-0.39846625,0.04437096,-0.04437085,0.86266069,-0.86265917
-5.60380190,1.95600745,-1.95600368,0.84587382,-0.84587219,0.21240795,-0.21240759,0.02341268,-0.02341262,0.37325701,-0.37325621,0.04110289,-0.04110279,0.81105268,-0.81105118
-5.59779890,1.83121845,-1.83121478,0.79391721,-0.79391564,0.19915792,-0.19915756,0.02164966,-0.02164961,0.34852277,-0.34852200,0.03784461,-0.03784451,0.76044876,-0.76044730
