energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,8.14737436,1.49532942,0.74690265,0.01613699,0.54938145,2.82297935,2.93122628,0.06069478,3.99147829
-5.99399700,8.27299311,1.51577842,0.74974648,0.01541819,0.55947813,2.89104363,2.98151395,0.06218792,4.04488463
-5.98799400,8.41592499,1.53935309,0.75336454,0.01475702,0.57131541,2.97191156,3.03725574,0.06376198,4.10648018
-5.98199100,8.57534718,1.56587695,0.75763422,0.01415409,0.58494816,3.06530833,3.09837515,0.06540206,4.17573559
-5.97598799,8.75005752,1.59508505,0.76240529,0.01360935,0.60041178,3.17074101,3.16467208,0.06709375,4.25191012
-5.96998499,8.93847973,1.62663035,0.76750513,0.01312215,0.61771731,3.28749699,3.23581256,0.06882328,4.33406312
-5.96398199,9.13867757,1.66009266,0.77274458,0.01269121,0.63684663,3.41464616,3.31132189,0.07057770,4.42107116
-5.95797899,9.34837754,1.69498994,0.77792444,0.01231473,0.65774793,3.55104656,3.39058153,0.07234477,4.51165026
-5.95197599,9.56499933,1.73079128,0.78284200,0.01199038,0.68033163,3.69535376,3.47283026,0.07411292,4.60438230
-5.94597299,9.78569344,1.76693099,0.78729748,0.01171536,0.70446701,3.84603383,3.55716955,0.07587102,4.69774471
-5.93996998,10.00738504,1.80282326,0.79110005,0.01148645,0.72997984,4.00138005,3.64257352,0.07760810,4.79014233
-5.93396698,10.22682343,1.83787672,0.79407300,0.01130008,0.75665116,4.15953323,3.72790339,0.07931307,4.87994074
-5.92796398,10.44063614,1.87150828,0.79605817,0.01115236,0.78421750,4.31850569,3.81192638,0.08097437,4.96549973
-5.92196098,10.64538715,1.90315592,0.79691917,0.01103918,0.81237264,4.47620883,3.89333878,0.08257967,5.04520638
-5.91595798,10.83763821,1.93228983,0.79654354,0.01095627,0.84077123,4.63048411,3.97079295,0.08411569,5.11750689
-5.90995498,11.01401265,1.95842179,0.79484378,0.01089925,0.86903405,4.77913726,4.04292751,0.08556797,5.18093644
-5.90395198,11.17126076,1.98111249,0.79175737,0.01086376,0.89675526,4.91997541,4.10840032,0.08692088,5.23414673
-5.89794897,11.30632567,1.99997684,0.78724580,0.01084548,0.92351127,5.05084655,4.16592311,0.08815770,5.27593068
-5.89194597,11.41640876,2.01468733,0.78129299,0.01084024,0.94887117,5.16968088,4.21429700,0.08926082,5.30524404
-5.88594297,11.49903307,2.02497547,0.77390310,0.01084408,0.97240843,5.27453300,4.25244762,0.09021216,5.32122371
-5.87993997,11.55210331,2.03063185,0.76509810,0.01085332,0.99371350,5.36362414,4.27945876,0.09099360,5.32320252
