energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.27943957,-2.08798747,0.00774616,-0.02291957,0.01580192,-0.10478166,0.31602494,-0.68412217,0.21631862,-0.19465316,0.26914299,-0.62718556,0.21713925,-0.24503199,0.03096149,-0.02630174,0.70458096,-1.21679619
-5.99399700,1.20366580,-2.07736405,0.00692042,-0.02092476,0.01460448,-0.10318143,0.29701157,-0.68885050,0.19784667,-0.19154559,0.25071179,-0.63941195,0.20808978,-0.24134995,0.02941688,-0.02444437,0.66401184,-1.21417516
-5.98799400,1.13074001,-2.05855818,0.00614324,-0.01897415,0.01344140,-0.10132193,0.27925271,-0.69008393,0.18059057,-0.18790576,0.23366872,-0.64849550,0.19897009,-0.23682329,0.02783286,-0.02262152,0.62506939,-1.20646864
-5.98199100,1.06099208,-2.03166975,0.00541839,-0.01709047,0.01232367,-0.09921036,0.26281214,-0.68779978,0.16460223,-0.18376268,0.21809397,-0.65426540,0.18981217,-0.23149284,0.02622354,-0.02085176,0.58793390,-1.19370833
-5.97598799,0.99469717,-1.99692227,0.00474832,-0.01529303,0.01126072,-0.09685387,0.24773414,-0.68204449,0.14991070,-0.17914993,0.20404432,-0.65661062,0.18065182,-0.22540887,0.02460238,-0.01915097,0.55275556,-1.17601094
-5.96998499,0.93207844,-1.95467002,0.00413426,-0.01359761,0.01026035,-0.09426027,0.23404475,-0.67293465,0.13652408,-0.17410666,0.19155336,-0.65548526,0.17152890,-0.21863154,0.02298219,-0.01753238,0.51965569,-1.15358216
-5.96398199,0.87330910,-1.90540150,0.00357632,-0.01201647,0.00932861,-0.09143870,0.22175273,-0.66065585,0.12443161,-0.16867846,0.18063179,-0.65091204,0.16248696,-0.21123096,0.02137498,-0.01600677,0.48872769,-1.12671818
-5.95797899,0.81851361,-1.84973878,0.00307360,-0.01055849,0.00846981,-0.08840042,0.21085023,-0.64545924,0.11360579,-0.16291810,0.17126781,-0.64298366,0.15357254,-0.20328701,0.01979196,-0.01458269,0.46003732,-1.09580427
-5.95197599,0.76776822,-1.78843257,0.00262436,-0.00922945,0.00768652,-0.08515936,0.20131324,-0.62765604,0.10400448,-0.15688608,0.16342762,-0.63186201,0.14483393,-0.19488883,0.01824345,-0.01326679,0.43362269,-1.06131059
-5.94597299,0.72110079,-1.72235291,0.00222618,-0.00803236,0.00697973,-0.08173266,0.19310182,-0.60761011,0.09557288,-0.15065092,0.15705608,-0.61777520,0.13631976,-0.18613395,0.01673883,-0.01206417,0.40949378,-1.02378516
-5.93996998,0.67849039,-1.65247591,0.00187608,-0.00696784,0.00634884,-0.07814101,0.18616020,-0.58572891,0.08824547,-0.14428916,0.15207744,-0.60101253,0.12807729,-0.17712707,0.01528650,-0.01097873,0.38763194,-0.98384436
-5.93396698,0.63986678,-1.57986685,0.00157069,-0.00603460,0.00579194,-0.07440880,0.18041694,-0.56245334,0.08194780,-0.13788504,0.14839647,-0.58191761,0.12015066,-0.16797861,0.01389380,-0.01001357,0.36798929,-0.94216124
-5.92796398,0.60511035,-1.50566049,0.00130639,-0.00522983,0.00530586,-0.07056408,0.17578519,-0.53824673,0.07659824,-0.13152991,0.14589976,-0.56087995,0.11257917,-0.15880290,0.01256701,-0.00917132,0.35048853,-0.89945216
-5.92196098,0.57405274,-1.43103928,0.00107943,-0.00454971,0.00488644,-0.06663830,0.17216332,-0.51358350,0.07210953,-0.12532138,0.14445745,-0.53832531,0.10539576,-0.14971634,0.01131126,-0.00845448,0.33502322,-0.85646233
-5.91595798,0.54647857,-1.35721041,0.00088605,-0.00398979,0.00452864,-0.06266585,0.16943587,-0.48893808,0.06839038,-0.11936222,0.14392533,-0.51470526,0.09862570,-0.14083538,0.01013054,-0.00786564,0.32145874,-0.81395084
-5.90995498,0.52212846,-1.28538267,0.00072252,-0.00354538,0.00422682,-0.05868351,0.16747497,-0.46477420,0.06534700,-0.11375907,0.14414738,-0.49048637,0.09228565,-0.13227452,0.00902771,-0.00740777,0.30963415,-0.77267576
-5.90395198,0.50070352,-1.21674384,0.00058529,-0.00321186,0.00397484,-0.05472962,0.16614240,-0.44153535,0.06288452,-0.10862101,0.14495875,-0.46613939,0.08638316,-0.12414447,0.00800446,-0.00708434,0.29936501,-0.73337981
-5.89794897,0.48187140,-1.15243955,0.00047099,-0.00298497,0.00376633,-0.05084335,0.16529204,-0.41963628,0.06090848,-0.10405803,0.14618907,-0.44212880,0.08091649,-0.11655035,0.00706140,-0.00689939,0.29044710,-0.69677717
-5.89194597,0.46527379,-1.09355412,0.00037652,-0.00286098,0.00359480,-0.04706372,0.16477294,-0.39945612,0.05932627,-0.10017945,0.14766615,-0.41890321,0.07587505,-0.10959021,0.00619811,-0.00685756,0.28266117,-0.66354168
-5.88594297,0.45053513,-1.04109373,0.00029900,-0.00283686,0.00345384,-0.04342878,0.16443273,-0.38133300,0.05804853,-0.09709222,0.14921986,-0.39688661,0.07124002,-0.10335376,0.00541316,-0.00696407,0.27577834,-0.63429673
-5.87993997,0.43727237,-0.99597237,0.00023588,-0.00291027,0.00333725,-0.03997466,0.16412143,-0.36556035,0.05699049,-0.09489936,0.15068612,-0.37647097,0.06698553,-0.09792138,0.00470429,-0.00722452,0.26956625,-0.60960685
-5.87393697,0.42510522,-0.95900031,0.00018485,-0.00307964,0.00323919,-0.03673480,0.16369525,-0.35238468,0.05607330,-0.09369815,0.15191090,-0.35800999,0.06307998,-0.09336345,0.00406848,-0.00764475,0.26379540,-0.58997117
-5.86793397,0.41366668,-0.93087517,0.00014390,-0.00334398,0.00315428,-0.03373922,0.16302056,-0.34200479,0.05522518,-0.09357853,0.15275399,-0.34181440,0.05948764,-0.08973984,0.00350205,-0.00823056,0.25824573,-0.57581832
-5.86193097,0.40261313,-0.91217516,0.00011127,-0.00370284,0.00307769,-0.03101387,0.16197750,-0.33457219,0.05438250,-0.09462130,0.15309243,-0.32814831,0.05617029,-0.08709967,0.00300084,-0.00898737,0.25271283,-0.56750279
-5.85592796,0.39163374,-0.90335409,0.00008548,-0.00415608,0.00300525,-0.02858013,0.16046333,-0.33019238,0.05349060,-0.09689633,0.15282350,-0.31722702,0.05308898,-0.08548128,0.00256033,-0.00991988,0.24701380,-0.56530235
-5.84992496,0.38045868,-0.90473766,0.00006523,-0.00470363,0.00293346,-0.02645445,0.15839517,-0.32892674,0.05250452,-0.10046073,0.15186706,-0.30921565,0.05020564,-0.08491212,0.00217573,-0.01103164,0.24099221,-0.56941612
-5.84392196,0.36886580,-0.91652070,0.00004944,-0.00534524,0.00285957,-0.02464807,0.15571213,-0.33079482,0.05138935,-0.10535693,0.15016714,-0.30422878,0.04748453,-0.08540891,0.00184217,-0.01232461,0.23452215,-0.57996319
-5.83791896,0.35668547,-0.93876471,0.00003723,-0.00608017,0.00278156,-0.02316686,0.15237662,-0.33577658,0.05012049,-0.11161073,0.14769285,-0.30233068,0.04489362,-0.08697756,0.00155478,-0.01379874,0.22751112,-0.59698124
-5.83191596,0.34380357,-0.97139573,0.00002785,-0.00690693,0.00269819,-0.02201136,0.14837486,-0.34381454,0.04868354,-0.11922934,0.14443835,-0.30353612,0.04240554,-0.08961316,0.00130879,-0.01545153,0.21990167,-0.62042525
-5.82591296,0.33016235,-1.01420204,0.00002070,-0.00782293,0.00260897,-0.02117681,0.14371661,-0.35481552,0.04707398,-0.12819950,0.14042206,-0.30781141,0.03999840,-0.09329981,0.00109964,-0.01727762,0.21167171,-0.65016600
-5.81990995,0.31575943,-1.06683201,0.00001528,-0.00882426,0.00251416,-0.02065331,0.13843396,-0.36865200,0.04529662,-0.13848563,0.13568511,-0.31507580,0.03765628,-0.09801041,0.00092305,-0.01926846,0.20283368,-0.68598845
-5.81390695,0.30064501,-1.12879218,0.00001122,-0.00990538,0.00241472,-0.02042615,0.13257955,-0.38516299,0.04336489,-0.15002828,0.13028911,-0.32520298,0.03536942,-0.10370624,0.00077507,-0.02141203,0.19343251,-0.72759017
-5.80790395,0.28491758,-1.19944593,0.00000819,-0.01105899,0.00231234,-0.02047606,0.12622407,-0.40415453,0.04129991,-0.16274286,0.12431333,-0.33802278,0.03313427,-0.11033659,0.00065213,-0.02369266,0.18354266,-0.77458001
