energy_ev,total_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.25164168,0.06917710,0.00018721,0.04887339,0.86167888,0.34313914,0.49801375
-5.99399700,1.26842755,0.06800782,0.00020978,0.04843539,0.87581031,0.35039247,0.50629939
-5.98799400,1.28811370,0.06705495,0.00023479,0.04804869,0.89181850,0.35832498,0.51542102
-5.98199100,1.31100628,0.06636015,0.00026253,0.04772125,0.90987450,0.36698066,0.52543115
-5.97598799,1.33737915,0.06596054,0.00029330,0.04745808,0.93013038,0.37639795,0.53637100
-5.96998499,1.36748451,0.06588889,0.00032745,0.04726178,0.95272729,0.38661334,0.54827619
-5.96398199,1.40156311,0.06617377,0.00036531,0.04713315,0.97780316,0.39766499,0.56118239
-5.95797899,1.43985251,0.06683981,0.00040725,0.04707185,1.00549898,0.40959550,0.57513028
-5.95197599,1.48259209,0.06790789,0.00045363,0.04707706,1.03596258,0.42245384,0.59016918
-5.94597299,1.53002348,0.06939515,0.00050478,0.04714801,1.06934923,0.43629582,0.60635891
-5.93996998,1.58238576,0.07131498,0.00056101,0.04728451,1.10581840,0.45118305,0.62376951
-5.93396698,1.63990499,0.07367671,0.00062255,0.04748717,1.14552641,0.46718017,0.64247858
-5.92796398,1.70277818,0.07648522,0.00068956,0.04775763,1.18861522,0.48435054,0.66256625
-5.92196098,1.77115256,0.07974035,0.00076210,0.04809844,1.23519762,0.50275043,0.68410802
-5.91595798,1.84510111,0.08343624,0.00084010,0.04851292,1.28533982,0.52242217,0.70716583
-5.90995498,1.92459624,0.08756059,0.00092335,0.04900477,1.33904251,0.54338666,0.73177793
-5.90395198,2.00948342,0.09209406,0.00101149,0.04957763,1.39622184,0.56563582,0.75794833
-5.89794897,2.09945711,0.09700975,0.00110395,0.05023458,1.45669179,0.58912560,0.78563662
-5.89194597,2.19404114,0.10227288,0.00120002,0.05097754,1.52014958,0.61377022,0.81474897
-5.88594297,2.29257572,0.10784087,0.00129880,0.05180689,1.58616556,0.63943814,0.84513122
-5.87993997,2.39421288,0.11366374,0.00139920,0.05272093,1.65417890,0.66595037,0.87656468
