energy_ev,total_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,2.08290452,0.29511205,0.00168846,0.06062687,1.12252784,1.21621193,0.56795907
-5.99399700,2.01253042,0.29219845,0.00162997,0.06115807,1.07821309,1.16511968,0.54801081
-5.98799400,1.95031196,0.29047064,0.00157731,0.06210101,1.03821078,1.11766074,0.53032773
-5.98199100,1.89647295,0.28997599,0.00153111,0.06344410,1.00262971,1.07404679,0.51493647
-5.97598799,1.85110778,0.29074346,0.00149194,0.06516527,0.97151060,1.03444092,0.50181964
-5.96998499,1.81417996,0.29278207,0.00146032,0.06723225,0.94482653,0.99895696,0.49091681
-5.96398199,1.78552524,0.29607992,0.00143669,0.06960310,0.92248585,0.96766065,0.48212694
-5.95797899,1.76485907,0.30060380,0.00142144,0.07222713,0.90433735,0.94057210,0.47531245
-5.95197599,1.75178777,0.30629954,0.00141484,0.07504619,0.89017736,0.91766941,0.47030447
-5.94597299,1.74582314,0.31309290,0.00141710,0.07799619,0.87975844,0.89889297,0.46690920
-5.93996998,1.74639931,0.32089114,0.00142834,0.08100899,0.87279902,0.88415011,0.46491522
-5.93396698,1.75289151,0.32958509,0.00144858,0.08401438,0.86899379,0.87331962,0.46410120
-5.92796398,1.76463549,0.33905161,0.00147775,0.08694218,0.86802415,0.86625610,0.46424401
-5.92196098,1.78094710,0.34915635,0.00151569,0.08972446,0.86956846,0.86279366,0.46512661
-5.91595798,1.80114104,0.35975670,0.00156218,0.09229757,0.87331157,0.86274897,0.46654576
-5.90995498,1.82454812,0.37070467,0.00161687,0.09460413,0.87895342,0.86592359,0.46831887
-5.90395198,1.85053051,0.38184971,0.00167938,0.09659472,0.88621633,0.87210559,0.47029006
-5.89794897,1.87849442,0.39304126,0.00174922,0.09822928,0.89485087,0.88107048,0.47233501
-5.89194597,1.90789991,0.40413099,0.00182585,0.09947815,0.90464016,0.89258180,0.47436450
-5.88594297,1.93826777,0.41497470,0.00190868,0.10032271,0.91540244,0.90639131,0.47632650
-5.87993997,1.96918329,0.42543382,0.00199706,0.10075555,0.92699217,0.92223922,0.47820673
-5.87393697,2.00029715,0.43537653,0.00209030,0.10078026,0.93929943,0.93985447,0.48002774
-5.86793397,2.03132375,0.44467863,0.00218770,0.10041075,0.95224796,0.95895542,0.48184651
-5.86193097,2.06203714,0.45322412,0.00228853,0.09967025,0.96579196,0.97925097,0.48375075
-5.85592796,2.09226518,0.46090570,0.00239204,0.09858999,0.97991179,1.00044233,0.48585401
-5.84992496,2.12188232,0.46762515,0.00249751,0.09720762,0.99460892,1.02222541,0.48828987
-5.84392196,2.15080154,0.47329386,0.00260422,0.09556551,1.00990017,1.04429386,0.49120544
-5.83791896,2.17896585,0.47783337,0.00271145,0.09370893,1.02581179,1.06634270,0.49475442
-5.83191596,2.20634001,0.48117625,0.00281854,0.09168433,1.04237336,1.08807251,0.49909007
-5.82591296,2.23290266,0.48326701,0.00292483,0.08953764,1.05961182,1.10919382,0.50435825
-5.81990995,2.25863930,0.48406339,0.00302973,0.08731280,1.07754599,1.12943181,0.51069097
-5.81390695,2.28353646,0.48353769,0.00313263,0.08505047,1.09618159,1.14853083,0.51820055
-5.80790395,2.30757709,0.48167829,0.00323302,0.08278711,1.11550703,1.16625884,0.52697469
-5.80190095,2.33073736,0.47849113,0.00333036,0.08055422,1.13549016,1.18241130,0.53707256
-5.79589795,2.35298493,0.47400114,0.00342418,0.07837799,1.15607591,1.19681457,0.54852210
-5.78989495,2.37427859,0.46825345,0.00351403,0.07627926,1.17718518,1.20932852,0.56131860
-5.78389195,2.39456920,0.46131429,0.00359946,0.07427363,1.19871474,1.21984842,0.57542449
-5.77788894,2.41380185,0.45327145,0.00368008,0.07237195,1.22053833,1.22830590,0.59077051
-5.77188594,2.43191902,0.44423429,0.00375547,0.07058092,1.24250883,1.23466905,0.60725798
-5.76588294,2.44886465,0.43433319,0.00382528,0.06890385,1.26446154,1.23894173,0.62476226
-5.75987994,2.46458884,0.42371839,0.00388914,0.06734148,1.28621829,1.24116208,0.64313707
-5.75387694,2.47905310,0.41255832,0.00394673,0.06589288,1.30759252,1.24140035,0.66221971
-5.74787394,2.49223594,0.40103738,0.00399776,0.06455626,1.32839491,1.23975624,0.68183676
-5.74187094,2.50413864,0.38935328,0.00404200,0.06332982,1.34843960,1.23635579,0.70181032
-5.73586793,2.51479111,0.37771402,0.00407928,0.06221237,1.36755070,1.23134810,0.72196434
-5.72986493,2.52425765,0.36633463,0.00410950,0.06120396,1.38556901,1.22490183,0.74213101
-5.72386193,2.53264254,0.35543383,0.00413268,0.06030627,1.40235855,1.21720186,0.76215696
-5.71785893,2.54009530,0.34523069,0.00414895,0.05952293,1.41781305,1.20844608,0.78190907
-5.71185593,2.54681560,0.33594143,0.00415862,0.05885963,1.43186184,1.19884240,0.80127979
-5.70585293,2.55305753,0.32777655,0.00416215,0.05832415,1.44447519,1.18860621,0.82019171
-5.69984992,2.55913322,0.32093827,0.00416021,0.05792622,1.45566887,1.17795821,0.83860131
-5.69384692,2.56541559,0.31561846,0.00415371,0.05767733,1.46550767,1.16712264,0.85650180
-5.68784392,2.57233996,0.31199705,0.00414379,0.05759039,1.47410781,1.15632600,0.87392484
-5.68184092,2.58040435,0.31024098,0.00413186,0.05767936,1.48163797,1.14579611,0.89094104
-5.67583792,2.59016816,0.31050360,0.00411961,0.05795881,1.48831893,1.13576144,0.90765928
-5.66983492,2.60224892,0.31292458,0.00410902,0.05844345,1.49442150,1.12645073,0.92422462
-5.66383192,2.61731687,0.31763015,0.00410233,0.05914762,1.50026278,1.11809255,0.94081482
-5.65782891,2.63608698,0.32473356,0.00410208,0.06008478,1.50620054,1.11091490,0.95763546
-5.65182591,2.65930826,0.33433577,0.00411103,0.06126696,1.51262586,1.10514445,0.97491367
-5.64582291,2.68775014,0.34652599,0.00413218,0.06270424,1.51995383,1.10100549,0.99289049
-5.63981991,2.72218595,0.36138211,0.00416868,0.06440422,1.52861264,1.09871826,1.01181204
-5.63381691,2.76337335,0.37897080,0.00422381,0.06637146,1.53903109,1.09849666,1.03191970
-5.62781391,2.81203229,0.39934712,0.00430091,0.06860701,1.55162482,1.10054524,1.05343948
-5.62181091,2.86882058,0.42255354,0.00440325,0.07110792,1.56678176,1.10505536,1.07657092
-5.61580790,2.93430799,0.44861832,0.00453402,0.07386679,1.58484711,1.11220068,1.10147605
-5.60980490,3.00894949,0.47755320,0.00469618,0.07687138,1.60610845,1.12213192,1.12826858
-5.60380190,3.09305873,0.50935040,0.00489235,0.08010437,1.63078171,1.13497118,1.15700413
-5.59779890,3.18678294,0.54397903,0.00512477,0.08354311,1.65899847,1.15080594,1.18767171
-5.59179590,3.29008037,0.58138109,0.00539512,0.08715958,1.69079542,1.16968311,1.22018715
-5.58579290,3.40270172,0.62146713,0.00570449,0.09092048,1.72610656,1.19160333,1.25438884
-5.57978989,3.52417673,0.66411200,0.00605326,0.09478745,1.76475869,1.21651606,1.29003623
-5.57378689,3.65380708,0.70915079,0.00644103,0.09871754,1.80647074,1.24431564,1.32681135
-5.56778389,3.79066670,0.75637546,0.00686660,0.10266375,1.85085719,1.27483887,1.36432354
-5.56178089,3.93361004,0.80553229,0.00732791,0.10657591,1.89743577,1.30786425,1.40211750
-5.55577789,4.08128883,0.85632064,0.00782206,0.11040157,1.94563942,1.34311336,1.43968445
-5.54977489,4.23217735,0.90839319,0.00834533,0.11408718,1.99483223,1.38025430,1.47647621
-5.54377189,4.38460570,0.96135790,0.00889325,0.11757929,2.04432890,1.41890760,1.51192170
-5.53776888,4.53680038,1.01478186,0.00946064,0.12082591,2.09341698,1.45865423,1.54544542
-5.53176588,4.68693081,1.06819708,0.01004180,0.12377783,2.14138118,1.49904575,1.57648699
-5.52576288,4.83316029,1.12110810,0.01063055,0.12639004,2.18752860,1.53961627,1.60452119
-5.51975988,4.97369934,1.17300135,0.01122048,0.12862299,2.23121379,1.57989568,1.62907752
-5.51375688,5.10685925,1.22335600,0.01180505,0.13044373,2.27186261,1.61942379,1.64975840
-5.50775388,5.23110347,1.27165575,0.01237780,0.13182696,2.30899349,1.65776455,1.66625525
-5.50175088,5.34509458,1.31740128,0.01293250,0.13275579,2.34223524,1.69451983,1.67836155
-5.49574787,5.44773439,1.36012286,0.01346333,0.13322225,2.37134035,1.72934198,1.68598235
-5.48974487,5.53819530,1.39939227,0.01396504,0.13322759,2.39619290,1.76194441,1.68913952
-5.48374187,5.61594107,1.43483388,0.01443306,0.13278213,2.41681077,1.79210978,1.68797250
-5.47773887,5.68073587,1.46613394,0.01486361,0.13190497,2.43334168,1.81969492,1.68273442
-5.47173587,5.73264080,1.49304796,0.01525375,0.13062329,2.44605310,1.84463250,1.67378344
-5.46573287,5.77199793,1.51540549,0.01560144,0.12897143,2.45531653,1.86692887,1.66156975
-5.45972986,5.79940217,1.53311230,0.01590549,0.12698965,2.46158654,1.88665831,1.64661869
-5.45372686,5.81566239,1.54614959,0.01616555,0.12472285,2.46537572,1.90395367,1.62951046
-5.44772386,5.82175340,1.55457053,0.01638202,0.12221893,2.46722646,1.91899400,1.61085751
-5.44172086,5.81876109,1.55849399,0.01655594,0.11952731,2.46768121,1.93198957,1.59128031
-5.43571786,5.80782354,1.55809614,0.01668887,0.11669720,2.46725235,1.94316517,1.57138283
-5.42971486,5.79007099,1.55360004,0.01678274,0.11377611,2.46639359,1.95274248,1.55172852
-5.42371186,5.76656789,1.54526408,0.01683968,0.11080836,2.46547406,1.96092263,1.53281822
-5.41770885,5.73825997,1.53336965,0.01686193,0.10783380,2.46475683,1.96786984,1.51507080
-5.41170585,5.70592944,1.51820890,0.01685165,0.10488676,2.46438282,1.97369713,1.49880760
-5.40570285,5.67016057,1.50007313,0.01681083,0.10199527,2.46436134,1.97845520,1.48424140
-5.39969985,5.63131784,1.47924253,0.01674121,0.09918057,2.46456776,1.98212496,1.47147058
-5.39369685,5.58953786,1.45597767,0.01664421,0.09645688,2.46474865,1.98461454,1.46047873
-5.38769385,5.54473570,1.43051329,0.01652092,0.09383162,2.46453443,1.98576098,1.45113991
-5.38169085,5.49662544,1.40305456,0.01637209,0.09130575,2.46345897,1.98533674,1.44322927
-5.37568784,5.44475400,1.37377605,0.01619823,0.08887455,2.46098532,1.98306084,1.43643868
-5.36968484,5.38854641,1.34282324,0.01599964,0.08652853,2.45653642,1.97861419,1.43039658
-5.36368184,5.32736023,1.31031639,0.01577657,0.08425455,2.44952928,1.97165830,1.42469121
-5.35767884,5.26054613,1.27635655,0.01552928,0.08203709,2.43941096,1.96185660,1.41889593
-5.35167584,5.18751132,1.24103310,0.01525824,0.07985957,2.42569455,1.94889716,1.41259556
-5.34567284,5.10778234,1.20443226,0.01496422,0.07770563,2.40799320,1.93251555,1.40541224
