energy_ev,total_up,Hf_p_up,Hf_d_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,5.61716870,4.00293038,1.50426433,0.16523422,0.00751922,1.57487000,0.06345685,1.88300704
-5.99399700,5.59354984,4.00590967,1.50072688,0.16461002,0.00749943,1.56992438,0.06456398,1.87301410
-5.98799400,5.56880311,4.00700429,1.49779968,0.16377350,0.00746973,1.56493776,0.06567215,1.86253159
-5.98199100,5.54286520,4.00601993,1.49545351,0.16272727,0.00743002,1.55987147,0.06676824,1.85157230
-5.97598799,5.51561170,4.00274545,1.49361432,0.16147933,0.00738022,1.55465349,0.06783869,1.84014030
-5.96998499,5.48687170,3.99696305,1.49216768,0.16004323,0.00732024,1.54918149,0.06886993,1.82823682
-5.96398199,5.45644596,3.98845987,1.49096541,0.15843801,0.00724999,1.54332780,0.06984871,1.81586640
-5.95797899,5.42412760,3.97704050,1.48983420,0.15668800,0.00716945,1.53694620,0.07076258,1.80304309
-5.95197599,5.38972432,3.96253987,1.48858552,0.15482245,0.00707864,1.52988005,0.07160025,1.78979625
-5.94597299,5.35308083,3.94483584,1.48702655,0.15287507,0.00697767,1.52197152,0.07235197,1.77617581
-5.93996998,5.31410023,3.92386098,1.48497136,0.15088340,0.00686677,1.51307110,0.07300994,1.76225634
-5.93396698,5.27276282,3.89961267,1.48225174,0.14888808,0.00674628,1.50304712,0.07356851,1.74814001
-5.92796398,5.22914126,3.87216114,1.47872708,0.14693199,0.00661674,1.49179459,0.07402440,1.73395775
-5.92196098,5.18341087,3.84165464,1.47429281,0.14505932,0.00647882,1.47924286,0.07437683,1.71986877
-5.91595798,5.13585420,3.80832157,1.46888679,0.14331455,0.00633341,1.46536164,0.07462747,1.70605804
-5.90995498,5.08685943,3.77246910,1.46249350,0.14174127,0.00618159,1.45016513,0.07478039,1.69273195
-5.90395198,5.03691236,3.73447829,1.45514560,0.14038107,0.00602460,1.43371386,0.07484178,1.68011205
-5.89794897,4.98658231,3.69479584,1.44692294,0.13927225,0.00586388,1.41611427,0.07481971,1.66842719
-5.89194597,4.93650254,3.65392270,1.43794913,0.13844859,0.00570104,1.39751604,0.07472372,1.65790452
-5.88594297,4.88734623,3.61240010,1.42838577,0.13793813,0.00553779,1.37810726,0.07456444,1.64875954
-5.87993997,4.83979949,3.57079367,1.41842493,0.13776201,0.00537597,1.35810785,0.07435307,1.64118604
-5.87393697,4.79453277,3.52967647,1.40828013,0.13793344,0.00521746,1.33776161,0.07410100,1.63534630
-5.86793397,4.75217270,3.48961181,1.39817660,0.13845684,0.00506418,1.31732725,0.07381934,1.63136239
-5.86193097,4.71327596,3.45113681,1.38834130,0.13932724,0.00491801,1.29706908,0.07351860,1.62930895
-5.85592796,4.67830687,3.41474754,1.37899336,0.14052994,0.00478076,1.27724780,0.07320838,1.62920823
-5.84992496,4.64762037,3.38088672,1.37033540,0.14204055,0.00465418,1.25811194,0.07289718,1.63102764
-5.84392196,4.62145127,3.34993437,1.36254649,0.14382535,0.00453984,1.23989032,0.07259232,1.63468030
-5.83791896,4.59991080,3.32220217,1.35577676,0.14584209,0.00443919,1.22278605,0.07230001,1.64002852
-5.83191596,4.58299060,3.29793160,1.35014424,0.14804113,0.00435350,1.20697217,0.07202541,1.64689037
-5.82591296,4.57057400,3.27729585,1.34573387,0.15036702,0.00428384,1.19258912,0.07177293,1.65504899
-5.81990995,4.56245387,3.26040530,1.34259870,0.15276025,0.00423114,1.17974420,0.07154646,1.66426414
-5.81390695,4.55835586,3.24731593,1.34076299,0.15515941,0.00419614,1.16851259,0.07134980,1.67428556
-5.80790395,4.55796549,3.23803999,1.34022697,0.15750340,0.00417944,1.15894003,0.07118693,1.68486723
-5.80190095,4.56095707,3.23255794,1.34097284,0.15973368,0.00418153,1.15104658,0.07106244,1.69578169
-5.79589795,4.56702251,3.23083060,1.34297124,0.16179656,0.00420279,1.14483118,0.07098183,1.70683367
-5.78989495,4.57589780,3.23281044,1.34618795,0.16364519,0.00424355,1.14027649,0.07095168,1.71787187
