energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,7.25049999,0.04103900,1.12536039,0.80680188,0.31627559,4.40295394,3.10253935,2.29539607,0.00000000
-5.99399700,7.22748693,0.04171659,1.08570024,0.81922563,0.32008427,4.35322468,3.06791772,2.33489725,0.00000000
-5.98799400,7.22253999,0.04226702,1.05096186,0.83378966,0.32349800,4.31472809,3.04537195,2.37698038,0.00000000
-5.98199100,7.23656234,0.04268923,1.02147213,0.85047494,0.32656223,4.28928935,3.03516672,2.42158240,0.00000000
-5.97598799,7.27035338,0.04298323,0.99751301,0.86923334,0.32933886,4.27856587,3.03749847,2.46863751,0.00000000
-5.96998499,7.32460105,0.04314999,0.97931780,0.88999157,0.33190535,4.28401056,3.05249821,2.51808150,0.00000000
-5.96398199,7.39986566,0.04319147,0.96706605,0.91265509,0.33435314,4.30683451,3.08022971,2.56985382,0.00000000
-5.95797899,7.49655547,0.04311056,0.96087720,0.93711151,0.33678552,4.34797010,3.12068296,2.62389711,0.00000000
-5.95197599,7.61489460,0.04291108,0.96080331,0.96323333,0.33931483,4.40803576,3.17376323,2.68015389,0.00000000
-5.94597299,7.75488505,0.04259787,0.96682135,0.99087965,0.34205920,4.48730402,3.23927644,2.73856055,0.00000000
-5.93996998,7.91626515,0.04217677,0.97882564,1.01989692,0.34513887,4.58567482,3.31691197,2.79903894,0.00000000
-5.93396698,8.09846740,0.04165474,0.99662116,1.05011857,0.34867222,4.70265580,3.40622435,2.86148598,0.00000000
-5.92796398,8.30057913,0.04103992,1.01991844,1.08136379,0.35277169,4.83735170,3.50661548,2.92576218,0.00000000
-5.92196098,8.52130969,0.04034166,1.04833070,1.11343566,0.35753969,4.98846462,3.61731924,2.99167976,0.00000000
-5.91595798,8.75896771,0.03957063,1.08137394,1.14611886,0.36306471,5.15430652,3.73739026,3.05899155,0.00000000
-5.90995498,9.01145174,0.03873884,1.11847040,1.17917750,0.36941785,5.33282504,3.86569859,3.12738143,0.00000000
-5.90395198,9.27625706,0.03785958,1.15895588,1.21235338,0.37664973,5.52164304,4.00093169,3.19645762,0.00000000
-5.89794897,9.55050046,0.03694748,1.20209085,1.24536518,0.38478813,5.71811153,4.14160473,3.26574926,0.00000000
-5.89194597,9.83096404,0.03601833,1.24707546,1.27790891,0.39383634,5.91937507,4.28607985,3.33470732,0.00000000
-5.88594297,10.11415756,0.03508898,1.29306801,1.30966001,0.40377225,6.12244772,4.43259438,3.40271003,0.00000000
-5.87993997,10.39639809,0.03417716,1.33920627,1.34027731,0.41454834,6.32429704,4.57929737,3.46907291,0.00000000
-5.87393697,10.67390405,0.03330117,1.38463100,1.36940886,0.42609239,6.52193300,4.72429334,3.53306355,0.00000000
-5.86793397,10.94289997,0.03247961,1.42851053,1.39669977,0.43830907,6.71249809,4.86569134,3.59392016,0.00000000
-5.86193097,11.19972723,0.03173102,1.47006539,1.42180164,0.45108209,6.89335458,5.00165731,3.65087362,0.00000000
-5.85592796,11.44095537,0.03107344,1.50859187,1.44438346,0.46427703,7.06216497,5.13046697,3.70317165,0.00000000
-5.84992496,11.66348836,0.03052400,1.54348312,1.46414336,0.47774456,7.21696157,5.25055671,3.75010407,0.00000000
-5.84392196,11.86466018,0.03009846,1.57424698,1.48082075,0.49132400,7.35620178,5.36056939,3.79102785,0.00000000
-5.83791896,12.04231442,0.02981070,1.60051936,1.49420819,0.50484705,7.47880617,5.45939282,3.82539062,0.00000000
-5.83191596,12.19486358,0.02967230,1.62207256,1.50416224,0.51814159,7.58417728,5.54618839,3.85275142,0.00000000
-5.82591296,12.32132473,0.02969207,1.63881794,1.51061288,0.53103532,7.67219829,5.62040828,3.87279754,0.00000000
-5.81990995,12.42132945,0.02987565,1.65080292,1.51357059,0.54335938,7.74321145,5.68180016,3.88535673,0.00000000
-5.81390695,12.49510772,0.03022520,1.65820227,1.51313091,0.55495153,7.79797768,5.73039900,3.89040403,0.00000000
-5.80790395,12.54344675,0.03073910,1.66130429,1.50947592,0.56565921,7.83761954,5.76650653,3.88806305,0.00000000
-5.80190095,12.56762734,0.03141185,1.66049259,1.50287252,0.57534214,7.86355087,5.79065953,3.87860172,0.00000000
-5.79589795,12.56934179,0.03223399,1.65622447,1.49366741,0.58387467,7.87739707,5.80358872,3.86242284,0.00000000
-5.78989495,12.55059806,0.03319219,1.64900696,1.48227900,0.59114775,7.88091051,5.80617097,3.84005005,0.00000000
-5.78389195,12.51361610,0.03426949,1.63937212,1.46918639,0.59707064,7.87588568,5.79937737,3.81211006,0.00000000
-5.77788894,12.46072207,0.03544563,1.62785251,1.45491596,0.60157231,7.86407875,5.78422032,3.77931207,0.00000000
-5.77188594,12.39424649,0.03669751,1.61495841,1.44002602,0.60460252,7.84713553,5.76170277,3.74242556,0.00000000
