energy_ev,total_up,total_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.68500160,-1.68500161,0.00446347,-0.00446347,0.00000000,-0.00000000,0.60914055,-0.60914055,0.55935035,-0.55935036,0.02078309,-0.02078309,0.40273129,-0.40273130,0.01433340,-0.01433340,0.59975309,-0.59975310
-5.99399700,1.68312444,-1.68312445,0.00451458,-0.00451458,0.00000000,-0.00000000,0.60933054,-0.60933054,0.55313832,-0.55313833,0.02134314,-0.02134314,0.39883932,-0.39883933,0.01477741,-0.01477741,0.60433584,-0.60433584
-5.98799400,1.67664710,-1.67664712,0.00458234,-0.00458234,0.00000000,-0.00000000,0.60662403,-0.60662403,0.54522983,-0.54522984,0.02184007,-0.02184007,0.39255844,-0.39255845,0.01519519,-0.01519519,0.60864350,-0.60864350
-5.98199100,1.66553771,-1.66553774,0.00466501,-0.00466501,0.00000000,-0.00000000,0.60107347,-0.60107348,0.53563458,-0.53563459,0.02227254,-0.02227254,0.38395189,-0.38395190,0.01558560,-0.01558560,0.61258839,-0.61258839
-5.97598799,1.64993841,-1.64993844,0.00476100,-0.00476100,0.00000000,-0.00000000,0.59281428,-0.59281430,0.52442591,-0.52442592,0.02264025,-0.02264025,0.37313897,-0.37313899,0.01594804,-0.01594804,0.61612747,-0.61612748
-5.96998499,1.63014331,-1.63014334,0.00486887,-0.00486887,0.00000000,-0.00000000,0.58205435,-0.58205437,0.51173442,-0.51173444,0.02294371,-0.02294371,0.36028983,-0.36028985,0.01628230,-0.01628230,0.61925436,-0.61925437
-5.96398199,1.60657106,-1.60657110,0.00498722,-0.00498722,0.00000000,-0.00000000,0.56906140,-0.56906141,0.49773941,-0.49773943,0.02318388,-0.02318388,0.34561841,-0.34561843,0.01658832,-0.01658832,0.62198989,-0.62198989
-5.95797899,1.57973351,-1.57973355,0.00511468,-0.00511468,0.00000000,-0.00000000,0.55414883,-0.55414885,0.48265851,-0.48265853,0.02336201,-0.02336201,0.32937421,-0.32937423,0.01686598,-0.01686598,0.62437182,-0.62437182
-5.95197599,1.55020221,-1.55020225,0.00524978,-0.00524978,0.00000000,-0.00000000,0.53766076,-0.53766079,0.46673623,-0.46673625,0.02347930,-0.02347930,0.31183305,-0.31183307,0.01711497,-0.01711497,0.62644437,-0.62644437
-5.94597299,1.51857464,-1.51857468,0.00539094,-0.00539094,0.00000000,-0.00000000,0.51995687,-0.51995689,0.45023191,-0.45023193,0.02353672,-0.02353672,0.29328744,-0.29328746,0.01733456,-0.01733456,0.62824817,-0.62824817
-5.93996998,1.48544192,-1.48544196,0.00553642,-0.00553642,0.00000000,-0.00000000,0.50139768,-0.50139771,0.43340779,-0.43340781,0.02353486,-0.02353486,0.27403684,-0.27403687,0.01752356,-0.01752356,0.62981122,-0.62981123
-5.93396698,1.45135947,-1.45135951,0.00568427,-0.00568427,0.00000000,-0.00000000,0.48233107,-0.48233109,0.41651768,-0.41651770,0.02347380,-0.02347380,0.25437839,-0.25437841,0.01768020,-0.01768020,0.63114139,-0.63114139
-5.92796398,1.41682210,-1.41682215,0.00583232,-0.00583232,0.00000000,-0.00000000,0.46308030,-0.46308032,0.39979683,-0.39979685,0.02335312,-0.02335312,0.23459828,-0.23459831,0.01780216,-0.01780216,0.63222081,-0.63222082
-5.92196098,1.38224449,-1.38224454,0.00597822,-0.00597822,0.00000000,-0.00000000,0.44393421,-0.44393423,0.38345340,-0.38345342,0.02317194,-0.02317194,0.21496435,-0.21496437,0.01788660,-0.01788660,0.63300258,-0.63300258
-5.91595798,1.34794772,-1.34794776,0.00611940,-0.00611940,0.00000000,-0.00000000,0.42513970,-0.42513973,0.36766177,-0.36766178,0.02292902,-0.02292902,0.19571979,-0.19571981,0.01793028,-0.01793028,0.63340968,-0.63340968
-5.90995498,1.31415210,-1.31415215,0.00625317,-0.00625317,0.00000000,-0.00000000,0.40689677,-0.40689679,0.35255799,-0.35255801,0.02262292,-0.02262292,0.17707845,-0.17707847,0.01792970,-0.01792970,0.63333630,-0.63333631
-5.90395198,1.28097636,-1.28097641,0.00637671,-0.00637671,0.00000000,-0.00000000,0.38935603,-0.38935605,0.33823741,-0.33823743,0.02225227,-0.02225227,0.15922155,-0.15922157,0.01788129,-0.01788129,0.63265132,-0.63265133
-5.89794897,1.24844252,-1.24844256,0.00648719,-0.00648719,0.00000000,-0.00000000,0.37261876,-0.37261878,0.32475430,-0.32475432,0.02181594,-0.02181594,0.14229599,-0.14229601,0.01778160,-0.01778160,0.63120364,-0.63120364
-5.89194597,1.21648591,-1.21648595,0.00658185,-0.00658185,0.00000000,-0.00000000,0.35673902,-0.35673904,0.31212357,-0.31212359,0.02131337,-0.02131337,0.12641394,-0.12641395,0.01762757,-0.01762757,0.62882905,-0.62882906
-5.88594297,1.18496933,-1.18496936,0.00665800,-0.00665800,0.00000000,-0.00000000,0.34172782,-0.34172784,0.30032411,-0.30032412,0.02074473,-0.02074473,0.11165383,-0.11165385,0.01741671,-0.01741671,0.62535819,-0.62535820
