energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Na_s_up,Na_s_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,0.94834209,-0.94816398,0.00631767,-0.00632003,0.05093923,-0.05092292,0.23243766,-0.23241519,0.19923185,-0.19920677,0.31257632,-0.31251448,0.03146277,-0.03145528,0.47705880,-0.47697606
-5.99399700,0.91885552,-0.91866733,0.00669874,-0.00670125,0.04957308,-0.04955625,0.22661580,-0.22659153,0.19462055,-0.19459254,0.29992363,-0.29985782,0.03118735,-0.03117894,0.46210591,-0.46201828
-5.98799400,0.89024156,-0.89004719,0.00712037,-0.00712302,0.04813194,-0.04811477,0.22081098,-0.22078553,0.19017439,-0.19014434,0.28760946,-0.28754110,0.03081311,-0.03080392,0.44780361,-0.44771314
-5.98199100,0.86327300,-0.86307667,0.00758192,-0.00758468,0.04665654,-0.04663926,0.21513567,-0.21510960,0.18606744,-0.18603634,0.27590640,-0.27583701,0.03036470,-0.03035489,0.43455422,-0.43446305
-5.97598799,0.83870906,-0.83851515,0.00808229,-0.00808514,0.04519097,-0.04517387,0.20968527,-0.20965903,0.18247256,-0.18244144,0.26507694,-0.26500806,0.02987043,-0.02986019,0.42275060,-0.42266097
-5.96998499,0.81727922,-0.81709217,0.00862017,-0.00862308,0.04378141,-0.04376478,0.20453653,-0.20451049,0.17955685,-0.17952677,0.25536792,-0.25530109,0.02936147,-0.02935101,0.41276839,-0.41268254
-5.96398199,0.79966767,-0.79949188,0.00919405,-0.00919699,0.04247478,-0.04245895,0.19974692,-0.19972136,0.17747718,-0.17744920,0.24700544,-0.24694216,0.02887089,-0.02886042,0.40495828,-0.40487844
-5.95797899,0.78649860,-0.78633828,0.00980241,-0.00980536,0.04131746,-0.04130275,0.19535470,-0.19532981,0.17637592,-0.17635105,0.24019010,-0.24013179,0.02843264,-0.02842240,0.39963884,-0.39956711
-5.95197599,0.77832257,-0.77818167,0.01044383,-0.01044676,0.04035399,-0.04034072,0.19137978,-0.19135568,0.17637687,-0.17635610,0.23509289,-0.23504087,0.02808052,-0.02807071,0.39708963,-0.39702799
-5.94597299,0.77560432,-0.77548644,0.01111702,-0.01111991,0.03962592,-0.03961440,0.18782520,-0.18780194,0.17758181,-0.17756600,0.23185166,-0.23180712,0.02784708,-0.02783793,0.39754504,-0.39749529
-5.93996998,0.77871212,-0.77862046,0.01182091,-0.01182373,0.03917074,-0.03916125,0.18467912,-0.18465670,0.18006743,-0.18005737,0.23056837,-0.23053235,0.02776264,-0.02775434,0.40118879,-0.40115251
-5.93396698,0.78790907,-0.78784635,0.01255463,-0.01255738,0.03902095,-0.03901377,0.18191718,-0.18189555,0.18388314,-0.18387948,0.23130713,-0.23128050,0.02785426,-0.02784698,0.40814916,-0.40812769
-5.92796398,0.80334623,-0.80331466,0.01331747,-0.01332012,0.03920334,-0.03919869,0.17950506,-0.17948417,0.18904954,-0.18905285,0.23409304,-0.23407650,0.02814484,-0.02813874,0.41849525,-0.41848966
-5.92196098,0.82505809,-0.82505935,0.01410876,-0.01411132,0.03973842,-0.03973650,0.17740120,-0.17738099,0.19555792,-0.19556860,0.23891201,-0.23890609,0.02865232,-0.02864751,0.43223416,-0.43224524
-5.91595798,0.85296030,-0.85299551,0.01492777,-0.01493022,0.04064006,-0.04064104,0.17555939,-0.17553980,0.20337056,-0.20338888,0.24571142,-0.24571646,0.02938894,-0.02938550,0.44930932,-0.44933758
-5.90995498,0.88684982,-0.88691957,0.01577344,-0.01577578,0.04191538,-0.04191937,0.17393125,-0.17391226,0.21242206,-0.21244820,0.25440169,-0.25441787,0.03036076,-0.03035874,0.46959998,-0.46964564
-5.90395198,0.92640769,-0.92651203,0.01664423,-0.01664646,0.04356479,-0.04357190,0.17246846,-0.17245005,0.22262169,-0.22265570,0.26485872,-0.26488605,0.03156719,-0.03156661,0.49292206,-0.49298504
-5.89794897,0.97120434,-0.97134281,0.01753783,-0.01753996,0.04558237,-0.04559265,0.17112459,-0.17110681,0.23385657,-0.23389840,0.27692714,-0.27696550,0.03300083,-0.03300165,0.51903022,-0.51911018
-5.89194597,1.02070755,-1.02087920,0.01845096,-0.01845298,0.04795634,-0.04796982,0.16985671,-0.16983962,0.24599579,-0.24604532,0.29042434,-0.29047347,0.03464738,-0.03464955,0.54762146,-0.54771778
-5.88594297,1.07429299,-1.07449644,0.01937908,-0.01938099,0.05066986,-0.05068655,0.16862645,-0.16861017,0.25889523,-0.25895230,0.30514506,-0.30520457,0.03648581,-0.03648924,0.57833998,-0.57845182
-5.87993997,1.13125725,-1.13149075,0.02031625,-0.02031804,0.05370196,-0.05372184,0.16740079,-0.16738546,0.27240311,-0.27246750,0.32086658,-0.32093598,0.03848873,-0.03849329,0.61078360,-0.61090987
-5.87393697,1.19083329,-1.19109475,0.02125496,-0.02125663,0.05702869,-0.05705175,0.16615245,-0.16613826,0.28636591,-0.28643742,0.33735430,-0.33743303,0.04062289,-0.04062842,0.64451141,-0.64465083
-5.86793397,1.25220798,-1.25249504,0.02218610,-0.02218763,0.06062448,-0.06065068,0.16486000,-0.16484716,0.30063472,-0.30071316,0.35436760,-0.35445504,0.04284993,-0.04285626,0.67905275,-0.67920386
-5.86193097,1.31454146,-1.31485157,0.02309892,-0.02310030,0.06446352,-0.06449284,0.16350763,-0.16349636,0.31507158,-0.31515683,0.37166584,-0.37176131,0.04512728,-0.04513423,0.71391725,-0.71407847
-5.85592796,1.37698801,-1.37731849,0.02398123,-0.02398244,0.06852139,-0.06855383,0.16208485,-0.16207537,0.32955582,-0.32964784,0.38901430,-0.38911711,0.04740925,-0.04741660,0.74860590,-0.74877555
-5.84992496,1.43871781,-1.43906594,0.02481953,-0.02482054,0.07277664,-0.07281221,0.16058587,-0.16057841,0.34399002,-0.34408887,0.40619007,-0.40629950,0.04964819,-0.04965573,0.78262269,-0.78279901
-5.84392196,1.49893915,-1.49930224,0.02559936,-0.02560015,0.07721240,-0.07725116,0.15900908,-0.15900385,0.35830544,-0.35841133,0.42298752,-0.42310287,0.05179581,-0.05180333,0.81548669,-0.81566791
-5.83791896,1.55692039,-1.55729586,0.02630570,-0.02630622,0.08181802,-0.08186004,0.15735637,-0.15735355,0.37246668,-0.37257994,0.43922347,-0.43934407,0.05380455,-0.05381184,0.84674418,-0.84692855
-5.83191596,1.61201096,-1.61239644,0.02692340,-0.02692364,0.08659042,-0.08663586,0.15563250,-0.15563223,0.38647531,-0.38659648,0.45474174,-0.45486695,0.05562894,-0.05563579,0.87598043,-0.87616627
-5.82591296,1.66366071,-1.66405411,0.02743773,-0.02743765,0.09153544,-0.09158450,0.15384451,-0.15384689,0.40037236,-0.40050212,0.46941703,-0.46954628,0.05722696,-0.05723319,0.90283073,-0.90301645
-5.81990995,1.71143674,-1.71183630,0.02783492,-0.02783449,0.09666877,-0.09672172,0.15200119,-0.15200630,0.41423935,-0.41437856,0.48315808,-0.48329086,0.05856127,-0.05856672,0.92699025,-0.92717441
-5.81390695,1.75503705,-1.75544142,0.02810267,-0.02810186,0.10201664,-0.10207381,0.15011264,-0.15012049,0.42819780,-0.42834750,0.49590991,-0.49604581,0.05960042,-0.05960494,0.94822236,-0.94840370
-5.80790395,1.79430021,-1.79470848,0.02823069,-0.02822948,0.10761599,-0.10767777,0.14818985,-0.14820041,0.44240705,-0.44256842,0.50765513,-0.50779383,0.06031970,-0.06032319,0.96636495,-0.96654240
-5.80190095,1.82921051,-1.82962224,0.02821117,-0.02820955,0.11351424,-0.11358108,0.14624436,-0.14625755,0.45706033,-0.45723467,0.51841420,-0.51855548,0.06070198,-0.06070436,0.98133445,-0.98150720
-5.79589795,1.85989797,-1.86031322,0.02803910,-0.02803707,0.11976848,-0.11984089,0.14428800,-0.14430368,0.47237901,-0.47256771,0.52824459,-0.52838837,0.06073814,-0.06073936,0.99312734,-0.99329479
-5.78989495,1.88663300,-1.88705228,0.02771262,-0.02771017,0.12644404,-0.12652258,0.14233255,-0.14235056,0.48860512,-0.48880957,0.53723886,-0.53738515,0.06042727,-0.06042733,1.00181878,-1.00198062
-5.78389195,1.90981544,-1.91023968,0.02723308,-0.02723023,0.13361255,-0.13369780,0.14038950,-0.14040962,0.50599217,-0.50621376,0.54552156,-0.54567049,0.05977666,-0.05977556,1.00755858,-1.00771468
-5.77788894,1.92995814,-1.93038861,0.02660517,-0.02660194,0.14134933,-0.14144186,0.13846975,-0.13849173,0.52479458,-0.52503457,0.55324494,-0.55339674,0.05880135,-0.05879916,1.01056416,-1.01071464
-5.77188594,1.94766537,-1.94810357,0.02583673,-0.02583315,0.14973026,-0.14983064,0.13658325,-0.13660682,0.54525579,-0.54551525,0.56058369,-0.56073869,0.05752358,-0.05752037,1.01111107,-1.01125622
-5.76588294,1.96360668,-1.96405423,0.02493857,-0.02493468,0.15882815,-0.15893688,0.13473866,-0.13476351,0.56759556,-0.56787527,0.56772859,-0.56788715,0.05597189,-0.05596776,1.00952104,-1.00966128
-5.75987994,1.97848693,-1.97894541,0.02392413,-0.02391997,0.16870879,-0.16882630,0.13294290,-0.13296873,0.59199682,-0.59229721,0.57487929,-0.57504184,0.05418003,-0.05417511,1.00614816,-1.00628400
-5.75387694,1.99301379,-1.99348457,0.02280903,-0.02280466,0.17942667,-0.17955325,0.13120079,-0.13122724,0.61859260,-0.61891361,0.58223649,-0.58240341,0.05218575,-0.05218016,1.00136364,-1.00149558
-5.74787394,2.00786370,-2.00834776,0.02161061,-0.02160608,0.19102069,-0.19115650,0.12951450,-0.12954125,0.64745345,-0.64779449,0.58999351,-0.59016516,0.05002945,-0.05002334,0.99553974,-0.99566824
-5.74187094,2.02364789,-2.02414564,0.02034732,-0.02034269,0.20350996,-0.20365497,0.12788323,-0.12790991,0.67857619,-0.67893603,0.59832782,-0.59850443,0.04775282,-0.04774634,0.98903365,-0.98915903
-5.73586793,2.04088000,-2.04139110,0.01903817,-0.01903350,0.21688996,-0.21704391,0.12630276,-0.12632902,0.71187436,-0.71225107,0.60739258,-0.60757426,0.04539745,-0.04539074,0.98217193,-0.98229432
-5.72986493,2.05994667,-2.06046989,0.01770219,-0.01769753,0.23112914,-0.23129153,0.12476522,-0.12479070,0.74717105,-0.74756199,0.61730873,-0.61749538,0.04300359,-0.04299677,0.97523626,-0.97535553
-5.72386193,2.08108279,-2.08161589,0.01635785,-0.01635325,0.24616638,-0.24633644,0.12325888,-0.12328323,0.78419468,-0.78459644,0.62815786,-0.62834913,0.04060890,-0.04060210,0.96845124,-0.96856694
-5.71785893,2.10435264,-2.10489226,0.01502260,-0.01501812,0.26190933,-0.26208602,0.12176815,-0.12179103,0.82257811,-0.82298656,0.63997630,-0.64017157,0.03824752,-0.03824084,0.96197471,-0.96208604
-5.71185593,2.12963811,-2.13017974,0.01371245,-0.01370813,0.27823387,-0.27841588,0.12027379,-0.12029484,0.86186146,-0.86227173,0.65275079,-0.65294911,0.03594922,-0.03594275,0.95589118,-0.95599698
-5.70585293,2.15663484,-2.15717282,0.01244163,-0.01243750,0.29498487,-0.29517062,0.11875320,-0.11877211,0.90149877,-0.90190539,0.66641594,-0.66661607,0.03373885,-0.03373264,0.95020874,-0.95030746
-5.69984992,2.18485680,-2.18538445,0.01122233,-0.01121842,0.31197826,-0.31216591,0.11718108,-0.11719753,0.94086866,-0.94126562,0.68085390,-0.68105426,0.03163594,-0.03163003,0.94485954,-0.94494930
-5.69384692,2.21364955,-2.21415924,0.01006457,-0.01006091,0.32900442,-0.32919193,0.11553011,-0.11554381,0.97928863,-0.97966953,0.69589623,-0.69609493,0.02965464,-0.02964905,0.93970398,-0.93978259
-5.68784392,2.24221167,-2.24269504,0.00897615,-0.00897275,0.34583300,-0.34601816,0.11377195,-0.11378266,1.01603281,-1.01639100,0.71132823,-0.71152311,0.02780377,-0.02779849,0.93453832,-0.93460333
-5.68184092,2.26962389,-2.27007208,0.00796263,-0.00795950,0.36221891,-0.36239941,0.11187834,-0.11188581,1.05035251,-1.05068131,0.72689557,-0.72708427,0.02608714,-0.02608215,0.92910548,-0.92915430
-5.67583792,2.29488469,-2.29528866,0.00702746,-0.00702461,0.37790939,-0.37808285,0.10982223,-0.10982628,1.08149890,-1.08179176,0.74231315,-0.74249316,0.02450402,-0.02449927,0.92310844,-0.92313844
