energy_ev,total_up,Ir_p_up,Ir_d_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.51797501,0.89983845,1.56749836,0.05538504,0.05710808,0.17415492,0.00643617,1.84775434
-5.99399700,3.37567079,0.86938124,1.49458964,0.05280540,0.05655440,0.17366868,0.00646154,1.76274976
-5.98799400,3.22405579,0.83574740,1.41793833,0.05017672,0.05581662,0.17205842,0.00646164,1.67391828
-5.98199100,3.06501420,0.79936420,1.33854302,0.04751344,0.05489485,0.16935081,0.00643555,1.58234769
-5.97598799,2.90043629,0.76068886,1.25738359,0.04483084,0.05379151,0.16559556,0.00638275,1.48909329
-5.96998499,2.73218136,0.72019825,1.17540195,0.04214488,0.05251130,0.16086399,0.00630314,1.39515791
-5.96398199,2.56204435,0.67837863,1.09348552,0.03947191,0.05106134,0.15524701,0.00619701,1.30147524
-5.95797899,2.39172718,0.63571559,1.01245361,0.03682840,0.04945101,0.14885248,0.00606508,1.20889666
-5.95197599,2.22281518,0.59268454,0.93304704,0.03423063,0.04769198,0.14180226,0.00590852,1.11818181
-5.94597299,2.05675908,0.54974220,0.85592115,0.03169446,0.04579796,0.13422897,0.00572889,1.02999273
-5.93996998,1.89486257,0.50731908,0.78164202,0.02923507,0.04378461,0.12627274,0.00552816,0.94489157
-5.93396698,1.73827541,0.46581337,0.71068573,0.02686675,0.04166922,0.11807795,0.00530868,0.86334123
-5.92796398,1.58799167,0.42558628,0.64344059,0.02460279,0.03947045,0.10979035,0.00507315,0.78570886
-5.92196098,1.44485266,0.38695886,0.58021164,0.02245542,0.03720803,0.10155438,0.00482458,0.71227143
-5.91595798,1.30955389,0.35021036,0.52122734,0.02043579,0.03490235,0.09351114,0.00456625,0.64322309
-5.90995498,1.18265552,0.31557811,0.46664772,0.01855404,0.03257411,0.08579676,0.00430163,0.57868356
-5.90395198,1.06459535,0.28325868,0.41657373,0.01681943,0.03024391,0.07854143,0.00403440,0.51870736
-5.89794897,0.95570374,0.25341029,0.37105727,0.01524051,0.02793185,0.07186894,0.00376832,0.46329315
-5.89194597,0.85621973,0.22615619,0.33011133,0.01382531,0.02565714,0.06589682,0.00350719,0.41239305
-5.88594297,0.76630752,0.20158879,0.29372010,0.01258159,0.02343775,0.06073685,0.00325486,0.36592145
-5.87993997,0.68607270,0.17977431,0.26184848,0.01151706,0.02129006,0.05649598,0.00301508,0.32376322
-5.87393697,0.61557763,0.16075759,0.23445072,0.01063963,0.01922858,0.05327745,0.00279156,0.28578110
-5.86793397,0.55485538,0.14456697,0.21147792,0.00995758,0.01726578,0.05118188,0.00258782,0.25182218
-5.86193097,0.50392166,0.13121878,0.19288429,0.00947969,0.01541188,0.05030842,0.00240727,0.22172344
-5.85592796,0.46278435,0.12072132,0.17863167,0.00921541,0.01367479,0.05075550,0.00225307,0.19531633
-5.84992496,0.43145034,0.11307814,0.16869258,0.00917478,0.01206007,0.05262122,0.00212818,0.17243044
-5.84392196,0.40992920,0.10829029,0.16305139,0.00936847,0.01057102,0.05600318,0.00203528,0.15289629
-5.83791896,0.39823367,0.10635765,0.16170372,0.00980751,0.00920875,0.06099769,0.00197677,0.13654729
-5.83191596,0.39637682,0.10727907,0.16465411,0.01050316,0.00797236,0.06769819,0.00195473,0.12322100
-5.82591296,0.40436595,0.11105131,0.17191196,0.01146643,0.00685916,0.07619295,0.00197091,0.11275965
-5.81990995,0.42219341,0.11766699,0.18348599,0.01270774,0.00586487,0.08656206,0.00202666,0.10501012
-5.81390695,0.44982471,0.12711146,0.19937733,0.01423634,0.00498393,0.09887369,0.00212290,0.09982339
-5.80790395,0.48718443,0.13935882,0.21957159,0.01605974,0.00420974,0.11317988,0.00226012,0.09705352
-5.80190095,0.53414062,0.15436739,0.24403033,0.01818307,0.00353493,0.12951194,0.00243827,0.09655643
-5.79589795,0.59048844,0.17207475,0.27268215,0.02060842,0.00295164,0.14787570,0.00265677,0.09818830
-5.78989495,0.65593406,0.19239284,0.30541413,0.02333420,0.00245174,0.16824695,0.00291443,0.10180398
-5.78389195,0.73007979,0.21520326,0.34206384,0.02635457,0.00202705,0.19056719,0.00320945,0.10725542
-5.77788894,0.81241146,0.24035330,0.38241268,0.02965889,0.00166955,0.21474019,0.00353938,0.11439020
-5.77188594,0.90228923,0.26765295,0.42618080,0.03323135,0.00137149,0.24062945,0.00390110,0.12305037
-5.76588294,0.99894252,0.29687318,0.47302429,0.03705075,0.00112558,0.26805704,0.00429085,0.13307171
-5.75987994,1.10147011,0.32774575,0.52253478,0.04109038,0.00092502,0.29680375,0.00470426,0.14428349
-5.75387694,1.20884585,0.35996487,0.57424178,0.04531819,0.00076361,0.32661105,0.00513640,0.15650875
-5.74787394,1.31993022,0.39319058,0.62761800,0.04969711,0.00063576,0.35718465,0.00558189,0.16956535
-5.74187094,1.43348794,0.42705402,0.68208744,0.05418565,0.00053652,0.38819978,0.00603500,0.18326758
-5.73586793,1.54821104,0.46116448,0.73703622,0.05873860,0.00046160,0.41930810,0.00648977,0.19742840
-5.72986493,1.66274693,0.49511795,0.79182571,0.06330802,0.00040731,0.45014602,0.00694026,0.21186235
-5.72386193,1.77573030,0.52850687,0.84580753,0.06784433,0.00037055,0.48034405,0.00738063,0.22638880
-5.71785893,1.88581769,0.56093081,0.89833982,0.07229754,0.00034880,0.50953700,0.00780545,0.24083566
-5.71185593,1.99172326,0.59200742,0.94880402,0.07661854,0.00034005,0.53737443,0.00820983,0.25504319
-5.70585293,2.09225410,0.62138345,0.99662142,0.08076042,0.00034277,0.56353100,0.00858967,0.26886782
-5.69984992,2.18634358,0.64874497,1.04126884,0.08467978,0.00035589,0.58771626,0.00894186,0.28218577
-5.69384692,2.27308104,0.67382670,1.08229245,0.08833789,0.00037870,0.60968331,0.00926444,0.29489638
-5.68784392,2.35173663,0.69641970,1.11931940,0.09170184,0.00041090,0.62923616,0.00955679,0.30692473
-5.68184092,2.42178008,0.71637729,1.15206657,0.09474540,0.00045249,0.64623518,0.00981971,0.31822379
-5.67583792,2.48289252,0.73361876,1.18034610,0.09744972,0.00050376,0.66060073,0.01005551,0.32877557
-5.66983492,2.53497113,0.74813094,1.20406758,0.09980386,0.00056527,0.67231452,0.01026806,0.33859156
-5.66383192,2.57812634,0.75996730,1.22323683,0.10180500,0.00063779,0.68141893,0.01046275,0.34771225
-5.65782891,2.61267197,0.76924497,1.23795158,0.10345840,0.00072230,0.68801421,0.01064640,0.35620565
-5.65182591,2.63910898,0.77613963,1.24839423,0.10477721,0.00081992,0.69225384,0.01082719,0.36416514
-5.64582291,2.65810367,0.78087860,1.25482222,0.10578193,0.00093189,0.69433825,0.01101442,0.37170644
-5.63981991,2.67046146,0.78373256,1.25755660,0.10649972,0.00105954,0.69450724,0.01121835,0.37896393
-5.63381691,2.67709746,0.78500604,1.25696934,0.10696356,0.00120419,0.69303147,0.01144987,0.38608640
-5.62781391,2.67900514,0.78502732,1.25347003,0.10721113,0.00136719,0.69020339,0.01172028,0.39323242
-5.62181091,2.67722415,0.78413797,1.24749241,0.10728371,0.00154977,0.68632792,0.01204091,0.40056529
-5.61580790,2.67280859,0.78268229,1.23948149,0.10722485,0.00175305,0.68171329,0.01242279,0.40824790
-5.60980490,2.66679652,0.78099723,1.22988130,0.10707904,0.00197795,0.67666228,0.01287630,0.41643735
-5.60380190,2.66018146,0.77940280,1.21912395,0.10689034,0.00222510,0.67146405,0.01341085,0.42527975
-5.59779890,2.65388662,0.77819320,1.20761994,0.10670101,0.00249485,0.66638689,0.01403446,0.43490499
