energy_ev,total_up,In_p_up,In_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,5.18703191,0.10338167,0.01844058,3.78039770,2.70995397,3.89519661,0.00000000
-5.99399700,5.04849955,0.09769619,0.01787667,3.65936158,2.64536880,3.80066238,0.00000000
-5.98799400,4.89827777,0.09191585,0.01728265,3.53053338,2.57478786,3.69711969,0.00000000
-5.98199100,4.73807150,0.08608006,0.01666714,3.39549021,2.49895100,3.58576088,0.00000000
-5.97598799,4.56968494,0.08023067,0.01603879,3.25585559,2.41864903,3.46784936,0.00000000
-5.96998499,4.39496578,0.07441083,0.01540597,3.11325176,2.33469879,3.34468088,0.00000000
-5.96398199,4.21575124,0.06866378,0.01477651,2.96925436,2.24791899,3.21754585,0.00000000
-5.95797899,4.03381798,0.06303170,0.01415747,2.82535132,2.15910766,3.08769446,0.00000000
-5.95197599,3.85083803,0.05755452,0.01355493,2.68290736,2.06902243,2.95630600,0.00000000
-5.94597299,3.66834210,0.05226894,0.01297385,2.54313525,1.97836411,2.82446341,0.00000000
-5.93996998,3.48769146,0.04720758,0.01241799,2.40707449,1.88776423,2.69313395,0.00000000
-5.93396698,3.31005883,0.04239828,0.01188989,2.27557780,1.79777672,2.56315627,0.00000000
-5.92796398,3.13641847,0.03786364,0.01139086,2.14930540,1.70887374,2.43523406,0.00000000
-5.92196098,2.96754505,0.03362075,0.01092105,2.02872669,1.62144550,2.30993587,0.00000000
-5.91595798,2.80402055,0.02968114,0.01047959,1.91412866,1.53580361,2.18770063,0.00000000
-5.90995498,2.64624805,0.02605090,0.01006472,1.80563021,1.45218751,2.06884802,0.00000000
-5.90395198,2.49447128,0.02273097,0.00967395,1.70320127,1.37077315,1.95359263,0.00000000
-5.89794897,2.34879820,0.01971759,0.00930429,1.60668555,1.29168345,1.84206091,0.00000000
-5.89194597,2.20922732,0.01700281,0.00895241,1.51582572,1.21499948,1.73430970,0.00000000
-5.88594297,2.07567508,0.01457510,0.00861486,1.43028980,1.14077201,1.63034525,0.00000000
-5.87993997,1.94800301,0.01242005,0.00828828,1.34969753,1.06903240,1.53014165,0.00000000
-5.87393697,1.82604319,0.01052097,0.00796951,1.27364566,0.99980259,1.43365780,0.00000000
-5.86793397,1.70962117,0.00885958,0.00765581,1.20173130,0.93310355,1.34085219,0.00000000
-5.86193097,1.59857533,0.00741660,0.00734492,1.13357240,0.86896190,1.25169483,0.00000000
-5.85592796,1.49277210,0.00617233,0.00703517,1.06882483,0.80741459,1.16617616,0.00000000
-5.84992496,1.39211671,0.00510712,0.00672552,1.00719557,0.74851146,1.08431252,0.00000000
-5.84392196,1.29655943,0.00420179,0.00641561,0.94845186,0.69231583,1.00614845,0.00000000
-5.83791896,1.20609719,0.00343800,0.00610569,0.89242617,0.63890324,0.93175587,0.00000000
-5.83191596,1.12077119,0.00279850,0.00579663,0.83901719,0.58835856,0.86123052,0.00000000
-5.82591296,1.04066079,0.00226734,0.00548980,0.78818702,0.54077187,0.79468611,0.00000000
-5.81990995,0.96587436,0.00183002,0.00518703,0.73995525,0.49623333,0.73224673,0.00000000
-5.81390695,0.89653787,0.00147358,0.00489046,0.69439016,0.45482755,0.67403798,0.00000000
-5.80790395,0.83278196,0.00118663,0.00460245,0.65159801,0.41662770,0.62017766,0.00000000
-5.80190095,0.77472836,0.00095942,0.00432547,0.61171089,0.38168985,0.57076626,0.00000000
-5.79589795,0.72247641,0.00078377,0.00406193,0.57487413,0.35004777,0.52587815,0.00000000
-5.78989495,0.67609057,0.00065314,0.00381416,0.54123381,0.32170846,0.48555366,0.00000000
-5.78389195,0.63558947,0.00056256,0.00358421,0.51092515,0.29664881,0.44979271,0.00000000
-5.77788894,0.60093732,0.00050866,0.00337385,0.48406261,0.27481333,0.41855010,0.00000000
-5.77188594,0.57203798,0.00048968,0.00318447,0.46073196,0.25611325,0.39173291,0.00000000
-5.76588294,0.54873227,0.00050548,0.00301702,0.44098507,0.24042700,0.36920002,0.00000000
-5.75987994,0.53079856,0.00055763,0.00287205,0.42483756,0.22760202,0.35076387,0.00000000
-5.75387694,0.51795692,0.00064950,0.00274966,0.41226956,0.21745798,0.33619436,0.00000000
-5.74787394,0.50987656,0.00078631,0.00264954,0.40322953,0.20979114,0.32522485,0.00000000
-5.74187094,0.50618649,0.00097529,0.00257103,0.39764103,0.20437985,0.31755996,0.00000000
-5.73586793,0.50648889,0.00122581,0.00251315,0.39541214,0.20099087,0.31288488,0.00000000
-5.72986493,0.51037471,0.00154950,0.00247474,0.39644693,0.19938638,0.31087586,0.00000000
-5.72386193,0.51744078,0.00196038,0.00245446,0.40065846,0.19933133,0.31121147,0.00000000
