energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,4.09426929,0.10158706,0.10544476,0.80475868,1.22054449,0.90298477,0.38571179,0.10073846,1.61114818
-5.99399700,4.04654039,0.10055780,0.10688846,0.79394007,1.20339594,0.88358276,0.37994717,0.10029861,1.59114457
-5.98799400,3.99902624,0.09969731,0.10832405,0.78311061,1.18629354,0.86362270,0.37486140,0.09992321,1.57131286
-5.98199100,3.95241143,0.09901035,0.10975173,0.77241655,1.16962448,0.84342902,0.37035074,0.09962598,1.55174242
-5.97598799,3.90741311,0.09850281,0.11117316,0.76201247,1.15378442,0.82332646,0.36630755,0.09942176,1.53253129
-5.96998499,3.86477549,0.09818226,0.11259163,0.75206064,1.13916936,0.80363514,0.36262601,0.09932641,1.51379070
-5.96398199,3.82526126,0.09805819,0.11401213,0.74272948,1.12616696,0.78466572,0.35920728,0.09935655,1.49564831
-5.95797899,3.78964000,0.09814201,0.11544128,0.73419128,1.11514765,0.76671480,0.35596391,0.09952905,1.47824978
-5.95197599,3.75867327,0.09844677,0.11688724,0.72661903,1.10645543,0.75006045,0.35282339,0.09986056,1.46175877
-5.94597299,3.73309701,0.09898670,0.11835930,0.72018249,1.10039878,0.73495802,0.34973067,0.10036671,1.44635503
-5.93996998,3.71360151,0.09977644,0.11986752,0.71504377,1.09724175,0.72163630,0.34664981,0.10106137,1.43223088
-5.93396698,3.70080996,0.10083018,0.12142218,0.71135243,1.09719559,0.71029403,0.34356447,0.10195577,1.41958621
-5.92796398,3.69525647,0.10216061,0.12303314,0.70924056,1.10041119,0.70109681,0.34047767,0.10305767,1.40862224
-5.92196098,3.69736459,0.10377793,0.12470924,0.70881795,1.10697272,0.69417467,0.33741057,0.10437052,1.39953447
-5.91595798,3.70742764,0.10568884,0.12645758,0.71016780,1.11689268,0.68962008,0.33440066,0.10589280,1.39250523
-5.90995498,3.72559200,0.10789558,0.12828293,0.71334306,1.13010873,0.68748675,0.33149926,0.10761744,1.38769616
-5.90395198,3.75184427,0.11039526,0.13018718,0.71836375,1.14648259,0.68778907,0.32876871,0.10953144,1.38524127
-5.89794897,3.78600329,0.11317930,0.13216886,0.72521547,1.16580106,0.69050228,0.32627920,0.11161578,1.38524065
-5.89194597,3.82771764,0.11623321,0.13422287,0.73384905,1.18777938,0.69556342,0.32410549,0.11384554,1.38775541
-5.88594297,3.87646871,0.11953656,0.13634032,0.74418153,1.21206679,0.70287290,0.32232358,0.11619023,1.39280389
-5.87993997,3.93157954,0.12306330,0.13850855,0.75609831,1.23825428,0.71229676,0.32100753,0.11861444,1.40035933
-5.87393697,3.99222871,0.12678229,0.14071130,0.76945638,1.26588412,0.72366942,0.32022630,0.12107867,1.41034895
-5.86793397,4.05746882,0.13065803,0.14292907,0.78408838,1.29446099,0.73679683,0.32004102,0.12354037,1.42265443
-5.86193097,4.12624834,0.13465161,0.14513957,0.79980720,1.32346407,0.75145994,0.32050232,0.12595509,1.43711348
-5.85592796,4.19743572,0.13872169,0.14731823,0.81641090,1.35235971,0.76741828,0.32164811,0.12827770,1.45352237
-5.84992496,4.26984448,0.14282558,0.14943886,0.83368757,1.38061414,0.78441351,0.32350160,0.13046364,1.47163906
-5.84392196,4.34225800,0.14692018,0.15147423,0.85141976,1.40770560,0.80217296,0.32606966,0.13247013,1.49118679
-5.83791896,4.41345289,0.15096294,0.15339664,0.86938845,1.43313552,0.82041293,0.32934153,0.13425725,1.51185771
-5.83191596,4.48222000,0.15491262,0.15517850,0.88737609,1.45643825,0.83884191,0.33328788,0.13578886,1.53331657
-5.82591296,4.54738253,0.15872983,0.15679276,0.90516885,1.47718913,0.85716348,0.33786026,0.13703336,1.55520422
-5.81990995,4.60781091,0.16237741,0.15821329,0.92255792,1.49501066,0.87507932,0.34299093,0.13796423,1.57714112
-5.81390695,4.66243455,0.16582063,0.15941514,0.93934002,1.50957679,0.89229209,0.34859318,0.13856032,1.59873072
-5.80790395,4.71025091,0.16902719,0.16037477,0.95531731,1.52061539,0.90850852,0.35456215,0.13880595,1.61956309
-5.80190095,4.75033245,0.17196702,0.16107020,0.97029680,1.52790913,0.92344282,0.36077614,0.13869084,1.63921893
-5.79589795,4.78183256,0.17461211,0.16148111,0.98408984,1.53129500,0.93682052,0.36709856,0.13820985,1.65727430
-5.78989495,4.80399111,0.17693615,0.16158905,0.99651167,1.53066296,0.94838283,0.37338040,0.13736263,1.67330617
-5.78389195,4.81614071,0.17891434,0.16137756,1.00738158,1.52595396,0.95789162,0.37946334,0.13615319,1.68689914
-5.77788894,4.81771433,0.18052319,0.16083245,1.01652385,1.51715768,0.96513497,0.38518339,0.13458947,1.69765338
-5.77188594,4.80825483,0.18174044,0.15994220,1.02376957,1.50431047,0.96993323,0.39037500,0.13268287,1.70519366
-5.76588294,4.78742638,0.18254522,0.15869836,1.02895969,1.48749344,0.97214538,0.39487557,0.13044788,1.70917953
-5.75987994,4.75502778,0.18291832,0.15709615,1.03194888,1.46683106,0.97167540,0.39853016,0.12790175,1.70931615
-5.75387694,4.71100691,0.18284266,0.15513508,1.03261054,1.44249015,0.96847842,0.40119636,0.12506425,1.70536545
-5.74787394,4.65547537,0.18230398,0.15281963,1.03084232,1.41467922,0.96256617,0.40274892,0.12195751,1.69715706
-5.74187094,4.58872230,0.18129163,0.15015996,1.02657205,1.38364789,0.95401135,0.40308411,0.11860592,1.68459828
-5.73586793,4.51122573,0.17979940,0.14717252,1.01976363,1.34968634,0.94295057,0.40212358,0.11503605,1.66768263
-5.72986493,4.42366023,0.17782648,0.14388055,1.01042242,1.31312424,0.92958538,0.39981743,0.11127665,1.64649614
-5.72386193,4.32689948,0.17537826,0.14031447,0.99859970,1.27432900,0.91418118,0.39614640,0.10735859,1.62122081
-5.71785893,4.22201247,0.17246711,0.13651195,0.98439574,1.23370310,0.89706377,0.39112307,0.10331474,1.59213496
-5.71185593,4.11025269,0.16911293,0.13251781,0.96796119,1.19168010,0.87861334,0.38479190,0.09917986,1.55960992
-5.70585293,3.99303966,0.16534341,0.12838353,0.94949653,1.14871941,0.85925610,0.37722814,0.09499032,1.52410304
-5.69984992,3.87193301,0.16119413,0.12416653,0.92924931,1.10529959,0.83945356,0.36853564,0.09078375,1.48614719
-5.69384692,3.74859938,0.15670819,0.11992905,0.90750929,1.06191037,0.81968979,0.35884362,0.08659860,1.44633684
-5.68784392,3.62477330,0.15193563,0.11573682,0.88460154,1.01904348,0.80045709,0.34830253,0.08247357,1.40531140
-5.68184092,3.50221327,0.14693247,0.11165744,0.86087766,0.97718261,0.78224059,0.33707923,0.07844701,1.36373632
-5.67583792,3.38265482,0.14175947,0.10775857,0.83670566,0.93679290,0.76550227,0.32535167,0.07455619,1.32228293
-5.66983492,3.26776250,0.13648065,0.10410601,0.81245866,0.89831025,0.75066522,0.31330327,0.07083663,1.28160764
-5.66383192,3.15908276,0.13116162,0.10076175,0.78850321,0.86213101,0.73809856,0.30111738,0.06732130,1.24233172
-5.65782891,3.05799998,0.12586781,0.09778199,0.76518760,0.82860252,0.72810390,0.28897188,0.06404004,1.20502227
-5.65182591,2.96569744,0.12066268,0.09521535,0.74283072,0.79801481,0.72090368,0.27703431,0.06101888,1.17017544
-5.64582291,2.88312496,0.11560595,0.09310127,0.72171210,0.77059395,0.71663213,0.26545760,0.05827957,1.13820247
-5.63981991,2.81097469,0.11075203,0.09146866,0.70206345,0.74649732,0.71532915,0.25437658,0.05583920,1.10941919
-5.63381691,2.74966606,0.10614860,0.09033487,0.68406224,0.72581104,0.71693740,0.24390543,0.05370993,1.08403935
-5.62781391,2.69934029,0.10183550,0.08970511,0.66782747,0.70854958,0.72130289,0.23413605,0.05189891,1.06217194
-5.62181091,2.65986487,0.09784394,0.08957220,0.65341786,0.69465768,0.72817896,0.22513733,0.05040834,1.04382263
-5.61580790,2.63084736,0.09419606,0.08991681,0.64083253,0.68401450,0.73723371,0.21695542,0.04923565,1.02889889
-5.60980490,2.61165805,0.09090488,0.09070808,0.63001404,0.67643958,0.74806057,0.20961471,0.04837384,1.01721879
-5.60380190,2.60146015,0.08797458,0.09190464,0.62085367,0.67170070,0.76019166,0.20311955,0.04781184,1.00852256
-5.59779890,2.59924628,0.08540117,0.09345605,0.61319865,0.66952298,0.77311355,0.19745655,0.04753508,1.00248672
-5.59179590,2.60387947,0.08317342,0.09530446,0.60686088,0.66959898,0.78628483,0.19259722,0.04752600,0.99873972
-5.58579290,2.61413708,0.08127405,0.09738663,0.60162687,0.67159941,0.79915490,0.18850085,0.04776461,0.99687862
-5.57978989,2.62875566,0.07968109,0.09963596,0.59726835,0.67518392,0.81118334,0.18511755,0.04822910,0.99648595
-5.57378689,2.64647523,0.07836941,0.10198482,0.59355307,0.68001171,0.82185906,0.18239108,0.04889633,0.99714610
-5.56778389,2.66608113,0.07731217,0.10436667,0.59025537,0.68575139,0.83071877,0.18026167,0.04974239,0.99846074
-5.56178089,2.68644214,0.07648234,0.10671830,0.58716601,0.69208997,0.83736389,0.17866846,0.05074299,1.00006244
-5.55577789,2.70654362,0.07585404,0.10898177,0.58410100,0.69874063,0.84147548,0.17755165,0.05187391,1.00162651
-5.54977489,2.72551481,0.07540375,0.11110620,0.58090901,0.70544900,0.84282654,0.17685427,0.05311125,1.00288038
-5.54377189,2.74264965,0.07511127,0.11304926,0.57747709,0.71199796,0.84129135,0.17652357,0.05443178,1.00361061
-5.53776888,2.75742086,0.07496049,0.11477827,0.57373471,0.71821088,0.83685152,0.17651207,0.05581310,1.00366741
-5.53176588,2.76948722,0.07493979,0.11627103,0.56965581,0.72395325,0.82959848,0.17677829,0.05723386,1.00296668
