energy_ev,total_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,2.74254788,0.01054937,0.03629816,0.61813670,1.11177162,0.02706810,1.35331767
-5.99399700,2.77195801,0.01055520,0.03870002,0.60615066,1.13098316,0.02676127,1.36831504
-5.98799400,2.80861181,0.01057449,0.04153038,0.59793949,1.15270162,0.02664434,1.38619590
-5.98199100,2.85121154,0.01060380,0.04477515,0.59331946,1.17619562,0.02670197,1.40647594
-5.97598799,2.89836830,0.01063923,0.04841865,0.59206117,1.20071866,0.02691772,1.42861083
-5.96998499,2.94862017,0.01067644,0.05244254,0.59389023,1.22552100,0.02727423,1.45200300
-5.96398199,3.00045406,0.01071083,0.05682487,0.59848926,1.24986260,0.02775321,1.47601088
-5.95797899,3.05233177,0.01073768,0.06153939,0.60550128,1.27302685,0.02833554,1.49996061
-5.95197599,3.10271985,0.01075226,0.06655510,0.61453460,1.29433520,0.02900142,1.52316019
-5.94597299,3.15012324,0.01075004,0.07183612,0.62516943,1.31316240,0.02973051,1.54491588
-5.93996998,3.19312167,0.01072688,0.07734198,0.63696585,1.32895200,0.03050217,1.56455028
-5.93396698,3.23040800,0.01067914,0.08302822,0.64947323,1.34123170,0.03129573,1.58142173
-5.92796398,3.26082710,0.01060391,0.08884753,0.66224083,1.34962794,0.03209083,1.59494428
-5.92196098,3.28341376,0.01049910,0.09475109,0.67482904,1.35387907,0.03286783,1.60460738
-5.91595798,3.29742781,0.01036362,0.10069034,0.68682117,1.35384652,0.03360821,1.60999453
-5.90995498,3.30238487,0.01019737,0.10661897,0.69783507,1.34952311,0.03429500,1.61080005
-5.90395198,3.29808078,0.01000140,0.11249502,0.70753423,1.34103805,0.03491327,1.60684294
-5.89794897,3.28460819,0.00977781,0.11828306,0.71563774,1.32865795,0.03545052,1.59807722
-5.89194597,3.26236390,0.00952980,0.12395617,0.72192872,1.31278355,0.03589706,1.58459795
-5.88594297,3.23204598,0.00926154,0.12949782,0.72626070,1.29394176,0.03624631,1.56664250
-5.87993997,3.19463994,0.00897804,0.13490324,0.72856152,1.27277322,0.03649503,1.54458666
-5.87393697,3.15139391,0.00868504,0.14018038,0.72883458,1.25001526,0.03664335,1.51893560
-5.86793397,3.10378324,0.00838881,0.14535028,0.72715713,1.22648095,0.03669481,1.49030976
-5.86193097,3.05346536,0.00809592,0.15044677,0.72367564,1.20303463,0.03665611,1.45942610
-5.85592796,3.00222639,0.00781305,0.15551553,0.71859831,1.18056487,0.03653686,1.42707526
-5.84992496,2.95192145,0.00754676,0.16061241,0.71218505,1.15995563,0.03634911,1.39409567
-5.84392196,2.90441080,0.00730329,0.16580122,0.70473517,1.14205698,0.03610677,1.36134540
-5.83791896,2.86149449,0.00708834,0.17115093,0.69657343,1.12765621,0.03582503,1.32967300
-5.83191596,2.82484822,0.00690695,0.17673252,0.68803499,1.11745072,0.03551957,1.29988859
-5.82591296,2.79596295,0.00676331,0.18261551,0.67945003,1.11202358,0.03520590,1.27273632
-5.81990995,2.77609114,0.00666071,0.18886454,0.67112859,1.11182299,0.03489855,1.24886948
-5.81390695,2.76620164,0.00660149,0.19553594,0.66334663,1.11714630,0.03461047,1.22882918
-5.80790395,2.76694538,0.00658698,0.20267464,0.65633372,1.12812928,0.03435235,1.21302766
-5.80190095,2.77863328,0.00661761,0.21031156,0.65026310,1.14474114,0.03413215,1.20173669
-5.79589795,2.80122716,0.00669294,0.21846147,0.64524460,1.16678540,0.03395477,1.19508172
-5.78989495,2.83434402,0.00681182,0.22712168,0.64132071,1.19390647,0.03382185,1.19304172
-5.78389195,2.87727326,0.00697248,0.23627130,0.63846603,1.22560175,0.03373172,1.19545466
-5.77788894,2.92900586,0.00717273,0.24587137,0.63659002,1.26123849,0.03367957,1.20202830
-5.77188594,2.98827414,0.00741015,0.25586558,0.63554307,1.30007477,0.03365779,1.21235553
-5.76588294,3.05359985,0.00768224,0.26618176,0.63512525,1.34128361,0.03365638,1.22593352
-5.75987994,3.12334861,0.00798657,0.27673377,0.63509764,1.38397917,0.03366356,1.24218574
-5.75387694,3.19578795,0.00832099,0.28742388,0.63519534,1.42724395,0.03366646,1.26048561
-5.74787394,3.26914657,0.00868368,0.29814540,0.63514165,1.47015598,0.03365180,1.28018092
-5.74187094,3.34167220,0.00907325,0.30878540,0.63466273,1.51181491,0.03360670,1.30061773
-5.73586793,3.41168599,0.00948879,0.31922755,0.63350191,1.55136618,0.03351936,1.32116301
-5.72986493,3.47763131,0.00992985,0.32935470,0.63143315,1.58802245,0.03337975,1.34122503
-5.72386193,3.53811575,0.01039638,0.33905144,0.62827285,1.62108195,0.03318021,1.36027087
-5.71785893,3.59194499,0.01088863,0.34820634,0.62388973,1.64994306,0.03291588,1.37784069
-5.71185593,3.63814821,0.01140703,0.35671399,0.61821225,1.67411534,0.03258506,1.39355840
-5.70585293,3.67599482,0.01195199,0.36447677,0.61123335,1.69322669,0.03218943,1.40713880
-5.69984992,3.70500294,0.01252374,0.37140644,0.60301249,1.70702708,0.03173403,1.41839110
-5.69384692,3.72494013,0.01312211,0.37742555,0.59367491,1.71538899,0.03122722,1.42721938
-5.68784392,3.73581745,0.01374634,0.38246872,0.58340835,1.71830497,0.03068041,1.43362012
-5.68184092,3.73787764,0.01439492,0.38648381,0.57245737,1.71588278,0.03010771,1.43767736
-5.67583792,3.73157876,0.01506542,0.38943305,0.56111580,1.70833842,0.02952549,1.43955593
-5.66983492,3.71757416,0.01575437,0.39129408,0.54971745,1.69598759,0.02895186,1.43949325
-5.66383192,3.69668982,0.01645724,0.39206090,0.53862578,1.67923574,0.02840607,1.43779006
-5.65782891,3.66989992,0.01716844,0.39174471,0.52822283,1.65856721,0.02790796,1.43480056
-5.65182591,3.63830119,0.01788133,0.39037450,0.51889789,1.63453350,0.02747732,1.43092216
-5.64582291,3.60308681,0.01858843,0.38799748,0.51103638,1.60774092,0.02713336,1.42658518
-5.63981991,3.56552002,0.01928153,0.38467906,0.50500925,1.57883787,0.02689417,1.42224267
-5.63381691,3.52690798,0.01995199,0.38050247,0.50116335,1.54850167,0.02677630,1.41836047
-5.62781391,3.48857614,0.02059097,0.37556792,0.49981298,1.51742535,0.02679432,1.41540771
-5.62181091,3.45184323,0.02118978,0.36999125,0.50123295,1.48630427,0.02696063,1.41384777
-5.61580790,3.41799749,0.02174020,0.36390202,0.50565313,1.45582307,0.02728516,1.41412987
-5.60980490,3.38827413,0.02223477,0.35744119,0.51325485,1.42664295,0.02777536,1.41668131
-5.60380190,3.36383461,0.02266716,0.35075830,0.52416892,1.39938961,0.02843613,1.42190051
-5.59779890,3.34574791,0.02303239,0.34400840,0.53847536,1.37464218,0.02926997,1.43015094
-5.59179590,3.33497426,0.02332706,0.33734863,0.55620464,1.35292335,0.03027708,1.44175586
-5.58579290,3.33235135,0.02354955,0.33093479,0.57734032,1.33469090,0.03145563,1.45699405
-5.57978989,3.33858334,0.02370005,0.32491784,0.60182267,1.32033089,0.03280199,1.47609637
-5.57378689,3.35423245,0.02378062,0.31944058,0.62955309,1.31015248,0.03431111,1.49924302
-5.56778389,3.37971306,0.02379509,0.31463458,0.66039887,1.30438460,0.03597673,1.52656156
-5.56178089,3.41528785,0.02374890,0.31061736,0.69419799,1.30317408,0.03779175,1.55812508
-5.55577789,3.46106556,0.02364892,0.30749000,0.73076346,1.30658543,0.03974850,1.59395070
-5.54977489,3.51699975,0.02350311,0.30533518,0.76988705,1.31460164,0.04183891,1.63399786
-5.54377189,3.58288796,0.02332020,0.30421556,0.81134187,1.32712606,0.04405466,1.67816618
-5.53776888,3.65837075,0.02310933,0.30417267,0.85488380,1.34398487,0.04638729,1.72629290
-5.53176588,3.74293035,0.02287961,0.30522606,0.90025165,1.36492990,0.04882815,1.77814967
-5.52576288,3.83588861,0.02263973,0.30737291,0.94716591,1.38964166,0.05136831,1.83343872
-5.51975988,3.93640454,0.02239761,0.31058787,0.99532655,1.41773244,0.05399836,1.89178880
-5.51375688,4.04347189,0.02216000,0.31482326,1.04440986,1.44874950,0.05670822,1.95275108
-5.50775388,4.15591753,0.02193222,0.32000950,1.09406496,1.48217845,0.05948681,2.01579561
-5.50175088,4.27240167,0.02171790,0.32605593,1.14391041,1.51744709,0.06232181,2.08030898
-5.49574787,4.39142124,0.02151885,0.33285182,1.19353147,1.55393001,0.06519934,2.14559383
-5.48974487,4.51131772,0.02133496,0.34026792,1.24247857,1.59095439,0.06810378,2.21087106
-5.48374187,4.63029061,0.02116426,0.34815821,1.29026761,1.62780726,0.07101757,2.27528520
-5.47773887,4.74641773,0.02100299,0.35636229,1.33638239,1.66374461,0.07392117,2.33791374
-5.47173587,4.85768290,0.02084580,0.36470805,1.38027972,1.69800268,0.07679318,2.39778047
-5.46573287,4.96201136,0.02068603,0.37301499,1.42139707,1.72981123,0.07961047,2.45387319
-5.45972986,5.05731242,0.02051600,0.38109784,1.45916300,1.75840902,0.08234858,2.50516532
-5.45372686,5.14152856,0.02032745,0.38877060,1.49300990,1.78306095,0.08498214,2.55064105
-5.44772386,5.21268929,0.02011187,0.39585097,1.52238877,1.80307642,0.08748549,2.58932304
-5.44172086,5.26896760,0.01986096,0.40216473,1.54678523,1.81782823,0.08983331,2.62030168
-5.43571786,5.30873667,0.01956703,0.40755033,1.56573611,1.82677120,0.09200134,2.64276443
-5.42971486,5.33062372,0.01922335,0.41186311,1.57884575,1.82945949,0.09396705,2.65602387
-5.42371186,5.33355837,0.01882451,0.41497926,1.58580093,1.82556174,0.09571039,2.65954286
-5.41770885,5.31681254,0.01836665,0.41679910,1.58638385,1.81487308,0.09721428,2.65295552
-5.41170585,5.28002951,0.01784768,0.41724969,1.58048202,1.79732322,0.09846516,2.63608258
-5.40570285,5.22324019,0.01726739,0.41628649,1.56809469,1.77298003,0.09945328,2.60894029
-5.39969985,5.14686542,0.01662748,0.41389405,1.54933530,1.74204816,0.10017284,2.57174212
-5.39369685,5.05170371,0.01593148,0.41008568,1.52442954,1.70486272,0.10062196,2.52489305
-5.38769385,4.93890488,0.01518466,0.40490208,1.49370941,1.66187811,0.10080246,2.46897672
-5.38169085,4.80993071,0.01439382,0.39840893,1.45760314,1.61365251,0.10071950,2.40473582
-5.37568784,4.66650458,0.01356703,0.39069382,1.41662180,1.56082874,0.10038104,2.33304695
-5.36968484,4.51055258,0.01271335,0.38186228,1.37134306,1.50411243,0.09979723,2.25489099
-5.36368184,4.34413915,0.01184250,0.37203356,1.32239302,1.44424860,0.09897973,2.17132070
-5.35767884,4.16940045,0.01096456,0.36133601,1.27042703,1.38199779,0.09794102,2.08342702
-5.35167584,3.98847871,0.01008965,0.34990252,1.21611035,1.31811283,0.09669377,1.99230579
-5.34567284,3.80346077,0.00922765,0.33786620,1.16009973,1.25331752,0.09525025,1.89902655
-5.33966983,3.61632349,0.00838793,0.32535644,1.10302651,1.18828789,0.09362191,1.80460461
-5.33366683,3.42888830,0.00757918,0.31249560,1.04548215,1.12363708,0.09181905,1.70997775
-5.32766383,3.24278652,0.00680923,0.29939642,0.98800652,1.05990414,0.08985076,1.61598820
-5.32166083,3.05943629,0.00608499,0.28616020,0.93107947,0.99754713,0.08772489,1.52337050
-5.31565783,2.88003146,0.00541240,0.27287585,0.87511557,0.93694052,0.08544833,1.43274526
-5.30965483,2.70554184,0.00479647,0.25961974,0.82046227,0.87837670,0.08302735,1.34461869
-5.30365183,2.53672381,0.00424134,0.24645619,0.76740096,0.82207104,0.08046803,1.25938726
-5.29764882,2.37413972,0.00375043,0.23343871,0.71615070,0.76817014,0.07777689,1.17734690
-5.29164582,2.21818422,0.00332658,0.22061162,0.66687415,0.71676237,0.07496141,1.09870562
-5.28564282,2.06911529,0.00297221,0.20801201,0.61968511,0.66788997,0.07203062,1.02359865
-5.27963982,1.92708798,0.00268956,0.19567188,0.57465699,0.62156203,0.06899563,0.95210487
-5.27363682,1.79218866,0.00248086,0.18362030,0.53183191,0.57776751,0.06587004,0.88426366
-5.26763382,1.66446789,0.00234851,0.17188536,0.49122959,0.53648767,0.06267021,0.82009111
-5.26163082,1.54397044,0.00229524,0.16049603,0.45285580,0.49770740,0.05941547,0.75959486
-5.25562781,1.43076105,0.00232429,0.14948348,0.41670991,0.46142494,0.05612803,0.70278685
-5.24962481,1.32494531,0.00243945,0.13888222,0.38279137,0.42765984,0.05283285,0.64969374
-5.24362181,1.22668495,0.00264512,0.12873068,0.35110481,0.39645887,0.04955734,0.60036453
-5.23761881,1.13620759,0.00294631,0.11907147,0.32166393,0.36789995,0.04633082,0.55487557
-5.23161581,1.05381119,0.00334859,0.10995120,0.29449399,0.34209414,0.04318404,0.51333284
-5.22561281,0.97986350,0.00385792,0.10142008,0.26963320,0.31918588,0.04014850,0.47587191
-5.21960980,0.91479725,0.00448050,0.09353111,0.24713302,0.29935161,0.03725577,0.44265580
-5.21360680,0.85910186,0.00522250,0.08633923,0.22705768,0.28279715,0.03453685,0.41387117
-5.20760380,0.81331234,0.00608980,0.07990018,0.20948300,0.26975391,0.03202149,0.38972329
-5.20160080,0.77799622,0.00708760,0.07426945,0.19449489,0.26047436,0.02973761,0.37043007
-5.19559780,0.75373921,0.00822011,0.06950107,0.18218743,0.25522677,0.02771079,0.35621564
-5.18959480,0.74113014,0.00949010,0.06564648,0.17266103,0.25428954,0.02596389,0.34730379
-5.18359180,0.74074576,0.01089855,0.06275348,0.16602048,0.25794520,0.02451677,0.34391145
-5.17758879,0.75313575,0.01244426,0.06086514,0.16237312,0.26647414,0.02338609,0.34624261
-5.17158579,0.77880820,0.01412350,0.06001885,0.16182719,0.28014819,0.02258533,0.35448258
-5.16558279,0.81821583,0.01592972,0.06024532,0.16449025,0.29922406,0.02212479,0.36879292
-5.15957979,0.87174303,0.01785332,0.06156775,0.17046781,0.32393672,0.02201181,0.38930701
-5.15357679,0.93969386,0.01988153,0.06400088,0.17986203,0.35449273,0.02225100,0.41612625
-5.14757379,1.02228116,0.02199838,0.06755014,0.19277050,0.39106351,0.02284455,0.44931705
-5.14157079,1.11961674,0.02418474,0.07221082,0.20928502,0.43377883,0.02379261,0.48890843
-5.13556778,1.23170289,0.02641856,0.07796719,0.22949046,0.48272032,0.02509365,0.53489041
-5.12956478,1.35842534,0.02867514,0.08479171,0.25346351,0.53791540,0.02674485,0.58721309
-5.12356178,1.49954780,0.03092756,0.09264434,0.28127145,0.59933159,0.02874246,0.64578651
-5.11755878,1.65470835,0.03314723,0.10147185,0.31297085,0.66687151,0.03108212,0.71048126
