energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Li_s_up,Se_s_up,Se_p_up
-6.00000000,0.33445234,0.00198306,0.00459737,0.08036337,0.04154533,0.11870901,0.00214337,0.16234909
-5.99399700,0.32241490,0.00227272,0.00414159,0.07780147,0.04022025,0.11310166,0.00191053,0.15714990
-5.98799400,0.31169200,0.00258764,0.00372818,0.07536839,0.03902864,0.10815892,0.00170019,0.15250338
-5.98199100,0.30237222,0.00292632,0.00335784,0.07311405,0.03798159,0.10389235,0.00151172,0.14846071
-5.97598799,0.29452003,0.00328653,0.00303130,0.07108649,0.03708688,0.10030358,0.00134434,0.14506164
-5.96998499,0.28817441,0.00366531,0.00274943,0.06933098,0.03634861,0.09738470,0.00119724,0.14233344
-5.96398199,0.28334818,0.00405897,0.00251341,0.06788944,0.03576697,0.09511861,0.00106958,0.14029031
-5.95797899,0.28002825,0.00446307,0.00232481,0.06680004,0.03533810,0.09347974,0.00096060,0.13893319
-5.95197599,0.27817700,0.00487250,0.00218571,0.06609708,0.03505416,0.09243481,0.00086965,0.13825020
-5.94597299,0.27773472,0.00528155,0.00209875,0.06581119,0.03490351,0.09194403,0.00079623,0.13821770
-5.93996998,0.27862323,0.00568405,0.00206724,0.06596973,0.03487114,0.09196240,0.00074007,0.13880198
-5.93396698,0.28075059,0.00607345,0.00209515,0.06659744,0.03493922,0.09244141,0.00070112,0.13996145
-5.92796398,0.28401664,0.00644307,0.00218714,0.06771723,0.03508776,0.09333080,0.00067958,0.14164942
-5.92196098,0.28831920,0.00678622,0.00234855,0.06935103,0.03529548,0.09458057,0.00067599,0.14381709
-5.91595798,0.29356057,0.00709643,0.00258536,0.07152063,0.03554070,0.09614292,0.00069116,0.14641685
-5.90995498,0.29965395,0.00736765,0.00290410,0.07424841,0.03580228,0.09797425,0.00072628,0.14940551
-5.90395198,0.30652944,0.00759444,0.00331171,0.07755778,0.03606055,0.10003687,0.00078282,0.15274732
-5.89794897,0.31413913,0.00777216,0.00381543,0.08147339,0.03629820,0.10230052,0.00086261,0.15641662
-5.89194597,0.32246099,0.00789713,0.00442256,0.08602091,0.03650104,0.10474344,0.00096780,0.16039987
-5.88594297,0.33150127,0.00796677,0.00514026,0.09122638,0.03665859,0.10735296,0.00110081,0.16469694
-5.87993997,0.34129508,0.00797969,0.00597523,0.09711512,0.03676459,0.11012561,0.00126432,0.16932159
-5.87393697,0.35190507,0.00793575,0.00693347,0.10371025,0.03681714,0.11306657,0.00146121,0.17430095
-5.86793397,0.36341828,0.00783606,0.00801992,0.11103074,0.03681877,0.11618860,0.00169448,0.17967411
-5.86193097,0.37594115,0.00768299,0.00923813,0.11908922,0.03677621,0.11951042,0.00196719,0.18548985
-5.85592796,0.38959293,0.00748005,0.01058994,0.12788967,0.03669999,0.12305468,0.00228236,0.19180359
-5.84992496,0.40449795,0.00723183,0.01207517,0.13742499,0.03660383,0.12684550,0.00264287,0.19867373
-5.84392196,0.42077705,0.00694383,0.01369133,0.14767478,0.03650392,0.13090590,0.00305135,0.20615762
-5.83791896,0.43853879,0.00662230,0.01543342,0.15860342,0.03641808,0.13525513,0.00351011,0.21430744
-5.83191596,0.45787092,0.00627407,0.01729372,0.17015861,0.03636488,0.13990619,0.00402098,0.22316618
-5.82591296,0.47883279,0.00590635,0.01926178,0.18227063,0.03636281,0.14486359,0.00458524,0.23276404
-5.81990995,0.50144910,0.00552657,0.02132438,0.19485229,0.03642942,0.15012165,0.00520356,0.24311556
-5.81390695,0.52570564,0.00514216,0.02346570,0.20779980,0.03658070,0.15566338,0.00587592,0.25421761
-5.80790395,0.55154729,0.00476041,0.02566753,0.22099455,0.03683053,0.16146016,0.00660157,0.26604856
-5.80190095,0.57887860,0.00438833,0.02790965,0.23430581,0.03719040,0.16747214,0.00737904,0.27856857
-5.79589795,0.60756714,0.00403254,0.03017022,0.24759422,0.03766929,0.17364954,0.00820614,0.29172128
-5.78989495,0.63744946,0.00369916,0.03242639,0.26071614,0.03827384,0.17993481,0.00908007,0.30543672
-5.78389195,0.66833958,0.00339375,0.03465488,0.27352841,0.03900875,0.18626548,0.00999746,0.31963537
-5.77788894,0.70003967,0.00312130,0.03683265,0.28589357,0.03987741,0.19257767,0.01095451,0.33423323
-5.77188594,0.73235228,0.00288620,0.03893763,0.29768517,0.04088266,0.19881009,0.01194716,0.34914766
-5.76588294,0.76509369,0.00269226,0.04094937,0.30879293,0.04202783,0.20490833,0.01297124,0.36430362
-5.75987994,0.79810751,0.00254270,0.04284975,0.31912741,0.04331771,0.21082916,0.01402266,0.37964006
-5.75387694,0.83127787,0.00244024,0.04462353,0.32862415,0.04475970,0.21654466,0.01509763,0.39511601
-5.74787394,0.86454136,0.00238708,0.04625888,0.33724677,0.04636480,0.22204594,0.01619277,0.41071600
-5.74187094,0.89789694,0.00238499,0.04774778,0.34498903,0.04814860,0.22734614,0.01730535,0.42645457
-5.73586793,0.93141324,0.00243528,0.04908625,0.35187574,0.05013199,0.23248255,0.01843340,0.44237934
-5.72986493,0.96523248,0.00253888,0.05027452,0.35796220,0.05234167,0.23751766,0.01957581,0.45857252
-5.72386193,0.99957078,0.00269629,0.05131691,0.36333255,0.05481033,0.24253899,0.02073241,0.47515065
-5.71785893,1.03471439,0.00290761,0.05222175,0.36809669,0.05757644,0.24765763,0.02190398,0.49226230
-5.71185593,1.07101186,0.00317251,0.05300101,0.37238616,0.06068372,0.25300540,0.02309220,0.51008390
-5.70585293,1.10886218,0.00349017,0.05366986,0.37634906,0.06418010,0.25873071,0.02429961,0.52881359
-5.69984992,1.14869924,0.00385927,0.05424620,0.38014420,0.06811629,0.26499330,0.02552943,0.54866330
-5.69384692,1.19097304,0.00427792,0.05475002,0.38393481,0.07254398,0.27195778,0.02678543,0.56984934
-5.68784392,1.23612835,0.00474357,0.05520279,0.38788201,0.07751370,0.27978644,0.02807167,0.59258173
-5.68184092,1.28458160,0.00525301,0.05562684,0.39213835,0.08307230,0.28863147,0.02939229,0.61705280
-5.67583792,1.33669693,0.00580228,0.05604469,0.39684173,0.08926035,0.29862686,0.03075126,0.64342537
-5.66983492,1.39276238,0.00638667,0.05647853,0.40210985,0.09610937,0.30988045,0.03215206,0.67182112
-5.66383192,1.45296734,0.00700066,0.05694967,0.40803554,0.10363913,0.32246635,0.03359747,0.70230959
-5.65782891,1.51738225,0.00763801,0.05747809,0.41468301,0.11185506,0.33641817,0.03508931,0.73489838
-5.65182591,1.58594161,0.00829170,0.05808215,0.42208532,0.12074599,0.35172336,0.03662816,0.76952506
-5.64582291,1.65843115,0.00895410,0.05877826,0.43024297,0.13028234,0.36831903,0.03821323,0.80605119
-5.63981991,1.73448004,0.00961703,0.05958075,0.43912379,0.14041477,0.38608941,0.03984218,0.84425886
-5.63381691,1.81355866,0.01027190,0.06050177,0.44866411,0.15107357,0.40486534,0.04151097,0.88385013
-5.62781391,1.89498238,0.01090991,0.06155124,0.45877101,0.16216879,0.42442567,0.04321387,0.92444945
-5.62181091,1.97792146,0.01152223,0.06273688,0.46932571,0.17359110,0.44450091,0.04494337,0.96560917
-5.61580790,2.06141704,0.01210026,0.06406429,0.48018789,0.18521352,0.46477879,0.04669028,1.00681822
-5.60980490,2.14440265,0.01263582,0.06553698,0.49120064,0.19689394,0.48491189,0.04844375,1.04751348
-5.60380190,2.22573079,0.01312142,0.06715647,0.50219608,0.20847830,0.50452684,0.05019147,1.08709385
-5.59779890,2.30420348,0.01355053,0.06892231,0.51300119,0.21980452,0.52323492,0.05191974,1.12493620
-5.59179590,2.37860578,0.01391773,0.07083218,0.52344370,0.23070680,0.54064369,0.05361374,1.16041290
-5.58579290,2.44774085,0.01421898,0.07288179,0.53335780,0.24102026,0.55636906,0.05525774,1.19291014
-5.57978989,2.51046515,0.01445173,0.07506492,0.54258942,0.25058575,0.57004748,0.05683531,1.22184623
-5.57378689,2.56572235,0.01461503,0.07737325,0.55100083,0.25925454,0.58134754,0.05832958,1.24668924
-5.56778389,2.61257447,0.01470963,0.07979632,0.55847444,0.26689270,0.58998074,0.05972356,1.26697319
-5.56178089,2.65022885,0.01473791,0.08232136,0.56491555,0.27338501,0.59571074,0.06100031,1.28231208
-5.55577789,2.67805996,0.01470386,0.08493312,0.57025399,0.27863823,0.59836084,0.06214332,1.29241111
-5.54977489,2.69562496,0.01461292,0.08761372,0.57444459,0.28258350,0.59781934,0.06313665,1.29707473
-5.54377189,2.70267257,0.01447180,0.09034257,0.57746650,0.28517789,0.59404257,0.06396531,1.29621106
-5.53776888,2.69914495,0.01428821,0.09309621,0.57932136,0.28640495,0.58705545,0.06461541,1.28983269
-5.53176588,2.68517266,0.01407062,0.09584835,0.58003045,0.28627431,0.57694974,0.06507448,1.27805375
-5.52576288,2.66106314,0.01382788,0.09856986,0.57963115,0.28482036,0.56387992,0.06533163,1.26108353
-5.51975988,2.62728360,0.01356890,0.10122899,0.57817261,0.28210009,0.54805715,0.06537786,1.23921706
-5.51375688,2.58443912,0.01330231,0.10379155,0.57571122,0.27819022,0.52974134,0.06520619,1.21282317
-5.50775388,2.53324740,0.01303614,0.10622132,0.57230595,0.27318386,0.50923216,0.06481189,1.18233055
-5.50175088,2.47451141,0.01277746,0.10848055,0.56801389,0.26718670,0.48685892,0.06419266,1.14821273
-5.49574787,2.40909125,0.01253219,0.11053053,0.56288627,0.26031315,0.46297021,0.06334876,1.11097244
-5.48974487,2.33787673,0.01230483,0.11233236,0.55696519,0.25268246,0.43792348,0.06228311,1.07112635
-5.48374187,2.26176173,0.01209835,0.11384773,0.55028123,0.24441504,0.41207509,0.06100137,1.02919053
-5.47773887,2.18162139,0.01191408,0.11503980,0.54285213,0.23562914,0.38577121,0.05951199,0.98566751
-5.47173587,2.09829311,0.01175175,0.11587421,0.53468259,0.22643804,0.35933971,0.05782612,0.94103515
