energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,2.74202341,1.22292614,1.80117243,0.00181003,0.57696576,0.36517733,0.00000000
-5.99399700,2.82168379,1.27472634,1.84780824,0.00179204,0.59803341,0.37511261,0.00000000
-5.98799400,2.89957412,1.32877749,1.89175472,0.00177127,0.61936988,0.38467225,0.00000000
-5.98199100,2.97553225,1.38524061,1.93281029,0.00174680,0.64099740,0.39378158,0.00000000
-5.97598799,3.04949704,1.44426444,1.97086842,0.00171789,0.66293867,0.40239309,0.00000000
-5.96998499,3.12149323,1.50596350,2.00591413,0.00168406,0.68521128,0.41048535,0.00000000
-5.96398199,3.19160951,1.57039550,2.03801496,0.00164504,0.70782130,0.41806060,0.00000000
-5.95797899,3.25997121,1.63753936,2.06730703,0.00160082,0.73075648,0.42514126,0.00000000
-5.95197599,3.32670925,1.70727515,2.09397685,0.00155161,0.75397941,0.43176543,0.00000000
-5.94597299,3.39192760,1.77936744,2.11824044,0.00149789,0.77742119,0.43798191,0.00000000
-5.93996998,3.45567152,1.85345327,2.14032080,0.00144032,0.80097598,0.44384487,0.00000000
-5.93396698,3.51789907,1.92903588,2.16042560,0.00137974,0.82449717,0.44940872,0.00000000
-5.92796398,3.57845822,2.00548524,2.17872667,0.00131715,0.84779536,0.45472343,0.00000000
-5.92196098,3.63707165,2.08204576,2.19534268,0.00125366,0.87063870,0.45983066,0.00000000
-5.91595798,3.69333083,2.15785155,2.21032652,0.00119044,0.89275581,0.46476103,0.00000000
-5.90995498,3.74670048,2.23194879,2.22365845,0.00112870,0.91384123,0.46953258,0.00000000
-5.90395198,3.79653381,2.30332475,2.23524553,0.00106962,0.93356366,0.47415072,0.00000000
-5.89794897,3.84209817,2.37094217,2.24492776,0.00101436,0.95157633,0.47860950,0.00000000
-5.89194597,3.88261011,2.43377757,2.25249066,0.00096398,0.96752960,0.48289423,0.00000000
-5.88594297,3.91727796,2.49086172,2.25768359,0.00091942,0.98108476,0.48698523,0.00000000
-5.87993997,3.94534985,2.54132018,2.26024276,0.00088150,0.99192877,0.49086236,0.00000000
-5.87393697,3.96616416,2.58441189,2.25991760,0.00085087,0.99978891,0.49451016,0.00000000
-5.86793397,3.97919951,2.61956369,2.25649865,0.00082801,1.00444672,0.49792307,0.00000000
-5.86193097,3.98412113,2.64639878,2.24984525,0.00081323,1.00575036,0.50111043,0.00000000
-5.85592796,3.98082060,2.66475760,2.23991120,0.00080662,1.00362473,0.50410079,0.00000000
-5.84992496,3.96944632,2.67470971,2.22676655,0.00080811,0.99807866,0.50694531,0.00000000
-5.84392196,3.95042247,2.67655594,2.21061399,0.00081744,0.98920875,0.50971981,0.00000000
-5.83791896,3.92445496,2.67082044,2.19179861,0.00083415,0.97719959,0.51252527,0.00000000
-5.83191596,3.89252337,2.65823286,2.17081012,0.00085767,0.96232011,0.51548674,0.00000000
-5.82591296,3.85585894,2.63970137,2.14827707,0.00088724,0.94491625,0.51875052,0.00000000
-5.81990995,3.81590923,2.61627770,2.12495311,0.00092201,0.92540023,0.52247966,0.00000000
-5.81390695,3.77429088,2.58911582,2.10169573,0.00096102,0.90423688,0.52684805,0.00000000
-5.80790395,3.73273257,2.55942623,2.07943844,0.00100324,0.88192750,0.53203318,0.00000000
-5.80190095,3.69301080,2.52842785,2.05915755,0.00104761,0.85899218,0.53820811,0.00000000
-5.79589795,3.65688147,2.49729982,2.04183531,0.00109307,0.83595129,0.54553281,0.00000000
-5.78989495,3.62601062,2.46713551,2.02842098,0.00113858,0.81330690,0.55414549,0.00000000
-5.78389195,3.60190743,2.43890055,2.01979197,0.00118315,0.79152514,0.56415427,0.00000000
-5.77788894,3.58586292,2.41339705,2.01671689,0.00122589,0.77102012,0.57562972,0.00000000
-5.77188594,3.57889708,2.39123534,2.01982223,0.00126602,0.75214012,0.58859856,0.00000000
-5.76588294,3.58171703,2.37281445,2.02956463,0.00130292,0.73515683,0.60303905,0.00000000
-5.75987994,3.59468813,2.35831217,2.04620981,0.00133614,0.72025771,0.61887832,0.00000000
-5.75387694,3.61781941,2.34768489,2.06981939,0.00136538,0.70754212,0.63599174,0.00000000
-5.74787394,3.65076402,2.34067715,2.10024622,0.00139057,0.69702103,0.65420468,0.00000000
-5.74187094,3.69283445,2.33684037,2.13713846,0.00141183,0.68862043,0.67329639,0.00000000
-5.73586793,3.74303199,2.33555965,2.17995208,0.00142948,0.68218815,0.69300612,0.00000000
-5.72986493,3.80008870,2.33608750,2.22797139,0.00144400,0.67750362,0.71304105,0.00000000
-5.72386193,3.86252019,2.33758279,2.28033628,0.00145607,0.67429027,0.73308592,0.00000000
-5.71785893,3.92868633,2.33915317,2.33607516,0.00146651,0.67222975,0.75281375,0.00000000
-5.71185593,3.99685736,2.33989889,2.39414167,0.00147625,0.67097741,0.77189724,0.00000000
-5.70585293,4.06528200,2.33895619,2.45345368,0.00148629,0.67017831,0.79002046,0.00000000
-5.69984992,4.13225472,2.33553818,2.51293251,0.00149769,0.66948292,0.80689002,0.00000000
