energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,7.72544464,0.02824145,0.79187394,0.60141395,0.19165004,2.72528911,4.60917907,0.04913456,1.78849030
-5.99399700,7.55280656,0.02687312,0.77515795,0.60855541,0.18185905,2.66655174,4.52722730,0.04739521,1.74638885
-5.98799400,7.40393002,0.02572168,0.75934718,0.61577219,0.17349457,2.60930121,4.45948628,0.04583527,1.71268914
-5.98199100,7.28139222,0.02480169,0.74454151,0.62301371,0.16668630,2.55405125,4.40773438,0.04448362,1.68792997
-5.97598799,7.18731636,0.02412483,0.73081998,0.63025947,0.16155365,2.50130961,4.37340480,0.04336759,1.67255886
-5.96998499,7.12334357,0.02369984,0.71824105,0.63751950,0.15820606,2.45157348,4.35755691,0.04251264,1.66693218
-5.96398199,7.09061553,0.02353266,0.70684353,0.64483305,0.15674308,2.40532384,4.36085810,0.04194203,1.67131546
-5.95797899,7.08976808,0.02362656,0.69664807,0.65226583,0.15725440,2.36301902,4.38357672,0.04167660,1.68588364
-5.95197599,7.12093596,0.02398232,0.68765908,0.65990587,0.15981956,2.32508722,4.42558637,0.04173444,1.71072122
-5.94597299,7.18376801,0.02459850,0.67986696,0.66785821,0.16450736,2.29191850,4.48638130,0.04213070,1.74582218
-5.93996998,7.27745216,0.02547163,0.67325049,0.67623872,0.17137482,2.26385621,4.56510228,0.04287728,1.79108975
-5.93396698,7.40074907,0.02659649,0.66777919,0.68516727,0.18046576,2.24118825,4.66057188,0.04398262,1.84633603
-5.92796398,7.55203285,0.02796626,0.66341540,0.69476071,0.19180890,2.22413845,4.77133765,0.04545139,1.91128160
-5.92196098,7.72933717,0.02957268,0.66011608,0.70512565,0.20541561,2.21285832,4.89572151,0.04728418,1.98555509
-5.91595798,7.93040471,0.03140618,0.65783389,0.71635159,0.22127724,2.20741954,5.03187309,0.04947723,2.06869290
-5.90995498,8.15273804,0.03345583,0.65651780,0.72850451,0.23936225,2.20780725,5.17782507,0.05202208,2.16013926
-5.90395198,8.39364978,0.03570934,0.65611284,0.74162101,0.25961315,2.21391465,5.33154805,0.05490524,2.25924652
-5.89794897,8.65031039,0.03815288,0.65655912,0.75570344,0.28194347,2.22553884,5.49100291,0.05810791,2.36527607
-5.89194597,8.91979191,0.04077092,0.65779026,0.77071590,0.30623498,2.24237817,5.65418861,0.06160570,2.47739996
-5.88594297,9.19910660,0.04354595,0.65973114,0.78658135,0.33233519,2.26403135,5.81918383,0.06536842,2.59470338
-5.87993997,9.48523981,0.04645828,0.66229539,0.80317990,0.36005555,2.28999830,5.98418104,0.06935998,2.71618832
-5.87393697,9.77517691,0.04948573,0.66538268,0.82034840,0.38917038,2.31968298,6.14751237,0.07353838,2.84077857
-5.86793397,10.06592472,0.05260345,0.66887616,0.83788134,0.41941678,2.35239840,6.30766664,0.07785585,2.96732641
-5.86193097,10.35452816,0.05578376,0.67264042,0.85553310,0.45049572,2.38737376,6.46329802,0.08225922,3.09462120
-5.85592796,10.63808352,0.05899608,0.67652004,0.87302164,0.48207436,2.42376408,6.61322676,0.08669038,3.22140009
-5.84992496,10.91374971,0.06220707,0.68033927,0.89003359,0.51378974,2.46066220,6.75643289,0.09108705,3.34636100
-5.84392196,11.17875920,0.06538083,0.68390287,0.90623071,0.54525378,2.49711329,6.89204453,0.09538369,3.46817803
-5.83791896,11.43043004,0.06847930,0.68699831,0.92125757,0.57605962,2.53213175,7.01932202,0.09951270,3.58551906
-5.83191596,11.66618052,0.07146286,0.68939937,0.93475047,0.60578912,2.56472032,7.13763963,0.10340570,3.69706559
