energy_ev,total_up,Ge_p_up,Ge_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,1.58645966,0.34799359,0.00000000,0.97071482,0.94415229,0.43709496,0.00000000
-5.99399700,1.56581527,0.33303839,0.00000000,0.97447317,0.91778956,0.44681926,0.00000000
-5.98799400,1.55086359,0.31936591,0.00000000,0.97892154,0.89582517,0.45740171,0.00000000
-5.98199100,1.54123258,0.30702190,0.00000000,0.98390787,0.87809624,0.46863401,0.00000000
-5.97598799,1.53649592,0.29604581,0.00000000,0.98928564,0.86440222,0.48029051,0.00000000
-5.96998499,1.53618546,0.28646923,0.00000000,0.99491798,0.85451088,0.49213449,0.00000000
-5.96398199,1.53980505,0.27831453,0.00000000,1.00068129,0.84816513,0.50392486,0.00000000
-5.95797899,1.54684516,0.27159364,0.00000000,1.00646849,0.84509078,0.51542329,0.00000000
-5.95197599,1.55679769,0.26630724,0.00000000,1.01219157,0.84500455,0.52640117,0.00000000
-5.94597299,1.56917046,0.26244421,0.00000000,1.01778342,0.84762228,0.53664637,0.00000000
-5.93996998,1.58350048,0.25998135,0.00000000,1.02319865,0.85266670,0.54596934,0.00000000
-5.93396698,1.59936558,0.25888346,0.00000000,1.02841354,0.85987446,0.55420833,0.00000000
-5.92796398,1.61639343,0.25910363,0.00000000,1.03342476,0.86900197,0.56123358,0.00000000
-5.92196098,1.63426780,0.26058373,0.00000000,1.03824709,0.87982957,0.56695008,0.00000000
-5.91595798,1.65273131,0.26325501,0.00000000,1.04291003,0.89216391,0.57129907,0.00000000
-5.90995498,1.67158472,0.26703879,0.00000000,1.04745338,0.90583825,0.57425797,0.00000000
-5.90395198,1.69068265,0.27184706,0.00000000,1.05192201,0.92071060,0.57583891,0.00000000
-5.89794897,1.70992594,0.27758308,0.00000000,1.05635996,0.93665987,0.57608599,0.00000000
-5.89194597,1.72925130,0.28414186,0.00000000,1.06080414,0.95358027,0.57507126,0.00000000
-5.88594297,1.74861860,0.29141057,0.00000000,1.06527798,0.97137427,0.57288993,0.00000000
-5.87993997,1.76799707,0.29926880,0.00000000,1.06978538,0.98994486,0.56965483,0.00000000
-5.87393697,1.78735111,0.30758894,0.00000000,1.07430525,1.00918745,0.56549063,0.00000000
-5.86793397,1.80662694,0.31623648,0.00000000,1.07878717,1.02898243,0.56052805,0.00000000
-5.86193097,1.82574113,0.32507060,0.00000000,1.08314837,1.04918881,0.55489841,0.00000000
-5.85592796,1.84457201,0.33394498,0.00000000,1.08727245,1.06963979,0.54872883,0.00000000
-5.84992496,1.86295486,0.34270902,0.00000000,1.09101004,1.09014075,0.54213830,0.00000000
