energy_ev,total_up,Ag_p_up,Ag_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,2.78057575,0.71776731,1.71006938,0.36745696,0.55481990,0.00045496,0.10999010,0.31363709,0.00000000
-5.99399700,2.64343386,0.68621076,1.61177722,0.34903790,0.54198100,0.00047316,0.10469994,0.29682597,0.00000000
-5.98799400,2.51645535,0.65760847,1.51852915,0.33193568,0.53239320,0.00049500,0.09963035,0.28159660,0.00000000
-5.98199100,2.40087410,0.63218709,1.43125515,0.31633546,0.52611125,0.00052022,0.09484720,0.26803752,0.00000000
-5.97598799,2.29768571,0.61008324,1.35077362,0.30238422,0.52311488,0.00054851,0.09040925,0.25619729,0.00000000
-5.96998499,2.20763568,0.59134397,1.27777918,0.29018955,0.52331094,0.00057946,0.08636705,0.24608557,0.00000000
-5.96398199,2.13121342,0.57592995,1.21283323,0.27981928,0.52653746,0.00061256,0.08276218,0.23767520,0.00000000
-5.95797899,2.06865239,0.56372106,1.15635735,0.27130216,0.53256943,0.00064728,0.07962668,0.23090502,0.00000000
-5.95197599,2.01993606,0.55452439,1.10862989,0.26462939,0.54112601,0.00068301,0.07698279,0.22568355,0.00000000
-5.94597299,1.98480940,0.54808409,1.06978556,0.25975692,0.55187922,0.00071913,0.07484302,0.22189308,0.00000000
-5.93996998,1.96279540,0.54409268,1.03981804,0.25660847,0.56446345,0.00075501,0.07321033,0.21939436,0.00000000
-5.93396698,1.95321576,0.54220352,1.01858536,0.25507900,0.57848584,0.00079001,0.07207872,0.21803139,0.00000000
-5.92796398,1.95521500,0.54204361,1.00581780,0.25503870,0.59353692,0.00082353,0.07143384,0.21763644,0.00000000
-5.92196098,1.96778720,0.54322652,1.00112807,0.25633710,0.60920128,0.00085503,0.07125386,0.21803498,0.00000000
-5.91595798,1.98980423,0.54536480,1.00402322,0.25880744,0.62506795,0.00088402,0.07151043,0.21905036,0.00000000
-5.90995498,2.02004500,0.54808140,1.01391822,0.26227096,0.64074011,0.00091009,0.07216968,0.22050821,0.00000000
-5.90395198,2.05722468,0.55101978,1.03015066,0.26654112,0.65584397,0.00093293,0.07319329,0.22224047,0.00000000
-5.89794897,2.10002346,0.55385249,1.05199643,0.27142774,0.67003652,0.00095233,0.07453954,0.22408877,0.00000000
-5.89194597,2.14711436,0.55628778,1.07868604,0.27674077,0.68301208,0.00096816,0.07616436,0.22590739,0.00000000
-5.88594297,2.19718971,0.55807440,1.10942143,0.28229398,0.69450759,0.00098043,0.07802233,0.22756554,0.00000000
-5.87993997,2.24898617,0.55900450,1.14339306,0.28790822,0.70430653,0.00098923,0.08006761,0.22894912,0.00000000
-5.87393697,2.30130806,0.55891464,1.17979705,0.29341450,0.71224167,0.00099476,0.08225486,0.22996189,0.00000000
-5.86793397,2.35304897,0.55768523,1.21785219,0.29865680,0.71819661,0.00099731,0.08454006,0.23052614,0.00000000
-5.86193097,2.40321161,0.55523861,1.25681657,0.30349450,0.72210628,0.00099726,0.08688128,0.23058294,0.00000000
-5.85592796,2.45092569,0.55153599,1.29600354,0.30780467,0.72395659,0.00099504,0.08923942,0.23009188,0.00000000
-5.84992496,2.49546363,0.54657360,1.33479661,0.31148398,0.72378319,0.00099115,0.09157882,0.22903065,0.00000000
-5.84392196,2.53625386,0.54037840,1.37266290,0.31445033,0.72166966,0.00098614,0.09386788,0.22739414,0.00000000
-5.83791896,2.57289126,0.53300351,1.40916464,0.31664414,0.71774510,0.00098059,0.09607953,0.22519353,0.00000000
-5.83191596,2.60514428,0.52452373,1.44396820,0.31802928,0.71218116,0.00097509,0.09819167,0.22245500,0.00000000
-5.82591296,2.63295821,0.51503121,1.47685019,0.31859351,0.70518859,0.00097027,0.10018743,0.21921837,0.00000000
-5.81990995,2.65645397,0.50463155,1.50770006,0.31834852,0.69701338,0.00096673,0.10205538,0.21553564,0.00000000
-5.81390695,2.67592209,0.49344019,1.53651890,0.31732938,0.68793227,0.00096509,0.10378953,0.21146927,0.00000000
-5.80790395,2.69181143,0.48157936,1.56341410,0.31559350,0.67824786,0.00096595,0.10538922,0.20709048,0.00000000
-5.80190095,2.70471241,0.46917537,1.58858973,0.31321894,0.66828316,0.00096989,0.10685878,0.20247731,0.00000000
-5.79589795,2.71533501,0.45635624,1.61233281,0.31030225,0.65837564,0.00097746,0.10820708,0.19771267,0.00000000
-5.78989495,2.72448170,0.44324965,1.63499572,0.30695577,0.64887085,0.00098920,0.10944685,0.19288222,0.00000000
