energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,1.35275397,0.01647544,0.08826048,0.01490672,0.00000000,0.70212257,0.49558030,0.78054344,0.00000000
-5.99399700,1.28065205,0.01493026,0.08817974,0.01426320,0.00000000,0.65495027,0.46960597,0.73697203,0.00000000
-5.98799400,1.20743027,0.01344710,0.08764079,0.01357906,0.00000000,0.60732743,0.44342511,0.69278068,0.00000000
-5.98199100,1.13371230,0.01203652,0.08663843,0.01286250,0.00000000,0.55978919,0.41722223,0.64837171,0.00000000
-5.97598799,1.06008921,0.01070694,0.08517673,0.01212189,0.00000000,0.51284416,0.39116659,0.60412546,0.00000000
-5.96998499,0.98711354,0.00946465,0.08326904,0.01136556,0.00000000,0.46696302,0.36541250,0.56039572,0.00000000
-5.96398199,0.91529490,0.00831387,0.08093766,0.01060171,0.00000000,0.42256931,0.34009991,0.51750614,0.00000000
-5.95797899,0.84509675,0.00725682,0.07821337,0.00983816,0.00000000,0.38003238,0.31535524,0.47574745,0.00000000
-5.95197599,0.77693427,0.00629395,0.07513465,0.00908226,0.00000000,0.33966288,0.29129221,0.43537571,0.00000000
-5.94597299,0.71117332,0.00542407,0.07174674,0.00834080,0.00000000,0.30171071,0.26801271,0.39661127,0.00000000
-5.93996998,0.64813030,0.00464463,0.06810049,0.00761985,0.00000000,0.26636527,0.24560757,0.35963863,0.00000000
-5.93396698,0.58807286,0.00395189,0.06425116,0.00692476,0.00000000,0.23375803,0.22415722,0.32460691,0.00000000
-5.92796398,0.53122141,0.00334124,0.06025716,0.00626007,0.00000000,0.20396705,0.20373227,0.29163110,0.00000000
-5.92196098,0.47775144,0.00280738,0.05617875,0.00562954,0.00000000,0.17702321,0.18439403,0.26079387,0.00000000
-5.91595798,0.42779652,0.00234457,0.05207691,0.00503611,0.00000000,0.15291784,0.16619501,0.23214789,0.00000000
-5.90995498,0.38145211,0.00194683,0.04801233,0.00448198,0.00000000,0.13161143,0.14917948,0.20571865,0.00000000
-5.90395198,0.33877999,0.00160815,0.04404452,0.00396860,0.00000000,0.11304310,0.13338418,0.18150770,0.00000000
-5.89794897,0.29981349,0.00132266,0.04023129,0.00349678,0.00000000,0.09714048,0.11883917,0.15949619,0.00000000
-5.89194597,0.26456321,0.00108471,0.03662842,0.00306674,0.00000000,0.08382977,0.10556895,0.13964869,0.00000000
-5.88594297,0.23302342,0.00088908,0.03328962,0.00267818,0.00000000,0.07304569,0.09359383,0.12191712,0.00000000
-5.87993997,0.20517886,0.00073100,0.03026683,0.00233042,0.00000000,0.06474115,0.08293158,0.10624488,0.00000000
-5.87393697,0.18101186,0.00060621,0.02761073,0.00202244,0.00000000,0.05889622,0.07359931,0.09257089,0.00000000
-5.86793397,0.16050961,0.00051107,0.02537151,0.00175301,0.00000000,0.05552655,0.06561560,0.08083358,0.00000000
-5.86193097,0.14367129,0.00044254,0.02359982,0.00152075,0.00000000,0.05469069,0.05900271,0.07097468,0.00000000
-5.85592796,0.13051497,0.00039818,0.02234779,0.00132423,0.00000000,0.05649631,0.05378884,0.06294272,0.00000000
-5.84992496,0.12108379,0.00037618,0.02167016,0.00116207,0.00000000,0.06110505,0.05001031,0.05669612,0.00000000
-5.84392196,0.11545120,0.00037532,0.02162526,0.00103296,0.00000000,0.06873577,0.04771349,0.05220579,0.00000000
-5.83791896,0.11372499,0.00039494,0.02227585,0.00093575,0.00000000,0.07966590,0.04695636,0.04945709,0.00000000
-5.83191596,0.11604965,0.00043492,0.02368973,0.00086947,0.00000000,0.09423062,0.04780950,0.04845106,0.00000000
-5.82591296,0.12260679,0.00049560,0.02593996,0.00083338,0.00000000,0.11281963,0.05035637,0.04920484,0.00000000
-5.81990995,0.13361330,0.00057776,0.02910459,0.00082695,0.00000000,0.13587121,0.05469281,0.05175123,0.00000000
-5.81390695,0.14931706,0.00068250,0.03326586,0.00084989,0.00000000,0.16386323,0.06092547,0.05613715,0.00000000
-5.80790395,0.16998989,0.00081120,0.03850884,0.00090211,0.00000000,0.19730107,0.06916924,0.06242127,0.00000000
-5.80190095,0.19591775,0.00096545,0.04491932,0.00098366,0.00000000,0.23670226,0.07954352,0.07067045,0.00000000
-5.79589795,0.22738819,0.00114687,0.05258115,0.00109472,0.00000000,0.28257787,0.09216738,0.08095533,0.00000000
-5.78989495,0.26467520,0.00135711,0.06157280,0.00123550,0.00000000,0.33541087,0.10715360,0.09334500,0.00000000
-5.78389195,0.30802185,0.00159764,0.07196345,0.00140617,0.00000000,0.39563182,0.12460186,0.10790084,0.00000000
-5.77788894,0.35762107,0.00186970,0.08380857,0.00160678,0.00000000,0.46359246,0.14459106,0.12466993,0.00000000
-5.77188594,0.41359541,0.00217415,0.09714513,0.00183715,0.00000000,0.53953801,0.16717121,0.14367800,0.00000000
-5.76588294,0.47597647,0.00251134,0.11198672,0.00209680,0.00000000,0.62357921,0.19235511,0.16492248,0.00000000
-5.75987994,0.54468505,0.00288103,0.12831873,0.00238484,0.00000000,0.71566521,0.22011032,0.18836580,0.00000000
-5.75387694,0.61951300,0.00328227,0.14609380,0.00269988,0.00000000,0.81555888,0.25035172,0.21392944,0.00000000
-5.74787394,0.70010801,0.00371331,0.16522802,0.00304000,0.00000000,0.92281568,0.28293523,0.24148901,0.00000000
-5.74187094,0.78596237,0.00417155,0.18559788,0.00340266,0.00000000,1.03676788,0.31765312,0.27087084,0.00000000
-5.73586793,0.87640686,0.00465350,0.20703841,0.00378468,0.00000000,1.15651534,0.35423134,0.30185036,0.00000000
-5.72986493,0.97061061,0.00515481,0.22934274,0.00418226,0.00000000,1.28092414,0.39232923,0.33415263,0.00000000
-5.72386193,1.06758772,0.00567025,0.25226320,0.00459100,0.00000000,1.40863421,0.43154205,0.36745517,0.00000000
-5.71785893,1.16621105,0.00619382,0.27551417,0.00500594,0.00000000,1.53807631,0.47140624,0.40139319,0.00000000
-5.71185593,1.26523316,0.00671888,0.29877664,0.00542169,0.00000000,1.66749894,0.51140783,0.43556732,0.00000000
-5.70585293,1.36331433,0.00723824,0.32170459,0.00583250,0.00000000,1.79500466,0.55099353,0.46955355,0.00000000
