energy_ev,total_up,In_p_up,In_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,2.33506079,0.09870110,0.01067466,2.51706923,0.77034172,0.00606984,0.33486441
-5.99399700,2.38868559,0.10091602,0.01089383,2.58141779,0.78625919,0.00615286,0.34144740
-5.98799400,2.43305737,0.10276502,0.01107784,2.63553219,0.79910434,0.00622299,0.34700573
-5.98199100,2.46656544,0.10417143,0.01121887,2.67761468,0.80838157,0.00627525,0.35126636
-5.97598799,2.48787909,0.10507080,0.01131025,2.70615962,0.81369125,0.00630536,0.35399577
-5.96998499,2.49599289,0.10541307,0.01134668,2.72000600,0.81474345,0.00630998,0.35500747
-5.96398199,2.49026089,0.10516432,0.01132441,2.71837798,0.81136800,0.00628682,0.35416782
-5.95797899,2.47041815,0.10430781,0.01124136,2.70091199,0.80352038,0.00623468,0.35140006
-5.95197599,2.43658881,0.10284447,0.01109723,2.66766894,0.79128310,0.00615358,0.34668633
-5.94597299,2.38928015,0.10079272,0.01089346,2.61913131,0.77486266,0.00604471,0.34006758
-5.93996998,2.32936323,0.09818768,0.01063316,2.55618525,0.75458211,0.00591039,0.33164147
-5.93396698,2.25804092,0.09507980,0.01032102,2.48008858,0.73086960,0.00575403,0.32155830
-5.92796398,2.17680483,0.09153300,0.00996314,2.39242641,0.70424350,0.00558001,0.31001523
-5.92196098,2.08738324,0.08762236,0.00956678,2.29505631,0.67529461,0.00539348,0.29724904
-5.91595798,1.99168217,0.08343156,0.00914011,2.19004550,0.64466643,0.00520029,0.28352771
-5.90995498,1.89172221,0.07905008,0.00869196,2.07960283,0.61303413,0.00500673,0.26914130
-5.90395198,1.78957373,0.07457027,0.00823152,1.96600836,0.58108309,0.00481935,0.25439233
-5.89794897,1.68729279,0.07008460,0.00776801,1.85154317,0.54948794,0.00464477,0.23958626
-5.89194597,1.58686030,0.06568285,0.00731045,1.73842213,0.51889267,0.00448947,0.22502212
-5.88594297,1.49012629,0.06144963,0.00686738,1.62873178,0.48989252,0.00435956,0.21098388
-5.87993997,1.39876109,0.05746217,0.00644661,1.52437529,0.46301829,0.00426064,0.19773258
-5.87393697,1.31421459,0.05378838,0.00605503,1.42702585,0.43872316,0.00419759,0.18549965
-5.86793397,1.23768450,0.05048544,0.00569846,1.33808971,0.41737269,0.00417443,0.17448130
-5.86193097,1.17009402,0.04759858,0.00538151,1.25867917,0.39923779,0.00419416,0.16483432
-5.85592796,1.11207899,0.04516043,0.00510751,1.18959583,0.38449089,0.00425868,0.15667316
-5.84992496,1.06398426,0.04319072,0.00487846,1.13132385,0.37320506,0.00436871,0.15006834
-5.84392196,1.02586870,0.04169628,0.00469505,1.08403269,0.36535617,0.00452372,0.14504615
-5.83791896,0.99751813,0.04067151,0.00455670,1.04758850,0.36082753,0.00472188,0.14158957
-5.83191596,0.97846521,0.04009908,0.00446163,1.02157336,0.35941705,0.00496016,0.13964027
-5.82591296,0.96801535,0.03995092,0.00440694,1.00531115,0.36084636,0.00523428,0.13910163
-5.81990995,0.96527747,0.04018955,0.00438878,0.99789907,0.36477173,0.00553886,0.13984262
-5.81390695,0.96919860,0.04076944,0.00440246,0.99824361,0.37079636,0.00586750,0.14170248
-5.80790395,0.97860124,0.04163875,0.00444266,1.00509980,0.37848372,0.00621293,0.14449596
-5.80190095,0.99222229,0.04274100,0.00450356,1.01711266,0.38737156,0.00656721,0.14801907
-5.79589795,1.00875267,0.04401696,0.00457904,1.03285966,0.39698626,0.00692192,0.15205516
-5.78989495,1.02687653,0.04540650,0.00466285,1.05089323,0.40685709,0.00726837,0.15638118
-5.78389195,1.04530907,0.04685048,0.00474883,1.06978218,0.41653011,0.00759786,0.16077397
-5.77788894,1.06283208,0.04829247,0.00483103,1.08815097,0.42558125,0.00790192,0.16501641
-5.77188594,1.07832626,0.04968056,0.00490388,1.10471603,0.43362829,0.00817258,0.16890323
-5.76588294,1.09079958,0.05096873,0.00496236,1.11831808,0.44034132,0.00840254,0.17224644
-5.75987994,1.09941093,0.05211827,0.00500209,1.12794968,0.44545139,0.00858547,0.17488003
-5.75387694,1.10348838,0.05309874,0.00501944,1.13277736,0.44875720,0.00871612,0.17666399
-5.74787394,1.10254173,0.05388872,0.00501159,1.13215775,0.45012939,0.00879053,0.17748743
-5.74187094,1.09626894,0.05447619,0.00497660,1.12564729,0.44951242,0.00880611,0.17727065
-5.73586793,1.08455636,0.05485861,0.00491340,1.11300550,0.44692402,0.00876171,0.17596623
-5.72986493,1.06747287,0.05504250,0.00482179,1.09419166,0.44245208,0.00865764,0.17355908
-5.72386193,1.04525838,0.05504286,0.00470240,1.06935540,0.43624924,0.00849562,0.17006537
-5.71785893,1.01830696,0.05488208,0.00455663,1.03882154,0.42852528,0.00827873,0.16553055
-5.71185593,0.98714564,0.05458867,0.00438654,1.00307004,0.41953777,0.00801123,0.16002643
-5.70585293,0.95240965,0.05419569,0.00419479,0.96271193,0.40958115,0.00769844,0.15364757
-5.69984992,0.91481512,0.05373908,0.00398448,0.91846226,0.39897496,0.00734652,0.14650708
-5.69384692,0.87513056,0.05325581,0.00375908,0.87111129,0.38805156,0.00696227,0.13873203
-5.68784392,0.83414812,0.05278209,0.00352224,0.82149505,0.37714381,0.00655288,0.13045867
-5.68184092,0.79265587,0.05235163,0.00327771,0.77046649,0.36657353,0.00612576,0.12182769
-5.67583792,0.75141229,0.05199405,0.00302922,0.71886832,0.35664094,0.00568822,0.11297962
-5.66983492,0.71112374,0.05173354,0.00278036,0.66750849,0.34761570,0.00524738,0.10405064
-5.66383192,0.67242590,0.05158781,0.00253449,0.61713918,0.33972992,0.00480989,0.09516891
-5.65782891,0.63586970,0.05156741,0.00229469,0.56843976,0.33317347,0.00438186,0.08645146
-5.65182591,0.60191205,0.05167544,0.00206365,0.52200427,0.32809168,0.00396868,0.07800177
-5.64582291,0.57091167,0.05190764,0.00184371,0.47833350,0.32458564,0.00357497,0.06990813
-5.63981991,0.54312980,0.05225293,0.00163677,0.43783153,0.32271499,0.00320453,0.06224264
-5.63381691,0.51873547,0.05269431,0.00144433,0.40080666,0.32250302,0.00286031,0.05506094
