energy_ev,total_up,Re_p_up,Re_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,1.06542519,0.32034060,0.59992099,0.00022177,0.06203047,0.42783644,0.00025151
-5.99399700,1.05937353,0.32053037,0.59526597,0.00021775,0.06227041,0.42742824,0.00024555
-5.98799400,1.04952150,0.31972773,0.58837517,0.00021326,0.06232508,0.42564939,0.00023839
-5.98199100,1.03636135,0.31805190,0.57954285,0.00020864,0.06221218,0.42267081,0.00023024
-5.97598799,1.02041712,0.31562717,0.56908385,0.00020428,0.06194950,0.41867195,0.00022129
-5.96998499,1.00222530,0.31257776,0.55732245,0.00020059,0.06155388,0.41383358,0.00021179
-5.96398199,0.98231712,0.30902309,0.54458196,0.00019805,0.06104041,0.40833134,0.00020196
-5.95797899,0.96120302,0.30507399,0.53117550,0.00019716,0.06042179,0.40233035,0.00019206
-5.95197599,0.93936032,0.30082993,0.51739862,0.00019848,0.05970787,0.39598115,0.00018231
-5.94597299,0.91722434,0.29637741,0.50352364,0.00020258,0.05890554,0.38941708,0.00017295
-5.93996998,0.89518326,0.29178944,0.48979621,0.00021006,0.05801876,0.38275320,0.00016420
-5.93396698,0.87357653,0.28712623,0.47643387,0.00022154,0.05704893,0.37608668,0.00015627
-5.92796398,0.85269665,0.28243675,0.46362644,0.00023767,0.05599540,0.36949842,0.00014935
-5.92196098,0.83279367,0.27776111,0.45153804,0.00025908,0.05485622,0.36305571,0.00014361
-5.91595798,0.81408168,0.27313347,0.44031030,0.00028641,0.05362896,0.35681560,0.00013921
-5.90995498,0.79674654,0.26858513,0.43006630,0.00032028,0.05231166,0.35082864,0.00013628
-5.90395198,0.78095401,0.26414761,0.42091482,0.00036130,0.05090369,0.34514249,0.00013494
-5.89794897,0.76685737,0.25985543,0.41295442,0.00041000,0.04940666,0.33980535,0.00013527
-5.89194597,0.75460390,0.25574832,0.40627695,0.00046689,0.04782519,0.33486856,0.00013736
-5.88594297,0.74433961,0.25187270,0.40097016,0.00053237,0.04616750,0.33038845,0.00014126
-5.87993997,0.73621193,0.24828239,0.39711921,0.00060676,0.04444589,0.32642709,0.00014699
-5.87393697,0.73037000,0.24503835,0.39480699,0.00069025,0.04267693,0.32305208,0.00015458
-5.86793397,0.72696294,0.24220766,0.39411326,0.00078291,0.04088156,0.32033521,0.00016400
-5.86193097,0.72613603,0.23986175,0.39511273,0.00088466,0.03908486,0.31835040,0.00017523
-5.85592796,0.72802556,0.23807403,0.39787239,0.00099523,0.03731575,0.31717089,0.00018822
-5.84992496,0.73275268,0.23691717,0.40244830,0.00111419,0.03560646,0.31686611,0.00020289
-5.84392196,0.74041712,0.23646024,0.40888237,0.00124092,0.03399188,0.31749850,0.00021914
-5.83791896,0.75109137,0.23676597,0.41719937,0.00137459,0.03250884,0.31912052,0.00023687
-5.83191596,0.76481599,0.23788828,0.42740456,0.00151421,0.03119531,0.32177229,0.00025594
-5.82591296,0.78159660,0.23987041,0.43948237,0.00165860,0.03008959,0.32547988,0.00027620
-5.81990995,0.80140310,0.24274367,0.45339622,0.00180642,0.02922948,0.33025471,0.00029749
-5.81390695,0.82417110,0.24652701,0.46908974,0.00195617,0.02865150,0.33609388,0.00031964
-5.80790395,0.84980586,0.25122731,0.48648930,0.00210626,0.02839015,0.34298166,0.00034247
-5.80190095,0.87818837,0.25684054,0.50550784,0.00225500,0.02847722,0.35089190,0.00036580
-5.79589795,0.90918322,0.26335342,0.52604972,0.00240068,0.02894118,0.35979129,0.00038946
-5.78989495,0.94264776,0.27074576,0.54801629,0.00254156,0.02980660,0.36964310,0.00041328
-5.78389195,0.97844162,0.27899288,0.57131167,0.00267596,0.03109367,0.38041121,0.00043710
-5.77788894,1.01643596,0.28806823,0.59584836,0.00280227,0.03281774,0.39206399,0.00046079
-5.77188594,1.05652151,0.29794566,0.62155214,0.00291899,0.03498890,0.40457764,0.00048421
-5.76588294,1.09861445,0.30860134,0.64836570,0.00302480,0.03761164,0.41793871,0.00050728
-5.75987994,1.14265951,0.32001490,0.67625055,0.00311856,0.04068445,0.43214541,0.00052991
-5.75387694,1.18862967,0.33216974,0.70518695,0.00319932,0.04419956,0.44720750,0.00055205
-5.74787394,1.23652196,0.34505231,0.73517149,0.00326640,0.04814261,0.46314455,0.00057366
-5.74187094,1.28634933,0.35865039,0.76621225,0.00331934,0.05249244,0.47998261,0.00059472
-5.73586793,1.33812874,0.37295030,0.79832165,0.00335792,0.05722085,0.49774916,0.00061522
-5.72986493,1.39186575,0.38793322,0.83150722,0.00338216,0.06229249,0.51646677,0.00063517
-5.72386193,1.44753658,0.40357081,0.86576069,0.00339230,0.06766481,0.53614563,0.00065456
-5.71785893,1.50506845,0.41982029,0.90104599,0.00338880,0.07328814,0.55677529,0.00067338
-5.71185593,1.56431939,0.43661952,0.93728695,0.00337228,0.07910585,0.57831631,0.00069163
-5.70585293,1.62505902,0.45388215,0.97435537,0.00334349,0.08505476,0.60069220,0.00070927
-5.69984992,1.68695157,0.47149350,1.01206045,0.00330331,0.09106564,0.62378228,0.00072622
-5.69384692,1.74954263,0.48930736,1.05014041,0.00325271,0.09706398,0.64741609,0.00074241
