energy_ev,total_up,As_p_up,As_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,3.51752849,1.59291312,0.00000000,0.84461544,0.00000000,1.89666935,1.35619781
-5.99399700,3.65368531,1.68462891,0.00000000,0.84545733,0.00000000,1.97655213,1.43363704
-5.98799400,3.78520222,1.77355318,0.00000000,0.84609461,0.00000000,2.05329010,1.50941679
-5.98199100,3.90960507,1.85823994,0.00000000,0.84629143,0.00000000,2.12560799,1.58227470
-5.97598799,4.02452530,1.93731649,0.00000000,0.84580534,0.00000000,2.19231342,1.65099476
-5.96998499,4.12779244,2.00952792,0.00000000,0.84440623,0.00000000,2.25234822,1.71444395
-5.96398199,4.21752135,2.07377804,0.00000000,0.84189536,0.00000000,2.30483664,1.77160604
-5.95797899,4.29218996,2.12916500,0.00000000,0.83812328,0.00000000,2.34912785,1.82161123
-5.95197599,4.35070382,2.17501003,0.00000000,0.83300582,0.00000000,2.38483088,1.86376028
-5.94597299,4.39244413,2.21087791,0.00000000,0.82653709,0.00000000,2.41183987,1.89754220
-5.93996998,4.41729704,2.23658833,0.00000000,0.81879884,0.00000000,2.43034861,1.92264476
-5.93396698,4.42566285,2.25221777,0.00000000,0.80996560,0.00000000,2.44085322,1.93895759
-5.92796398,4.41844466,2.25809184,0.00000000,0.80030543,0.00000000,2.44414296,1.94656791
-5.92196098,4.39701722,2.25476858,0.00000000,0.79017597,0.00000000,2.44127936,1.94574933
-5.91595798,4.36317762,2.24301381,0.00000000,0.78001622,0.00000000,2.43356454,1.93694457
-5.90995498,4.31908042,2.22376969,0.00000000,0.77033432,0.00000000,2.42250011,1.92074307
-5.90395198,4.26716037,2.19811818,0.00000000,0.76169185,0.00000000,2.40973844,1.89785490
-5.89794897,4.21004641,2.16724124,0.00000000,0.75468554,0.00000000,2.39702827,1.86908238
-5.89194597,4.15047118,2.13237949,0.00000000,0.74992709,0.00000000,2.38615703,1.83529067
-5.88594297,4.09117970,2.09479142,0.00000000,0.74802206,0.00000000,2.37889211,1.79737903
-5.87993997,4.03484152,2.05571459,0.00000000,0.74954871,0.00000000,2.37692343,1.75625373
-5.87393697,3.98396948,2.01633057,0.00000000,0.75503781,0.00000000,2.38180935,1.71280383
-5.86793397,3.94084833,1.97773460,0.00000000,0.76495399,0.00000000,2.39492793,1.66788054
-5.86193097,3.90747541,1.94091097,0.00000000,0.77967970,0.00000000,2.41743510,1.62228078
