energy_ev,total_up,Ag_p_up,Ag_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
5.35767884,1.65152452,2.63191113,0.03992972,0.14808265,0.17943899,0.18754764,0.03036235
5.36368184,1.72546822,2.73784690,0.04247103,0.14692652,0.18823666,0.20122511,0.03184230
5.36968484,1.79756216,2.84015123,0.04503728,0.14484518,0.19682609,0.21512875,0.03330598
5.37568784,1.86748662,2.93849706,0.04761199,0.14189538,0.20515715,0.22915751,0.03474823
5.38169085,1.93490043,3.03253885,0.05017647,0.13815056,0.21317935,0.24319776,0.03616350
5.38769385,1.99943183,3.12189030,0.05270976,0.13369812,0.22084196,0.25712435,0.03754559
5.39369685,2.06067138,3.20610509,0.05518874,0.12863619,0.22809417,0.27080226,0.03888756
5.39969985,2.11816783,3.28466224,0.05758840,0.12307018,0.23488544,0.28408874,0.04018157
5.40570285,2.17142753,3.35695783,0.05988214,0.11710928,0.24116594,0.29683597,0.04141889
5.41170585,2.21991791,3.42230383,0.06204227,0.11086291,0.24688714,0.30889412,0.04258984
5.41770885,2.26307498,3.47993489,0.06404055,0.10443746,0.25200249,0.32011469,0.04368392
5.42371186,2.30031496,3.52902311,0.06584887,0.09793342,0.25646814,0.33035409,0.04468994
5.42971486,2.33104948,3.56870035,0.06743994,0.09144289,0.26024374,0.33947727,0.04559621
5.43571786,2.35470364,3.59808701,0.06878808,0.08504766,0.26329312,0.34736127,0.04639081
5.44172086,2.37073626,3.61632604,0.06986996,0.07881786,0.26558503,0.35389855,0.04706188
5.44772386,2.37866101,3.62262019,0.07066533,0.07281122,0.26709370,0.35900004,0.04759797
5.45372686,2.37806754,3.61627059,0.07115768,0.06707281,0.26779932,0.36259763,0.04798836
5.45972986,2.36864129,3.59671443,0.07133482,0.06163545,0.26768837,0.36464629,0.04822345
5.46573287,2.35018103,3.56355966,0.07118932,0.05652036,0.26675385,0.36512553,0.04829501
5.47173587,2.32261318,3.51661471,0.07071882,0.05173834,0.26499537,0.36404026,0.04819657
5.47773887,2.28600212,3.45591168,0.06992623,0.04729112,0.26241914,0.36142112,0.04792362
5.48374187,2.24055601,3.38172165,0.06881969,0.04317285,0.25903789,0.35732419,0.04747385
5.48974487,2.18662778,3.29456134,0.06741247,0.03937174,0.25487076,0.35183027,0.04684729
5.49574787,2.12471144,3.19519077,0.06572263,0.03587162,0.24994316,0.34504366,0.04604641
5.50175088,2.05543372,3.08460223,0.06377266,0.03265339,0.24428663,0.33709062,0.04507615
5.50775388,1.97954165,2.96400102,0.06158891,0.02969636,0.23793869,0.32811751,0.04394391
5.51375688,1.89788660,2.83477914,0.05920100,0.02697941,0.23094276,0.31828874,0.04265942
5.51975988,1.81140560,2.69848318,0.05664112,0.02448187,0.22334798,0.30778452,0.04123462
5.52576288,1.72110066,2.55677799,0.05394338,0.02218427,0.21520914,0.29679852,0.03968347
5.53176588,1.62801706,2.41140783,0.05114301,0.02006875,0.20658643,0.28553544,0.03802167
5.53776888,1.53322131,2.26415654,0.04827572,0.01811942,0.19754518,0.27420847,0.03626645
5.54377189,1.43777964,2.11680844,0.04537701,0.01632241,0.18815543,0.26303672,0.03443620
5.54977489,1.34273761,1.97111117,0.04248151,0.01466590,0.17849144,0.25224259,0.03255014
5.55577789,1.24910142,1.82874185,0.03962247,0.01313992,0.16863091,0.24204901,0.03062802
5.56178089,1.15782135,1.69127722,0.03683121,0.01173621,0.15865412,0.23267662,0.02868974
5.56778389,1.06977765,1.56016846,0.03413673,0.01044793,0.14864285,0.22434094,0.02675498
5.57378689,0.98576889,1.43672109,0.03156539,0.00926944,0.13867917,0.21724936,0.02484289
5.57978989,0.90650308,1.32207972,0.02914055,0.00819600,0.12884413,0.21159817,0.02297174
5.58579290,0.83259121,1.21721777,0.02688247,0.00722364,0.11921630,0.20756954,0.02115863
5.59179590,0.76454334,1.12293161,0.02480811,0.00634894,0.10987045,0.20532861,0.01941921
5.59779890,0.70276691,1.03983864,0.02293110,0.00556892,0.10087612,0.20502054,0.01776744
5.60380190,0.64756704,0.96837878,0.02126173,0.00488099,0.09229643,0.20676789,0.01621540
5.60980490,0.59914869,0.90881877,0.01980695,0.00428296,0.08418702,0.21066804,0.01477312
5.61580790,0.55762028,0.86125867,0.01857049,0.00377305,0.07659519,0.21679107,0.01344850
5.62181091,0.52299864,0.82564003,0.01755299,0.00334997,0.06955939,0.22517783,0.01224722
5.62781391,0.49521500,0.80175543,0.01675211,0.00301308,0.06310891,0.23583847,0.01117273
5.63381691,0.47412183,0.78925887,0.01616279,0.00276247,0.05726396,0.24875133,0.01022629
5.63981991,0.45950037,0.78767691,0.01577741,0.00259910,0.05203601,0.26386228,0.00940707
5.64582291,0.45106868,0.79642049,0.01558608,0.00252497,0.04742845,0.28108447,0.00871222
5.65182591,0.44849007,0.81479723,0.01557683,0.00254323,0.04343741,0.30029851,0.00813706
5.65782891,0.45138183,0.84202452,0.01573599,0.00265826,0.04005296,0.32135302,0.00767525
5.66383192,0.45932420,0.87724316,0.01604841,0.00287571,0.03726027,0.34406566,0.00731906
5.66983492,0.47186940,0.91953206,0.01649779,0.00320255,0.03504104,0.36822440,0.00705955
5.67583792,0.48855081,0.96792370,0.01706702,0.00364697,0.03337491,0.39358938,0.00688689
5.68184092,0.50889215,1.02142081,0.01773847,0.00421829,0.03224087,0.41989497,0.00679062
5.68784392,0.53241662,1.07901397,0.01849437,0.00492675,0.03161864,0.44685248,0.00675998
5.69384692,0.55865598,1.13970028,0.01931711,0.00578327,0.03149000,0.47415316,0.00678418
5.69984992,0.58715949,1.20250293,0.02018957,0.00679908,0.03184000,0.50147195,0.00685274
5.70585293,0.61750265,1.26649138,0.02109547,0.00798533,0.03265800,0.52847170,0.00695575
5.71185593,0.64929568,1.33080194,0.02201965,0.00935262,0.03393865,0.55480814,0.00708424
5.71785893,0.68219158,1.39465832,0.02294839,0.01091045,0.03568265,0.58013561,0.00723039
5.72386193,0.71589390,1.45739164,0.02386970,0.01266670,0.03789747,0.60411340,0.00738782
5.72986493,0.75016372,1.51845945,0.02477356,0.01462706,0.04059784,0.62641296,0.00755184
5.73586793,0.78482613,1.57746325,0.02565212,0.01679442,0.04380613,0.64672564,0.00771962
5.74187094,0.81977574,1.63416370,0.02649996,0.01916845,0.04755265,0.66477095,0.00789035
5.74787394,0.85498117,1.68849317,0.02731415,0.02174504,0.05187570,0.68030506,0.00806537
5.75387694,0.89048830,1.74056481,0.02809444,0.02451606,0.05682159,0.69312937,0.00824821
5.75987994,0.92642208,1.79067765,0.02884325,0.02746909,0.06244435,0.70309868,0.00844457
5.76588294,0.96298651,1.83931716,0.02956570,0.03058731,0.06880531,0.71012865,0.00866230
5.77188594,1.00046268,1.88715071,0.03026949,0.03384969,0.07597234,0.71420217,0.00891123
5.77788894,1.03920445,1.93501739,0.03096483,0.03723118,0.08401884,0.71537409,0.00920297
5.78389195,1.07963159,1.98391203,0.03166413,0.04070319,0.09302232,0.71377405,0.00955066
5.78989495,1.12222003,2.03496290,0.03238177,0.04423420,0.10306254,0.70960699,0.00996859
5.79589795,1.16748909,2.08940312,0.03313367,0.04779050,0.11421918,0.70315102,0.01047180
5.80190095,1.21598554,2.14853577,0.03393686,0.05133710,0.12656906,0.69475252,0.01107563
5.80790395,1.26826443,2.21369298,0.03480888,0.05483863,0.14018275,0.68481840,0.01179515
5.81390695,1.32486701,2.28618952,0.03576719,0.05826032,0.15512081,0.67380552,0.01264459
5.81990995,1.38629571,2.36727165,0.03682847,0.06156896,0.17142950,0.66220761,0.01363676
5.82591296,1.45298708,2.45806248,0.03800786,0.06473375,0.18913621,0.65053986,0.01478238
5.83191596,1.52528312,2.55950521,0.03931821,0.06772706,0.20824473,0.63932187,0.01608947
5.83791896,1.60340212,2.67230603,0.04076928,0.07052498,0.22873051,0.62905936,0.01756276
5.84392196,1.68741000,2.79687891,0.04236698,0.07310772,0.25053611,0.62022551,0.01920310
5.84992496,1.77719370,2.93329455,0.04411269,0.07545976,0.27356717,0.61324255,0.02100701
5.85592796,1.87243775,3.08123601,0.04600263,0.07756978,0.29768919,0.60846455,0.02296626
5.86193097,1.97260589,3.23996372,0.04802736,0.07943038,0.32272526,0.60616196,0.02506765
5.86793397,2.07692884,3.40829226,0.05017148,0.08103762,0.34845515,0.60650890,0.02729284
5.87393697,2.18439986,3.58458133,0.05241351,0.08239038,0.37461590,0.60957361,0.02961845
5.87993997,2.29377907,3.76674275,0.05472593,0.08348970,0.40090419,0.61531278,0.03201623
5.88594297,2.40360743,3.95226484,0.05707556,0.08433798,0.42698039,0.62356995,0.03445357
5.89194597,2.51223062,4.13825483,0.05942408,0.08493823,0.45247460,0.63407841,0.03689399
5.89794897,2.61783297,4.32149927,0.06172891,0.08529350,0.47699439,0.64646835,0.03929804
5.90395198,2.71848065,4.49854106,0.06394420,0.08540624,0.50013410,0.66027826,0.04162417
5.90995498,2.81217303,4.66577151,0.06602208,0.08527806,0.52148549,0.67497019,0.04382987
5.91595798,2.89690053,4.81953421,0.06791410,0.08490948,0.54064933,0.68994814,0.04587281
5.92196098,2.97070695,4.95623721,0.06957270,0.08430009,0.55724749,0.70457908,0.04771215
5.92796398,3.03175353,5.07246917,0.07095277,0.08344872,0.57093500,0.71821559,0.04930971
5.93396698,3.07838233,5.16511459,0.07201324,0.08235400,0.58141158,0.73021920,0.05063128
5.93996998,3.10917584,5.23146336,0.07271845,0.08101491,0.58843214,0.73998357,0.05164767
5.94597299,3.12301023,5.26930956,0.07303953,0.07943153,0.59181566,0.74695633,0.05233576
5.95197599,3.11909961,5.27703522,0.07295543,0.07760582,0.59145210,0.75065886,0.05267922
5.95797899,3.09702923,5.25367503,0.07245379,0.07554237,0.58730694,0.75070304,0.05266920
5.96398199,3.05677592,5.19895907,0.07153142,0.07324911,0.57942313,0.74680444,0.05230455
5.96998499,2.99871493,5.11333169,0.07019452,0.07073794,0.56792035,0.73879128,0.05159201
5.97598799,2.92361264,4.99794578,0.06845851,0.06802509,0.55299158,0.72660909,0.05054594
5.98199100,2.83260568,4.85463282,0.06634754,0.06513144,0.53489716,0.71032072,0.04918793
5.98799400,2.72716754,4.68585058,0.06389378,0.06208251,0.51395657,0.69010219,0.04754612
5.99399700,2.60906417,4.49461093,0.06113627,0.05890830,0.49053844,0.66623431,0.04565437
6.00000000,2.48030099,4.28439161,0.05811972,0.05564292,0.46504905,0.63909103,0.04355123
