energy_ev,total_up,Os_p_up,Os_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,7.46312702,2.02018830,3.69926299,0.03973064,0.92255851,2.78464434,0.00000000
-5.99399700,7.41114158,2.02155604,3.67201156,0.04020747,0.89750693,2.76489134,0.00000000
-5.98799400,7.33623429,2.01473085,3.63511717,0.04052749,0.87059910,2.73480726,0.00000000
-5.98199100,7.24010937,2.00014797,3.58940511,0.04068854,0.84210908,2.69508606,0.00000000
-5.97598799,7.12490796,1.97842393,3.53587831,0.04069089,0.81231954,2.64662009,0.00000000
-5.96998499,6.99315484,1.95033971,3.47569252,0.04053710,0.78151946,2.59047764,0.00000000
-5.96398199,6.84768875,1.91681767,3.41012412,0.04023183,0.75000135,2.52787358,0.00000000
-5.95797899,6.69157866,1.87889344,3.34053176,0.03978156,0.71805804,2.46013438,0.00000000
-5.95197599,6.52802953,1.83768368,3.26831344,0.03919436,0.68597897,2.38865857,0.00000000
-5.94597299,6.36028135,1.79435103,3.19486073,0.03847949,0.65404608,2.31487458,0.00000000
-5.93996998,6.19150580,1.75006762,3.12151234,0.03764715,0.62252935,2.24019746,0.00000000
-5.93396698,6.02470514,1.70597855,3.04950908,0.03670814,0.59168232,2.16598632,0.00000000
-5.92796398,5.86261756,1.66316656,2.97995229,0.03567358,0.56173753,2.09350426,0.00000000
-5.92196098,5.70763305,1.62261936,2.91376779,0.03455472,0.53290235,2.02388224,0.00000000
-5.91595798,5.56172343,1.58520052,2.85167687,0.03336266,0.50535513,1.95808837,0.00000000
-5.90995498,5.42638919,1.55162499,2.79417572,0.03210830,0.47924208,1.89690363,0.00000000
-5.90395198,5.30262514,1.52243986,2.74152415,0.03080219,0.45467492,1.84090479,0.00000000
-5.89794897,5.19090596,1.49801096,2.69374412,0.02945447,0.43172946,1.79045504,0.00000000
-5.89194597,5.09119192,1.47851557,2.65062790,0.02807489,0.41044511,1.74570231,0.00000000
-5.88594297,5.00295378,1.46394126,2.61175554,0.02667278,0.39082547,1.70658521,0.00000000
-5.87993997,4.92521563,1.45409077,2.57652061,0.02525707,0.37283992,1.67284604,0.00000000
-5.87393697,4.85661341,1.44859271,2.54416316,0.02383635,0.35642615,1.64405009,0.00000000
-5.86793397,4.79546621,1.44691753,2.51380814,0.02241885,0.34149349,1.61961031,0.00000000
-5.86193097,4.73985745,1.44839823,2.48450785,0.02101250,0.32792700,1.59881636,0.00000000
-5.85592796,4.68772247,1.45225509,2.45528634,0.01962488,0.31559216,1.58086675,0.00000000
-5.84992496,4.63693894,1.45762368,2.42518426,0.01826327,0.30433992,1.56490281,0.00000000
-5.84392196,4.58541700,1.46358513,2.39330211,0.01693458,0.29401195,1.55004345,0.00000000
-5.83791896,4.53118548,1.46919793,2.35884040,0.01564531,0.28444601,1.53541931,0.00000000
-5.83191596,4.47247164,1.47353003,2.32113536,0.01440154,0.27548120,1.52020530,0.00000000
-5.82591296,4.40777147,1.47569039,2.27968882,0.01320885,0.26696282,1.50365043,0.00000000
-5.81990995,4.33590863,1.47485895,2.23419145,0.01207226,0.25874696,1.48510411,0.00000000
