energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.97577378,-0.89525784,0.00032479,-0.00509946,0.04819398,-0.01592497,0.00685202,-0.00502577,0.00000000,-0.00000000,0.41310577,-0.31847718,0.32659399,-0.19968224,0.00700391,-0.01097195,0.51294228,-0.53805731
-5.99399700,0.98549301,-0.89897826,0.00039984,-0.00475045,0.05220475,-0.01522332,0.00684085,-0.00508764,0.00000000,-0.00000000,0.41633148,-0.32694754,0.33504715,-0.19915380,0.00678882,-0.01108657,0.51382528,-0.54182535
-5.98799400,0.99898775,-0.90106456,0.00049325,-0.00440505,0.05647494,-0.01460920,0.00685310,-0.00514972,0.00000000,-0.00000000,0.42289101,-0.33530749,0.34433513,-0.19831853,0.00661532,-0.01114675,0.51680249,-0.54452297
-5.98199100,1.01649544,-0.90157507,0.00060827,-0.00406500,0.06096128,-0.01407127,0.00689294,-0.00521262,0.00000000,-0.00000000,0.43322007,-0.34348837,0.35441179,-0.19719669,0.00648401,-0.01115071,0.52209772,-0.54619732
-5.97598799,1.03824628,-0.90061256,0.00074857,-0.00373241,0.06561216,-0.01360040,0.00696474,-0.00527708,0.00000000,-0.00000000,0.44775729,-0.35144116,0.36521953,-0.19581792,0.00639550,-0.01109772,0.52994170,-0.54692014
-5.96998499,1.06446626,-0.89831544,0.00091825,-0.00340964,0.07036863,-0.01318923,0.00707299,-0.00534387,0.00000000,-0.00000000,0.46693833,-0.35913306,0.37669211,-0.19421923,0.00635056,-0.01098816,0.54057196,-0.54678266
-5.96398199,1.09537751,-0.89484897,0.00112183,-0.00309907,0.07516570,-0.01283177,0.00722225,-0.00541377,0.00000000,-0.00000000,0.49118769,-0.36654412,0.38875743,-0.19244290,0.00635018,-0.01082353,0.55423063,-0.54589063
-5.95797899,1.13119542,-0.89039693,0.00136424,-0.00280305,0.07993400,-0.01252297,0.00741713,-0.00548744,0.00000000,-0.00000000,0.52090794,-0.37366413,0.40133992,-0.19053445,0.00639564,-0.01060642,0.57115992,-0.54435959
-5.95197599,1.17212230,-0.88515389,0.00165075,-0.00252380,0.08460160,-0.01225840,0.00766206,-0.00556540,0.00000000,-0.00000000,0.55646643,-0.38048990,0.41436250,-0.18854081,0.00648846,-0.01034047,0.59159506,-0.54231045
-5.94597299,1.21833737,-0.87931847,0.00198697,-0.00226332,0.08909607,-0.01203392,0.00796120,-0.00564801,0.00000000,-0.00000000,0.59817966,-0.38702300,0.42774789,-0.18650872,0.00663036,-0.01003029,0.61575481,-0.53986578
-5.93996998,1.26998335,-0.87308774,0.00237870,-0.00202339,0.09334656,-0.01184545,0.00831826,-0.00573546,0.00000000,-0.00000000,0.64629564,-0.39326816,0.44141924,-0.18448335,0.00682319,-0.00968134,0.64382983,-0.53714662
-5.93396698,1.32715029,-0.86665307,0.00283193,-0.00180552,0.09728599,-0.01168886,0.00873621,-0.00582769,0.00000000,-0.00000000,0.70097507,-0.39923248,0.45530009,-0.18250726,0.00706875,-0.00929984,0.67596932,-0.53427030
-5.92796398,1.38985729,-0.86019744,0.00335263,-0.00161104,0.10085306,-0.01155982,0.00921715,-0.00592452,0.00000000,-0.00000000,0.76227196,-0.40492545,0.46931370,-0.18061972,0.00736868,-0.00889259,0.71226660,-0.53134905
-5.92196098,1.45803340,-0.85389450,0.00394671,-0.00144109,0.10399425,-0.01145385,0.00976201,-0.00602557,0.00000000,-0.00000000,0.83011488,-0.41036006,0.48338184,-0.17885635,0.00772425,-0.00846684,0.75274440,-0.52848971
