energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,3.32738892,0.01098759,0.28195763,0.91503093,0.38485854,2.09335660,1.71424456,1.00676384,0.00000000
-5.99399700,3.26017058,0.01015583,0.28167330,0.88928062,0.36730610,2.02916090,1.69949000,0.96894315,0.00000000
-5.98799400,3.19638587,0.00938767,0.28116686,0.86272418,0.35093812,1.96642621,1.68630961,0.93217814,0.00000000
-5.98199100,3.13647001,0.00868389,0.28042867,0.83561043,0.33583905,1.90574365,1.67480062,0.89678599,0.00000000
-5.97598799,3.08081127,0.00804469,0.27945288,0.80820304,0.32206808,1.84767843,1.66505022,0.86306647,0.00000000
-5.96998499,3.02976675,0.00746980,0.27823858,0.78078054,0.30966144,1.79277391,1.65714575,0.83130441,0.00000000
-5.96398199,2.98368093,0.00695865,0.27679098,0.75363565,0.29863536,1.74155631,1.65118666,0.80177248,0.00000000
-5.95797899,2.94290574,0.00651047,0.27512263,0.72707396,0.28898959,1.69453943,1.64729744,0.77473398,0.00000000
-5.95197599,2.90782060,0.00612439,0.27325458,0.70141162,0.28071118,1.65222864,1.64564072,0.75044527,0.00000000
-5.94597299,2.87885111,0.00579951,0.27121737,0.67697216,0.27377838,1.61512347,1.64642963,0.72915745,0.00000000
-5.93996998,2.85648463,0.00553494,0.26905176,0.65408225,0.26816440,1.58371829,1.64993829,0.71111706,0.00000000
-5.93396698,2.84128118,0.00532988,0.26680917,0.63306648,0.26384081,1.55850048,1.65650946,0.69656546,0.00000000
-5.92796398,2.83387827,0.00518357,0.26455165,0.61424130,0.26078043,1.53994563,1.66655834,0.68573686,0.00000000
-5.92196098,2.83498855,0.00509527,0.26235134,0.59790801,0.25895943,1.52850974,1.68057162,0.67885465,0.00000000
-5.91595798,2.84538920,0.00506424,0.26028942,0.58434519,0.25835866,1.52461820,1.69910118,0.67612626,0.00000000
-5.90995498,2.86590290,0.00508962,0.25845445,0.57380067,0.25896402,1.52865174,1.72275197,0.67773643,0.00000000
-5.90395198,2.89737023,0.00517040,0.25694015,0.56648327,0.26076580,1.54092995,1.75216398,0.68383923,0.00000000
-5.89794897,2.94061425,0.00530525,0.25584267,0.56255470,0.26375722,1.56169274,1.78798864,0.69454899,0.00000000
-5.89194597,2.99639825,0.00549245,0.25525743,0.56212189,0.26793193,1.59108069,1.83086017,0.70993063,0.00000000
-5.88594297,3.06537852,0.00572975,0.25527569,0.56523004,0.27328098,1.62911530,1.88136297,0.72998976,0.00000000
-5.87993997,3.14805410,0.00601431,0.25598091,0.57185689,0.27978910,1.67568023,1.93999630,0.75466319,0.00000000
-5.87393697,3.24471615,0.00634253,0.25744519,0.58190837,0.28743074,1.73050476,2.00713795,0.78381036,0.00000000
