energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,2.50130007,0.02289219,0.33872736,1.40544017,0.89329764,1.05081765,0.00000000,0.59292595,0.26257270
-5.99399700,2.50220289,0.02163032,0.33691793,1.38500955,0.90518697,1.04939473,0.00000000,0.59088109,0.26775384
-5.98799400,2.49813548,0.02041185,0.33371053,1.36030988,0.91521899,1.04620929,0.00000000,0.58727501,0.27276598
-5.98199100,2.48906066,0.01925993,0.32917619,1.33166308,0.92319526,1.04119728,0.00000000,0.58207422,0.27755517
-5.97598799,2.47502724,0.01819515,0.32341292,1.29945900,0.92894893,1.03432742,0.00000000,0.57527748,0.28207843
-5.96998499,2.45616541,0.01723504,0.31654304,1.26414162,0.93234789,1.02560086,0.00000000,0.56691551,0.28630410
-5.96398199,2.43268109,0.01639373,0.30870997,1.22619467,0.93329761,1.01505041,0.00000000,0.55705008,0.29021172
-5.95797899,2.40484930,0.01568164,0.30007429,1.18612701,0.93174360,1.00273925,0.00000000,0.54577230,0.29379137
-5.95197599,2.37300655,0.01510537,0.29080946,1.14445846,0.92767313,0.98875917,0.00000000,0.53320033,0.29704260
-5.94597299,2.33754224,0.01466767,0.28109718,1.10170625,0.92111626,0.97322813,0.00000000,0.51947635,0.29997285
-5.93996998,2.29888921,0.01436749,0.27112258,1.05837277,0.91214590,0.95628736,0.00000000,0.50476298,0.30259559
-5.93396698,2.25751360,0.01420018,0.26106945,1.01493459,0.90087688,0.93809773,0.00000000,0.48923909,0.30492811
-5.92796398,2.21390420,0.01415771,0.25111561,0.97183339,0.88746398,0.91883575,0.00000000,0.47309537,0.30698935
-5.92196098,2.16856176,0.01422907,0.24142864,0.92946867,0.87209888,0.89868927,0.00000000,0.45652958,0.30879762
-5.91595798,2.12198862,0.01440062,0.23216211,0.88819258,0.85500633,0.87785300,0.00000000,0.43974185,0.31036862
-5.90995498,2.07467927,0.01465658,0.22345250,0.84830690,0.83643947,0.85652427,0.00000000,0.42293021,0.31171376
-5.90395198,2.02711220,0.01497956,0.21541683,0.81006213,0.81667465,0.83489914,0.00000000,0.40628655,0.31283905
-5.89794897,1.97974378,0.01535107,0.20815125,0.77365873,0.79600601,0.81316927,0.00000000,0.38999323,0.31374460
-5.89194597,1.93300448,0.01575211,0.20173043,0.73925033,0.77474015,0.79151968,0.00000000,0.37422052,0.31442476
-5.88594297,1.88729782,0.01616371,0.19620797,0.70694871,0.75319096,0.77012766,0.00000000,0.35912501,0.31486914
-5.87993997,1.84300224,0.01656751,0.19161771,0.67683038,0.73167522,0.74916288,0.00000000,0.34484899,0.31506427
-5.87393697,1.80047588,0.01694628,0.18797580,0.64894436,0.71050881,0.72878880,0.00000000,0.33152097,0.31499595
-5.86793397,1.76006401,0.01728442,0.18528350,0.62332092,0.69000405,0.70916521,0.00000000,0.31925709,0.31465212
-5.86193097,1.72210878,0.01756837,0.18353062,0.59998070,0.67046788,0.69045173,0.00000000,0.30816335,0.31402616
-5.85592796,1.68696046,0.01778702,0.18269919,0.57894394,0.65220114,0.67281209,0.00000000,0.29833861,0.31312028
-5.84992496,1.65498954,0.01793194,0.18276734,0.56023935,0.63549869,0.65641865,0.00000000,0.28987780,0.31194884
-5.84392196,1.62659851,0.01799762,0.18371312,0.54391205,0.62065021,0.64145693,0.00000000,0.28287539,0.31054141
-5.83791896,1.60223243,0.01798149,0.18551797,0.53003036,0.60794141,0.62812947,0.00000000,0.27742859,0.30894514
-5.83191596,1.58238708,0.01788400,0.18816967,0.51869082,0.59765529,0.61665887,0.00000000,0.27364008,0.30722650
-5.82591296,1.56761386,0.01770842,0.19166452,0.51002140,0.59007315,0.60728934,0.00000000,0.27161990,0.30547188
-5.81990995,1.55852030,0.01746064,0.19600870,0.50418243,0.58547491,0.60028647,0.00000000,0.27148640,0.30378727
-5.81390695,1.55576573,0.01714890,0.20121843,0.50136516,0.58413847,0.59593508,0.00000000,0.27336594,0.30229659
-5.80790395,1.56005164,0.01678334,0.20731926,0.50178803,0.58633782,0.59453486,0.00000000,0.27739124,0.30113904
-5.80190095,1.57210648,0.01637561,0.21434402,0.50569050,0.59233972,0.59639382,0.00000000,0.28369836,0.30046516
-5.79589795,1.59266529,0.01593833,0.22232996,0.51332475,0.60239876,0.60181972,0.00000000,0.29242244,0.30043213
-5.78989495,1.62244467,0.01548458,0.23131476,0.52494548,0.61675108,0.61110963,0.00000000,0.30369210,0.30119810
